header,contents,date
"[강원 강릉시]강릉여행, 가족 숙소 추천 오션뷰 '라카이 샌드파인 리조트, 트리오룸'","※5인 이상 집합 금지 전 방문한 리뷰입니다※ ※코로나 상황에 따른 정부 방역지침 및 예방 지침을 준수하였습니다※ 라카이 샌드파인 리조트 강원 강릉시 해안로 536 네이버 예약 또는 1644-3001(전화예약 가능) 저희 친정식구들은 추석, 설 혹은 황금연휴에는 무조건 여행! 근데 코로나 때문에 몇...",2021. 2. 25.
전국을 강타한 실내포차/202009 강릉 여행 1일차 PART4]강원 강릉시 포남동 어느 골목길,대표 메뉴이니 강릉 여행 가신 분들 중 궁금하신 분들은 방문해보세요. ㅎㅎ 포장하셔서 숙소에서 드시는 것도 추천드립니다. 033-642-0178 주소 강원 강릉시 포남동 1155 강원도/동해안/강릉/여행/가볼만한곳/숨은 맛집/핫플레이스/맛집/유명한/꼬막무침/육사시미/포남동/엄지네포장마차본점 위치...,2020. 9. 10.
"강원 강릉시 ""보헤미안박이추커피""""해미가"" & 강원도여행_3일차","좀 더 아쉽지 않은 여행이 되었을 것 같은데..아숩아숩 창가에 앉아 커피 마시다가 본 하늘 강릉 물회맛집 ""해미가"" 033-647-1003 주소_ 강원 강릉시 솔올로 103 (지번_ 교동 1807-2) 영업시간_ 매일 11:00 - 21:00 / 준비시간 14:00~16:30 마지막주문 20:00 / 일요일 휴무 모닝 커피도 마셨겠다. 전라도로...",2021. 2. 24.
"강원 강릉시 카페 맛집,툇마루",#강릉#카페#내돈내산#툇마루 안녕하세요!!쩡이예요☺️ 제가 소개할곳은 웨이팅은필수 강릉여행가면 꼭 가야하는곳! 카페 툇마루 를... 해요 강원 강릉시 초당원길74 강원 강릉시 초당동266-3 매일11:00-20:00 Last order 19:00 매주 화요일 휴무 주문량으로 인해 대기시간이 발생하여 조기 마감될수...,2020. 8. 2.
강원 강릉시 포남동 【강릉순두부장칼국수】,"바로 강원 강릉시 포남동에 위치한 강릉순두부장칼국수 입니다 10시부터 15시까지 영업하시구요 연중무휴로 언제나 방문 가능! 배달, 포장, 주차 가능하구요 장칼국수전문점이랍니다! 강릉에 계시는 지인분 추천으로 방문하게 된 곳이었는데요 강릉순두부장칼국수는 강릉역 근처에 있어서 여행...",2021. 8. 24.
강원 강릉시 / 강릉여행선물하기 좋은 강릉사임당인절미 중앙시장점,강릉사임당인절미 강릉중앙시장점 ● 강원 강릉시 금성로12번길 6 ● 매일 10:00 - 20:00 연중무휴 중앙시장입구에 위치해있는 강릉사임당인절미... 가격은 저렴하진 않지만 맛있는 인절미였습니다 강릉중앙시장에 방문하게 된다면 선물용으로 구매하면 좋을거같아요 :) #강릉중앙시장 #강릉여행...,2021. 7. 5.
［ 강원 강릉시 초당동 ］초당짬뽕순두부 (원조 동화가든) 강릉 당일치기 여행,3.20 방문입니다 어제 배터리가 없어서 오늘 느즈막히 일어나 글 올리네용 ㅎㅎ 토요일인데 번호표뽑고 한 시간 반을 기다려서 순두부 먹고 왔어요 운이 좋았어요 앞에 120명 대기였는뎅...ㅋㅋㅋ 더 많이 기다리는 사람들도 많았거든요 역시 여기는 맛은 있는데 기다리기가 지루하죠? 카페도...,2021. 3. 21.
강원 강릉시 휴양림 리뷰 ① - 강릉임해자연휴양림,함께 느끼며 편안하게 휴식을 취할 수 있는 강릉임해자연휴양림으로 놀러오세요! 휴양림 리뷰 보고 여행을 떠나고 싶으신가요? 전국 휴양림 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/asokata/221790242827 강원 강릉시 휴양림 리뷰 ① - 강릉임해자연휴양림,2020. 2. 3.
[강원:강릉시] 여왕개미식당,매력을 모른다는 게 맞지 싶습니다 강릉시 사천면 사천 해변이고 해초는 내가 주워온 것 날씨가 흐려 파란 동해바다는 이틀 동안 구경하지 못했네요 위 사진은 휴대폰 카메라로 찍은 것 아래 사진은 카메라로 포인트 잡아 찍은 사천해변 #강릉중앙시장먹거리 #강릉중앙시장 #사천해변 #강릉여행,2021. 5. 5.
[강원 강릉시] 강릉커피잼 / 이스트카페(EAST COFFEE) / 버스터미널 근처 카페 추천,"오늘은 강릉 시외버스터미널 근처에 위치한 이스트카페에 대해 포스팅 해 볼게용 강릉여행 갔었는데 하필 비가와ㅠㅠㅠㅠ 하지만 이 또한 추억이니 ,,,^^ 바로 리뷰 들려드릴게용 강릉 이스트카페 강원 강릉시 하슬라로30번길 2 이스트커피 건물 외부입니다 Open am 09 : 30 Close pm 09 : 00 맛나...",2020. 3. 21.
강원 강릉시 메이플비치(Maple Beach)CC 1박2일 36홀 상품안내 및 일정소개,"* 강릉 메이플비치 골프장소개 - 주소 : 강원도 강릉시 강동면 염전길 255 - 코스 : 비치 9홀, 메이플 9홀 - 부대시설 : 락커룸, 클럽하우스, 카페테리아 * 메이플비치 골프텔 숙소안내 - 숙소위치 : 강원 강릉시 강동면 새목이길 110 - 부대시설 : 레스토랑, 야외BBQ, 야외테라스, 수영장, 사우나...",2020. 7. 10.
강원 강릉시 정동진시간박물관 부제:세상에 이런 일이...! 이런 걸 어떻게 모으셨어요?,"안녕하세요 이웃님들 그리고 구독자님들 여행 좋아하고 새로운 곳에서의 새로운 경험을 사랑하는, 여행바다 빠진 여빠부부의 블로그에 놀러와주셔서 감사합니다 ㅎ 오늘 소개해드릴 여행지는 너무도 유명한 강원 강릉시 정동진 인데요 정동진하면 떠 오르는 모래시계 공원일텐데요...",2021. 4. 18.
강원 강릉시 / 동해안 걷기 ... 해파랑길 39코스 / 남항진해변에서 사천진해변까지,"Haeparang-gil Trail Gangneung Section 39course, EAST SEA Of KOREA 강원도 강릉시 남항진해변에서 출발하여 사천진해변에 도착하는 구간. a good... #해파랑길39코스 #바우길5구간 #강릉시여행 #무박여행 #걷기순례 #오늘도걷자 #혼자걷기 #트레킹 #아이더로드4500 #아이더로드...",2021. 8. 27.
