header,contents,date
[여행] [강원 속초시·고성군] 외옹치항·영랑호 드보니아·하늬라벤다팜…,[여행] [강원 속초시·고성군] 외옹치항·영랑호 드보니아·하늬라벤다팜… 오늘은 나의 생일이자 결혼기념일이기도 하다. 아내와 같이 동해안이나 휘 돌아와야겠다. 아침은 휴게소에서 먹기로 하고 속초를 향하여 아침 6시에 집에서 출발하여 화도 IC에서 서울~양양고속도로를 올라탄다....,2021. 7. 2.
[강원 고성군]간성~흘리,고성군(강원) 공공형마을버스 간성~흘리 운행회사-동해상사고속(간성영업소) 기점-간성터미널 [강원도 고성군 간성읍 신안리] 종점-흘2리... 지도에는 고성군 공공형마을버스 모든 노선이 반영되지않아서 조회가 되지않습니다. 여담이지만 시내버스여행시 진부령정상에서 연계가 됩니다만은...,2020. 5. 16.
강원 고성군 거진읍 반암리 (반암해수욕장) : 일출민박 : 거진민박 펜션,: 바쁘신분들을위한 간단요약 : 일출민박 : 주소 : 강원도 고성군 거진읍 반암리21 전화: 033-682-3661/***-****-**** 영업시간: 상시 주차: 가능 : 객실정보... 지난 주말 급으로 떠난 강원도여행..정말 아무것도 준비하지않고 급으로 출발했습니다. 반팔티랑 반바지 그리고 슬리퍼만들고...,2021. 7. 27.
"[강원,고성군] 강원도 오션뷰 카페 ""에이프레임""","강원도 오션뷰 카페 ""에이프레임"" 강원 고성군 죽왕면 가향길 20-1 강원 고성군 죽왕면 가향길 20-1 매일 09:00~20:00 단체석있음, 주차가능 안녕하세요.... 감사합니다:) #강원도 #강원도여행 #강원도카페 #에이프레임 #고성카페 #강원도고성카페 #핫플카페 #강원도핫플카페 #오션뷰카페 #오션뷰...",2021. 5. 6.
[강원 고성군 여행] 보라보라 해~ 라벤더 활짝 핀 하늬라벤더팜,라벤더 만개 시기는 6월 중순(경험상 6월 14일~6월 18일 경이 가장 이쁠 시기임) #강원도여행 #고성군여행 #하늬라벤더팜 #하니라벤더팜 #라벤더명소 #하늬라벤더팜_영업시간 #하늬라벤더팜_오픈시간 #하니라벤더팜_영업시간 #하니라벤더팜_오픈시간 #강원도가볼만한곳 #강원도갈만한곳...,2021. 6. 21.
[강원 고성군] 아야진 해수욕장 당일여행,"아야진 해수욕장으로 당일여행을 떠났어요. 전날 11시쯤 급하게 정한 일정이라 다음날 새벽 5시에 일어나서 준비를 마치고 출발했네요. 저희... ㅎㅎ # [강원 고성군] 아야진 해수욕장 주소 - 강원도 고성군 토성면 이용시간 - 06:00 ~ 24:00 (입욕 가능 시간 09:00 ~ 18:00) 주차시설 - 일일 5,000 이용 가능...",2020. 8. 16.
강원 고성군 골프를 즐기는 기쁨이 큰 설악썬밸리cc 회원권 시세 가격 체크해요,모기업 (주)동광개발 개장일 2005년 07월 홀 수 퍼블릭 27HOLE 108PAR 정기 휴장일 별도 지정일 없음 티오프 간격 7분 골프장 위치 강원 고성군 죽왕면... 가족들과 함께 여행 목적으로 즐기기에 이만한 곳이 없지 않나 싶은 생각입니다. 서울 강남을 기준으로 207.5km로 약 2시간 15분가량이 소요되는...,2021. 2. 3.
강원 고성군 해변 사망 원인 너울성 파도 현상 원인 의미,"강원 고성군 해변에서 너울성 파도에 휩쓸린 아들과 조카를 구하기 위해 뛰어들었다가 함께 숨진 여성은 일선 법원에서 근무하는 판사인 것으로... 함께 고성군 토성면 용촌리 해변을 찾았다가 변을 당했다. 고성엔 A씨와 아들 B군(6), 오빠와 조카 C양(6), A씨 남매의 부모가 함께 여행을 왔다....",2020. 9. 29.
[新국토기행] <79> ‘사통팔달 관광지’ 강원 고성군 - 서울신문,"[新국토기행] ‘사통팔달 관광지’ 강원 고성군 입력 :2016-07-20(수) 22:44 시간여행 떠나볼까…청정 동해 빠져볼까…고성 매력 풀어볼까 미래의 땅, 동해안 최북단 강원 고성군. 남북으로 분단된 유일한 자치단체인 고성이 사통팔달 관광지로 뜨고 있다. 금강산 관광이 중단되고 고기잡이가 시원찮아...",2020. 8. 14.
강원 고성군 토성면 카페 글라스하우스(Glasshaus),해외여행을 못 가니 이렇게 해외 감성 물씬 나는 공간만 보면 저도 모르게 사진 백만 장 찍고 있더라구요 비슷한듯하지만 미묘하게 다른 그런 거... 글라스하우스 꼭 다녀와 보시길 추천드려요 ♡´･ᴗ･`♡ 글라스하우스(glasshaus) 강원 고성군 토성면 천진리 111 매일 10:00-20:00 휴무는 인스타 참조,2021. 6. 7.
"[강원] (고성군) 서울에서 2시간 반, 차박하기 좋은 동해",관광객이 아직 적었던 6월 말의 고성군 해수욕장 차박으로 갔다 오기 좋아요. 송지호 인근과 가진 해변 추천합니다. #우리나라여행추천 #강원도가볼만한곳 #동해관광지 #동해여행 #주말데이트 #차박여행 #주말여행 #여름에가기좋은곳 #동해해수욕장,2020. 7. 17.
"강원/고성군 펜션- 뷰맛집 오션뷰스파 티박스펜션, 그립다",#추억팔이 #묵은지여행후기 #랜선여행 #강원도고성군펜션 #오션뷰못잃어 올해내내 연말이면 홀가분한 마음으로 마스크 없이 자유로이 여행이 가능할줄 알았는데... 2020 원디키디에는서는 우주개발이 본격적으로 이루어지고 태양계를 벗어난 먼 성계에서는 미지의 행성이 발견되었다는데 현실 찐...,2020. 12. 22.
강원 고성군 / 길에서 만난 설악산 미시령 풍경,해파랑길 46코스와 47코스 걸으면서 바라본 설악산과 산봉우리에 걸쳐진 구름이 그저 신기한 나! 설악산 미시령 권역으로 추정! 묵찌빠의 꿈 꾸는 Marsopla #해파랑길 # 고성군여행 #설악산 #미시령 #걷기순례 #트레킹 #여행트레킹 #Marsopla,2021. 9. 27.
강원 고성군 바다뷰 카페 샌드스케치 데이트 추천,"#강원도#고성#샌드스케치#바다뷰#데이트#데이트카페#여행#h_hd_d 안녕하세요~ 저는 음식과 여행을 좋아하고, 내돈내 산을 즐겨하는 평범한... 소개해드리겠습니다~ 강원도 고성군에 위치하고 있으며, 넓은 통유리와 탁 트인 바다풍경이 잘 어우러진 카페였습니다! 입구에 딱 들어가면 이렇게 널찍한...",2020. 11. 9.
"[강원 고성군 죽왕면] - 오션투유리조트설악비치호텔앤콘도,삼포해수욕장",오션투유리조트 고성군에 위치하며 삼포해수욕장이 가까워 가족여행에 적합한 http://www.ocean2you.co.kr/ 고성군에서 마땅히 머물을 곳이 없어서... 꼭가봐야할곳 #추천리조트 #추천여행지 #여행지 #바닷가추천 #바다추천여행 #강원도여행 #강원도가자 #가보고싶은곳 #강원도리조트 #바베큐가능...,2020. 8. 20.
2020.08.13(목)~08.15(토) 강원 고성군 토성면-설악을 품은 고성의 스위스...,& 가봐야 할 곳이 많은 강원지역이 내가 사는 곳에서는 찾아가는게 쉽지 않다. 가령 보기만 해도 마음이 정화되는 설악을 오르려면 동해선따라... 침실과 거실 욕실 ⬇️⬇️⬇️ 객실 자세한 정보는 아래 링크에서 여행을 좋아하는 우리 가족들은 코꾸녕 바람 쐬러 가면 의례 현지 음식을...,2020. 12. 15.
"""노메드"" 고성/속초 바다앞 휴양지 느낌 카페 [강원 고성군 토성면]",카페 바로 옆에 주차장이 있긴 한데 카페 주차장은 아닌가봐요.) 얼마전에 강원도 여행을 다녀왔어요. 요즘엔 국내여행 다닐 때 관광지보단 예쁜 카페나 맛집 찾아다니는 게 대세인 것 같아요. ㅋㅋㅋ 숙소 근처 카페를 찾다가 바로 앞에 노메드라는 카페가 있더라구요. 벌써부터 합격..! 인도네시아...,2021. 7. 22.
강원 고성군의 해양박물관,"수량 3백톤의 해저터널을 갖추었고 2층은 오션비치,아름다운 동해바다,무척추동물관과 입체영상관 등으로 꾸며져 있다. 특히 2층 입체영상관에서는 ""호수가 된 화진포""바다의 하루 신비한 바닷속 여행 등을 상영해 생생한 현장감을 느낄 수 있다. 강원도 고성군 현내면 화진포길 41",2020. 6. 27.
"바다그리기펜션 (강원 고성군, 속초)",이번 속초 여행은 전혀 계획에 없었기 때문에 여행을 가기로 결정된 후 지난번 갔던 스테이비욘드에 먼저 연락을 드렸다. 아숩게도 연말이라 그런지 연박만 가능하다 하셨다. 여행을 가야하나 말아야하나 (새로운 숙박을 찾고 연락하기에도 지쳐있었기에) 고민하던 순간에 바다그리기를 찾았다....,2020. 1. 3.
<강원도 고성> 고성군_고성여행코스추천_2박3일_1일차,"아쉽네요 참고로 르네블루by워커힐호텔에서 숙박하시면서 샌드스케치 들리시는 것도 좋은 방법 중 하나 샌드스케치 / SAND SKETCH 강원 고성군 죽왕면 심층수길 96 1층 매일 09:00 - 20:00 단체석, 주차, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분 Tel: 033-636-0900 #강원도여행 #고성 #강원도...",2021. 6. 11.
소똥령 (강원 고성군),여행이란 이런 것일수도... 모든 것이 계획한데로 이루어지지 않은 것 또한 여행의 묘미 아닐까... 이런 상황이 아니였다면 #소똥령 이란곳을 가 보았을까 싶다... 삶이란 이런 뜻하지 않는 상황에서 새로운 것들을 만나고 헤쳐나가며 쌓아가는 기억들이 아닐까... 잘 계획된데로 살아가는 것도...,2020. 9. 15.
[강원 고성 여행 '송지호해수욕장'/202011 고성 여행 2일차 PART3],"다음 포스팅은 강원도 전체, 아니지. 우리나라에서 가장 유명한 막국수 맛집 방문 포스팅입니다. (다 아실 듯...) 033-680-3356 주소 강원 고성군 죽왕면 영업시간 매일 06:00 - 24:00 7~8월 강원/고성/르베르루by워커힐/여행/가볼만한곳/해변/해수욕장/핫플/바다/죽도/데이트/추천/송지호해변 위치...",2020. 12. 19.
강원 고성 여행 #2 2박3일 언택트 여행 일정표,"코로나로 인해 2박 3일 동안 최대한 다른 사람과의 접촉을 피할 수 있도록 평일을 이용해 언택트(Untact) 여행을 했습니다. 숙소는 언택트 체크인·체크아웃을 할 수 있는 강원 고성군 아야진해변 언덕에 있는 리트리트 숨 아야진(Retreat Soom in Aya)로 정했고, 식사는 대포항에서 대게 등을...",2020. 12. 1.
강원 고성 보랏빛 향기 물씬 하늬라벤더팜/라벤더농장,"1인 6,000원이라는 입장료가 있지만 속초, 고성 방면으로의 여행을 염두에 두고 있다면 찾아볼 만합니다. 그림 위주로 남겨봅니다. 강원 고성 하늬라벤더팜(라벤더마을) 강원 고성군 간성읍 꽃대마을길 175(어천리 786-5) 전화 033-681-0005 영업 시간 6월 09:00-19:00/7.8월 10:00-18:00/9.10월 10:00-17:00 매주...",2021. 7. 1.
[강원 고성군] 백도 삼교리 동치미 막국수,강원도로 가는 가족여행 2일차(=집으로 돌아가는 날)에 아침 겸 점심으로 간 곳이다. 이름부터 고수의 느낌... 가정집과 함께 있는 식당이다. 평화로운 식당 분위기. 헐 이거 먹어보고 싶다. 영업시간은 오전 11시~오후 6시까지 화요일 휴무라고 합니다. 텔레비전에도 방영된 그 식당! 예에 우리는 좀...,2020. 6. 25.
강원 고성 맛집 리스트 5곳,"가족들과 모처럼 여행 와서 저녁에 맛있게 먹었던 강원 고성 맛집에서의 식사는 만족 그 자체였습니다. 2. 커피고 강원도 고성군 토성면 토성로 84 0507-1372-2242 10:00~19:30 봉포 해수욕장서 고기를 먹고 찾았던 카페로 바다를 바라보며 커피를 마셨던 전망 좋은 곳입니다. 분위기도 좋았고, 무엇보다...",2021. 9. 17.
강원 고성군 펜션 완벽한 오션뷰 스파펜션 티박스펜션,"고성여행 아주 성공했어 ! 침대 속에서 일출을 보니, 밖에서 차가운 바람 맞으며 본 일출과는 다른 느낌이더라구요 ㅎㅎ (침대속이 더좋앙) 요렇게 장점 가득한 고성군 펜션 티박스펜션 안갈 이유가 없지용~? 고성 온다면 다음에도 무조건 여기올래요! 조용하고, 힐링하기 좋았던 강원도 고성군...",2020. 11. 19.
