header,contents,date
강원 동해시 바닷가 책방마을 로컬스테이 체험 후기!,"강원 동해시 동호동에 위치한 쇠퇴해가는 마을을 공동체 복원과 활성화를 위한 '도시재생 뉴딜사업'을 진행! 1. 주거복지 실현 2. 생활문화공동체... 곳으로의 여행 간 느낌도 들었지만 온전하게 여기에 묵는, 거주하는 느낌을 더 받았다. 공간 자체의 분위기가 안락해 거실 창을 열고 나가면 잔디...",2021. 7. 26.
"[강원 동해시] 가볼만한 곳, 맛집, 번개여행",강원도 #동해 여행의 기록을 정리해 본다. 서울에서 오후 2시가 넘어서 출발해서 도착한 시간이 저녁이다. 저녁에 회를 먹을 생각이었기에 회를 못 먹는 우리집 1호를 위해 동해 지역 맛집을 검색해 미리 치킨 강정을 찾았다. 1일차 일정 : 가마솥옛강정 - 숙소 (코스모스 호텔) -응칠 정주행 동해시에...,2021. 6. 29.
동해시 강원막걸리학교에서 만난 술항아리,재탄생하여 강원막걸리학교라는 이름으로 다시 전통주가 빚어지는 곳의 지킴이같은 역할로 우뚝 서 있다. #강원도 #동해시 #삼화동 #강원막걸리학교 #구삼화양조장 #구북평양조장 #항아리 #우리술빚기 #동해전통주연구소 #동해막걸리학교 #동해시여행 #동해이야기 #강원도여행 #강원도가볼만한곳,2021. 9. 25.
[강원/동해] 동해시 여행지 추천 필수 코스 가볼 만한 곳 : 천곡 황금박쥐동굴,[강원/동해] 동해시 여행 필수 코스 가볼 만한 곳 : 천곡 황금박쥐동굴 가는길에 .. 어?? 학교얖 아파트 단지 옆에 이런 동굴이 -_- 라는 생각이 들더라구요. 그만큼 접근성이 좋아요. 입장료는 나름 합리적인 가격이었어요. 주차비는 현금으로 별도로 받더라구요. 카드만 가지고다니는 사람도 많은데...,2021. 8. 10.
강원 동해시 추암해변 : 촛대바위 출렁다리 고양이 오리 볼거리가 많은 곳,"강원 동해시 일출맛집 오션뷰 ✨ 추암해변 ✨ 01 동해 추암 촛대바위 동해 추암 촛대바위 : 일출명소 새해가 되면 일출을 보러 강원도에 많이... 스트레스 받을 때, 혼자 여행오기에도 좋은 동해시 추암해변 #혼자여행하기 #혼여행추천 걸어서 삼척 쏠비치 가는 것도 가능하다. !! 추암이 딱 동해와...",2021. 7. 28.
"[강원 동해시] 묵호등대, 등대오름길, 논골담길, 바람의 언덕, 묵호등대해양문화공간","강원 동해시 등대오름길 등대오름길 입구다. 강원 동해시 등대오름길 그림에 나온 것 같이, 올라가는 길에 있는 집들은 주민들이 살고 있는 집이기... 경사가 가파른 편이어서 옷이나 신발이 불편하다면 쉽게 도전하기는 어려울 것 같다. 그래도 동해시로 여행을 온다면 들러볼 만한 곳이라고 생각한다.",2020. 9. 26.
동해 가볼만한곳 8 : 강릉 동해시 겨울바다여행,"벽화마을 모습, 바람개비 언덕, 등대 등 인스타에 나오는 인생사진 맛집들 천국이에요~ 논골담길 안 오면 동해시 여행했다고 할 수 없죠ㅋ 4. 논골담길 등대카페 강원 동해시 등대오름길 34-3 033-531-6777 묵호등대 바로 아래쪽에 위치한 묵호등대펜션에 위치한 카페이고 피자, 베이커리류 등 음식을...",2021. 1. 12.
강원동해시 맛집추천.초계국수맛집(장가네닭곰탕).호떡맛집(옥이네분식),안녕하세요 시루입니다 오늘은 저의 고향 강원도 동해시 맛집 두곳을 들고 왔어요~~~^^ 보기만해도 시원해 보이시죠ㅎ 이번 여름... 가격도 참 착하죠 서울에서 먹는것 보다 크기는 좀 작은데 맛나게 잘 먹었어요ㅎㅎ 동해시에 여행오심 꼭 둘러봐도 좋을듯합니다~~^^ https://m.blog....,2021. 10. 6.
이철규 자유한국당 국회의원 | 강원 동해시·삼척시 - “시민이 주신 힘! 오직 동해·삼척...,이철규 자유한국당 국회의원 | 강원 동해시·삼척시 Ⓒ박소연 기자 지난해 12월 자유한국당 이철규 의원(동해시·삼척시)은 법률소비자연맹... ‘18년 선정된 삼척시 정라·성내 도시재생사업은 ‘천년 SAM(Sea Art Museum)척 아트피아’와 ‘관동제1루 읍성도시로의 시간여행’이라는 주제로 진행되고...,2020. 1. 20.
강원동해 동해시맛집 피자맛집 농부네화덕피자 패밀리레스토랑,새우가알차게 들어가 있답니다 맛도 두말 할 필요없이 최고 동해시로 여행가시면 꼭 방문해보세요 강추강추 드려요~^^ 맛 깡패 동해시 평릉동 농부네화덕피자!!! #강원동해 #동해시#동해시여행 #동해시맛집 #동해시맛집추천 #동해시평릉동 #동해시농부네화덕피자# #평릉동농부네피자 #농부네화덕피자,2020. 8. 8.
