header,contents,date
[지역N문화 테마여행] 강원 속초시 여행코스 :: 실향민의 애환 : 속초의 어제와 오늘,강원 속초시 여행코스 실향민의 애환 : 속초의 어제와 오늘 실향민의 애환 : 속초의 어제와 오늘 강원 속초시 * 출처 : 속초 아바이마을 홈페이지 속초 아바이마을은 1950년 한국전쟁 이후 실향민의 정착촌으로 자리잡은 곳이에요. 이제는 문화공간으로 변신하고 있는 속초에서 어제와 오늘의...,2020. 10. 26.
푸짐했던 강원 속초시 맛집 소개드려요!,참기름까지 들어있으니 담백하고 깔끔하니.. 맛이 너무 좋아 강원 속초시 맛집에서 마무리 제대로 했네요. 강원도로 여행 준비 중이신 분들은 오늘 소개드린 곳 한 번 참고해보시길 바래요. 사진으로도 군침 도는데 실제로 먹으면.. 정말 고소하고 훌륭하답니다 *.*,2021. 2. 3.
[여행] [강원 속초시·고성군] 외옹치항·영랑호 드보니아·하늬라벤다팜…,[여행] [강원 속초시·고성군] 외옹치항·영랑호 드보니아·하늬라벤다팜… 오늘은 나의 생일이자 결혼기념일이기도 하다. 아내와 같이 동해안이나 휘 돌아와야겠다. 아침은 휴게소에서 먹기로 하고 속초를 향하여 아침 6시에 집에서 출발하여 화도 IC에서 서울~양양고속도로를 올라탄다....,2021. 7. 2.
<소소일상 / 강원 속초시 설악동 야영장>,"집 나가면 개고생이라는 말이 있듯이, 집을 떠나 여행을 떠났으면 고생 또한 뒷 따르는 법이라고 생각 합니다 :) ☆ 사람이 늘 편안하고, 평온 할... 033-801-0903>> <<장소위치: 강원 속초시 청봉로 25(설악동 375-2 설악산야영장)>> copyright ⓒ 2021, [베블베베] 행복나눔이야기♥naver blog ID : orzl6 ◆ kakao talk ID...",2021. 9. 14.
[강원 속초시 조양동] 속초 가볼 만한 곳 엑스포타워,#속초가볼만한곳 엑스포타워 주소 : 강원 속초시 조양동 (더 이상의 주소는 없네요. 근처 가면 아! 저기구나 하고 딱 보여요~) 전화번호 : 033-637... 이상 #강원도속초 #강원도여행 #속초여행 #속초엑스포타워 #엑스포타워 에서 홍보홍보였습니다. 다음 포스팅에 이어집니다.,2020. 5. 22.
"[강원/속초시] 속초관광수산시장(속초중앙시장), 최대섭김밥, 현대아바이순대, 갑질어묵...",속초관광수산시장(속초중앙시장) 강원 속초시 중앙로 147번길 12 금요일 휴가를 내고 속초를 갔다.. 청초수물회에서 해전 물회를 먹고... 여행을 갈 때면 휴게소에 들려 핫바를 꼭 먹는데 이번 여행에서는 휴게소에 들려 핫바를 따로 먹지 않았다.. 속초관광수산시장에서 먹으려고.. 갑질어묵의 어묵...,2021. 8. 31.
나한테 딱~! 강원 속초시 게장비빔밥 트렌디한 맛집,자기 여행 다녀온 후기 들려주겠다고 흥분 한 애랑 뭘 하는 게 좋을까 고민하다 SNS에서 발견한 음식점을 가기로 결정했다. 원래 들러보고 싶었는데 기회가 안생겨 어떻게 해야할지 망설이고 있었는데 이번에 방문하게 되어 정보를 공유 해보려 한다. 강원 속초시 게장비빔밥 트렌디한 맛집...,2021. 7. 10.
〔강원 속초시〕 '김영애 할머니순두부' 고소하기 그지없다,이번 강원여행에서 '영광정 메밀국수'와 더불어 가장 맛으로 만족한 집이었사옵니다. 고소하고 따듯한 순두부는 속을 풀어주고 맛있는 반찬과... 강원 속초시에서 '망고 플레이트 맛집' 스티커를 보니 참으로 반갑더이다. 아침으로 든든하고 속을 풀어주는 순두부가 아침으로 참으로 좋았사옵니다....,2020. 3. 21.
강원 속초시 / 동해안 걷기 ... 해파랑길 45코스 /설악해맞이공원에서 장사항까지,"Haeparang-gil Trail Sokcho Section Course No.45, EAST SEA Of KOREA 강원도 속초시 대포동 설악해맞이공원에서 출발하여 장사동 장사항에... 20.21km 걷기. 묵찌빠의 꿈꾸는 Marsopla #해파랑길 #해파랑길45코스 #속초시여행 #걷기순례 #혼자걷기 #트레킹 #Traveller #Walking #Marsopla",2021. 10. 8.
강원 속초시_가볼만한곳 바다향기를 품은 무인편의점,그런데 속초시의 수련원안에도 무인편의점이 신설되어진다는 것도 아시나요? 생활 곳곳에 침투하는 무인 편의시설과 무인 아이머신~~ 설치기사님이 임무를 완수하시고 돌아오셔선 맑은공기와 바람을 맞으니 감성여행을 다녀 온 것 같다는 이야기를 맛깔스럽게 해주셔서 저는 동해바다 내음을...,2021. 5. 23.
[강원 속초시 설악동 여행/호텔] 켄싱턴호텔 설악 / 영국 냄새가 솔솔 풍기는 설악산...,"바로 속초 시내로 갈 수도 있다 호텔에서 설악산케이블카 승차장까지 걸어가는 길. 15분이면 충분하다 케이블카 타고 올라가는 중 봉화대에서 바라본 설악산 풍경 (1) 봉화대에서 바라본 설악산 풍경 (2) 봉화대에서 바라본 설악산 풍경 (3) 7번, 7-1번의 종점인 설악산소공원 정류장. 바로 이전...",2021. 3. 15.
주소 강원 속초시 장사항해안길 5번호 0336353537,주소 강원 속초시 장사항해안길 5번호 0336353537 그냥 먹다가 같이 먹으면 잘 어울릴 거 같아 김치도 곁들여서 먹어봤어요.제 예상과 잘... 갑오징어 맛이 진짜 일품입니다가신다면 꼭 드셔보세요 )이상으로 롯데리조트속초 이야기를 마칠게욤가족과의 여행은 언제나 즐겁습니다이웃님들도 그...,2020. 2. 7.
"속초시, 관광객 모셔오면 현금 준다…수학여행·단체관광","속초시, 관광객 모셔오면 현금 준다…수학여행·단체관광 강원 속초 해파랑길 45코스 '영금정' ⓒ한국관광공사 [속초=뉴시스]장경일 기자 = 강원 속초시는 지역 관광산업 활성화를 위해 단체관광객 유치 보상제를 운영한다. 대상은 수학여행을 목적으로 속초 소재 숙박업체에 1박 이상...",2021. 5. 26.
[新국토기행] <40> 강원 속초시 - 서울신문,"[新국토기행] <40> 강원 속초시 입력 : 2015-08-19(수) 18:16 구름인듯 바람인듯 그림인듯 설악산과 동해를 끼고 자리잡은 강원 속초시는 국내 최고의 관광·휴양도시다. 아름다운 산과 바다, 호수, 온천, 해변 등 청정 자연을 찾아 즐기려는 관광객이 해마다 1300만명에 이른다. 자연자원에 스토리텔링을...",2020. 5. 18.
강원 속초시 조양동 속초항아리물회,오늘은 속초 여행 중 점심으로 무엇을 먹을까 고민하다가 물회로 결정!! 또 물회를 어디서 먹지? 하다가 평이 좋은 속초 항아리 물회에... 너무 배불러서 소면 하나는 남겼습니다!!!! 주소 : 강원도 속초시 해오름로 137 영업시간 : 평일 : 09:30 ~ 21:00 주말 : 09:30 ~ 21:30 예약 및 전화번호 : 033-635-4488,2020. 7. 10.
주소 강원 속초시 장사항해안길 5번호 0336353537,주소 강원 속초시 장사항해안길 5번호 0336353537 시원 상큼한 영금정대게나라 물회는 겨울에 먹어도 진리였어요.오히려 해물이 더 신선한 계절이기... 최근에 다녀온 롯데리조트속초에 대해 얘기드릴려고 해요올해는 평소와 다르게 시작을 하고 싶었는데요그래서 가족여행 한번 다녀왔습니다....,2020. 2. 2.
"[강원/속초시] 봉브레드, 추천, 마늘바게트가 유명한 속초 빵집",봉브레드 033-633-4826 강원 속초시 동해대로 4344-1 주차시설 최대 5대 속초 여행을 갔는데 서울로 오기 전 마늘바게트가 유명하다는 빵집에 가보기로 했다.. 주차 자리가 없으면 어쩌나 했는데 다행히 있어서 주차를 하고 빵집으로 들어갔다.. 마늘바게트를 사러 갔는데 다른 빵들도 먹음직스러웠다.....,2021. 8. 31.
강원 속초시(설악산),2020.5.28~5.30. 강원 속초시(설악산)가족여행 춘천 춘천고깃집-김가네빵집 속초 라마다속초호텔-속초해수욕장-설악산(신흥사)-강릉 테라로사 커피공장,2020. 6. 1.
[강원/속초시 중앙부두길] 88생선구이,"여행 셋째 날, 점심 메뉴는 바로 '생선요리' 속초에 위치한 '88생선구이' 88생선구이 근처에 있는 유료주차장인 조광 유료 주차장에 주차를 하고, 참고로, 위 상호에는 주차권을 발급해 줍니다 이번에도 점심시간대를 비껴가기 ㅋㅋ 한산하니 좋구나^^ 푸른 하늘에 구름 그리고 금강대교 저 멀리...",2021. 5. 12.
〔강원 속초시〕 '속초문어국밥' 여행의 피로를 풀어주는 국밥,★★ '속초문어국밥' 여행의 피로를 풀어주는 국밥 기미상궁이라 하옵니다. 둘째 날 아침은 전날의 숙취를 시원한 국물로 풀기 위해 들른 '속초문어국밥'이옵니다. 사실은 '속초 생대구'집에서 시원한 대구탕을 먹으려 했사온데.. 문이 잠겨있더이다..'화요일은 휴무~' 또 3월에는 금어기라 냉동이라...,2020. 3. 18.
강원 속초시 / 대포항소라엄마튀김순대,많이 찾으니! 소라엄마집 왕새우튀김과 오징어튀김 ... 작은 게튀김은 서비스 왕새우튀김 오징어튀김 서비스로 넣은지 몰랐던 - 작은 게 튀김 묵찌빠의 꿈꾸는 Marsopla #강원도여행 #속초시여행 #대포항소라엄마튀김순대 #대포항 #해파랑길45코스 #혼자걷기 #트레킹 #Traveller #Walking #Marsopla,2021. 10. 6.
