header,contents,date
강원 양구군 주요 관광지 Smart VR 랜선여행 go,강원 양구군에서 주요 관광지를 온라인에서도 여행할 수 있는 'Smart VR 랜선여행 go' 시스템을 구축했다네요. VR 가상현실이나 영상으로 만나볼 수 있는 스마트 여행가이드 시스템인 'Smart VR 랜선여행 go' 검색창에 '양구문화관광' 검색하면 www.ygtour.kr 주소로 접속합니다. 그럼 양구문화관광...,2021. 8. 31.
화가 박수근과 강원 양구군의 문화예술 마케팅,"강원도 홍천과 양구로 2박3일 나들이 나섭니다. 5월 여행은 참 미묘합니다. 어버이날과 어린이날 기념 여행 성격이 짙습니다. 아직 손주가 없기에... 그의 문화예술적 자원을 지역 마케팅에 활용한 양구군의 혜안이 돋보입니다. 마침 '한가한 봄날, 고향으로 돌아온 아기업은 소녀' 특별전이 열리고...",2021. 5. 9.
강원 양구군 휴양림 리뷰 ① - 광치자연휴양림,자연의 풍경을 한껏 느낄 수 있도록 주말에 광치자연휴양림으로 놀러오세요! 휴양림 리뷰를 보고 여행을 떠나고 싶으신가요? 전국 휴양림 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/asokata/221790242827 강원 양구군 휴양림 리뷰 ① - 광치자연휴양림,2020. 2. 5.
시외버스타구 강원도 양구군 여행 가보야겠네 터미널가니 갈때가 많네,이제 #강원도 #양구군 가는데도 #우등버스 타고 가게 되었습니다. 이전에는 직행좌석버스가 아닌 우등형버스 타고 양구 여행을 가세보세요. 강원도에 기차을 타고 버스을타고 여행을 ~~` 장거리 여행 이젠 불편하게 하지 마시고 우등버스타고 편안하게 하세요. 동서울터미널에서 양구 갈때....,2021. 9. 24.
[양구 가볼만한곳] 주말엔 서춘고 타고~ 양구 여행 1탄,주소 : 강원 양구군 양구읍 한반도섬길 76 4. 등운사 네 번째로 소개해드릴 곳은 등운사입니다. 여행 코스에 갑자기 사찰이라는 생각이 드실 수 있지만 등운사에는 등운사에서만 볼 수있는 거대한 7층목탑이 있습니다. 아무대서나 볼 수 없는 목탑인데 한번쯤 눈에 새겨보러 가는 것이 좋겠죠?...,2021. 9. 23.
강원도 민박 예약앱 일단떠나로 다녀온 강원 양구 펜션 여행,두번째 간 곳은 양구 그라시아 펜션 그라시아펜션 강원 양구군 양구읍 박수근로365번길 20-20 http://naver.me/5jdTHeTn 검색해보니 후기 평이 좋더라구요. 복층으로 되어 있는데 아이들이 좋아했어요. 아이들과 복층이라 계속 신경이 쓰이긴 했는데 아이들은 좋아하더라구요. 시내와 가까우니 접근성...,2021. 9. 17.
첫 강원도 여행 양구 박수근미술관 등 외 5곳,평소에 잘 알던 화가는 아니지만 발자취를 따라가며 이해를 해보니 좋은분이셨다는 건 바로 알 수 있겠더라구요.그 동안 봐오던 그림과는 또 다른 기법인 듯 특이해서 강원도 여행 마주한걸 기억에 오래 남을 거 같아요. 4. 양구명품관 주소 : 강원 양구군 양구읍 관공서로 10 양구명품관 전화번호...,2021. 4. 21.
<19> 할아버지 수소차로 가보는 신박나는 한국 섬 여행,"■ 강원 고성군 거진읍 화포리 북방식 고인돌 그런데 위의 지도에서 보듯이 지도에 북방식고인돌이 나오지 않는다, 마침 부지런한 상점주인이... 백암도(거진항) 강원도 고성군 거진읍 거진리 산 105. 거진해맞이산림욕장 건너편에 있는 바위섬을 관광객들이 걸어갈 수 있도록 다리를 만들어...",2021. 10. 9.
"강원도 여행코스~ 관광도로투어 1번코스 (양구인문학마을캠핑장, 육림랜드, 카페 정원)",양구 인문학 마을 캠핑장 강원도 양구군 양구읍 파로호로 869번 길 101 육림랜드에서 재미있게 놀고 1시간 정도 걸려서 도착한 캠핑장입니다. 이번 강원도 여행코스에서 캠핑장을 선택한 건 굿 초이스였어요. 시설도 깔끔하고 사이트 간격도 넓어서 잘 쉬다 왔네요. 양구에 있는 인문학 박물관 바로...,2021. 7. 22.
Kenny's 강원지역 원점회귀 순환형 둘레길 리스트 202106 ...,2Km 40분 쉬움 영금정-속초등대전망대-영금정쉼터-등대해수욕장-장사항(순환코스) 강원 양구군 해안면 후리 622 DMZ펀치볼둘레길2코스오유밭길 21.12Km 5시간 보통 안내센터-동막동-오유저수지-야생화공원-소나무쉼터-DMZ자생식물원-선사유적지 강원 양구군 해안면 후리 622...,2021. 6. 2.
