header,contents,date
강원 양양군 / 낙산사,의상대와 의상대에서 바라 본 풍경 바닷가의 홍련암 영산전 가는 길 그리고 영산전에서 바라본 풍경 영산전에서 해수관음상 해수관음상 영산전 꽃에서 꽃을 묻다 대로변의 낙산사 입구 - 여기가 정문 묵찌빠의 꿈꾸는 Marsopla #강원도여행 #양양군여행 #낙산사 #추억의관광지 #해파랑길44코스...,2021. 10. 4.
강원 양양군/낙산사 맛집<정인회식당>낙산해수욕장 시원하고 푸짐한 물회 맛집!,"위치: 강원 양양군 강현면 낙산사로 32 / 전진리 10-8 영업시간: 매일 07:00 - 21:00 낙산사, 낙산해수욕장 근처이니 여행 가시면 들러보세요! 오늘의 추천 메뉴도 있고 다양한 해물 요리가 가득합니다~ 곰치탕, 우럭탕, 각종 물회와 회덮밥 단체로 오신분들은 모듬회를 많이 드시더라구요! 해물탕도...",2020. 8. 21.
강원 양양군 휴양림 리뷰 ① - 송이밸리자연휴양림,"볼거리, 놀거리, 즐길거리가 한가득인 송이밸리자연휴양림으로 놀러오세요! 휴양림 리뷰를 보고 여행을 떠나고 싶으신가요? 전국 휴양림 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/asokata/221790242827 강원 양양군 휴양림 리뷰 ① - 송이밸리자연휴양림",2020. 2. 6.
[강원] 양양군 숙소 : 남애 민박(feat. 남애항 스카이워크 & 남애 2리 어촌계 6호...,기분이 좋고 나쁘고의 의미가 아니라 나 역시 ‘사진작가’나 하면서 여행 다니고 사진이나 찍으며 놀고먹고 싶은데 현실은 그렇지 못하기... 주소 : 강원도 양양군 현남면 안남애길 39-1 전화번호 : 033-671-7441/ ***-****-**** 나중에 주인장께서 말씀하셔서 알게 된 사실인데 강호동도 왔다 갔고 요즘...,2021. 8. 4.
상호명 낙산항팔도횟집주소 강원 양양군 강현,#강원도여행 #속초맛집 #양양맛집 #양양솔비치맛집 #양양횟집 #낙산맛집 #속초대게 #양양대게#낙산사맛집 #낙산해수욕장맛집 #낙산해수욕장맛집낙산항팔도횟집강원도 양양군 강현면 해맞이길 14 스타비치모텔#강원도여행#속초맛집#양양맛집#양양솔비치맛집#양양횟집#낙산맛집#속초대게#양양대게...,2020. 6. 10.
해안종주 도보여행 9일차 강원 양양군 인구해수욕장에서 광진해변까지,https://youtu.be/CxP6iyF-sLQ 강원 양양군 현남면 인구중앙길 강원 양양군 현남면 죽도산 산책로 강원 양양군 인구항 강원 양양군 현남면 해송교 아래 강원 양양군 현남면 해송교 아래 강원 양양군 현남면 광진리 강원 양양군 휴휴암 강원 양양군 휴휴암 강원 양양군 현남면 광진리...,2020. 11. 8.
[강원 양양군] 휴휴암_바닷가에서 가장 가까운 암자,#휴휴암 #지혜관음보살상 #휴휴암마늘빵 2019년 11월 9일 ~ 11월 10일 가족여행이다 이번에는 부모님과 함께 한다 양평 고바우 설렁탕에서 설렁탕 한 그릇 먹고 너무나도 잘 알려진 남이섬부터 시작하여 백담사 근처 민박집에서 하루 쉬고 다음날 아침 백담황태구이에서 황태국을 먹고 백담사로 향한다...,2021. 7. 27.
"강원도 애견동반여행 제1탄... 따로 없는 곳! 편백나무찜도 함께 먹을수 있어요~""(양양군)","저희집에서 가장 가까운 동해바다는 속초인데, 강원도 애견동반여행으로 3년전 양양에 콩떡이랑 놀러왔을때 양양이 다른 동해안 바다중에서도 조금 더 편안하길래 이번 강아지와 함께 떠나는 여행으로 강원도 양양군 으로 정했습니다! 오늘 강원도 애견동반여행 1탄을 시작합니다! 1탄에서...",2021. 8. 27.
[강원 양양군] 4️⃣ 21.08.18~23 혼자 떠난 여행,맥주 남은거랑 배불리 먹고 일찍 잤다. 19년 12월 이후 속초 나들이 성공 >< 빠-떠! #여름휴가 #양양여행 #양양가볼만한곳 #양양5박6일 #강원도양양 #강원도여행 #소레스트콤피호텔양양 #양양혼자여행 #양양가성비호텔 #여자혼자여행 #국내여자혼자여행 #국내여행 #양양여행코스 #태그귀찮아,2021. 9. 27.
[강원 양양군 강현면] -관세음보살이 머무른다는 낙산사,힐링했어요 #낙산사 #관음성지 #국내3대관음성지 #양양낙산사 #양양가볼만한곳 #여행지추천 #국내여행지추천 #가족여행추천 #관세음보살 #여행가볼만한곳 #여행추천 #꼭가봐야할곳 #전국여행 #사찰추천 #사찰여행지 #외국인추천여행지 #데이트코스 #부모님이랑같이여행 #강원도가볼만한곳...,2020. 8. 21.
〔강원 양양군〕 '영광정 메밀국수' 이 집은 선택이 아닌 필수다.,이번 강원도 여행에서의 첫 끼였사옵니다. 맛집을 가장 우선순위로 두는 소인에게 이번 여행에서 꼭 들러야 하는 식당으로 이 집의 메밀국수가 리스트의 가장 상단에 올려놨던 '영광정 메밀국수'이옵니다. 기나긴 양양 고속도로를 뚫고 속초로 올라가는 좁은 국도 길목에 위치한 '영광정...,2020. 3. 14.
강원 양양군 / 동해안 걷기 ... 해파랑길 44코스 / 수산항에서 설악해맞이공원까지,"Haeparang-gil Trail Yangyang Section Course No.44, EAST SEA Of KOREA 강원도 양양군 손양면 수산항에서 출발하여 속초시 대포동 설악해맞이공원에... 15.45km 걷기. 묵찌빠의 꿈꾸는 Marsopla #해파랑길 #해파랑길44코스 #양양군여행 #걷기순례 #혼자걷기 #트레킹 #Traveller #Walking #Marsopla",2021. 10. 5.
[여행] 양양군 하조대,양양군 하조대 고려말 문신이자 조선의 개국공신인 하륜과 조준이 함께 말년을 보낸 곳이라고 하여 '하조대'라고 불리우기도 하기도 합니다.... 참고 링크 및 정보원 강원관광 '하조대' : https://www.gangwon.to/gwtour/gangwondo_trip/tourist_spot?control=AM0058_T&tourCode=TOSIGK00,2020. 4. 25.
#내돈내산 강원 양양군 대게 맛집 !!!,마스크 끼고 오랜만에 떠난 강원 여행에서 대게 맛집을 찾아버렸네요 !! 바다 하면 대게죠 ㅎㅎ 저희는 정석으로 패밀리 세트에 소주 먹었습니다 ㅎㅎ +그런데 서비스로 동해산 통문어? 피문어? 숙회도 주시는데 완전 만족!!^^ 보기만 해도 군침이 흐르지 않나요? ㅎㅎ 저희는 배고파서 급하게 식당...,2020. 10. 15.
핫한 #양양 여행지 추천! @@우리 나중에 이대로 다녀올까? 두둥실 강원 양양군...,양양군 현남면 광진2길 3-16 ⠀ 파머스키친 강원 양양군 현남면 동산큰길 44-39 ⠀ 하조대전망대 강원 양양군 현북면 하륜길 56 ⠀ 낙산비치호텔 강원 양양군 강현면 낙산사로 73 ⠀ 서피비치 강원 양양군 현북면 하조대해안길 119 동호해변 강원 양양군 손양면 출처 : 여행 여기서행복할것,2021. 2. 24.
[강원 양양군] 5️⃣ 21.08.18~23 혼자 떠난 여행,양양여행 궁금한 점 있으면 망설이지 말고 댓글 남겨주세욤!! 덤으로 공감도 ღ ღ 빠-떠!… #여름휴가 #양양여행 #양양가볼만한곳 #양양5박6일 #강원도양양 #강원도여행 #소레스트콤피호텔양양 #양양혼자여행 #양양가성비호텔 #여자혼자여행 #국내여자혼자여행 #국내여행 #양양여행코스 #태그귀찮아,2021. 9. 27.
강원 양양군 / 솜다리수제버거,"갓 튀겨낸 감자도 ... 메롱 거리는 모습의 베이컨과 패티, 치즈가 들어간 솜다리버거 ... 생각보다 괜찮은! 묵찌빠의 꿈꾸는 Marsopla #강원도여행 #양양군여행 #솜다리수제버거 #솜다리버거 #해파랑길44코스 #혼자걷기 #트레킹 #Traveller #Walking #Marsopla",2021. 10. 5.
숙소 리뷰: 〔강원 양양군〕 '어느멋진날 펜션',기미상궁이라 하옵니다. '더 프리즘 펜션'에 이어 이튿날 숙소인 '어느 멋진 날 펜션'이옵니다. 소인이 친구들과 찾은 숙소 중에 가장 가격 대비 훌륭한 두 숙소였사옵니다. 아침에 눈을 뜨면 뻥 뚫린 동해바다에 그저 힐링 그 자체인 뷰를 가진 곳이옵니다. 펜션 1층에 편의점도 있어 없는 거 빼고 다...,2020. 3. 18.
[여행] 양양군 하조대등대,"양양군 하조대등대 하조대전망대에서 얼마 안 떨어져 있다고 해서 걸어왔는데, 종종걸음으로 20분이나 걸린 곳에 있는 하조대 등대... 참고 링크 및 정보원 강원관광 '하조대무인등대' : https://www.gangwon.to/gwtour/gangwondo_trip/tourist_spot?control=AAH10002_T&tourCode=TOSIGK00",2020. 4. 25.
강원 양양군 / 동해안 걷기 ... 해파랑길 43코스 / 하조대해변에서 수산항까지,"Haeparang-gil Trail Yangyang Section Course No.43, EAST SEA Of KOREA 강원도 양양군 현북면 하조대해수욕장에서 출발하여 손양면 수산항에... 10.36km 걷기. 묵찌빠의 꿈꾸는 Marsopla #해파랑길 #해파랑길43코스 #양양군여행 #걷기순례 #혼자걷기 #트레킹 #Traveller #Walking #Marsopla",2021. 10. 4.
강원 양양군 / 관음증 환자와 구경꾼의 차이,의도적으로 보고 싶어서 보았던 것도 아니고 목적지로 향해 가고 있는 길목에 이러고 계시면 ... 여 ... 여기서 이러시면 안 됩니다 묵찌빠의 꿈꾸는 Marsopla #강원도여행 #양양군여행 #낙산해수욕장 #낙산해맞이길공연거리 #걷기여행 #혼자걷기 #트레킹 #Traveller #Walking #Marsopla,2021. 10. 3.
[강원 양양군] 2️⃣ 21.08.18~23 혼자 떠난 여행,동안 싱글침대에서 잠을 잤다.. 빠-떠! #여름휴가 #양양여행 #양양가볼만한곳 #양양5박6일 #강원도양양 #강원도여행 #소레스트콤피호텔양양 #양양혼자여행 #양양가성비호텔 #여자혼자여행 #국내여행 #양양여행코스 #태그귀찮아,2021. 9. 26.
강원 양양군 / 도로변에서 만난 설악산,"그저 설악산이라는 단어 하나로 설레는 관광지입니다 설악산의 규모가 어디서부터 어디까지 인지 모르겠지만 대략, 얼추 추정하여 담아보았습니다. 묵찌빠의 꿈꾸는 Marsopla #해파랑길 #양양군여행 #속초시여행 #설악산 #걷기순례 #혼자걷기 #트레킹 #Traveller #Walking #Marsopla",2021. 10. 7.
〔강원 양양군〕 '버거 스테이지' 뷰도 버거 맛에 중요한 포인트,"어느 지역으로 여행을 가면 ""그 지역 음식을 먹어야지"" 하며 외치는 사람들이 있사옵니다. 그게 바로 소인이옵니다. 잠시나마 속세를 등지려 나왔지만 또 막상 속세의 맛이 당기는데 먹어줘야지요.. 야식이 아닌 이상 그 음식이 먹고 싶어지는 순간 고민은 없어야지요.. '속초문어국밥'을 아침으로...",2020. 3. 19.
강원 양양군 / 다시 찾은 하조대와 하조대막국수,하조대와 하조대막국수 마지막 남은 일정이 얼마 되지 않기에 더 늦기 전에 다시 찾은 하조대 점심 걸은 상태이라 그런지 한 가지 메뉴로 배 곪음을 해결할 수 있지만 비빔막국수와 손왕만두 두가지 해치우니 상당히 버겁네요 Not Bad 묵찌빠의 꿈꾸는 Maraopla #강원도여행 #양양군여행...,2021. 10. 1.
