header,contents,date
[국내여행]2021.9.19(일) ~ 20(월) 강원 영월군 예그리나 숲 캠핑장 힐링여행,"추석연휴에 영월군 주천면에 있는 예그리나 숲 캠핑장을 찾아간다. 고향을 가는 귀성객들은 분산이 되서 차는 통행이 잘 되고, 차장 밖으로 보이는 누런 들녘이 풍요로워 보이고 가을 냄새가 물신 풍긴다. 캠핑장에 도착하니 생각보다 많은 젊은 캠핑족이 텐트를 치고 자연을 만끽한다. 우리도 먼저...",2021. 9. 25.
강원 영월군 아파트 영월 코아루 에듀타운 분양정보,높은 강원 영월군 아파트 지역을 눈 여겨볼 만합니다 이 가운데 강원도 영월군 일대에 `영월 별총총마을 주거지 지원 뉴딜사업`이 2022년까지 4년... 유명 여행작가와 콜라보한 에세이 그여름 젋은달은 sns상에서 인기리에 회자되어 여행하고 싶은 도시로서 영월의 브랜드 가치를 높이는데...,2021. 3. 7.
요즘 떠오르는 감성 넘치는 국내여행지 [강원 영월군 이색 체험 숙소] ②,"이어지는 오늘의 추천 여행지 [강원도 영월군] 입니다. 출처: 한국관광공사 비건캠핑 요즘 캠핑, 글램핑, 호캉스 등 숙박 자체가 여행의 목적이 되는 경우가 굉장히 많죠? 여행 트렌드 변화에 발맞춰 바로트립에서도 준비했습니다 바로 이색적인 체험이 가능한 강원도 영월군의 숙소 추천인데요!...",2021. 10. 6.
"영월서부시장의 명물 메밀전병, 배추전까지 꿀맛 [미탄집] @강원 영월군 영월읍",영월은 여행의 목적지로써보다는 경유지로 많이 들른곳입니다. 태백을 갈때에도 강릉을 갈때에도 굳이 영월은 들렀습니다. 그중 가장 이유가... 서부시장 잊지말고 메밀전병 한번 꼭 드셔보세요 미탄집 주소 : 강원 영월군 영월읍 중앙로 30-1 영업시간 : 매일 08:00 - 18:00명절 휴무 전화번호 : 033-374-4090,2020. 2. 5.
강원 영월군 휴양림 리뷰 ① - 망경대산자연휴양림,여러분도 망경대산자연휴양림으로 놀러오세요!! 휴양림 리뷰를 보고 여행을 떠나고 싶으신가요? 전국 휴양림 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/asokata/221790242827 강원 영월군 휴양림 리뷰 ① - 망경대산자연휴양림,2020. 2. 7.
"[전국 5일장 57번째]강원 영월군 주천정기시장, 주천5일장(1,6일장) : 다하누에서...","주변 곳곳에 주차장이 있고 길 옆에 주차할 공간도 많아서 좋긴 하네요 더구나 영월군 주천면의 특산물이라고 하는 콩, 고추, 감자, 도토리묵 등을... 저처럼 여행을 즐기는 사람들에겐 ......... 비의 낭만을 즐기러 떠날 준비가 되셧나요~~~? 꽈배기는 못참지! 저 자리에서 바로 냠냠~ 내 앞에 계신...",2021. 5. 30.
강원 영월군 영월읍 - 카페 느리게,여행에서 카페인 충전은 필수지요 특히나 청령포에서 진이 다 빠져서 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아래 주차장에 주차하고 올라갔어요 야외 공간도 있어요! 입구에요 아기자기하죠 메뉴 확인하세요 2021년 07월 기준입니다 자몽에이드와 느리게 크림 초코 양도 많고 좋았지만 초코는 생각보다 많이...,2021. 10. 11.
201001(목)충북 제천한방엑스포공원/강원 영월군 별마로 천문대 차박,ㅠ 모두들 데이트하러 오세요오 차린이 데이트 일지 끄읏 #일상 #충북 #제천시 #데이트 #심야데이트 #공원 #한방엑스포공원 #포토존성지 #감성사진 #정원 #꽃밭 #강원도 #영월군 #별마로천문대 #야경 #일몰 #일출 #구름많음 #추워요 #차박 #차박성지 #스텔스차박 #클린캠핑 #초보캠퍼 #캠린이 #여행 #캠크닉,2020. 10. 1.
[강원 영월군] 동강아름캠프에서 캠핑,"2021년 두번째 캠핑은 강원도 영월로 선택! 인스타그램 추천으로 캠핑장 바로 앞에 큰 냇가와 몇개 없는 사이트가 맘에들어 예약했다. 네이버... 맛없을리가 없지 이번여행 텐트피칭부터 우당탕탕 엉망진창 캠핑이었지만. . (처음으로 가져간 에어텐트였는데 전동펌프가 잘안되고, 미숙해서...",2021. 8. 17.
<영월 땅>강원도 영월군 주천면 판운리 토지 매매/영월 토지/ 강원도 땅/강원 영월/영월...,~~ 코로나 확진자가 좀 감소하나 싶더니 다시 500명을 웃돌고 있네요 ~~~ 빨리 마스크를 벗고 자유로운 세상을 찾고 싶어요 ~ 해외여행 정말 가고... 오늘 소개할 매물은 강원도 영월에 위치한 매물입니다.(영월 토지/영월 땅 ) ★★★매물내용★★★ ☆ 소재지 : 강원도 영월군 주천면 판운리 ☆ 면적...,2021. 3. 31.
젊은달 와이파크강원 영월군붉은 대나무에서 인생샷 한 컷,문의 및 안내033-372-9411 홈페이지https://ypark.kr/ 주소강원도 영월군 주천면 송학주천로 1467-9 이용시간10:00~18:00(입장시간 17:00까지) 휴일연중무휴... 이며 총 11개의 경관으로 나뉘어진 거대한 미술관이자 대지미술 공간이다. infp상상여행 #가족과함께 #데이트코스 #문화공간 #문화시설 #영월,2021. 10. 5.
꺼먹 돼지 강원도 영월군 주천면 여행 맛집,"유명한 고장이고 강원도 당일치기 여행으로도 많이 가는 곳인 거 같은데 그래서 그런지 너무 맛있었던 기억밖에 없어요 마침 장날이라서 걸어가면서 구경도 했는데 사람은 많지 않았어요,, 영월군 지정 1호점이네요!! ^^ 먼저 된장찌개가 나오고^^ 삼겹살 지글지글..... ♡ 지금 봐도 맛있겠네요...",2021. 5. 21.
35개월 아이랑 캠핑가기(강원 영월군),올 해는 코로나로 인해 아이랑 여행을 많이 못 가서 더 추워지기 전에 꼭 캠핑을 가고 싶었다. 때마침 시동생이 #노스피크퍼시픽오션 을 구매했고 가을캠핑을 떠나게되었다. 샌드색 텐트가 가을이랑 너무 잘 어울렸다. 언제나 내편 호시동생과 러블리 영동서! 이번 캠핑의 호스트이자 모든걸...,2020. 10. 18.
요즘 떠오르는 감성 넘치는 국내여행지 [강원 영월군 데이트&인생샷투어] ①,"오늘의 추천 여행지는 [강원도 영월군] 입니다. 출처: 한국관광공사 익스트림 스포츠부터, 감성 카페, 거기에 야경까지 즐길 거리 정말 많은 강원도 영월! 하나하나 다 예쁜 장소들이기 때문에 인생샷을 건지기 위해 많은 관광객들이 찾고 있다고 합니다. 저희도 뒤처질 수 없죠? 그럼 오늘도...",2021. 10. 5.
영월군 '동강맛집',강원도에 대표적인 음식을 꼽자면 역시 메밀로 만든 막국수나 메밀전병 그리고 널려있는 산채음식이 아닐까? 이 해의 마지막 여행을 영월로 정하고 토요일 부리나케 떠났다. 가는날이 장날이라고 정말 영월군 서부시장이 장날이다. 서부시장내에 있는 메밀전집들이 즐비하다는 정보를 입수한 나는...,2021. 7. 8.
[新국토기행] <85> 별과 강이 노래하는 강원 영월군 - 서울신문,"바람·하늘·강·숲이 좋은 초가을, 아름다운 영월을 찾아 여행을 떠나 보자. 영월 조한종 기자 ******@*****.**.** >>볼거리 ▲ 강원 영월군 평창강이 서강을 만나 합수하는 평창강의 끝부분에 있는 한반도를 닮은 지형. 지역 행정구역 명칭도 한반도면으로 바꿨다. 영월군 제공 ●단종이 머물고 잠든 곳...",2020. 8. 20.
"강원 영월, 단종유배지 청령포 - 영월 가볼만한곳","강원 영월, 단종유배지 청령포 -주소 : 강원 영월군 남면 광천리 산67-1 -전화번호 : 033-372-1240 -운영시간 : 매일 09:00-18:00 (입장마감 17:00) 작년 8월에 영월로 여행을 갔었는데, 당시 뉴스에 나올 정도로 심각한 폭우가 왔었다. 그래서 작년에 청령포랑 고씨동굴 등 영월에서 다양한 곳을 못 보고 돌아가서...",2021. 9. 15.
영월여행코스 장릉 전기카트 한반도습지생태문화관 강원나물밥 와인족욕~,영월 여행코스 장릉 전기카트 한반도습지생활문화관 전기카트 강원나물밥 예밀와인족욕~ 1박2일 강원도 영월여행코스 두번째날입니다.... 조선왕릉 영월 장릉 (유네스코 세계유산) 주소 : 강원 영월군 영월읍 단종로 190 (지번 : 영월읍 영흥리 133-1) 이용시간 : 매일 09시~18시 (입장마감...,2020. 11. 30.
<강원/여행정보/숙소>강원도 셀프클린업소 숙박업소리스트,#강원도여행정보 #방역 #소독잘된호텔 #강원 #춘천 #호텔 #모텔 #숙소 #숙박업소 #강원관광 #원주 #속초 #강릉 #삼척 #홍천 #횡성 #영월 #평창 #양양... 출처 : 강원관광 홈페이지 알프스 대영빌리지 꿈속에그린펜션 영월군 셀프클린 숙박업소 출처 : 강원관광 홈페이지 하늘아래펜션 석항트레인스테이...,2020. 4. 19.
"[영월군관광] <영월 선돌> 소나기재 정상, 유지태,김지수 주연 영화 '가을로' 촬영지",이번 여행에는 취미로 포토그래퍼인 동생들을 대동하고 와서 라베(Life Best) 샷들을 많이 많이 남깁니다. DSLR로 찍힌 이 사진 뽀샤시하게 완전 잘... 지정종목 명승 지정번호 제76호 지정일 2011년 6월 10일 소재지 강원 영월군 영월읍 하송로 64 (하송리) 종류/분류 자연유산 [네이버 지식백과] 영월...,2021. 10. 7.
영월 여행 코스 영월관광택시 타고 가는 청령포 단종유배지,청령포 소나무 군락지 주소 : 강원 영월군 남면 광천리 472 조금만 앞으로 이동하면 영월여행 코스 청령포를 감싸고 자라고 있는 나무숲이 보이는데 여기는 소나무 숲으로 보기만 해도 고목들이 울창하게 자라고 있는 곳이라는 생각이 드네요. 소나무 숲 안으로 들어서면 어제 내린 비 때문인지 이른...,2021. 9. 2.
강원도 당일치기 영월 여행 강원도 탄광문화촌 그땐 이랬지,오늘은 며칠전 당일치기 여행으로 다녀온 영월 강원도탄광촌을 사진과 함께 이야기해보려고 합니다. 그땐 이랬었는데……. 강원도 탄광문화촌 033-372-1520 강원 영월군 북면 밤재로 351 매일 10:00~18:00 강원도 탄광문화촌은 석탄이 검은 황금으로 불리던 1960~70년대 탄광 지역의 삶의 현장을 그대로...,2021. 8. 27.
