header,contents,date
[원주 이야기] 원주시 강원감영에서 만나는 새로운모습,"오늘 처음 만나보네요 이전까진 못뵈던 분이에요 ㅎㅎㅎ 원주출신 여성시인 , 그리고 여행가인 김금원님 김금원님의 여행일기라는 조형물을 새롭게... 않답니다 강원도 원주시에서 우리 역사를 만나볼 수 있음에 감사드려요 #김금원 #강원감영 #관찰사 #강원도 #원주시역사 #원주시조선역사...",2020. 12. 10.
원주 출렁다리&여행코스. 출렁다리만 갈거야? 원주 가볼만한곳 BEST 6강원 원주시...,"원주 출렁다리&여행코스. 출렁다리만 갈거야? 원주 가볼만한곳 BEST 6 강원 원주시수정일 : 2018.12.26 국내에서 가장 긴 산악보도교 ""원주 소금산 출렁다리""에 대한 관심이 높아지고 있습니다. 추운 날씨에도 찾는 방문객이 어마어마하다고 하는데요! 원주는 출렁다리도 좋지만, 출렁다리만 보고...",2020. 11. 25.
21/04/24 [34번째 내일로] 전국 일주 완성 내일로 여행 3일차 강원도 원주시 [뮤지엄산...,ㅎㅎ 구경을 마치고 다시 버스를 타고 이동~~ 그리고 강원감영에 왔어요! 여기는 무료입장! 규모는 작지만 기념 삼아 구경했어요. ㅋㅋ 그리고 시장... 강원감영에서 버스를 타고~~ 원주역으로 이동! 시티투어를 마쳤어요. ㅎㅎ 버스 안에 가이드분께 오크밸리 가격을 여쭤보니 생각보다...,2021. 4. 29.
"[2021 원주시 관광 서포터즈] 강원감영, 조선시대 사적지 체험",너무 갑작스럽게 뭐가 지나가서 많이 놀랐습니다 ㅋㅋㅋㅋㅋ(신기하기도 했고요ㅋㅋ) 후원 권역(지역)의 구석 쪽에는 김금원의 여행일기라는... 소중한 관람이 될 거라고 확신합니다 ㅎㅎ http://naver.me/5vInXiuZ 감사합니다~~ #원주시 #원주 #원주시관광서포터즈 #강원감영 #일산동,2021. 6. 3.
[강원:원주시] 원주레일파크 【ft.레일바이크.풍경열차 .소금산 출렁다리】,당일치기 여행으로 다녀오기 좋은 간현 관광지 #소금산출렁다리 소금산 출렁다리까지는 왕복 1시간이면 충분하지만 오는 길 가는 길 먹거리 집들이 버티고 있으니 식혜도 마시고 군것질거리로 요기하다 보면 2시간 정도 소요 소금산 출렁다리 겨울 풍경 원주시 대표 관광지 중 한 곳인 소금산...,2021. 8. 29.
강원도 원주시 강원감영(원주시 원일로 77),강원도 원주시에 위한 강원감영(江原監營)은 강원도 관찰사가 업무를 보던 장소입니다. 역대 강원도 관찰사를 역임했던 분들을 알아보니 널리... 후원에 들어서면 제일 먼저 만나게 되는 수령 600여 년의 느티나무입니다. 영주관(관풍각) 채약오 봉래각 조오정 작품명 김금원의 여행일기인 동상,2021. 8. 2.
강원 원주시 휴양림 리뷰 ① - 치악산자연휴양림,정기를 마시면서 좋은 공기로 도시에서 찌들었던 삶을 세탁하고 오는 건 어떨까요? 휴양림 리뷰를 보고 여행을 떠나고 싶으신가요? 전국 휴양림 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/asokata/221790242827 강원 원주시 휴양림 리뷰 ① - 치악산자연휴양림,2020. 2. 10.
"원주 가볼 만한 곳 | 원주 인생샷 찍기 | 강원감영, 원주 순환형 시티투어 (원주시...","요 이벤트는 원주를 여행한다면 누구나 한 번쯤은 방문할 관광지 위주로 진행되기 때문에 부담 없이 참여하시기 좋아요! 21년 7월 11일 (일)까지 원주시 관광바우처 5천원권 증정 이벤트가 진행되고 있어요. 원주 순환형 시티투어버스, 강원감영 한복 체험장 이용객들에게 관광바우처 5천원권을...",2021. 6. 29.
"[자전거][국토종주] 2일차, 강원 원주시 ~ 경북 상주시","2일차, 강원 원주시 ~ 경북 상주시 역대급으로 힘든 하루였다. 한강 종주를 끝마치고 이화령 고개를 넘어서 낙동강 상류 초입까지 가는 코스.... 장거리 여행이 처음인 필자로서는 국토종주가 자신이 없었기에 4박 5일로 완주를 하려 하였지만 첫 날, 둘째 날 달려보니, 3박 4일만에 끝낼 수도...",2020. 2. 1.
[원주] 강원 원주시 귀래면 마을이야기 ⑤ 황산마을과 주포리 삼층석탑_한국아카이브신문,"[원주] 강원 원주시 귀래면 마을이야기 ⑤ 황산마을과 주포리 삼층석탑 한국아카이브신문 창간 특집, 마을기록 시리즈첫번째 '천년의 역사'를 간직한 귀래면 마을기록 http://akorea.net/View.aspx?No=1072595 귀래면 주포1리 황산마을 미륵산 황산사터(옛 고자암터)에 있다. 강원도 문화재자료 제22호로...",2020. 9. 6.
