header,contents,date
[정선여행SNS서포터즈] 강원 정선군 화암동굴 탐방기 1탄 :: 역사의 장 / 현장체험장,"강원 정선군 관광지로 유명한 화암동굴 도착! ! 친구가 전에 정선으로 여행 왔을 때, 화암동굴이 가장 인상 깊고 유익하다고 해서 정선에 방문하였을 때 제일 먼저 방문하고 싶었던 곳이에요. 매표소 바로 앞에 장애인 전용 주차구역도 많이 있었으며, 화장실도 널찍해서 이용하시기 편할 거...",2021. 6. 10.
강원고생대 국가지질공원 정선군 6곳 모아보기,화암약수 3. 화암동굴 4. 동강 지역 5. 쥐라기 역암 6. 백복령 카르스트 지대 등의 강원 고생대 국가지질공원 정선군 6개 지역을 모아봤다. 보통의 평범한 여행도 좋겠지만 때론 이런 테마형 여행도 즐거울 수 있음을 고려하면 여행의 기쁨을 더욱 풍성하게 느낄 수 있으리라 생각해 봄... 스프링... 벌써?,2020. 12. 16.
재난기본소득 강원 정선군 전 군민 20만원 지급 시기· 신청방법,이상으로 여행락커 낙지였습니다. 정선군 홈페이지 바로가기 정선군 공식 블로그 바로가기 정선군 공식 페이스북 바로가기 정선여행 블로그 정선여행 인스타그램 정선여행 페이스북 #재난기본소득 #강원도정선군 #정선군20만원지급 #재난기본소득20만원 #정선 #정선군,2020. 4. 18.
강원 정선군 휴양림 리뷰 ① - 동강전망자연휴양림,"가족, 친구, 연인과 함께 좋은 추억을 남길 수 있는 동강전망자연휴양림이네요. 휴양림 리뷰를 보고 여행을 떠나고 싶으신가요? 전국 휴양림 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/asokata/221790242827 강원 정선군 휴양림 리뷰 ① - 동강전망자연휴양림",2020. 2. 12.
"강원 정선군에 561억원 들여 탄광문화공원 조성, 2022년 가을 오픈 예정",강원랜드 이사회 전격 승인으로 2022년 가을 오픈 예정 강원 정선군 사북음 옛 동원탄좌를 중심으로 폐광지역을 여행 클러스터로 바꾸는 탄광문화공원 조성사업이 본격추진된다고 하는데요 총 소요비용은 561억원이라고 합니다. 이곳에는 북쪽 개마고원에 조응하는 남쪽 정선-태백 고원지대의...,2020. 7. 25.
"[Local] 강원도, 정선군 지역상품권 사용가능한 가맹점 리스트 전체(엑셀 포함...","제로페이 가맹도 하면 좋은데,.... #제로페이 가입하면 강원도에서도 쓸 수 있습니다. 강원도 상인여러분~~~ 일단엑셀로 파일 첨부했습니다. ㅎㅎㅎ #UIUX, #접근성, #정보격차, #지도정도, #가맹정보, #제로페이, #강원도, #정선군, #지자체, #지역화폐, #강원상품권, #정선아리랑상품권",2020. 5. 19.
강원 정선군 가성비 메이힐스 리조트 온돌 윌로우룸 오크룸 업그레이드 역대급 경험...,"1박 2일로 친구와 함께 강원도 정선쪽 여행을 하기로. 최근에 여행이 잦아 가급적이면 숙박비용을 아껴보려고 하는 도중에 아주 저렴한 가격의 숙소 발견. 강원 정선 하이원 리조트 앞에 있어 저렴한 가격으로 승부를 본다는 메이힐스 리조트 21평형 윌로우룸과 26평형 오크룸이 있는데, 마침 21평형...",2021. 8. 6.
아이와 함께 떠나는 1박 2일 강원도 정선군 사북 하이원리조트(강원랜드) 여행기,♡ 이상으로 하이원리조트 여름 여행기를 마침니다. #하이원리조트 #하이원 #하이원cc #하이원cc연습장 #high1 #정선가족과함께가볼만한곳 #아이와함께가볼만한곳 #정선사북 #카지노 #하늘길카트투어 #하이원하늘길 #지후papablog #강원랜드 #강원도가볼만한곳,2021. 7. 27.
"정선군, 청춘PD 위촉 로컬 여행 활성화 활동 시작","""정선 곳곳 숨은 관광자원발굴-소규모 마을여행활성화 등 전개"" 【강원타임즈】김장회 기자 = 정선군(군수 최승준)이 2021년 포스트 코로나시대에 대비해 새로운 일상속 로컬여행을 이끌어갈 테마여행10선 청춘PD 지원사업을 본격적으로 추진한다. 정선군은 지난 2월 관내 거주하는 청년...",2021. 3. 16.
강원 정선군(하이원리조트),2020. 9. 2.~9.5. 강원도 하이원리조트 여름휴가 가족여행 태백시 황지(낙동강 발원지) 정선을 거쳐,2020. 9. 6.
[정선여행SNS서포터즈] 강원 정선군 화암동굴 탐방기 2탄 :: 노다지 궁전 / 광부의 하루,안녕하세요 ~ 제2기 정선여행 SNS 서포터즈 용요니 입니다♥ https://blog.naver.com/gpdus0458/222392511049 저번 화암동굴 탐방기 1탄에 이어서 이번... 화암동굴 1-2탄 '역사의 장' 부분을 마무리하려고 해요. 강원도 정선군에 위치한 국내 최초 테마형 동굴인 화암동굴로 다 같이 떠나보는 거 어떨까요 ~ ?,2021. 8. 11.
"강원도 정선군 강원랜드 맛집 왕가갈비 - 갈비탕, (차돌박이) 우거지 국밥","하이원리조트, 강원랜드 내 음식점은 단가가 좀 있죠. 치킨·피자 가게도 있는데 여행 가서 패스트푸드 먹기는 아쉽다고 생각을 했습니다. 차량이 있어야만 인근 음식점으로 나갈 수 있는 단점이 있어서 숙소에서 맛집을 찾아보았지만 딱히.. 뭐가 없더라구요. 그러던 중 적은 방문자 리뷰지만...",2020. 12. 3.
"[Local][Tour] 정선, 생생정보통 맛집오늘 피고지고 석탄빵 금전화빵 강원 정선군...","로컬푸드, 정선여행, 고한읍, 고한시장, 석탄빵, 금전화빵, 야생화, 고한역, 하이원빵집 상상초콜렛에서 만드는 곰취마카롱과 생초코렛 덕분에 겨울을 달달하게 잘 보냈답니다.정선여행을 오면하이원 들렸다가 고한시장에 오셔서 핫쵸코렛과 정선마카롱을 먹고 가세요...",2020. 8. 7.
"[강원 정선군] 편의시설 완비 인공폭포 백석폭포 / 59번 국도, 42번 국도, 410번 지방도...","그래도 지금이 아니면 언제 또 이 쪽으로 가족 여행을 올지 모르니 한 번 들러보자고 차를 돌렸으나, 끝까지 아무도 차에서 내리지 않았음. 나... cid=40942&docId=1222537&categoryId=33228 길이 600m, 지름 40cm의 관을 매설하여 주변 계곡물을 끌어올려 평창군 진부면에서 정선군 북평면에 걸쳐 있는...",2021. 7. 21.
[정선여행SNS서포터즈] 강원 정선군 화암동굴 탐방기 3탄 :: 금맥따라365 / 동화의나라,"안녕하세요 ~ 제2기 정선여행 SNS 서포터즈 용요니 입니다♥ https://blog.naver.com/gpdus0458/222466045483 화암동굴이 워낙 크다 보니 1탄부터 4탄까지... <정선군 시설관리공단> 팸플릿 내용에 의하면 금맥따라 365에는 가파른 계단이 있는데요. 이계단은 18~45도 급경사로 되어 있으며, 365개의 계단으로 공포...",2021. 9. 2.
사람이 아닌 자연과 어울림을 즐기는 강원여행,코로나19 사람이 아닌 자연과 함께 하는 한적한 강원여행 코로나19의 장기화와 최근 여행 트렌드의 변화로 전통적인 인기 관광지가 아닌 한적한... - 주소 : 강원도 정선군 남면 무릉리 - 문의전화번호 : 1544-9053 고성 가진해변 국도7호선에서 동쪽으로 1km 떨어진 가진리 마을에 위치한...,2021. 8. 19.
강원 정선 여행지 : 그리운 향수가 느껴지는 시간 여행..,"위치 강원도 정선군 신동읍 조동리 산70-26 문의 033-560-3462 여러분~ 정선으로 떠나본 시간 여행 어떠셨나요~? 그리운 향수를 느끼셨나요~? 그럼 damdangza는 다음에 또 강원도의 멋진 여행지를 들고 돌아오겠습니다~ ☜(ﾟヮﾟ☜) *모두의 안전을 위해* 사회적 거리두기, 개인 방역 지침을 꼭 준수해...",2021. 9. 6.
"안심여행 캠페인 방역 우수 관광지 중 강원, 경기, 충북, 충남 소재 여행지",대한민국 안심여행 캠페인 방역 우수 관광지 178선은 전국 17개 광역지자체에서 추천한 방역 우수관광지이다. 이번에 소개할 여행지 목록은... 화암동굴-강원고생대국가지질공원(강원 정선군) - 철원 평화전망대(강원 철원군) - 국립춘천숲체원(강원 춘천시) - 효석문화마을(강원 평창군)...,2021. 6. 22.
강원 정선아리랑시장 맛집 '회동집' 솔직후기,회동집 주소 : 강원 정선군 정선읍 5일장길 37-10 영업시간 : 매일 09:00 - 18:00 전화 : (033)562-2643 안녕하세요 여니에요. 강원도 정선 여행을 하면서 정선 아리랑 시장은 꼭 와보고 싶었어요. 시장이곳저곳을 구경하면서 그지역 풍경도 느끼고 먹거리도 맛보고 ! 역시 시장은 즐겁네요. 시장구경을...,2021. 9. 11.
강원남부권 정선여행 가볼만한곳 정암사 만항재 삼탄아트마인,"화암동굴 주소 : 강원도 정선군 화암면 화임리 산248 문의전화 : 033-560-3410 이용시간 : 09시~ 18시 도보입장 마감 16시30분/ 모노레일 탑승마감 17시 입장료 : 어른 5,000원 (단체 4,300원) 중고등학생/ 사병 3,500원 (단체 3,000원) 어린이 2,000원 강원남부권 정선여행 가볼만한곳으로 태백산 적렴보궁...",2020. 11. 14.
[캠핑]정선군생태체험학습장야영장,"정선군 생태체험학습장 야영장 강원 정선군 정선읍 동강로 2914 033-560-3471 입실 13:00 퇴실 12:00 평일 20,000원 / 주말,공휴일 30,000원 주차를 하고 수레에... 정선군 가볼만한 곳입니다. 꼼꼼히 보니 가본곳이 하나도 없어요. 정선은 멀다라고 생각해서인지 여행오기 쉽지 않은 것 같아요....",2021. 9. 29.
"강원 1박 2일 힐링여행, 정선 ""파크로쉬""",놀고 먹고 힐링하러 강원도 호텔에 다녀왔는데 진짜 역대급으로 좋았던 곳이라 후기를 남겨볼까 합니다 ㅎㅎ 파크로쉬 리조트앤웰니스 (강원 정선군 북평면 숙암리 482) ☆☆☆☆ 4성급 네이버 정확한 명칭은 '파크로쉬 리조트&웰니스'이고 4성급으로 분류되어 있어요. 강원도 정선군에서도 굉장히...,2021. 10. 8.
<강원/여행정보/숙소>강원도 셀프클린업소 숙박업소리스트,#강원도여행정보 #방역 #소독잘된호텔 #강원 #춘천 #호텔 #모텔 #숙소 #숙박업소 #강원관광 #원주 #속초 #강릉 #삼척 #홍천 #횡성 #영월 #평창 #양양... 출처 : 강원관광 홈페이지 한화호텔&리조트 평창 알펜시아리조트 용평리조트 드래곤밸리 켄싱턴호텔 평창 정선군 셀프클린 숙박업소 출처...,2020. 4. 19.
<강원여행>,"<정보><테마산행><여행> 1.샤스타데이지로 가득메운 청옥산""육백마지기"" 2.눈꽃으로 가득한 ""하이원스키장"" ◈대상지 : 청옥산 ◈코 스... 스 : 마운틴스키하우스~밸리허브 / 왕복 8.0Km ◈소재지 : 강원도 정선군 ▼슬로프에는 하얀 샤스타데이지가 눈처럼 가득 메워져 있다.(2020.6.24사진)",2021. 5. 22.
강원남부권 가볼만한곳 정선여행코스 베스트,"다시 오고싶은 곳으로 찜~ 했습니다. 백두대간생태수곰원, 정선아우라지는 처음 가보는 곳인데 모두 풍경이 멋지고 예쁜 곳이라 여행내내 행복했습니다. 정선농협 한우타운 주소 :강원도 정선군 정성읍 녹송로 8 (지번 ; 애산리 432-478) 문의전화 : 033-563-9233",2020. 11. 1.
"[강원도 정선 여행 1탄] 정선아리랑시장, 하이원리조트, 강원랜드 입장방법","회동집 정선 아리랑 시장 내 위치 매일 09:00 - 18:00 운영 주소: 강원 정선군 정선읍 5일장길 37-10 식사시간대에 가면, 줄을 서야한다고 많이들 하셔서 노심초사 시장에 들어가봤어요. (오는 길에 사실 1시간이상 대기면, 다른데 가자고 여행 짝꿍이랑 합의했어요,,ㅎㅎ) 다행히 1팀정도로 줄은...",2021. 10. 2.
강원 정선 여행 백두대간 생태수목원 산림생태문화체험단지에서 힐링 숲캉스,조용하게 숲속에서 힐링휴가를 즐길 수 있던 백두대간 생태수목원. 다음에도 가족과 함께 가보고 싶다 ㅎㅎ 백두대간 산림생태문화체험단지 @강원도 정선 주소 : 강원도 정선군 임계면 화천동길 646 산림생태문화체험단지 입실 : 오후 3시 퇴실 : 익일 오전 11시까지 문의 : 033-563-9011,2021. 9. 6.
[정선여행] 강원랜드 하이원리조트 '운암정' 놀이마당_ 한적한 정선에서 즐기는 힐링여행,입구부터 느껴지는 고풍스러운 카페 운암정 날씨가 정말 선선하고 하늘이 맑아 더 설레는 운암정 <한옥 베이커리 카페> 강원 정선군 사북읍 하이원길 265 영업시간 매일 11:30 - 21:00 화요일 휴무 공휴일/연휴 기간은 제외 하늘이 정말 예뻤다 ㅠㅠ 여행할 때 날씨는 정말 중요하다!! 엔도르핀 뿜뿜 카페...,2021. 10. 4.
"온택트 강원도 정선 여행, 강원고생대 국가지질공원","쥐라기 역암 주소 : 정선군 정선읍 봉양리 산17-2 주차 : 갓길에 알아서 주차해야 함, 단 갓길이 좁으니 주의하세요. 주의사항 : 별도의 관광지 표지판이 없습니다. 내비 따라 가신 후 사진 속 풍경과 일치하는 장소인지 확인해 보세요. 이상으로 강원도 정선 여행 코스 네 곳 소개를 마칩니다. 네 곳...",2020. 12. 10.
롱이의 웰촌 여행에 초대합니다! 농촌 여행 추천 코스 <나만 알고 싶은 강원도 정선 편> 1탄,1박 2일 정선 여행 코스 1. 정선 덕우리 마을 → 2. 정선 청보리밭 → 3. 정선 하늘색꿈민박 → 4. 정선 아리랑 시장 시골 중의 시골이 기대된다면! 정선 덕우리 대촌마을 강원 정선군 정선읍 대촌길 33-8 여러분은 시골 할머니 집을 얼마나 가보셨나요? 차창을 열고 달리면 풍겨오는 예스러운 향과 특유의...,2021. 6. 17.
일상 :: 2020.1.1~2 강원도 여행 - 정선군 고한읍,안녕하세요 어울림입니다 우선 새해 복 많이 받으십쇼들 ^오^ 제목처럼 새해 첫날부터 2일까지 강원도로 여행 다녀왔습니다 왜 강원도냐? -> 부모님이 강원도 분이심 + 제가 강원도를 고름 생각해보니 경주 동궁과 월지도 가보고 싶었는데 머릿속에서 안 떠올랐어요 엉엉 ㅠ 아무튼 열심히 운전해서...,2020. 1. 16.
강원 닭목령 아우라지 정선 자전거여행 코스 gpx파일 첨부,"강원 닭목령 아우라지 정선 자전거여행 코스 gpx파일 첨부 맛집 : 옥산장 033-562-0739 강원 정선군 여량면 여량3길 79 gpx파일 다운로드 받아서 산길샘 스마트폰앱으로 사용하는 법은 아래 동영상 참고하세요 ( “파트너스를 통해 일정액의 수수료를 제공받을 수 있음"" )쿠팡 파트너스 추천인...",2021. 1. 24.
"강원도 정선군청(江原道 旌善郡廳, Gangwon-do Jeongseon-gun County Office)",강원 정선군청 강원도 > 정선군 > 정선읍 > 봉양리 기간:2021.08.19 ~ 2021.08.19 (1일) 컨셉:사진에 담는 출사여행 경로:경기 성남시 분당구 정자동▶3번 국도▶광주원주고속도로▶새말 나들목▶횡성군▶평창군▶강원 정선군청 TIP 강원도 정선군의 행정 업무를 총괄하는 행정기관. 정선군청에 출장올...,2021. 8. 19.
강원도정선여행 강원랜드옆 가성비 좋은 하이캐슬리조트,야놀자 #강원도숙박예약 #정선숙박 #정선리조트 #정선카지노 하이캐슬리조트 강원랜드 바로옆 리조트 강원 정선군 사북읍 하이원길 202... 가성비리조트 #강원도여행 #내돈내산후기 #내돈내산여행 하이원리조트정상에서 찍은사진이에요ㅡ 저기 산속에 두동있는 건물이 하이캐슬리조트입니다....,2021. 8. 10.
강원도 정선군 임계면 미락숲 / 지금은 휴가중! 강원도 다녀왔어요^^,강원도에서 해수욕장도 몇군데 가보고 놀다가 올려고 했었는데 비가 오니 어쩔수 없네요~ 그래도 이게 추억이라고^^ 아빠휴가가 더 남았으니 잼있게 놀자♡ #강원도정선군임계면미락숲 #미락숲 #강원도휴가중 #휴가 #강원도여행 #강원도날씨 #비오는중 #미락숲고디 #강원도다슬기 #강원도고디...,2021. 8. 14.
강원도 힐링여행 정선 로미지안가든 대자연느끼며 산책하기좋은 명소,"잘 정돈된 산책길과 대자연을 만나는 기분을 느낄 수 잇는 강원도 힐링여행지 정선로미지안가든을 소개합니다. 정선 로미지안가든 주소: 강원 정선군 북평면 어도원길 12 로미지안가든 매일 09:00 - 17:00(마지막 입장 16:00) / 설, 추석 당일 휴무 공휴일 휴무설, 추석 당일 휴무 무릉도원 같은 수려한...",2021. 9. 16.
[강원 정선] #정선여행 #하이원리조트맛집 태백산감자탕부대찌개 #고한맛집추천,태백산감자탕부대찌개 강원 정선군 고한읍 고한로 87 매일 07:00 - 22:00 ☎ 033-592-5922 #하이원리조트 #강원랜드 에서 차로 5분 거리에 위치한 #고한부대찌개맛집 #쏭푸드태백산감자탕 아이들과 함께 여행 중이시라면 추천하는 식당입니다(!) 감자탕도 푸짐하고 맛있는데 동생이 감자탕을 못 먹어요...,2021. 8. 2.
"강원도 정선군 하이원리조트 호텔(메인,컨벤션,팰리스)/콘도(마운틴,힐) ~11/30까지","오늘의 핫한 여행상품 강원도 정선군 하이원리조트 호텔(메인,컨벤션,팰리스)/콘도(마운틴,힐) ~11/30까지 입니다 가성비와 상품평 및 판매율이 좋은 상품입니다 75개의 이용자들의 상세한 리뷰가 달려있습니다 쿠팡에서 예약시 최대 할인혜택과 쿠팡 포인트 적립까지 두가지 혜택을 모두 받을 수...",2021. 8. 20.
# 강원도 : 곤드레밥이 너무 맛있는 정선 맛집 함백산돌솥밥 + 강원도 여행 3화,↓↓↓ 함백산돌솥밥 주소 : 강원 정선군 고한읍 함백산로 1675 (고한리 29-20) 전화번호 : 033-591-5564 영업시간 : 매일 11:00~20:30 첫째 셋째 수요일 정기 휴무 주차 가능 (들어가기직전 갓길주차) 원래는 숙소에 있던 명함에 있는 예촌돌솥밥을 갈까 했는데 여기가 더 가깝고 평도 꽤 좋길래 새로운 곳에...,2021. 8. 3.
