header,contents,date
"[지역N문화 테마여행] 강원 철원군 여행코스 :: 전쟁이 남긴 것, 6.25이후 우리는","강원 철원군 여행코스 전쟁이 남긴 것, 6.25이후 우리는 전쟁이 남긴 것, 6.25이후 우리는 강원 철원군 1950년 한반도에서 벌어진 비극, 한국전쟁을 따라 철원으로 떠나봅니다. 이 시기 철원은 북한 관할구역이었던 곳인데요. 영화 '고지전'의 배경이었던 곳이기도 하죠. 강원도 철원에서 한국...",2020. 11. 17.
강원 철원군 6.25전쟁 격전지 '백마고지... 다녀왔어요. [당일치기 국내여행 전문 김방장],"'백마고지' 강원 철원군에 위치하고요~ 6.25전쟁 전투가 벌여진 격전지입니다. 여행하면서 저도 배우는 것이 많습니다. 백마고지라고 불리게 된 계기도 이번 다녀오면서 처음 알았어요. 6.25전쟁 때 전투 포격, 폭격으로 민둥산이 되어버린 이곳. 하늘에서 내려다본 이곳이 백마가 쓰러저 있던...",2020. 3. 26.
강원 철원군 휴양림 리뷰 ① - 철원 두루웰 숲속문화촌,"레포츠, 체험까지 전부 즐길 수 있는 철원 두루웰 숲속문화촌으로 놀러오세요! 휴양림 리뷰를 보고 여행을 떠나고 싶으신가요? 전국 휴양림 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/asokata/221790242827 강원 철원군 휴양림 리뷰 ① - 철원 두루웰 숲속문화촌",2020. 2. 13.
강원도여행 강원도 철원군 동송읍 고석정 꽃밭 '꽃으로 말해요' 당신과 걷고 싶다고…,벼가 누렇게 익어가는 철원의 들판도 한눈에 펼쳐진다. 철원=글·사진 최병일 여행레저전문기자 ******@********.*** #강원도여행 #강원여행 #강원도철원군동송읍고석정 #강원철원군동송읍고석정 #철원군동송읍고석정 #철원동송읍고석정 #고석정,2021. 9. 28.
"[국내여행] ""한탄강 물 위 걸으며 주상절리 감상해요"" 철원군 트레킹 행사 (연합뉴스)","[국내여행] ""한탄강 물 위 걸으며 주상절리 감상해요"" 철원군 트레킹 행사 (연합뉴스) 13일 개막해 내년 4월까지 열려…태봉대교∼순담계곡 8㎞ 부교 조성(철원=연합뉴스) 양지웅 기자 = 강원 철원군 한탄강 위를 걸으며 주상절리 비경과 늦가을의 정취를 흠뻑 느낄 수 있는 행사가 열린다....",2020. 11. 3.
철원군여행 한탄강 물 위 걸으며 주상절리 감상해요,"강원 철원군 한탄강 위를 걸으며 주상절리 비경과 늦가을의 정취를 흠뻑 느낄 수 있는 행사가 열린다 트레킹 구간은 태봉대교에서 출발해 순담계곡까지 8km이며, 합수지∼순담 구간은 다음 달 개방할 예정이다. 탐방객들은 부교 위를 걸으며 유네스코 세계지질공원으로 인증받은 한탄강의 절경을...",2020. 11. 3.
강원 철원군 한국의 나이아가라 폭포~ 직탕폭포 다녀왔어요.,강원 철원군 한국의 나이아가라 폭포~ 직탕폭포 다녀왔어요. 안녕하세요. 여행을 좋아하는 김방장입니다. 오늘은 4월 1일입니다. 다들 어려운 시기이고 저 역시~ 다 같이 힘냅시다. 코로나 위기 극복!!! 오늘은 기분전환 이야기를 해봅니다. 저번 주말에 다녀온 곳 강원도 철원 철원에 한국의...,2020. 4. 1.
"안심여행 캠페인 방역 우수 관광지 중 강원, 경기, 충북, 충남 소재 여행지",대한민국 안심여행 캠페인 방역 우수 관광지 178선은 전국 17개 광역지자체에서 추천한 방역 우수관광지이다. 이번에 소개할 여행지 목록은... 평화전망대(강원 철원군) - 국립춘천숲체원(강원 춘천시) - 효석문화마을(강원 평창군) - 평화의댐(강원 화천군) <경기> - 수원화성(경기 수원시) 출처...,2021. 6. 22.
서울근교 당일치기 여행 철원고석정 꽃밭 가을축제 외 4곳,"서울근교 당일치기 여행코스 철원 고석정 꽃축제외 4곳 영화 촬영지로 유명한 고석정 철원고석정 강원 철원군 동송읍 태봉로 1825 입장료 무료 소형(30분 이내 출차시 무료) 2,000원 대형(30분 이내 출차시 무료) 5,000원 철원의 인기 관광명소인 고석정 고석정은 입장료는 무료지만 주차비가...",2021. 10. 9.
국내여행 추천 강원도 철원 당일치기 여행,철원 삼부연 폭포 삼부연폭포 주차장 : 강원 철원군 갈말읍 신철원리 산26-58 문의전화 : 033-450-5151 이번 철원 당일치기 여행에서 서울을 출발해 가장 먼저 찾은 곳은 20m의 높이에서 떨어지는 삼부연 폭포다. 폭포 아래의 소가 마치 가마솥처럼 생겼다 하여 부연이라 했는데 그 가마솥이 3개라...,2021. 9. 14.
