header,contents,date
서울에서 가까운 어린이날 추천 화목한 가족여행지 | 강원도 춘천시 강원도립화목원...,춘천인형극제와 춘천마임축제로 유명한 #법정문화도시 강원도 춘천시에는 어린이를 동반한 가족 단위 여행객들이 향긋한 꽃내음을 만끽하며 여유 있는 시간을 보낼 수 있는 장소가 있어요. #강원도립화목원 은 강원도립 산림과학 연구원에서 운영하는 화목원입니다. 강원도가 1996년에...,2021. 5. 4.
강원 춘천시 사농동 : 부일정 : 춘천맛집/사농동맛집,: 바쁘신분들을위한 간단요약 : 부일정 : 주소 : 강원 춘천시 사농동281-2 전화 : 033-254-0786 : 영업시간 : 매일11:00-21:00 주차: 가게앞가능 : 추천메뉴... 다음에 춘천이나 화천쪽 여행가게되면 꼭 다시 가서 먹어봐야겠어요!!! 현지인들이 인정하는 두부맛집!! 춘천여행 이신가요? : 부일정에서 오늘...,2021. 8. 11.
강원 춘천시 애니메이션박물관 증강현실(AR) 동물원,춘천애니메이션박물관은 춘천뿐만 아니라 강원도가 자랑하는 다양한콘텐츠를 만들어 나아가고 있는 콘텐츠강원으로 발전하고 있습니다. #강원도 #강원도래요 #강원도여행 #춘천애니메이션박물관 증강현실(AR) 동물원 #춘천시 #춘천애니메이션박물관 #강원도SNS기자단,2021. 10. 10.
강원 춘천시 사북면 춘천 주택경매 물건[2020타경2621],"오늘의 명언입니다 : 이 세상에서 가장 즐거운 일의 하나는 여행을 떠나는 것이다. 강원도 춘천시 사북면 화악지암길에 있는 주택경매 물건 사건번호 2020타경2621 춘천지방법원에서 경매 진행 감정가격 79,446,000원,최저입찰가 38,928,000원 강원 #춘천주택경매 입찰법원은...",2021. 7. 27.
[여행] [강원 춘천시] ‘Happy 초원목장’,"[여행] [강원 춘천시] ‘Happy 초원목장’ 반년을 넘게 우한코로나 바이러스 때문에 답답하기가 이루 헤아릴 수가없다. 그렇다고 마냥 방콕할 수도 없는 노릇. 하루에 두 시간씩 시간을 짜서 아내와 함께 밖에 나가 산책로를 6km(10,000보)를 걷곤 한다. 그러나 날씨가 더워지면서 그것도 쉬운 일은...",2020. 7. 10.
"첫 캠핑은 강원 춘천시 홍천강변길 황금박쥐캠핑장에서, 카즈미 라페스타 텐트 살반...","캠핑 첫 시작 장소는 강원 춘천시 남산면 홍천강변길 476 로에 위치한 황금박쥐캠핑장이였고, 황금박쥐캠핑장은 소나무 숲과 홍천강 사이에... 평일에는 와이프랑 정말 정신 없이 일에 치여 살고 있는데 비록 1박2일에 짧은 일정이지만 캠핑장 다녀오면 어디 멀리 여행 다녀온 느낌이 들었고, 확실히...",2021. 2. 8.
힘내라 대한민국! 공연여행 강원 춘천시,"공연여행 2020 강원 춘천시 (힘내라 대한민국! 공연여행)은 코로나19로 몸과 마음이 지친 국민을 공연관광 콘텐츠를 통해 위로하기 위해 기획된 사업이다. 난타, 점프, 김종욱 찾기, 파가니니 등 넌버벌에서 뮤지컬까지 다양한 공연관광 콘텐츠를 5대 관광거점도시 뿐 아니라 여러...",2020. 8. 7.
"어반그린(urban green),춘천카페/서울근교카페/강원 춘천시 서면 박사로 732",>영업시간 : 매일 11:00-21:00 >위치 : 강원 춘천시 서면 박사로 732 >주차는 가게 앞에 넓어서 편히 하실 수 있습니다 저희가 날씨 좋은날에 가서 거의... 민망함을 이겨내면 좋은 사진도 건집니닼ㅋㅋㅋ 이렇게 샌디와의 여행은 성공적으로 마무리 되었어요 춘천 처음에는 막막했는데 정말 볼것도...,2021. 6. 26.
강원 춘천시 휴양림 리뷰 ① - 춘천숲자연휴양림,"자연과 편의를 모두 잡은 춘천숲자연휴양림, 역시 추천할 가치가 있습니다. 휴양림 리뷰를 보고 여행을 떠나고 싶으신가요? 전국 휴양림 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/asokata/221790242827 강원 춘천시 휴양림 리뷰 ① - 춘천숲자연휴양림",2020. 2. 14.
강원 춘천시 여행 명동본가닭갈비,ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ 명동본가닭갈비 ➡️강원 춘천시 금강로62번길 14 명동본가닭갈비 개인적으로맛-⭐⭐⭐⭐⭐ 위생청결까지-⭐⭐⭐⭐⭐ ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ #강원도 #강원도여행 #강원도맛집 #춘천 #춘천맛집 #춘천여행...,2021. 3. 31.
"강원 춘천시/해피초원목장 - 한국의 스위스에서 인생샷, 찐행복!","코로나19로 해외여행이 어려운 요즘, 스위스 감성 가득한 춘천핫플! 해피초원목장으로 다함께 떠나볼까요? 렛츠 고고고고고고고555=33 고덕한부부... 사랑해요 강원♥ 사랑해요 춘천♥ 사랑해요 해피초원목장♥ 분명 내리막길인데 더욱더 높아지는 텐션. 어찌하면 좋죠? 그럴 땐 토끼처럼 뛰어뛰어!...",2021. 8. 22.
〔강원 춘천시〕 '토담' 맛으로는 흠이 없다.,이번 강원 여행의 마지막 식사는 이곳 '토담'이옵니다. 흔히 접하는 양념 닭갈비보다 소인이 최근 숯불 닭갈비에 흥미가 많았던지라 한번 먹어 보고 싶은 마음에 찾아갔사옵니다. 망플에서도 점수가 높고 블로그 리뷰 수도 1600개 가 넘으니 뭐 정말 유명한 집이라 할 수 있겠지요. '토담'! 근처에...,2020. 3. 22.
"강원 춘천시 신북읍 닭갈비 맛집 : 춘천통나무집닭갈비 (닭갈비, 우동사리, 막국수...",#강원도맛집 #춘천시맛집 #신북읍맛집 #춘천맛집 #닭갈비맛집 #강원도닭갈비 #춘천닭갈비 #철판닭갈비맛집 #강원도철판닭갈비 #춘천철판닭갈비 #닭갈비 #막국수 #감자부침 #춘천여행 #춘천 #춘천통나무집 #통나무집닭갈비 안녕하세요~~ 오늘은 저번 춘천여행때 다녀왔던 닭갈비집을 소개할까해요!...,2020. 10. 8.
[강원/춘천시 남산면] 계륵 (feat.춘천닭갈비),"서울-양양 고속도로를 이용하여 강원도로 간다 ♬ 여행에 빠질 수 없는것이 바로 음식! 휴게소 보다는 지역 맛집 또는 유명한 음식 그래서, 선택한 곳은 바로 서울-양양 고속도로 구간에 위치한 남춘천ic에서 약 2.6km 떨어져 있는 닭갈비 식당 계륵~! 식당 내부는 깔끔하다. 우리 가족 여행 팁이라면...",2021. 5. 9.
"안심여행 캠페인 방역 우수 관광지 중 강원, 경기, 충북, 충남 소재 여행지",대한민국 안심여행 캠페인 방역 우수 관광지 178선은 전국 17개 광역지자체에서 추천한 방역 우수관광지이다. 이번에 소개할 여행지 목록은... 국립춘천숲체원(강원 춘천시) - 효석문화마을(강원 평창군) - 평화의댐(강원 화천군) <경기> - 수원화성(경기 수원시) 출처: 수원시청 - 해우재(경기...,2021. 6. 22.
[강원 춘천시] 춘천 통나무집 닭갈비,여행 두번째 날의 점심식사! 통나무집 닭갈비 가다가 으이그와 누렁이가 춘천 여행 가면서 들렀던 우미 닭갈비를 봐서 반가웠다. 으리으리하고 거대한 통나무집 닭갈비. 영업시간은 이렇게 두 식당이 같이 표기되어 있는데 아마 사장님 한 분이 두 식당을 운영하시는 게 아닌가..하고 추측해봅니다....,2020. 8. 2.
[210814][강원][2박3일][춘천여행] ② (춘천맛집) 작년에 이어 다시 찾은 춘천 닭갈비...,"(춘천맛집) 작년에 이어 다시 찾은 춘천 닭갈비 맛집, 장호더그릴 033-243-9293 / 강원 춘천시 신북읍 신샘밭로 682 매일 10:00~22:00 작년 6월에 춘천여행을 하면서 방문해 맛있는 식사를 했던 장호더그릴을 다시 방문했다. 원래 식당은 지금 식당의 바로 옆에 있다. 꽤 오래된 원래 식당은 지금도 영업을...",2021. 8. 17.
춘천여행 춘천한우맛집 강원한우타운 소고기는 무조건 여기!,2시간 되니 1층 하나로마트 쇼핑도 하구 쉬엄쉬엄 서울로 돌아가니 아주 딱좋았다. 그 어떤 정육식당보다 고기 좋은건 물론이거니와 직원분들 친절에 기본 서비스가 넘 좋아서 정말 맘에 들었던 곳. 다음에 춘천여행 가면 또 여기 가야겠다. 넘 만족!! ^ㅠ^ 강원한우타운 강원 춘천시 퇴계동 164-3,2021. 6. 21.
춘천시 동내면 순화대로877 강원효장례문화원장례식장 조화배달 약도 주소참조,http://www.chungsong.co.kr/goods/goods_list/sel_menu/9 일요일 오늘 춘천 강원효장례문화원 장례식장 근조화환 배송 빠른배달 을 원하셔서 오전08시주문... 멀리 여행 가셨을때도 이렇게 현장사진 첨부해 사진 전송해드리면 너무 고마워하지요 오늘은 바람이 간간히 불어요 봄에는 산불조심 정말...,2020. 3. 15.
"강원 나들이(춘천 착한팥쥐네, 카페 감자밭, 속초 솔밭막국수)","착한팥쥐네 강원 춘천시 서부대성로 126 033) 243 7766 팥 밖에 모르는 착한 맛집으로 알려진 착한 팥쥐네에 왔습니다. 얼음을 구하는 것이 쉽지... 강원도로 가족여행을 오면 하루는 무조건 설악산을 혼자라도 가곤 했는데, 이번에는 박형님께서 추천하시는 맛집을 찾아 먹거리 여행을 즐기기로 합니다....",2021. 8. 17.
[국내여행] 소양강 다리의 화려한 변신…춘천시 미디어파사드 운영 (연합뉴스),[국내여행] 소양강 다리의 화려한 변신…춘천시 미디어파사드 운영 (연합뉴스) (춘천=연합뉴스) 이상학 기자 = 강원 춘천시가 소양강을 가로지르는 소양2교 아치 구조물에 미디어파사드를 본격 운영한다.춘천시는 9억9천만원을 들여 추진한 의암호 야간경관 관광자원화 미디어파사드 구축이...,2021. 5. 29.
강원 춘천시 : [학곡리 막국수닭갈비] 춘천철판닭갈비 맛집 솔직후기!!,학곡리막국수닭갈비 경춘선 타고 떠나게 된 즉흥 춘천 여행~! 귤까먹으며 출발했어요~ 남춘천역에 내려서 버스타고 갈 수 있었지만 정류장... 휴무 월요일 영업시간 11:00 - 20:30 #먹방 #먹스타그램 #일상 #데일리 #춘천 #춘천여행 #춘천맛집 #춘천닭갈비 #닭갈비 #철판닭갈비 #남춘천역 #남춘천역맛집...,2020. 1. 13.
강원나물밥 먹고 보고 맛있는 기차여행 - 춘천 당일여행코스,"강원나물밥 먹구 보구 맛있는 기차여행 - 춘천시, 속초시, 횡성군, 영월군, 화천군 강원나물밥 먹구 보구 맛있는 기차여행은 2020년 9월~11월까지 상시모집을 한다고 해요. 춘천시, 속초시, 횡성군, 영월군, 화천군 5군데 강원나물밥 여행이 있구요. 코레일, 강원도농업기술원, 강원도경제진흥원...",2020. 10. 13.
춘천 가을 여행코스 해피초원목장 강원 춘천시 사북면 춘화로330-48 하절기...,춘천 가을 여행코스 해피초원목장 강원 춘천시 사북면 춘화로330-48 하절기 AM10:00 – PM19:00 동절기 AM10:00 - PM17:00 033-244-2122 bit.ly/357PD6y . 제이드가든 강원 춘천시 남산면 햇골길 80 월~목 AM09:00 – PM19:00 금~일 AM09:00 – PM21:00...,2020. 11. 5.
[강원 춘천시] 감자밭,"가족 여행 두번째 날. 으이그와 누렁이가 갔던 감자밭이란 곳에 갔다. 가기 전에 으이그한테 물어봤는데 맛있다고 해서 감자밭으로 출발! 너무 귀여운 감자둥이. 여는 시간은 10시 닫는 시간은 22시. 으이그는 자리가 없으니 포장만 하는 걸 추천했지만,, 우리가 갔을 때는 자리가 있어서 자리를 잡고...",2020. 8. 2.
