header,contents,date
"강원도 여행/ 태백시, 강원랜드 카지노",올림픽 펜싱을 보는데 질 거 같아 그냥 태백으로 출발 태백시 #태백시 가 높은 산위에 도시가 있다고 해서 #마추픽추 느낌을 생각하고 갔는데 너무... 지옥문이 있었는데 진짜 지옥문은 출구다 ㅋㅋㅋ 이제 태백에서 볼 거 다 봤기 때문에 도박하러 #강원랜드로 출발~ 22살 되고 라스베이거스...,2021. 7. 24.
강원 태백시 초막고갈두 _ 현지인들이 찾는 식당,"맞았던 강원 태백시 초막고갈두 확실히 관광객들보다는 현지인들이 편하게 많이 찾는 식당인듯했다. 만항재에서도 하이원리조트에서도 그리 멀지 않는 거리에 자리 잡고 있으니 이쪽을 여행한다면 한 번쯤 맛봐도 좋을만한 곳. 신나게 식사 후, 집으로 돌아가는 길. 우연히 발견한 양귀비 밭 도로를...",2021. 6. 20.
낙동강종주도보여행(태백황지-부산하구둑)제01일 강원태백시매봉산-경북봉화군석포리,매봉산 인근의 삼수령 기타 등등 그러나 동서횡단(한강종주)도보여행 당시 태백시에서 황지를 보고 황지천을 거슬려 삼수령으로 올라가면서... 강원도 끝 경상북도 봉화군 시작; 강원도 태백에서 경북 봉화는 하룻길이다. 강원도 경계선 조형물 휴식하면서 석포리 숙소를 찾아보다. 전화를 해도...,2020. 10. 24.
[강원여행] 낙동강 발원지 태백시 황지(黃池)와 황부자 전설 로드갤러리/황지공원,황지(黃池)-연못 강원도 태백시 황지동에 있는 낙동강 발원지. 유로연장 510.36㎞인 낙동강의 발원지이다. 《동국여지승람》《척주지(陟州誌))》《대동지지》 등의 옛 문헌에서 낙동강의 근원지라고 밝힌 곳이다. 처음에는 '하늘못'이라는 의미로 '천황(天潢)' 또는 '황지(潢池)'라고도 했다. 낙동강의...,2021. 8. 5.
노란 해바라기 앞에서 인생 샷 남기기! [강원 태백시 구와우마을],"오늘의 추천 여행지 [강원도 태백시 구와우마을] 입니다. 출처: 한국관광공사 첫 번째는 구와우마을 입니다. 이용요금 성인 5,000원 학생 3,000원 뜨거운 여름 하면 어떤 꽃이 떠오르시나요~? 저는 태양을 닮은 노란 해바라기가 가장 먼저 떠오르는데요. 출처: 한국관광공사 단돈 5,000원이라는...",2021. 7. 15.
강원 태백시 휴양림 리뷰 ① - 태백고원자연휴양림,4가지 멋을 지는 태백고원자연휴양림으로 놀러오세요!! 휴양림 리뷰를 보고 여행을 떠나고 싶으신가요? 전국 휴양림 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/asokata/221790242827 강원 태백시 휴양림 리뷰 ① - 태백고원자연휴양림,2020. 2. 17.
2021-06-18 연화산(강원 태백시),"오늘은 어제 내린 태백시에서 ""강원 고생대지질공원"" 안에 설치된 ""태백 고원 700 산소길"" 안에 있는 ""연화산""으로 차를 몹니다. 이곳에는 강릉에서... 오늘 내가 선 바로 여기는 8년 전 엄마가 치매 초기 내가 재직하던 학교를 휴직 하고 병가를 얻어 엄마를 모시고 친정길로 여행을 떠났던 추억이 서린...",2021. 6. 27.
[강원 태백시] JS외형복원-쌍용 티볼리 그랜드화이트 도색,"건강하세요:) 카카오톡: binm2 인스타그램: @93jk__ 연락처: ***-****-**** 24시간 문의가능, 전국 최저가 고퀄리티 자동차 출장수리 <JS외형복원> #강원도 #태백시 #강원자동차도색 #태백자동차도색 #태백기스복원 #태백도색전문 #강원도여행 #강원도맛집 #태백맛집 #태백시자동차도색 #쌍용 #쌍용자동차...",2021. 2. 9.
강원도 언택트여행 태백시 구문소 365세이프타운,"강원도 언택트여행 태백시 구문소 365세이프타운 예전에 비해 요즈음 여행 트랜드 많이 바뀌었어요. 우리들끼리 소모임으로 강원도 태백시, 삼척시, 동해시, 횡성까지 언택트 백숙현체험여행 다녀왔어요. 강원도 태백시에서 구문소, 365세이프타운에서 산불체험, 홍수체험을 하고 물닭갈비로...",2020. 9. 29.
7월 태백시여행 :: aney,ㅋ #강원랜드호텔 날씨는 흐릿해도 공기만은 최고인 태백시 시원하게 우리는 산책 발리는 맨손으로 잠자리잡기 잠자리잡기 성공 낙동강의... 구워져 발리도 한그릇뚝딱 차도 안막히고 고생없이 잘 다녀왔던 행복했던여행 집에오자마자 또 어디론가 가고싶은 병ㅋ 슬기로운 7월 잘 이겨내보자 Aney,2020. 7. 25.
