header,contents,date
[여행후기]_강원 평창군_대관령양떼목장,"#강원도 #강원도여행 #강원도가볼만한곳 #강원도평창 #평창 #평창가볼만한곳 #대관령 #양떼목장 #대관령양떼목장 #아이와가볼만한곳 #가족여행 #데이트 #강원도데이트코스 대관령양떼목장 강원 평창군 대관령면 대관령마루길 483-32 대관령양떼목장 > 입장료 : 대인 6,000원 / 소인 4,000원 > 주차비...",2021. 8. 11.
"[강원 평창군] 평창 대관령 삼양목장 가족여행, 겨울왕국 제대로 즐기기",가족여행 으로 다녀왔던 적이 있지요. 코로나로 인해 떠날 수 없다면 예전 사진을 통해서라도 랜선여행을 떠나보는 것은 어떨까요??? 코로나가... 강원 평창군 대관령면 꽃밭양지길 708-9 033-335-5044 https://booking.naver.com/booking/5/bizes/172076?area=plt 네이버 예약으로도 삼양목장 예약이 가능합니다....,2020. 12. 28.
강원 평창군 대관령 양떼목장에 다녀왔어요!,강원 평창군 대관령 양떼목장에 다녀왔어요! #대관령양떼목장 #양떼목장 #강원도여행 #평창여행 #겨울여행 코로나로 인해 전국이 모두 잠잠한 요즘 불안함에 모두 조심하며 외출을 자제하고 계신듯해요 저도 마찬가지로 사무실 또는 집만 왔다갔다하며 끼니도 외식한번 하지 않고 집에서만...,2020. 3. 5.
강원 평창군여행 치즈체험마을 보배목장 다양한낙농체험 아이들과 가볼만한 곳,강원도 평창군 보배목장 낙농체험목장에서는 치즈만들기 피자만들기로 방학중 아이들과 함께 가볼만한 곳이다 보배목장은 1987년에 농림수산식품부로부터 인증받아 새농민농장으로 농업인 현장교육장으로 많은 농민들이 다녀간 젖소 목장무항생제 인증을 받은 목장이다 해피700 강원도 평창군은...,2020. 1. 8.
강원 평창군 휴양림 리뷰 ① - 평창자연휴양림,농산물을 생산하고 있다니 얼마나 깨끗한 자연과 함께 할 수 있는 곳인지 기대됩니다. 휴양림 리뷰를 보고 여행을 떠나고 싶으신가요? 전국 휴양림 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/asokata/221790242827 강원 평창군 휴양림 리뷰 ① - 평창자연휴양림,2020. 2. 18.
강원 평창군 가볼만한곳_ 삼양목장대관령,너 ~ 무 오랜만에 떠나는 여행! 강릉 ! 강릉만 들를 수는 없으니 가는길에 평창에 들려 <삼양목장대관령> 을 방문해보았습니다 차타고 가는길에... 힘들어서 많이 걷지는 못했지만 하하 한번쯤은 가보시길 너무너무너무 강추 삼양대관령목장 강원 평창군 대관령면 꽃밭양지길 708-9 http://naver.me/G6Zthd5g,2020. 11. 15.
[강원 평창군 여행/호텔 레스토랑] 인터컨티넨탈 알펜시아 평창 호텔에 들려...,"지방 여행을 하다보면, 지방에 특급 호텔이 없다는 점이 참 아쉽다. 고급모텔이면서 호텔이라는 간판을 내거는 우리나라 대부분의 호텔들 말고... 다행스럽게도 강원도 평창 대관령 알펜시아 리조트에 있다. 알펜시아 리조트에 인터컨티넨탈 호텔과 함께 같은 그룹의 홀리데이 인 리조트...",2020. 11. 8.
혁신에 나선 30대 청년농들…강원도 평창군 미탄면 강소농 자율모임체 <WOW:미탄>,면내 40대 이하 농업인 전체 6명 젊음의 피로 지역혁신 리더 나서 2020년 강소농으로 선정된 강원도 평창군 미탄면의 30대 청년농업인들이 농촌... 등을 여행하는 프로그램이다. WOW미탄 강소농 자율모임체가 마련한 미탄소풍 스탬프투어 포스터 “미탄면 주요관광지-농산물 생산자-평창 송어까지...,2020. 7. 27.
[新국토기행] <88> ‘금메달감 풍경’ 강원 평창군 - 서울신문,평창동계올림픽을 앞두고 세계적인 도시로 새롭게 변모하는 평창을 찾아 가을 여행을 떠나보자. ▲ 강원 평창군이 2018년 평창동계올림픽을 앞두고 KTX 노선이 신설되고 고속도로가 뚫리는 등 교통이 편리해지면서 수도권 배후의 관광·휴양도시로 급속하게 바뀌고 있다. 평창은 해발 600~1000m...,2020. 8. 22.
강원 평창군 대관령면 다올700펜션에서 엄마는 오늘도 또 힐링중~~♡,조금 힘들지만 그래도 아이들이 원하니깐요~^^ 시원하고 조용한 곳에서 힐링 잘하고 왔답니다~ #강원도평창펜션 #평창펜션 #가족펜션 #4인가족펜션 #다올700펜션 #강원도펜션 #조용한펜션 #힐링펜션 #평창다올700펜션 #여름휴가펜션 #평창여행 #대관령펜션 #강원도펜션 #가족여행펜션 #바베큐뷰맛집펜션,2021. 8. 9.
강원 평창군(한화리조트),"2020. 11. 12.~11.15. 강원 평창군 한화리조트 가족여행 그리고 봉평, 블루캐니언, 횡성 국립숲치유센터..흔들바위 식당",2020. 11. 16.
