header,contents,date
[강원 홍천군] 비발디파크 스키장 /오션월드 고3 졸업여행 Last day (1),친구들과 마지막 졸업여행을 갔던 강원도 홍천군 / 비발디 스키장 or 워터파크 소개하려고 합니다! 우선 제가 살고 있는 곳은 전라북도 정읍입니다. 하지만 친구들과 놀러 가자고 계획던 곳은 강원도 홍천군입니다..ㅠㅠ 거리가 무려 5시간 30분 OMG.. 그래도 친구들과 처음 가는 여행이기도 하고...,2020. 11. 10.
축제 홍천강 꽁꽁축제 2020 강원 홍천군♥가족여행/ 아이들체험/얼음낚시/송어,or.kr 주소강원도 홍천군 홍천읍 너브내길 59-1 주최(재)홍천문화재단 이용요금홈페이지 확인(http://www.hccf.or.kr) #가볼만한축제 #가족여행 #강원권 #관광지 #나들이 #빙어·송어축제 #아이와함께 #얼음 #연인과함께 #이색체험 #인삼송어축제 #체험학습 #축제 #친구와함께 #홍천강인삼송어축제 #힐링,2020. 1. 10.
"[강원 홍천군 여행/사찰, 공원] 공작산 수타사와 수타사 생태숲공원 / 절보다 공원이 더욱...","공작산 수타사 강원도 홍천군 중앙에 위치한 수타사는 처음부터 이 이름은 아니었고, 708년(신라 성덕왕 7년)에 원효스님이 창건하여 우적산 일월사라 지었다고 한다. 즉, 원래 있던 장소도 다르고 이름도 다르다. 그러나 원효스님이 입적하신 때가 686년이기 때문에, 창건자와 창건시기는 오류가...",2020. 8. 17.
강원 홍천군 휴양림 리뷰 ① - 가리산자연휴양림,올해 여름은 가리산 자연휴양림으로 놀러 오세요~!! 휴양림 리뷰를 보고 여행을 떠나고 싶어지셨나요? 전국 휴양림 리스트가 궁금하다면? ▼▼▼▼▼▼▼▼▼▼▼▼▼▼▼ https://blog.naver.com/asokata/221790242827 강원 홍천군 휴양림 리뷰 ① - 가리산자연휴양림,2020. 2. 19.
[新국토기행] <54> 강원 홍천군 - 서울신문,"[新국토기행] <54> 강원 홍천군 입력 : 2015-12-30(수) 17:42 천년의 고찰 수타사… 천연의 눈꽃 피우다 강원 홍천군은 면적이 1819.7㎢로 자치단체 가운데 가장 넓다. 조선시대 한양에서 홍천강을 거슬러 황포돛배가 오갔고, 대동미 창고가 있어 중부지역 동서를 아울러 문물이 모이던 유서 깊은 곳이다....",2020. 6. 13.
강원 홍천군 | 휘바핀란드,"잘 지내려나- 한살 더 먹었겠지...☆ #홍천양떼목장 #홍천여행 #강원도양떼목장 #국내여행 휘바핀란드에는 펜션도 있는데, 뭔가 유럽느낌의 아기자기한 펜션들이 마을처럼 군락을 이루고 있었다. 특히 오른쪽 사진의 이 문구가 넘 맘에 들어서 찍어둠 ㅎㅎ 손님을 향한 마음이 느껴집니다요 !! 2019년의...",2020. 12. 3.
강원 홍천군 2021년 여름캠핑 산으로캠핑장 솔직후기 :: 국내여행,"산으로캠핑장 전화: ***-****-**** 예약문의: 월-금 오전10시-오후6시 토,일 및 예약시간외 문의는 홈페이지 게시판 이용 주소: 강원 홍천군 서면 모곡로 365-139 방문날짜: 2021년6월27일-28일 (일-월) 올해 캠핑의 맛을 알아버려서 시간만 나면 캠핑 가고 싶다. 아 시간이 나면이 아니라 시간을 내서라도...",2021. 7. 9.
[강원 홍천군] 약이 되는 밥상,"홍천 여행 가서 제일 먼저 먹은 아침용 점심. 펜션 체크 인은 15시부터인데 우리는 좀 일찍 가서 점심을 먹었다. 약이 되는 밥상,,이름부터 건강해지는 그런 느낌. 새로 지은 느낌이 팍팍 나는 식당입니다. 사람 엄청 많았다. 메뉴는 아래 사진. 한방 오리, 닭백숙이 이 식당 대표메뉴인 것 같았으나...",2020. 8. 2.
[콜핑소식] 콜핑 x 주말여행 산이좋다2 강원 홍천군 팔봉산,방송 일시 9월 11일 금요일 오후 8시 재방송 일시 9월 12일 토요일 오후 5시 30분 채널 마운틴TV 프로그램명 주말여행 산이좋다2 장소 강원도 홍천군 팔봉산 팔봉산 팔봉산은 흔히 두 번 놀라게 하는 산으로 알려져 있어요. 낮은 산이지만 산세가 아름다워 놀라고 산에 올라보면 암릉이 줄지어...,2020. 9. 11.
강원 홍천군의폐교캠프,"아이들이 점점 줄고 학교도 사라지고 있다.지역 곳곳을 여행하다 보면 폐교가 심심찮게 눈에 띈다. 텅 빈 운동장과 칠이 벗겨진 조각상,비스듬히 누운 축구 골대,길을 잃고 멍하니 서 있는 사람 같은 교사를 볼 때마다 안쓰럽다.그나마 다행스러운 건 예술가의 작업장,박물관,미술관 등...",2020. 6. 25.
[강원 홍천군] 비발디파크 스키장 /오션월드 고3 졸업여행 Last day (2),이렇게 강원도 홍천군 비발디파크 스키장 or 오션월드 여행을 마치게 되었는데요~ 여기 이곳은 제가 지인들에게도 추천할 만큼 top 3 안에 드는것 같습니다! 여러분들도 항상 여행 가시기 전에 좋은 목적지로 계획 세우시고 가시길 바라면서 오늘도 이렇게 댕댕이의 블로그는 마무리 짓겠습니다~ 다들...,2020. 11. 11.
강원 홍천군 산골남자! 이태동 씨 산중 컨테이너 오두막집에서 산다는 건?,"'강원 홍천군 산골남자! 이태동 씨 산중 컨테이너 오두막집에서 산다는 건?' 뉴스를 알아봅니다. [EBS 한국기행] 놀면서 멍하니 “산골남자... EBS 한국기행은 대한민국의 숨은 비경을 찾아 떠나는 공간 여행이자 역사와 풍습, 건축, 향기를 느끼고 전달하는 아름다운 시간 여행이다. 우리들이...",2021. 6. 9.
