header,contents,date
"〔강원 화천군〕 화천 여행 1 서오지, 연꽃단지","9월을 그냥 보내기 아쉬워 강원도 화천으로 발자국 내러~ 화천 여행 코스는 제일 먼저 서오지 연꽃단지, 그리고 붕어섬, 동구래 마을. 나에게는 낯선 곳이라 더욱 기대~^^ 서울을 출발해 가평, 춘천을 지나 화천으로(통행료 3,600원)~ 친구가 정한 장소 화천. 북쪽으로 가자고. 그래야 한가하다고~ Good!...",2021. 10. 9.
강원 화천군 아폴로 천문대 펜션 2박3일 여행,아예 나가질 않았는데 낮에 다녀오니 딱 사진찍기도 별보기도 좋은 위치여서 아쉬움이 컸어요 그리고 커피한잔하러 광덕 별아래를 들려 마시고 왔습니다. 담에 제대로 리뷰올릴게요! 지금은 편히 책도 보며 힐링 중 #강원화천군 #아폴로천문대펜션 #강원도여행 #조경철천문대 #광덕별아래,2021. 6. 26.
강원 화천여행 후기 ★ 삼나물 (눈개승마 효능) 밥상 ★ 맛과 건강을 찾아서.. 화천군...,"4년 전 오늘 강원 화천여행 후기 ★ 삼나물 (눈개승마 효능) 밥상 ★ 맛과 건강을 찾아서.. 화천군 지역특산물로 삼나물효능 강원도 화천에 가면 맛 볼수 있는 삼나물 세가지 맛이 난다고 하여 삼나물이랍니다 . 인삼, 두릅, 고시 세가지 맛이 진짜루 나요 건강한 밥상 한그릇 하고 오랜 지기 친구도...",2021. 5. 29.
강원 화천군 어쩌다사장의 촬영지에서 푸근한 사장님이 끓여주시는 맛난 라면 한그릇...,여름피서지로 최고인 생각보다 사람들이 찾지 않는 화천군에서 어쩌다사장의 촬영지 에서 푸근하신 사장님이 끓여주시는 맛난 라면 한그릇과 음료로 따스해지는 곳 원천상회 복스레 부부는 여행을 갈 때 행선지를 보통 복스레 짝궁이 그냥 네이버 지도 보면서 지역을 찾고 그냥 그 곳으로 가보려고...,2021. 8. 7.
"안심여행 캠페인 방역 우수 관광지 중 강원, 경기, 충북, 충남 소재 여행지",대한민국 안심여행 캠페인 방역 우수 관광지 178선은 전국 17개 광역지자체에서 추천한 방역 우수관광지이다. 이번에 소개할 여행지 목록은... 평화의댐(강원 화천군) <경기> - 수원화성(경기 수원시) 출처: 수원시청 - 해우재(경기 수원시) - 브릭웍스(경기 시흥시) - 시흥오이도박물관(경기 시흥시)...,2021. 6. 22.
"[강원/화천군]힐링하기 좋은 곳, 평화의댐 오토캠핑장~♡","힐링 여행 -yum- 캠핑장 아래쪽에 선착장이 있었어요~ 주위를 둘러보며 선착장에도 내려가보구,,, 멋진 뷰와 함께 내뉨의 모습도 찍혔네요 ㅎㅎ 차를... 우리와 함께 힐링 여행 온 두꺼비 ~ ""뚜꺽"" 넘 귀여워용~~!! ㅋㅋㅋ 제가 사진 찍고 노는 사이에 맛있는 요리 완성~~ 출발 전, 마트에서 산 랍스타와...",2020. 9. 21.
"화천군, 코로나19 시대 “여행 가고 싶은 화천 만든다”",여행객들에게 인기를 끌고 있는 평화의 댐 오토캠핑장 전경.[사진=화천군 제공] 강원 화천군이 코로나19 시대를 겨냥한 관광자원 업그레이드 작업에 한창이다. 26일 화천군에 따르면 군은 하남면 거례리에 수목공원 조성을 진행 중이다. 지난 7월 해바라기 공원을 조성한 데 이어 지역 명물로 꼽히는...,2020. 10. 29.
10월 EP3. 조경철 천문대ㅣ강원 화천군 별 관측,"국내 여행 마스터 진주와 함께 하는 화천 여행 최근 푹 빠져버린 차박을 위해 어디를 가볼까 물색하다가, 이번에는 별 관측을 하러 떠나보기로! 별마로 천문대를 갈까 조경철 천문대를 갈까 고민고민 하다가 조경철 천문대로 향했다 와 너무 예쁘다 차에서 내리자마자 별이 쏟아져서 소리지름 뭔가...",2020. 10. 20.
가재가 많은 강원도 화천군 명지령계곡펜션 다녀왔어요,안녕하세요~ 얼마전 친구들과함께 강원도 화천군에 위치해있는 명지령계곡펜션에 다녀왔어요~ 바쁜 일상에 지칠 때 쯤 스트레스도 풀고 친구들과 좋은 추억을 쌓기위해 물맑고 공기 좋은 곳으로 여행을 떠나보았는데요! 강원도 화천군은 워낙 물이 맑기로 유명한 곳이라 기대를 하고 두근거리는...,2021. 9. 24.
<화천 여행> 강원도 화천군 얼음나라 화천 산천어축제 미리 다녀왔어요!,"밤에도 화려한 화천 산천어축제 2020년 1월 27일부터 시작하는 #강원도 #화천군 화천 산천어 축제 미리 둘러봤어요! 이틀만 늦게오면 축제 분위기 생생하게 느끼고 리뷰할 수 있는데, 아쉬운 마음에 둘러봤어요. 결국 여행일정을 하루 더 연장해서 산천어축제를 즐겼답니다 ㅋㅋㅋ 자세한 후기는...",2020. 1. 26.
