header,contents,date
강원도 횡성군 여행 - 강원참숯찜질방 - 부모님 참숯가마체험 (하가마),"주차장 가는 길 헐..... 트럭에 무슨 일이? 좀 무섭다,ㅠㅠ 설마 이차로 나무를 운반? 전체적인 불가마 모습 #여행 #국내여행 #강원도 #횡성군 #참숯가마 #참숯가마체험 #찜질 #국내최대 #강원참숯 #하가마 #불가마 #원적외선 #중금속노폐물배출 #일반찜질방아님",2020. 1. 16.
[지역N문화 테마여행] 강원 횡성군 여행코스 :: 횡성에서 맛보소 즐기소,"강원 횡성군 여행코스 횡성에서 맛보소 즐기소 횡성에서 맛보소 즐기소 강원 횡성군 지역N문화 테마여행, 깨끗한 자연을 자랑하는 강원도 횡성으로 떠나는 여행입니다! 청정한 자연 속에서 명품 한우와 차를 즐기며 여유를 만끽해보세요~! ✓ 전체코스 : 횡성시장 - 횡성한우...",2020. 10. 19.
횡성군여행 횡성군가볼만한곳 횡성군관광명소 강원지역의 최초의성당인 횡성 풍수원성당,횡성군여행 횡성군가볼만한곳 횡성군관광명소 강원지역의 최초의성당인 횡성 풍수원성당 강원도의 횡성군 서원면 유현 2리에 자리한 횡성 풍수원성당으로 올해 2번째 방문한 풍수원 성당은 강원도 유형문화재 제69호에 지정되어 있는 문화유적이며 또한 구 사제관(현 유물전시관)은 등록문화재...,2021. 6. 7.
강원 횡성군/둔내면 휴양림<국립횡성숲체원>설경이 아름다워 산책하기 좋은 탐방로와...,https://hoengseong.fowi.or.kr/ 위치: 강원 횡성군 둔내면 청태산로 777 / 삽교리 1767-10 영업시간: 매일 09:00 - 22:00 입구에는 안내소가 있고 열체크하고... 탐방로가 엄청 넓어서 언택트 여행하기 좋습니다. 이날은 춥고 눈이와서 더 방문객이 없었던것 같아요. 경사가 심하지도 않고 길이 잘 정돈 되어...,2021. 1. 12.
강원 횡성군 중화요리 맛집 휘게 쟁반짜장 최애♡,"이번에 찾은 곳은 횡성군 중화요리 맛집 휘게. 넷이서 조촐히 떠난 여행에서 맛난 뜻밖의 맛집이다 일행 중 한명이 중국집 요리를 너무... 즐거움에 푹빠진 휘게 횡성 중화요리 맛집으로 추천~ 강원 횡성군 횡성읍 앞들서3로 5, 1층 중화요리 맛집 휘게 중국집 소정의 서비스를 지원받아 작성되었습니다",2021. 2. 4.
[강원/횡성군 우천면] 광암막국수,"11월 가족 여행 그 첫번째 시작을 알리다! 숙소가 있는 강원도 평창 가는 길목에 있는 맛집을 가기 위해 새말ic에서 내립니다. 점심 메뉴는 바로 '막국수' 목적지에 도착하니 두 집이 있어 어디로갈까 고민하다가 그냥 검색했뒀던 광암막국수 가기로 결정^^ 도로변이라 찾기 쉽고, 새말ic에서 약 6km...",2020. 12. 11.
"(강원 횡성군 횡성 한우 축협프라자 새말점) 꽃등심3팩, 치마살1팩, 업진살1팩...",아무래도 역시..... 로티보이를 먹었어야 하나? 라는 생각을 하며 오늘의 포스팅 끝-! #횡성한우맛집 #횡성맛집 #강원도한우맛집 #치악산맛집 #오대산맛집 #횡성축협한우 #횡성한우추천 #횡성맛집추천 #강원도횡성여행 #횡성정육식당 #횡성한우새말점,2021. 8. 25.
사람이 아닌 자연과 어울림을 즐기는 강원여행,"코로나19 사람이 아닌 자연과 함께 하는 한적한 강원여행 코로나19의 장기화와 최근 여행 트렌드의 변화로 전통적인 인기 관광지가 아닌 한적한... - 주소 : 횡성군 강림면 월안1길 82 천문인마을 - 영업시간 : 매일 18:00 - 11:00 입/퇴실 - 이용요금 : 어른 - 85,000원 초, 중,고등학생 - 80,000원 30인...",2021. 8. 19.
"강원 횡성군 웰리힐리파크 47평형 럭셔리B, 산더미 식당, 양 먹이 체험장, 해내리 식당",이제 여행 가지 말자는 큰딸~ 잉?? 뭔 소리야~~~ 술 자셨어?? 매일같이 여행 여행 노래를 부르는 놈이... 암튼 콜~!! 나야 집에 있음 더 좋지~!!! ㅋㅋㅋㅋ 근데 자고 일어나더니 또 여행 가자는 큰딸.... 뭐 하자는 건지.... 이래서 여자 마음은 갈대라는 말이 나오는 건가...;; 체크아웃하고 곤돌라 타러...,2021. 5. 11.
<큔슐랭가이드> 53.한우밥상 (강원 횡성군),"강릉을 갈때 #횡성휴게소 를 지나치게 되어 #휴게소맛집 #횡성휴게소맛집 #한우밥상 을 방문하게 되었다 ㅎㅎ 1인 1 #한우떡더덕스테이크 주문! 전참시 이영자님 맛집으로 입소문이 난듯 하다 (한우떡더덕스테이크) 휴게소 음식 치고는 비싼가격 (15,000원) 이고, 이렇다할 반찬이 없고 양도...",2020. 6. 20.
강원 횡성 안흥찐빵 맛집 '면사무소앞안흥찐빵',면사무소앞 안흥찐빵 주소: 강원 횡성군 안흥면 안흥로 30 영업시간 : 매일 08:00 - 20:00 연중무휴 안녕하세요 여니에요. 강원도 여행을 가면서 횡성에 가면 꼭! 방문 하는? 먹어보는 간식이 있는데요?! 그건 바로! 안흥찐빵이에요. 횡성 안흥면 면사무소 길 건너편에는 처음 들어올 때 보았던 찐빵들이...,2021. 8. 31.
