header,contents,date
가족여행하기 적합한 경기 가평군 펜션 임대,"보:6천 월:5백 객실/욕실:9+1 매출:년 1억 5천 주차:충분 출입구 방향:북향 관리비:무 입주시기:협의 경기도 가평군에 위치한 펜션입니다. 현재 건물주 직영 중이며, 매출은 년 1억 5천 정도 보시면 된다고 하시네요. 객실 9개 이외에 살림 공간 별도 마련되어 거주하시는 데 전혀 불편함이...",2021. 10. 5.
★이벤트★ 가평군이 경기도민 여러분들을 초대합니다:D(응원댓글달고 이태리마을...,가평군을 제외한 경기도 30개시군 주민분들을 대상 1300만 수도권 주민들에게 '쉼과 여유'를 선물하는 경기도 최고의 여행명소 가평군! 가평군 공식블로그는 나들이하기 좋은 가을을 맞이하여 평소 공식블로그에 관심을 가져주신 경기도민 여러분들을 대상으로 작은 이벤트를 준비하게...,2021. 9. 17.
"[산행 21-5] [경기 가평군] 연인산 정상까지 최단거리 등산로, 소망능선","[산행 21-5] [경기 가평군] 연인산 정상까지 최단거리 등산로, 소망능선 어제는 아내와 같이 둘레길을 걸었고, 오늘은 나 홀로 가평에 있는 연인산을 등산하기위해 아침 일찍(8시 30분) 서둘러 가평으로 향한다. 연인산 백둔리 주차장을 찍고 갔더니 백둔리에 있는 백둔리캠핑장 주차장에 도착된다....",2021. 4. 22.
경기도 가평군 가평여행,오늘의 핫한 여행상품 경기도 가평군 가평여행 입니다 가성비와 상품평 및 판매율이 좋은 상품입니다 5개의 이용자들의 상세한 리뷰가 달려있습니다 쿠팡에서 예약시 최대 할인혜택과 쿠팡 포인트 적립까지 두가지 혜택을 모두 받을 수 있어서 좋아요 경기도 가평군 가평여행 노지캠프의 오지캠프의...,2021. 8. 29.
"[경기IN] 가평군, 코로나19 확진자 2명 추가발생","가평군청 [경기IN=오효석 기자] 가평군은 신종 코로나바이러스 감염증 확진자가 일상생활로 확산되고 있는 가운데 지난 9일 2명이 추가... 특히 일상생활에서는 실내 전체 및 2m 이상 거리유지가 되지 않는 실외에서는 마스크 착용이 의무화되며 수도권 주민들의 여행, 출장 등 타 지역...",2020. 12. 10.
"경기 가평군에서 효율적인 라운드를 경험하고자 한다면, 썬힐cc 회원권 시세 거래 전망...","1박 2일 동안 골프 여행을 즐기고 싶다! 하시는 분들이라면 생각을 해보셔도 좋겠다는 생각이 듭니다. 운영 방식 회원제 개장일 1999/09/09 회원 수 350명 회원제 홀 수 0(전체 대중제 운영) 문의 031-585-7900 코스 면적 19만 평 주소지 경기 가평군 조종면 운악청계로 809 제가 사는 곳, 수도권...",2020. 11. 26.
[경기/가평군] 호명산잣나무숲속캠핑장 (주차장/캠핑비용/예약링크),"마글론의 여행이야기 그리고 캠핑&백패킹 호명산 잣나무숲속캠핑장 전화번호: 070-8844-5353 주소: 경기 가평군 청평면 상지로 64번길 77 주차 : 네비에 주소로 확인 비용: 주말 45,000원 (성인4인) 평일 35,000원 (전기사용비용 별도 5,000원) 입실/퇴실시간 :입실 14:00 ~ 22:00 퇴실 ~ 11:00까지 2020년...",2021. 3. 23.
경기 가평군 청평면 : 본가 장작불 곰탕 해장국 : 청평맛집,이번에 소개해드릴곳은 경기도 가평군 청평면에 위치한 곰탕 찐 맛집!! : 본가 장작불 곰탕 해장국 입니다. : 본가 장장불 곰탕 해장국 가평쪽에 자주 놀러 가보셨던분들이라면 한번쯤은 차안에서 봤을법한곳!!! 저도 가평쪽 여행갈때면 가끔한번씩 들리는곳입니다. 곰탕 찐 맛집이거든요 ㅎ...,2021. 7. 16.
경기 가평군 가볼만한곳 베스트 10 여행지 추천,경기 가평군 가볼만한곳 베스트 10 여행지 추천 경기 가평군 가볼만한곳경기 가평군 가볼만한곳 베스트10경기 가평군 관광명소경기 가평군 관광지경기 가평군 놀거리경기 가평군 데이트코스경기 가평군 볼거리 먹거리경기 가평군 여행경기 가평군 여행지경기 가평군 주말에 놀만한곳 경기 가평군...,2021. 8. 5.
스트레스 타파 마지막 여름 즐기기 [경기 가평군 레저&스포츠],"오늘의 추천 여행지 [경기도 가평군]입니다. 출처: 한국관광공사 찌는 듯한 무더위는 한풀 꺾였다고 하지만, 아직도 한낮은 너무 덥습니다 그래서 요즘 떠오르는 핫한 취미! 프리다이빙을 비롯해 가평에서 즐길 수 있는 수상 스포츠들을 준비해보았는데요. 그럼 늦여름 더위 타파! 가평...",2021. 8. 11.
아침고요수목원 봄나들이 봄꽃축제 /경기 가평군 /진행중~,kr 주소경기도 가평군 상면 수목원로 432 행사장소아침고요수목원 내 주최(주)아침고요수목원 주관(주)아침고요수목원 이용요금홈페이지 안내 참고 공연시간08:30 ~ 19:00 (입장은 18:00까지 가능) #가볼만한축제 #가족여행 #관광지 #기차여행 #꽃여행 #나들이 #데이트코스 #봄꽃 #수도권...,2020. 5. 23.
경기 가평군 반찬 맛집,"‘생방송 투데이-우리동네반찬가게’ 세대를 아우르는 행복 반찬!…경기 가평군 반찬 맛집, 위치는? #가평 #반찬가게 #맛집 4일 방송된 SBS ‘생방송 투데이’에서는 보고 먹고 즐기고 3고-울산 여행 편, 우리 동네 반찬 가게-세대를 아우르는 행복 반찬 편, 빅데이터 랭킹 반찬-서울 최고의 짬뽕 탑5...",2020. 9. 5.
"[경기/가평군/상면] 아침고요수목원 근처, 명인의 빵집, 종류가 많은 가평 달맞이빵","가평 달맞이빵 031-585-9007 경기 가평군 상면 수목원로 123 매일 9:00-21:00로 되어 있으나 코로나19로 인해 운영시간에 변동이 있을 수 있으니 방문 전... 제주도 여행할 때 함덕해수욕장 근처의 오드랑 베이커리의 마늘빵, 마농빵이 맛있다고 해서 일부러 가서 사 온 적이 있었는데.. 연남동의 만동제과...",2021. 2. 11.
잣향기푸른숲 경기 가평군 피톤치드 가득한 쾌적한 잣나무숲,잣향기푸른숲 경기 가평군 피톤치드 가득한 쾌적한 잣나무숲 경기도 잣향기푸른숲은 수령(樹齡) 80년 이상의 잣나무림이 국내 최대로... 맞춤형 여행지 찾기 #가족여행 #관광지 #사계절 #수도권 #숲체험원 #언택트관광지_100선 #자연 #자연&숲치유 #자연좋은곳 #잣향기푸른숲 #친환경여행...,2020. 12. 19.
가평군과 조은마트가 함께한 '경기 공공기관 염원 토크 콘서트',"행사는 가평군, 경기도공공기관유치추진위원회 및 ㈔가평문화관광협의회에서 주최·주관하는 행사는 가평군 공공기관 유치를 위해 군민들과 함께... 직원들은 가평 군민과 가평 관광객들을 위해 앞장서 일하겠습니다. 가평으로 많이 놀러 와주시길 바라며, 가평 여행의 시작은 조은마트에서...",2021. 6. 11.
가평군청 카페ㅣ바이밍ㅣ가평 남이섬 여행 카페추천,가평군청카페 바이밍 #가평군청카페 #가평카페추천 #남이섬카페 #남이섬 #가평디저트카페 #가평카페추천 경기 가평군 가평읍 석봉로 172 ***-****-**** 영업시간 평일 09:30 - 22:00 주말 10:30 - 18:00 공휴일 09:30 - 22:00 부모님과 가평 여행 가서 저녁 먹으러 가기 전에 남이섬 근처에 있는 바이밍 카페에...,2020. 7. 4.
"[경기IN] 가평군, 추석연휴 특별방역 추진",가평군청 [경기IN=오효석 기자] 가평군이 귀성 및 여행 행렬 증가에 따른 신종 코로나바이러스 감염증 확산예방을 위해 추석연휴 특별방역대책을 추진한다고 29일 밝혔다. 이에 군은 추석연휴기간인 10월 4일까지 150㎡이상 식품접객업소 및 고속도로휴게소 음식점을 대상으로 매장내 취식금지...,2020. 9. 29.
자연을 헤아린 경기 가평군 프리스틴밸리cc 회원권 시세와 가격 분석해요,"골프 여행자 윤실장 블로그에 와주셔서 삼드립니다. 안녕하십니까, 여러분. 골프 여행자 윤실장 블로그에 와주셔서 감사드립니다. 여러분들은... 평 경기 가평군 설악면 유명로 1243-199 경기권에 있는 프리스틴밸리cc는 수도권에 자리한 클럽 중 관리가 굉장히 우수하게 잘 되고 있는 골프장으로...",2021. 3. 14.
"[국내여행] 가평군, 운악산에 길이 200ｍ 출렁다리 설치(연합뉴스)","[국내여행] 가평군, 운악산에 길이 200ｍ 출렁다리 설치(연합뉴스) (가평=연합뉴스) 김도윤 기자 = 경기 가평군은 내년 완공을 목표로 운악산 관광마을 조성 사업을 추진한다고 27일 밝혔다. 제2차 경기도 지역 균형발전 사업으로 뽑혀, 48억원을 지원받아 총 68억원을 투입한다. 가평군은...",2021. 5. 28.
"3Km 8개 코스로 개발될 예정, 경기 인디페스티벌 가평군 응모, 의정보고 343.","경기둘레길은 15개 지초자치단체 60코스에 약 863.7Km로 행복한 관광활성화, 새로운 걷기여행길 명품화, 건강한 걷기 여행의 일상화를 3대목표를... ○ 경기 인디뮤직 패스티벌 가평군 응모 경기 인디뮤직 페스티벌 개최와 관련하여 해당부서 담당자들과 면담하였답니다. 경기도가 이 사업을...",2020. 2. 20.
"경기 가평군, 가GO! 보GO! 찍GO! 가평 구석구석 모바일스탬프투어","[미디어이슈=박종완 기자] 가평군은 코로나19시대에 안전한 모바일기반 비대면 관광상품으로 여행도 즐기고 스탬프 개수에 따라 기념품을 받는 ‘가평 구석구석 모바일 스탬프투어’이벤트를 운영한다고 밝혔다. ‘가평 구석구석 모바일스탬프투어’는 자라섬 남도, 쁘띠프랑스...",2021. 5. 8.
여름엔 계곡이지 #2 [경기 가평군 #용추계곡],@不老camper #불로캠퍼 #차박 #차박지공유 #차박지 #차박지추천 #차박캠핑 #차박성지 #차박여행 #차박지공개 #차박스타그램 #차박용품 #캠핑 #캠핑장 #캠핑음식 #캠핑장추천 #캠핑카 #캠핑족 #캠핑클럽 #캠핑카여행 #캠핑소품 #캠핑라이프,2021. 8. 1.
서울근교 드라이브코스 추천 아침고요수목원 수국전시회 경기 가평군♥,상세정보 시작일2020.06.06 종료일2020.07.05 전화번호1544-6703 홈페이지http://www.morningcalm.co.kr 주소경기도 가평군 상면 수목원로 432 행사장소아침고요수목원 원내 주최아침고요수목원 이용요금홈페이지 참조 공연시간08:30 ~ 일몰시 #가평 #가평여행 #수국 #수국전시회 #아침고요수목원 #축제...,2020. 6. 13.
경기도 가평군 설악면 클럽레스피아 in가평 복층형 글램핑 1박2일 여행 후기,"가평 글램핑 클럽레스피아in가평 안녕하세요 이웃님들 오늘은 여행 간 후기를 남길게요~ 5월이 되니 날씨가 참 좋아졌어요, 지인들과 어디를... 클럽 레스피아in 가평 주소:경기 가평군 설악면 한서로543-31 연락처:070-7719-6885 가평 글램핑 클럽레스피아in가평 복층형 글램핑장은 최대 4명까지 이용...",2020. 5. 26.
"[청평] 경기 가평군 수목원로 서울을 벗어난 데이트! 한적한 여유로움, 아침고요수목원...",서울을 벗어난 근교 당일 여행! 산책을 정말 좋아하는 저와 남자친구에요. 청평으로 당일 여행을 계획한 이유는 바로 아침고요수목원을 산책하기 위함이었어요. 물론 지금은 겨울이여서 예쁜 꽃은 없지만 맑은 공기도 느낄 수 있고 서울에서 느낄 수 없는 한적함과 여유로움를 느낄 수 있어서...,2020. 1. 27.
[가평/카페/어텐디드가든카페] 경기 가평군 북면 카페투어 정원이 있는...,중앙부분은 꼭 침대처럼 생긴 테이블이 있는데 여행뒤라 그런지 푹신한게 좋더라구요. 살짝 눕고 싶은 생각까지 들었어요. 그리고 벽을 보면 갤러리처럼 그림이 걸려 있어요. 우측벽을 갤러리로 활용하려 창을 안만든거 같아요. 경기 가평군 북면 카페투어 정원이 있는 어텐디드 가든 카페 메뉴...,2021. 6. 6.
경기도 가평군 세라비풀빌라 스파펜션,오늘의 핫한 여행상품 경기도 가평군 세라비풀빌라 스파펜션 입니다 가성비와 상품평 및 판매율이 좋은 상품입니다 40개의 이용자들의 상세한 리뷰가 달려있습니다 쿠팡에서 예약시 최대 할인혜택과 쿠팡 포인트 적립까지 두가지 혜택을 모두 받을 수 있어서 좋아요 경기도 가평군 세라비풀빌라...,2021. 8. 29.
"[경기IN] 가평군, 사회적 거리두기 격상, 방역수칙 강화","가평군청 [경기IN=오효석 기자] 가평군은 신종 코로나바이러스 감염증 확산예방을 위한 수도권 ‘사회적 거리두기’2.5단계 격상에 따라 현장점검... 특히 일상생활에서는 실내 전체 및 2m 이상 거리유지가 되지 않는 실외에서는 마스크 착용이 의무화되며 수도권 주민들의 여행, 출장 등 타 지역...",2020. 12. 8.
<큔슐랭가이드> 95.산골농원 (경기 가평군),겨울에 휴가쓰고 아난티 가는길에 들린 #가평맛집 #솥뚜껑닭볶음탕 #닭볶음탕맛집 #산골농원 티비프로그램 전참시에 나오고 더 유명해져서 평일에 갔는데도 대기를 (산골농원) 주차시설 넓고 애기의자도 있다 ㅎㅎ 가는 길에 서로 원조를 자처하는 닭볶음탕 집들이 몇개 보임! (입구) (닭볶음탕)...,2020. 8. 20.
"가평군, 관광지 19개소에 방역·관리요원 35명 채용","경기 가평군(군수 김성기)이 주요 관광지점 19개소에 방역·관리요원 35명을 채용한다고 6일 밝혔다 이에 군은 국비 2억9400만원을 확보... 관광업계 실직자 또는 휴직자, 휴폐업한 관광 자영업자, 관광통역안내사, 관광분야 특수형태근로자, 여행사 대표, 취업취약계층을 우선 채용할 방침이다....",2021. 8. 6.
