header,contents,date
서울시립 승화원 - 경기고양시 덕양구여행,서울시립승화원 서울시립승화원 (서울市立昇華院)은 경기도 고양시 덕양구 통일로 504 (대자동)에 위치한 화장장이다. 서울시설관리공단에서 운영한다. 현재 국민기초생활보장 수급자와 국가보훈법에 따른 희생. 공헌자 및 그의 배우자를 대상으로 서울시립승화원에 부속된 봉안당(납골당)인 추모의...,2021. 5. 27.
경기 고양시 일산동구 정발산동 맛집 카페 지미스(Cafe Jimis),"해외여행이 어려운 요즘 확실히 외국 느낌 나는 카페나 맛집들이 늘어나는 거 같은데요 잠깐 다녀온 것만으로도 여행 온 거 같고 기분 전환도 되고... 봄, 가을에 다시 가고 싶어요 (ღ'ᴗ'ღ) 카페 지미스(Cafe Jimis) 경기 고양시 일산동구 정발산동 1338-7 평일 및 주말 11:00-17:00 월요일, 화요일 휴무",2021. 8. 17.
"[지역N문화 테마여행] 경기도 고양시 여행코스 :: 위기의 조선, 행주치마를 두르고...","경기 고양시 여행코스 위기의 조선, 행주치마를 두르고 승리하다 위기의 조선, 행주치마를 두르고 승리하다 경기 고양시 *출처 : 고양시 행주산성 홈페이지 서울 근교에 위치한 경기도 고양시 지금도 당일치기 여행으로 훌쩍 떠날 수 있는 고양시는 과거 조선시대 때에도 서울과 가깝워서...",2020. 10. 26.
경기 고양시 일산서구 대화동 책갈피 책 읽어주는 독서 선생님 <마법의시간여행48>,경기 고양시 일산서구 대화동 책갈피 @책 읽어주는 독서 선생님 <마법의 시간여행 48> <책 제목> 마법의 시간여행 48 지진에서 판다를 구하라! <지은이> 메리 폽어즈번 지음 / 노은정 옮김 <출판사> 비룡소 이 책을 선택한 이유 스스로 선정 내용요약 및 줄거리 잭과 애니가 페니라는 펭귄을 살리려고...,2021. 6. 23.
경기 고양시 | 행주산성*역사공원,"[행주산성] 경기 고양시 덕양구 행주내동 산26-1 [역사공원] 경기 고양시 덕양구 행주외동 140-8 09:00 - 17:00 (퇴장 18:00, 월요일 휴무) ** 방문 전, 확인... 나는 보통 여행이든 어디든 사전조사를 하는 편은 아닌데, 이번을 계기로 ‘미리 확인해야겠다’ 생각했음 ㅎㅅㅎ #행주산성운영 #행주산성입장...",2020. 6. 8.
[경기] 고양시 일산 정발산 공원 등산하기-*,경기 고양시 일산 정발산공원 안녕하세요 제이미입니다 : ) 허니랑 부안군 내변산에 다녀온 이후로 등산을 본격적으로 해야겠다는 생각으로 동네 산부터 시작하기로 결심했어요 ㅎ ㅎ 가끔 어쩌다 여행을 가면 한두번 산에 가긴하지만 체력이 점점 떨어지는걸 느끼는....ㅋㅋㅋㅋ 더 나이들기 전에...,2020. 10. 3.
경기 고양시육아종합지원센터와 함께하는 고양시노래자랑,"다만, 맘 편한 외출이나 여행 한 번 하기 어려운 현실이 안타까울 뿐~ 그래서 오늘은 조금은 무료한 일상에 힘을 줄, 제가 거주하고 있기도 한... 경기 고양시 육아종합지원센터와 함께하는 고양시노래자랑 2020 고양시 영유아 가정의 행복백신을 위한 노래자랑을 개최합니다~ 대상...",2020. 9. 24.
[고양] 경기고양시역사기행~권율장군과 행주산성,"천천히 올라오세요^^ 나올때 보았네요~ 고양시 도보관광이라~?!! 문화관광해설사님과 함께하는 ""고양시 도보관광"" 여행이 있네요~ 1일 2회/10:00,14:00... 주변에 '행주산성 역사공원'이 따로 있더라구요~ 다음에는 그곳도 꼭 가보고 싶어요~ 행 주 산 성 경기 고양시 덕양구 행주내동 산26-1 매일...",2021. 9. 24.
일산여행 밤가시초가 고양시민속전시관 탐방,일산밤가시초가와 고양시빈속전시관 안내 일산밤가시초가 안내 주소 : 경기 고양시 일산동구 햇살로105번길 36-7 위치는 풍산역1번 출구에서600m 전화번호 : 031-908-6776 입장료 : 무료 고양시민속전시관 안내 주소 : 경기 고양시 일산동구 햇살로105번길 36-7 (일산밤가시초가내 일산민속전시관)...,2021. 2. 14.
"지지씨가이드2 고양③ 국내여행, 여행지추천, 국내여행추천, 고양시여행, 경기도여행",경기문화재단에서는 경기도를 여행하시는 분들에게 가볼만한 곳 정보와 다양한 이야기를 담은 여행가이드북 지지씨가이드를 만들었는데요! 조금은 특별한 하루를 남기기 위한 고양! 그 세번째 이야기를 지금 시작합니다! 여행자들을 위한 경기도 가이드북 #지지씨가이드2 - 고양③ 조금은 특별한...,2020. 1. 22.
경기 고양시아파트 일산아파트 중산동아파트 고양시아파트대법원경매 고양시 아파트...,사건번호 : 2020타경 68263 입찰기일 : 2021년 4월 14일 감정가 : 301.000.000 입찰가 : 210.070.000 경기도 고양시 일산동구 중산동 1575-4... 사업번창을 기원 합니다 혹시 시간 되실때 저희 카페 방문하시여 회원 가입 부탁 드립니다 여행.맛집.사업홍보 부동산매물 회원님들과 같이 공유해요...,2021. 3. 15.
서울 근교 가볼만한곳 고양시 행주산성 공원 둘레길 당일치기 여행,서울근교당일치기여행 #행주산성먹거리촌 #행주산성음식문화거리 #서울근교드라이브 #서울근교드라이브코스 #경기도고양시 #고양시나들이 #서울근교자전거코스 #서울자전거코스 #한강자전거코스 #라이딩코스추천 #자전거코스추천 #서울근교갈만한곳 호미숙 여행작가 국내 가볼만한곳 여행지...,2021. 4. 25.
