header,contents,date
[경기 과천시 주암동] 사무실랜공사 / 최저가 랜공사 / 랜선설치전문업체,"4년 전인 2016년, 한 글로벌 숙박 공유 서비스는 '여행은 살아보는 거야'라는 캠페인을 진행하며 잠깐 여행지에 머무는 개념보다 진짜 현지에서... 바로 경기 과천시 주암동에 위치해 있는 한 어린이집입니다 저도 아이들 참 좋아하는데요~ 어찌나 귀엽고 사랑스러워 보이는지 모르겠어요 ㅎㅎ...",2020. 9. 26.
"혼자여행 #15(20.12.23) 과천시 문원동 공원마을, 문원청계마을","출구쪽에 있는 보훈종합회관과 과천시 문화원.....좀 많이 크다..... 경기소리 전수회...이건 또 왜 이리 건물이 좋지? 사단법인 이던데... 과천에는 왜 이런 건물들이 많지? 효자 최사립 정문... 이게 경기소리 전수회 건물에 밀려 아주 구석에 있다. 3. Outro 오랫만에 블로그를 써 봤는데,,,,,, 코로나...",2020. 12. 24.
[ 일상이야기 ] 과천시 2006년 강남구를 누르고 아파트 평당 매매가 1위 전국 최고...,"한편, 18일 기준 아파트 평당 매매가는 경기 과천시, 서울 강남구에 이어 서울 서초구(2499만원), 송파구(2248만원), 용산구(1947만원), 강동구... /*******@******.***박일한기자 출처 : 파이낸셜뉴스 네이버뉴스 2021년 1월 1일부터 무료 산책길 코로나 시대 ㅠㅠ 멀리 여행 가기 힘든 시기에.... 더욱더...",2021. 2. 7.
"서울 여행준비 50편 - 서울 근교, 과천 아이와 가볼만한 곳 : 국립과천과학관",서울 여행준비 50편 - 국립과천과학관 00 :: 서울은 뭔가 파면 팔수록 갈 곳이 나오는 신기한 곳이다. * 출처 : 공홈 국립과천과학관 ◎ 위치 - 주소 : 경기 과천시 상하벌로 110 국립과천과학관 - 전번 : 02-3677-1500 - 지하철 : 4호선 대공원역 5번 출구에서 40m / 코로나 때는 6번 출구로 나와서 있는...,2021. 7. 26.
경기도 과천시 가볼만한 곳 모음,2020년 설 연휴 설 축제를 즐겨요 전국 설 연휴 가볼만한 곳 신년 소원 빌기 액땜하기 골목길 놀이터 등 ◇곤지암리조트 설 이벤트 일시 124126 장소 경기 과천시 광명로 181 입장료 프로그램 상이 행사 내용 활쏘기 체험 떡메치기 뮤지컬 보석 같은 이야기 등... 과천시 가볼만한 곳 과천여행지...,2021. 8. 10.
[경기도 과천 여행] 경기 5악(五岳) 관악산과 명소들,"서울과 경기도 경계에 널찍이 자리 잡은 관악산은 예로부터 수많은 전설과 문화유적을 남겼는데요~삼국시대에는 고구려와 백제, 신라의 전쟁 중 아주 중요한 군사적 요충지이기도 했습니다~관악산에는 다양한 볼거리가 많아 4계절 모두 사랑받는 산이기도 합니다~ ● 위치 : 경기 과천시...",2020. 7. 7.
[ 관악산둘레길 ] 과천시구간,등산을 핑계로 모이는 지인들의 체력 등을 고려하여 코스를 정하고 있는데 언젠가부터 동아리 사람들과는 둘레길 위주로 여행을 하고 있습니다.... 과천동문화교육센터 이 길이 관악산둘레길 과천시구간이며 충무공 이순신백의종군길이기도 하고 경기옛길 삼남길이라고 합니다. 아~~ 나 같은...,2021. 4. 30.
[랜선 투어] 일상을 여행처럼! 과천 서울대공원 테마공원,주소: 경기 과천시 대공원광장로 102 문의: 02-500-7338 운영시간: 매일 09:00 – 18:00 (3.4.9.10월) 매일 09:00 – 19:00 (5.6.7.8월) 매일 09:00 – 17:00 (11.12.1.2월) 코로나로 답답한 일상에 지친 나에게 작은 여행으로 선물을 주는 것은 어떨까요? 서울대공원 테마가든은 꽃과 나무와 동물을 통해 휴식을 누릴 수...,2021. 7. 28.
경기도 아이와 가볼만한곳 역사와 상식속으로,"국립과천과학관 주소 : 경기 과천시 상하벌로 110 지하철 4호선 6번 출구 운영 : 평일 09:30 - 17:30 발권마감: 오후 4:30 요금 : 성인 4,000원 / 어린이... 위의 비스듬한 나무에서는 못찍어서 아쉽네요 이웃님들은 그곳에서 꼭 찍어보셔요 이상 경기도 아이와 가볼만한곳 알아보았습니다 즐거운 여행 되세요",2021. 10. 7.
"무장애 경기관광, 장애인과 비장애인이 모두가 행복한 여행! -스마일시니어 시흥...",서울대공원 경기 과천시 안내 : 운영시간 동물원/테마가든 -하절기(3월~10월):09:00~19:00 -동절기(11월~2월):09:00~18:00 온실식물원 연중 : 09:00... 여행 #관광지 #무장애관광지 #스마일시니어시흥 #스마일시니어시흥재가방문요양센터 #경기도 #여행지 #경기도여행 #경기도여행지,2021. 6. 16.
"지하철로 떠나는 계곡 여행, 서울 근교여행, 서울 근교가볼만한곳, 국내여름휴가","올해 멀리 떠나기엔 걱정되고, 마땅한 시간도 나지 않는다면 서울 근교에서 즐기는 계곡 여행은 어떨까요? :D 당일치기도 OK! 면허가 없어도 OK!... ★과천 관악산계곡 방문 방법★ 사당역 2호선, 4호선 입구-> 1-1번 버스 승차 -> 과천성당 하차 -> 과천향교까지 도보 14분 이동 위치: 경기 과천시 중앙동...",2020. 7. 24.
"과천시 가볼만한 곳, 과천여행지 추천",과천시 가볼만한 곳 과천여행지 추천 서울 사당 바로 아래 있는 과천은 서울이라고 불릴 정도로 가까이 있으며 경마공원 및 대공원 등은 한번쯤은... #자녀와가볼만한곳 #데이트코스 로 #과천여행 을 소개합니다. 관악산 경기의 소금강인 #관악산 은 빼어난 기암절벽과 울창한 산림이 어우러진 해발...,2020. 11. 11.
가지 마세요 눈에 양보하세요! 추분맞이 경기도 랜선 가을여행,"과천 서울대공원 경기도 과천시 대공원광장로 102 서울대공원은 동물원, 식물원, 테마가든, 치유숲 등 다양한 장소가 함께 자리한 곳인데요. 그래서... 단풍과 함께하는 경기도 여행지는 어떤 모습으로 바뀌어있을지 기대됩니다. :) 만약 가을 여행지에 방문하신다면! 사회적 거리두기를 잘 지켜...",2021. 9. 23.
경기 과천 아이랑 갈만한 곳 - 국립과천과학관 유아체험관,위치 : 경기 과천시 상하벌로 110 지하철 4호선 6번 출구 운영시간 : 평일 09:30 - 17:30 발권마감: 오후 4:30 (월요일 휴무) 주차 : 유료 이용요금... 아이와여행#아기랑여행#아기랑국내여행#서울근교여행#서울근교나들이#가족여행 #어린이체험#어린이과학관#국립과천과학관#유아체험...,2021. 10. 4.
과천시 지역화폐 가맹점,"농•축•수산품02-507-6431콜벤경기 과천시 가일로 18 1층 (갈현동)여행 - 기타교통수단02-521-0165몽피오레코리아경기 과천시 안골길 49, 지하1층(과천동)의류 - 정장02-796-5437토리헤어경기 과천시 중앙로 129 (중앙동,고려빌딩3층)보건위생 - 미용원02-502...",2020. 9. 12.
과천역과 그주변풍경 - 경기 과천여행,과천역(果川驛) 과천역(果川驛) (영어: Gwacheon Station)은 경기도 과천시 별양동에 있는 과천선의 전철역이다. 수도권 전철 4호선이 운행하고 있다. 개통 전의 역명 가칭은 별양동에 위치하여 별양역(別陽驛)이었다가 개통 후 현재의 역명으로 명명됐다. 2면 2선의 곡선 상대식 승강장이...,2020. 8. 12.
과천시 지역화폐 가맹점,"취미 - 화원02-575-4447주식회사발해경기 과천시 별양상가로 2 그레이스호텔상가 2층 213호(별양동)여행 - 관광여행02-507-3434다고원예(주)경기 과천시 물사랑로 232 (주암동)농업 - 비료,사료,종자02-504-2707부라운토마스경기 과천시 별양동 1-13 새서울프라자1층30신변잡화...",2020. 9. 12.
"작년 국내 여행 방문지 1위는 - 당일치기 경기, 숙박 강원 순","여행객들이 가장 많이 찾은 곳은 용인 에버랜드(275만4555명)였고 파주시 마장 호수(178만4161명), 양평군 두물머리(174만8814명), 과천시 서울대공원(121만6510명), 파주시 임진각 관광지(121만3929명) 순으로 조사됐다. 국내 여행을 숙박과 당일로 나눴을 때 경기도의 당일 여행 횟수는...",2021. 7. 4.
과천 카페 추천 나만알고 싶은 '언트',"카페 언트 경기 과천시 남태령옛길97, 1층 평일 10 ~ 20시 주말, 공휴일 11 ~ 21시 0507-1370-7714 (주차가능/지역화폐사용가능) 티맵 켜고 갔는데 생각보다... 위쪽으로만 사진 찍었어요.) 무심한듯 시크하게 플랜테리어.jpg 일부러 노트북 가져가서 일하는척.jpg 일하는 척은 아니고 곰님이랑 조만간 여행...",2021. 8. 24.
코로나 종식 후 가볼만한 경기도 관광명소 100선/수도권 여행 명소,비대면 시대에 여행은 쉽지 않은 현실이지만 코로나 종식 후 가볼만한 곳으로 경기관광공사가 제공하는 '경기도 관광명소 100선'을 소개한다.... - 주소: 경기 과천시 중앙동 출처: 과천시 문화관광 이밖에도 경기도 명소 100선에 포함된 과천시의 명소는 아래와 같다. - 국립현대미술관 과천...,2020. 9. 9.
과천시 지역화폐 가맹점,"(문원동)여행 - 렌터카플랜트플러스경기 과천시 물사랑로 214,1층 (주암동)문화.취미 - 화원02-504-5551헤어립경기 과천시 새술막길 36,303호 (중앙동,동성빌딩)보건위생 - 미용원02-504-3629노걸대경기 과천시 중앙로 436 (과천동)일반휴게음식 - 일반한식02-504...",2020. 9. 12.
서울 근교 숲 나들이 - 서울대공원 산림욕장 무료개방길,※업체 정보는 업체 사정으로 인해 변경될 수 있음 서울대공원 산림욕장 1.가는 방법 : 공항철도 서울역 - 4호선 환승 - 대공원역 하차 - 2번 출구에서 도보 8분 2.주소: 경기 과천시 막계동 산111-4 3.전화번호: 02-500-7114 4.관람시간: 3월~10월 09:00~18:00 11월~2월 09:00~17:00 5.이용료: 무료 (대공원 입장료를...,2021. 8. 30.
〔과천 가 볼만한곳〕 추사 박물관 & 과지초당 ㅡ 마지막 학문과 예술혼은 과지초당에서...,확실한데 금방 보고도 그의 업적은 벌써 머라속에서 다 나가 버렸네요 그나마 이렇게 기록을 해 두었으니 간간히 꺼내 봐야겠습니다 ★ 찿아 오시는 길 네비 ㅡ 경기 과천시 추사로 78(주암동) 대중교통 지하철 4호선 과천역하차~2번 출구 도보 126m 6번 마을버스~돌무개하차 도보 약100m Tel ㅡ 02 2150 3650,2021. 9. 17.
"국립과천과학관, 과학적 발견과 발명을 오감으로 체험하다",필자도 과거 혹은 미래로 시간 여행을 할 수 있었으면 하는 생각을 한 적이 있는데요. 가상 타임머신을 제작해 전시하며 아인슈타인이 상대성... 국립과천과학관 전화문의 02-3677-1500 주소 경기 과천시 상하벌로 110 국립과천과학관 영업시간 09:30 ~ 17:30(발권마감 오후 4:30) 휴무일 매주 월요일 휴무...,2021. 7. 16.
과천시 지역화폐 가맹점,"(별양동)서비스 - 여행02-507-3434위드경기 과천시 별양상가2로 20, 2층 17호(별양동, 새서울프라자)소매업 - 의류02-504-0173순남시래기(과천점)경기 과천시 별양상가1로 18, 지1층 3호(별양동,과천오피스텔)음식점업 - 한식02-502-3737원할머니보쌈경기 과천시 별양상가1로 10, 204호...",2020. 4. 23.
공룡 좋아하는 아이와 가볼만한 곳 / 경기도 공룡테마파크 공룡박물관 19곳 총정리...,"안녕하세요, 여행코디, 육아코디, 공룡에 한창 푹 빠져있는 5살 쌍둥이들의 엄마 러플입니다! 3살무렵부터 슬슬 시작되서 5살이 되어... 과천시 국립과천과학관 거 리 : 15km (from 서울시청) 주 소 : 경기 과천시 상하벌로 110 운 영 : 09:30 ~ 17:30 / 발권마감 오후 4:30 휴무일 : 매주 월요일 휴무...",2021. 7. 18.
과천과학 오늘은 미래상상관으로 떠나볼까요?,"하네요 경기 과천시 상하벌로 110 지하철 4호선 6번 출구 국립과천과학관 평일 09:30 - 17:30 발권 마감: 오후 4:30 어른(20~64세) /4,000원 청소년, 어린이(7... 우주로의 여행 국립과천과학관 메래 상솽관에서는 아이들과 떠나는 신기한 우주여행이 기다리고 있어요 재미있게 체험하고 놀다 보니 어느새...",2021. 8. 20.
[과천 카페] 마이알레 온실 카페,"경기 과천시 삼부골3로 17 매일 11:00~22:00, 매주 월요일 휴무 주차 무료 위치는 렛츠런파크 뒤쪽 편. 깊숙한 곳에 있어 차로 가는 방법 외엔 없을 것... 대형 카페들은 소리 소문 없이 손님이 떨어져 나갈 때 못 느낀다. #국내여행 #경기 #과천 #과천카페 #마이알레 #온실카페 #식물원카페 #2021년",2021. 7. 27.
