header,contents,date
경기광주시전원주택 3억대 알땅100평 마당/텃밭 넓은 집,"경기광주시전원주택 은퇴 후 부담없는 금액으로 서울 근교 전원주택 알아보시는 분이나, 골프, 여행 즐기기기 위한 세컨하우스 알아보시는 분이라면 추천드리는 곳으로 여러모로 가성비 좋은 현장입니다. 더 자세한 내용은 전화문의 주시면 친절하게 상담/안내 도와드릴게요. 궁금하신 점...",2021. 3. 23.
"(2021년 2월여행)1. 경기 광주시 여행. 가족과 등산! 칠사산! 광주 초월읍이 한눈에,","칠사산 : 고려말 학사 일곱 명이 알콩달콩 경기도 광주시의 중부 송정동에 위치한 산(고도 364m) 마눌님이 급검색해서 찾아간 곳은, 경기도 광주에 칠사산이라는 곳이었어요. 주차는 광주고앞 빈자리에 은근슬쩍~ 광주고 참 높은 곳에 위치해 있구나. 학교는 왜 항상 고지에 있을까요? 우리는 #칠사산...",2021. 2. 11.
[자전거 투어] 경기광주시 자전거길 추천 코스 완전정복!,중간에 쉬어가며 들려볼 만한 칠사산 경기 광주시 초월읍 지월리 경안천을 따라 중간지점까지 온 것 같은데요. 이제부터 자전거길을 시원하게 달릴 수 있는 이곳은 칠사산 산책로 정상까지 갈 수 있는 코스와 솟대 탐방로가 만들어져 있어 자전거 여행에서 함께 들러 보아도 좋을 것 같습니다....,2021. 5. 21.
"경기 광주시 실내크리닝, 카플러스DTA에서 해요","안녕하세요~ 집에 강아지와 아이를 함께 키우다보니 정말 정신이 없는 것 같다요 다함께 여행이라도 가려면 차가 북적북적 시끄럽고 더... 경기 광주시 실내크리닝, 에바크리닝은 카플러스DTA 강추해드려요!! 주소: 경기 성남시 분당구 야탑로149번길 18-6 #경기광주시실내크리닝, #냄새제거",2021. 9. 7.
"[경기/광주시] 마을미디어활용교육 'ZOOM회의 주관하기', 너른고을공동체네트워크",특히 올해는 경기도 마을공동체지원센터의 ‘경기도 마을공동체 네트워크 지원사업’에 선정되어 경기도 광주시 활동가들의 마을공유여행 및 마을 공동체 발굴과 정보를 교류하며 아카이빙을 진행중입니다. 그런 의미에서 이 날의 ‘ZOOM 회의 주관하기’ 교육이 넓은 광주지역...,2021. 6. 28.
가을단풍여행 경기도 광주시 곤지암가볼만한곳 곤지암리조트스키장 경기단풍명소 LG...,가을단풍여행 경기도 광주시 곤지암가볼만한곳 곤지암리조트스키장 경기단풍명소 LG 상록재단 화담숲단풍축제 경기단풍명소인 LG 상록재단 화담숲의 11월 8일 풍경입니다 경기도의 광주시 곤지암에 자리하고 있는 화담숲은 LG 상록재단이 설립해서 운영하고 있는 수목원입니다 입장료는...,2020. 11. 15.
경기광주시 곤지암 초월읍 주택 하수구 막힘 고압세척 진행 했어요,경기광주시 곤지암 초월읍 주택 하수구 막힘 고압세척 진행 했어요 비가 조금이기는 했지만 내리면서 더위를 한풀 꺾어간 것 인지 조금은 시원한 날을 맞이 했습니다. 요즘에는 휴가철 이어서 여행을 가는 사람도 있지만 그와 반대로 여행을 하지 않고 집 안에서 휴식을 취하는 분들도 확인을 할 수...,2021. 8. 3.
[경기광주 취룡]목현동맛집/경기광주맛집/경기도광주시맛집/중국집추천,갑자기 여행온기분..?ㅋㅋ 내부도 굉장히 넓다!! 룸처럼 되어있는곳도 있고 2층도 있어서 자리는 넉넉스~ Previous image Next image 메뉴가 다양해서... 자리가 넉넉해서 가족단위로 오기도 넘 좋을 장소 취룡 주소-경기 광주시 이배재로 308 전화번호-031-768-3555 영업시간-매일 11:30 - 22:00 라스트 오더 21:30...,2021. 10. 11.
경기광주시푸들분양 12월 기분좋은 소식♡,강아지에 대해서 문외한인 우리 가족들이 경기광주시푸들분양을 받았는데요 아들이 너무 조르는 탓에 어쩔 수 없는 결정이었습니다.. 남편이랑도... 가족여행갈 때 유용하게 사용할 수 있을 것 같았어요 호텔비용도 알아보니 1박에 3만원 정도더라구요 꽤비싸죠 강아지 이름을 아직도 못지었습니다!!...,2020. 12. 16.
"[경기/광주시/도척면] 화담숲, 추천, 서울 근교 광주시 가볼 만한 곳","화담숲 031-8026-6666 경기 광주시 도척면 도척윗로 278-1 5월의 마지막 날인 월요일, 휴가를 내고 유명하다는 화담숲을 방문했다.. 주말에는 정말... 경기도에 위치하고 있으니 서울 근교로 여행하기 좋은, 당일치기로 다녀오기 좋은 화담숲 방문도 한 번 생각해 보시길",2021. 8. 28.
