header,contents,date
경기 구리시 유모차세탁 너무 깨끗해서 새거인줄 - 베베드클린 추천,새 거 인 줄 너무 놀라 이건 후기를 안 쓸래야 안 쓸 수가 없어서 경기 구리시 #방문수거유모차세탁 추천 베베드클린 첫째 돌 지나고 해외여행 가기 위해 산 #세스토유모차 그리고 4년이 지나서 둘째가 돌 지나 휴대용세스토유모차 타고 다니는데 너무 지저분 한 거예요 특히 세스토 유모차 발판 쪽...,2020. 7. 31.
[경기/구리시] 공동육아 마을공동체 '여우지(여기우리지금)'의 환경지킴이 활동,"‘여기 우리 지금’이라는 뜻의 ‘여우지’는 3년 전에 결성돼 공동육아는 물론 엄마들의 지역 모임이기도 하고 아빠들까지 함께 모여서 여행도... 취재영상 : 구리시 갈매천 환경지킴이 아이들 글, 사진 : 경기도마을공동체지원센터 홍보서포터즈 한은희 경기도마을공동체지원센터란? 경기도민이...",2021. 6. 18.
"구리10경, 구리시 고구려대장간마을 /주차장정보","경기 구리시 가볼만한곳 10곳중의 하나인 고구려대장간마을이다. 안시성등 많은드라마, 영화촬영지이기도하다. 구리시 아천동에 있는... 주말 뚜벅이여행이다 유료가 무료개방으로 바뀌었다 2021.8 https://m.blog.naver.com/yangklee/40098968182 2010년 1월 겨울 고구려대장간마을 폿팅 11년전이다...",2021. 8. 22.
"서울근교 갈만한곳, 구리시 아차산 고구려대장간마을","천 년이 넘는 세월을 마치 시간여행 하는 것 같은 느낌도 들고, 그래서인지 묘하게 이국적인 분위기도 느껴지더라고요. 구리시고구려대장간마을 주소 : 경기 구리시 우미내길 41 운영시간 : 09:00~18:00 연중무휴 (17:00 입장 마감) 입장료 : 무료 오는 방법은 대중교통 이용시 구리역 / 강변역 / 광나루역...",2021. 6. 1.
서울 근교 여행 :: 2021 경기 정원문화 박람회 (구리 장자호수공원),참고로 박람회 장소인 구리 장자호수공원은 전철과 버스로도 쉽게 방문할 수 있어 뚜벅이 여행자들도 부담 없이 서울 근교 여행을 즐겨보기에... 열릴 경기정원문화박람회 가로등 배너를 곳곳에서 볼 수 있었다. 이번 행사는 작가나 조경 전공인 대학생들 외에도 구리 시민들의 참여로 조성된...,2021. 9. 13.
여행 가는 느낌 구리 퇴계원 카페 <힐라비> 남양주 별내 근처,푸른 숲속에 있는 느낌이라서 꼭 여행온 것 같은 카페인 힐라비에 다녀왔어요. 사실 별내에서 밥먹고 남양주 별내 카페인 줄 알고 갔는데 정확한... #힐라비 주차 : 가능 위치 : 경기 구리시 금강로199번길 112 전화 : 031-563-3223 매일 운영 그럼 남양주 별내 근처 카페인 힐라비 내부로 들어가볼까요?...,2021. 7. 26.
경기도 아이와 가볼만한곳 구리시 고구려대장간마을 드라마 촬영지,경기도 아이와 가볼만한곳 구리시 고구려대장간마을 드라마 촬영지 안녕하세요. 네이버 인플루언서 호미숙 여행작가입니다. 코로나로 아직 나들이나 여행이 수월하지 않지만 답답함을 달래려 서울과 가장 가까운 구리시를 다녀왔습니다. 특히 아차산 입구인 아천동의 고구려대장간마을인데요....,2021. 4. 6.
[경기도 구리] 고구려 대장간 마을 #구리시산책,3월의 어느 날 가족들이랑 산책 겸 데이트 겸 작은 여행을 다녀왔습니다! 고구려 대장간 마을 경기 구리시 아천동 316-47 구리시에 오래 살았는데 이 날 처음 방문했어요ㅋㅋㅋㅋㅋ 여기서 드라마 촬영 많이 하더라구요! 옆에는 아차산? 산책로도 있고 뭔가 신기했어요:) 산이 깍여서 그런가?...,2021. 4. 18.
"아차산, 구리시 카페 모던기와커피 한옥 카페 한강 전망 좋은 곳 데이트 코스",데이트 #아차산 #구리시카페 #구리카페 #모던기와 #모던기와커피 #아차산카페 #한옥카페 #전망좋은곳 #한강뷰 #데이트코스 #서울근교데이트 #서울근교드라이브 #서울근교카페추천 #서울근교드라이브카페 #서울근교데이트 #경기도데이트코스 #경기도여행지추천 #한강데이트 호미숙 여행작가 경기도...,2021. 2. 24.
가을엔 등산 어때요? 서울 등산 초보 코스 추천! BEST 5,"아차산 & 용마산 높이: 285m 소요시간: 약 3시간 / 높이: 348m 소요시간: 약 3시간 아차산과 용마산은 서울 광진구와 경기 구리시 사이에 위치해 있기 때문에 어느 곳에서 등산을 하더라도 결국 같은 정상을 오를 수 있는데요! 대중교통으로 이용하기 좋고, 경사가 가파르지 않아 편하게 등산할 수...",2021. 10. 8.
