header,contents,date
"(군산3GO여행), 우리동네 반찬가게(경기 김포시), 빅데이터랭킹맛집(수도권...",3GO - 군산 3GO 여행 편 ▶ <추억의교복입고 바이크타자> 주소: 전북 군산시 옥도면 선유북길 111 번호: ***-****-**** ▶ <몽돌해수욕장... 우리 동네 반찬 가게 - 26년 솜씨로 펼쳐낸 필승의 레시피 편 ▶ <키친프라임> 주소: 경기 김포시 감정로 22 보니타 2동 101호 번호: 070-7543...,2021. 9. 10.
"[경기IN] 김포시, '2020 청년여행 공모전' 개최",김포시청 [경기IN=오효석 기자] 김포시가 지역청년들의 문화생활 지원과 김포지역 관광사업 활성화를 위해 ‘2020 청년여행 공모전’을 지난 13일 사우청년지원센터에서 개최했다. 이번 공모전은 2019년 청년정책 공모전에 입상한 김포청년여행 지원사업을 시정에 반영한 사업으로 청년들이 여행...,2020. 10. 15.
"경기 김포시, 김포봄꽃여행, 한강신도시 공원으로 떠나요!",[미디어이슈=박종완 기자] 김포시에서는 코로나-19의 장기화로 침체된 관내 화훼 농가를 살리고 시민에게 활기찬 공원환경을 제공하기 위해 한강신도시 공원 4개소에 봄꽃 식재를 완료했다고 밝혔다. 이번 봄꽃 식재는 겨우내 쌓였던 잡초를 제거하고 거름을 주는 1차 사전 작업과 관내 화훼...,2021. 4. 13.
경기 김포시 양촌읍 식물원 카페 글린공원,인천 무의도 당일 여행의 마지막 코스 경기도 김포시 양촌읍에 있는 물고기와 식물들이 많은 식물원 같은 글린공원에 다녀왔어요. 주말에는 자리 잡기가 어려워서 일찍 오거나 오후 6시쯤 넘으면 코르나로 3명이상의 인원수 가족분들이 카페를 떠나야해서 자리를 찾기 좋은 시간대인것 같아요....,2021. 9. 13.
『김포가볼만한곳: 당일치기 알찬 여행코스』 - 2020 김포시 SNS 콘텐츠 공모전...,경기 김포시 대곶면 대명리 이렇게 대명항까지 돌아보면 당일치기 김포여행이 끝이 납니다. 어땠나요? 알찬 김포여행이었나요?! 다음에는 더 알찬 여행정보로 돌아올게요! 이웃추가와 좋아요는 제게 큰 힘이 됩니다. 감사합니다.,2020. 10. 26.
"서울 근교 드라이브 카페리스트 (경기 파주, 양주, 김포시 위치)","나만 몰랐던 서울 근교 드라이브 카페 경피 파주, 양주 김포만 나가봐도 여행온것 느낌드는 멋진 카페리스트 안녕하세요! 뷰티수 입니다.... 휴무 경기 김포시 양촌읍 석모로5번길 34 커피누베 6,500원 반려동물 동반 불가! 유모차 입장 불가! 문의전화 : 031 - 996 - 5177 우노커피 양주...",2020. 5. 2.
"김포시 장기도서관, ‘희희락락 인문학-영화 편’-경기도민일보","김포시 장기도서관, ‘희희락락 인문학-영화 편’ 경기도민일보 원은정 작가와 4회 김포시 장기도서관이 원은정 작가와 함께 오는... 행복 여행’과 행복에 대한 나만의 정의 찾기로 구성됐다. 프로그램 접수는 전화로만 가능하며 자세한 사항은 김포시립도서관 홈페이지(www.gimpo.go....",2021. 1. 12.
경기 김포시 걸포동 오스타파라곤 전동 썬스크린(롤스크린) 시공 후기,"휴가철이라 많은 분들이 국내 여행을 계획하고 있거나 이미 즐기고 계신 분들도 많으실텐데 비 피해 없이 모두 안전하게 즐거운 휴가 보내셨으면 좋겠어요. 오늘은 경기 김포시 걸포동 오스타파라곤에 시공한 전동 썬스크린(롤스크린) 포스팅을 하려고 합니다. #전동 썬스크린, #전동 롤스크린...",2020. 8. 4.
경기 김포시 하성면 수로에 차량빠져 ...남성 운전자는 실종,[아시아뉴스통신=윤의일 기자] 경기 김포시 하성면 봉송리 봉송수로 에 24일 12시 40분경 스포티지 차량이 하천변에 빠져 남성운전자는 실종된... #드론플라이 #항공촬영 #사진촬영 #여행사진 #여행영상 #협동조합 #친철한가게 #불친절한가게 #전국맛집 #전국여행추천 #카메라 #동남아여행...,2020. 7. 25.
덕포진교육박물관(경기 김포시 대곶면 덕포진로103번길),덕포진교육박물관(경기 김포시 대곶면 덕포진로103번길) ◆ 1996년 김포에 문을 연 덕포진교육박물관에서는 어릴 적이나 학창 시절 추억을 떠올릴 수 있는 곳입니다. 7000여점의 전시품이 옛 생활상을 보여주고 과거로 시간 여행을 떠나게 해줍니다. 김동선·이인숙 관장은 수업도 진행합니다....,2020. 6. 18.
