header,contents,date
경기 남양주시여행 남양주시가볼만한곳 남양주시 관광명소 명승 제109호 운길산 수종사,경기 남양주시여행 남양주시가볼만한곳 남양주시 관광명소 명승 제109호 운길산 수종사 경기도 남양주시의 조안면 송촌리에 운길산 산정 가까이 자리한 운길산 수종사는 명승 제109호로 지정되어 보호되는 국가지정문화재입니다 이곳은 남한강과 북한강의 두 물길이 서로 만나는 두물머리가...,2021. 8. 27.
경기 남양주시 수동면 카페 마이포터리(My Pottery),"해외여행이 고픈 요즘 기분 전환하기 딱이었어요 주문받으시는 카운터 공간 역시 감성이 남달랐는데요 급하게 일이 생겨 테이크아웃하기로... 도예 배우러 꼭 다시 오고 싶어요 (⸝⸝⍢⸝⸝) ෆ 마이포터리(my pottery) 경기 남양주시 수동면 입석리 314-10 평일 및 주말 11:00-20:00 월요일, 화요일 휴무",2021. 8. 15.
경기 남양주시 다산중앙로 쌀국수 맛집 '타논55',경기 남양주시 다산중앙로 쌀국수 맛집 '타논55' by. 지니얌얌 요즘 다이어트중이라 (네?ㅋㅋ) 간이 쎄지 않은 음식들을 주로 먹는중인데 쌀국수... 날씨가 너무 좋아서 더더욱 여행 온 느낌 ㅠㅠㅠㅠㅠ 다산신도시맛집 타논55 메뉴판! 너무 먹고싶은게 많아서 엄청 고민을 했다. 고민 끝에 기본...,2020. 4. 15.
경기도 남양주시 재난기본소득 - 경기지역화폐카드 왜 안오는거야 대체?!?,"일단 경기도 남양주시에서 준다는 것은 총 4가지로 보인다, 하나, 정부 : 소득하위 70%에게 지급 (가구원수에 따라 차등 ) 둘, 경기도 재난... 생일잔치, 여행, 결혼식 모든게 취소 및 줄줄이 연기됨에 따라 제 부업에도 지장을 겁나게 크게 받았었습니다 아주 다행이도 이사와 겹쳤던지라, 집...",2020. 4. 22.
경기도 여행 ● 남양주시 나들이 ●,"경기도 여행 ● 남양주시 나들이 ● 가끔 서울 사람들은 시골이 그립고, 시골 사람들은 서울을 그리워한다. 그래서 두 마리 토끼를 다 잡으려고 서울서 가까운 전원도시를 찾는 사람들이 있다. 나 역시 서울에서 그리 멀지 않으며 경치 좋은 곳이 많은 남양주 퇴계원에 산다. 경기 양주군에서 분리된...",2020. 3. 3.
"낭만포터 0819 : 경기 남양주시 진접읍, 경기 이천시 증포동","경기 남양주시 진접읍에서 가구 상차합니다. 계속 상차 대기 중... 배차 내용과 화물이 다릅니다? 배차내용(테이블과 의자 세트) 헌데...의자 2개 끝? 무슨 일인지는 모르겠지만 이것만 가져가라네요! 혼적보다 더 작은 독차입니다. ㅋㅋㅋ 진짜... 그물, 호루 뒷문 어떤 것도 건들지 않고... 경기 이천시...",2021. 8. 19.
8/2일부터 삼육대 후문으로 오시면 됩니다! <경기 남양주시 불암로 41-58>,코로나로 여행이 힘든 이 시기 린테에 오셔서 시원한 발리 함께 느껴보아요...>< 가족들과 친구들과 함께 할 수 있는 테이블도 마련되어 있고... 경기 남양주시 불암로 41-58 로 오세요!!!!! 기다리고 있을께요!! 정성 가득한 디저트는 언제나 별내 린스테이블 http://instagram.com/lyn_s_table,2021. 7. 30.
"금선사(남양주) - 경기 남양주시 사찰여행, 중국 구화산에서 지장보살을 모셔와 봉안한...",중국 구화산에서 지장보살을 모셔와 봉안한 지장기도도량 금 선 사 (남양주) 경기도 남양주시 화도읍 금남리 783-1에 소재하고 있는 금선사(金仙寺)는 대한불교 일붕종 사찰로 30여년전에 홍산 스님에 의해 창건되어 현재도 불사가 진행중인 신흥 명찰이다. 금선사는 중국 구화산에서 지장보살 좌상을...,2021. 1. 13.
[경기도 남양주시 여행] 더버드 펜션,경기도 남양주시 커플펜션 추천 더버드 펜션 @또니 안녕하세요:-) 과거 여행들을 올리다가 갑자기 또 귀차니즘이 재발해서 안 올렸네요 그래서 다시 올려보려고 글을 쓰는 중 입니당 오늘 휴무라 외출하려고 했는데 몸이 침대에 붙어서 안떨어지네용 ㅋㅋ 제가 오늘 추천할 펜션은! 경기도...,2020. 3. 30.
경기지역화폐 사용처 - 남양주시 가맹점 사용법 정리,"4월 11일 기준 남양주시에 검색되고 있는 경기지역화폐 사용처입니다. 1. 숙박 : 154개 매장 (여관, 모텔, 호텔, 펜션, 민박, 야영장, 산장, 캠프, 글램핑장 외) 2. 여행 : 49개 매장 (여행사, 렌터카, 버스샵, 리무진, 콜밴 외) 3. 레저 : 1283개 매장 (당구장, 골프연습장, 낚시, 키즈카페, 필라테스...",2020. 4. 11.
