header,contents,date
"[경기IN] 동두천시, 여름철 대비 특별방역기간 운영","동두천시청 [경기IN=오효석 기자] 동두천시는 코로나19가 장기화됨에 따라 시민의 피로감과 스트레스가 누적되고, 방역 긴장도는 이완된 상황에서... 동두천시 보건소장은 “여름철 휴가기간을 맞이하여 모임, 여행, 행사를 즐기는 시민이 많아져, 코로나19 확산이 급증할 수 있다”며, “나들이 후...",2021. 6. 24.
"낭만포터 0610~11 : 경기 동두천시 지행동, 경기 남양주시 와부읍","경기 동두천시 지행동 상차대기. 상차지 장소변경;; 에어텐트와 자충 매트 싣고, 내일은 남양주 와부읍에 있는 텐트 세탁업체로 갑니다~~^^;; 캠핑이 한창이신가 보네요... 장박 텐트, 세탁, 장비 이삿짐 지겨워서 졸업했는데... 그래도 그 감성이 좋은 덕분에 지금은 전원생활 하지만요... 기억이...",2021. 6. 10.
동두천시 가볼만한 곳/동두천 여행지 추천,#동두천가볼만한곳 #동두천여행 #아이와함께가볼만한곳 #연인들데이트코스 동두천 관광지도(2021년 기준)_ 클릭! 동두천 관광 가이드북(2021년 기준)_ 클릭! 1. 경기 북부 어린이박물관 2. 자유수호 평화박물관 3. 월드 푸드 스트리트 (동두천시 외국인관광특구) 4. 동두천 자연휴양림 5. 소요산 6. 소요...,2021. 6. 29.
[2021년 9월호] 동두천시 주요 소식,"2021년 양성평등상 시상식은 오는 10월 중 코로나19 상황을 고려하여 (사)경기도여성단체협의회 동두천시지회 주관으로 실시할 예정이다. 일과... 2/9/16/30일) 3-4세, 5-6세 각 10가족 (추첨) 꿈나무정보도서관 ""서점 여행"" 참여기관 2곳 이상 여행수첩 방문 스탬프 또는 영수증 부착 - 홍보물...",2021. 9. 8.
"[동두천연천신문]동두천시 두드림 장애인학교,제주도로 수학여행 떠나.....","이번 여행은 장애인 학습자들을 위한 동두천시의 지원으로 떠나게 된 가을맞이 현장학습으로, 장애인 스스로 지역사회 구성원으로 발돋움할 수... 농업경영인 동두천시연합회, 어려운 이웃 위해 “사랑의 쌀” 전달 민주평화통일자문회의, 2020년 하반기 경기지역 4권역 자문위원 연수 개최...",2020. 11. 14.
특별한 동두천시 외국인관광특구 에 아름다운 그래피티가...,"잡화상 같은 여러가지 옷상점은 외국여행중에 만났던 그때의 상점과 비슷 합니다. 그러나 ~~~ 거리는 너무나 조용하고 정적이 흐르는 이유는... 이곳은 동두천시와 경기문화재단 경기도미술관이 함께 도심재생사업 으로 그래피티아트와 환경작품,공공디자인, 거리축제를 통해 쇄락한 도심을...",2020. 11. 6.
소요산 별&숲카페 분위기좋은 동두천시카페 강력추천,"곳이었습니다~ 경기 동두천시 상봉암동 15 매일 09:30 - 21:00 토,일은 09:00 부터 입니다 주차장은 별&숲 테마파크와 같이 사용할 수 있어서~ 여유롭게... 별&숲카페 행복함이 느껴지는 카페 #동두천시카페 #소요산카페 #별&숲카페 #별앤숲카페 #카페추천 #추천카페 #수제차카페 #캠핑장카페 #4월여행...",2021. 4. 3.
[경기문화재단:문시기3기]_경기 북부 어린이 박물관 방문기!,"경기 북부 어린이 박물관 경기 동두천시 평화로2910번길 46 소요산 역에서 내려 도보로 약 15분 이동했습니다-! 사전 예약 하였고, 입장 전에는... 경기 북부 어린이 박물관 꽤 멀리 있지만 체험학습으로 오셔서 동두천, 소요산 근처 여행하시는것도 좋을 거 같아요! 온가족이 즐거울 경기도북부어린이...",2021. 10. 11.
안전하게 여행하자! 언택트 관광 - 경기 1편,안전하게 여행할 만한 경기도 언택트 여행지를 소개합니다~! 동두천자연휴양림 2020년 7월 1일 개장한 동두천자연휴양림은 가족들과 함께... ○ 위치 : 경기도 동두천시 탑동가산로 1 ○ 문의 : 031-860-3259 ※ 내용 : 입장금지/숙박객 입장 및 환불가능 (2020.8.22 ~ 2020.9.5) 한탄강 주상절리길...,2020. 8. 27.
동두천맛집 미군부대근처 하스케밥(Ha’s kebap),경기 동두천시 평화로 2553 031-862-3869 몇시부터 여는지는 잘 모르겠숴여 저는 2시쯤 방문했답니다. 미군부대근처는 처음와봐서 근처에 오니 너무 신기하더라구요. 이태원보다 더 양키느낌 가득(?) 간판들이 다 영어로 되어있고 바버샵 모델사진도 다 외국인 ㅋㅋㅋㅋ 진귀한 풍경에 동두천 여행온...,2021. 10. 4.
