header,contents,date
"[경기여행]늦은 가을 실개천이 흐르고 유유히 노니는 물고기도 볼 수 있는 ""부천시 남부...",경기 부천시 연동로 89 돌아오는 길에 야생화 작은정원 앞을 지나게 되어 구경을 하게 되었는데 주인장의 허락을 구하고 사진을 담아 보았습니다. 아파트에 옮겨 놓고 싶은 아기자기 이쁜 야생화들이 참 아름답습니다. 20년째 가꾸고 계시다고 하는데 참 정성이 대단한 것 같습니다. 옥길동으로...,2020. 11. 7.
경기 부천시 초등생 딸 보는 앞에서 아내 살해 40대 징역 12년,"A씨는 지난 2019년 9월 아내 B씨가 자신 몰래 지인들과 여행을 다녀온 뒤부터 갈등을 빚은 것으로 조사됐다. 현장에서 범행 장면을 목격하고... 파국으로 치닫지 않기 위해 노력한 점 등을 고려했다""고 밝혔다 #경기부천시아내살해40대징역12년 #부천시초등생딸보는앞에서아내살해40대징역12년",2021. 2. 18.
경기 부천시 원미구 중동 유치원 X477 고속 복합기임대 리뷰,요즘 날씨도 너무 좋고 어디 여행가고 싶은 하루하루네요~~ 저희 프린터마트는 오늘 부천시 원미구 중동에 위치한 ***유치원 복합기임대 설치 도와드렸습니다. 후기사진 첨부할게요~~^^ 안쪽 사무실에 설치한 사진들 입니다. 저희 고속복합기로 도움으로 출력많이 하시고 사업 대박나세요 원장님...,2021. 4. 22.
"2021년 2월 26일 생방송 투데이-보고먹고즐기고(영덕), 우리동네반찬가게(경기 부천시)...",3GO - 영덕 3GO 여행 편 ▶ <삼사해상산책로> 주소 : 경북 영덕군 강구면 삼사리 ▶ <김가네식당> *물가자미 한상 주소 : 경북 영덕군... 우리 동네 반찬 가게 - 20년 솜씨와 고집으로 완성한 일품 반찬 편 ▶ <엄마손 반찬> 주소 : 경기 부천시 길주로 77번길 61 번호 : 032-325-4545...,2021. 3. 1.
[부천재생토너/삼성레이저재생토너]경기 부천시 원미구 중동 사업장 SL-M2870FW...,안녕하세요~^^ 무한프린터.무한잉크공급기.프린터임대 프린터수리.팩스복합기.가정용프린터.복합기렌탈 재생토너.칼라토너.삼성칼라토너.복합기토너 전문점 하 나 전 산 입니다 여행이 즐거우려면 가벼운 마음으로 여행을 하면 된다. 삶도 마찬가지다. 가볍게 살면 된다. 경기 부천시...,2020. 1. 17.
부천시 맛집 제철 음식 주꾸미가 보약이야~,누룽지를 먹었어요 마지막으로 누룽지를 맛보니 소화도 되는 것 같고 한 끼 든든하게 먹은 기분이 확실하게 들었습니다 점심 식사로 엄마들 모임이나 회식하기에도 좋은 부천시 맛집 해물명가 구룡포를 소개해봅니다 ^^ 전화번호 032-215-0425 주소 경기 부천시 부천로 478번길 108 영업시간 매일 11:30~23:30,2020. 4. 13.
경기 부천시 중동 방콕익스프레스에서 냠냠,평점 안녕하세요~ 승구입니다 ㅎㅎ 오늘은 원래 친구들과 태국을 가려고 했었는데 코로나 때문에 여행을 취소했었거든요 ㅜㅜ 그래서 태국 음식이라도 먹어보자! 해서 방콕익스프레스를 다녀왔습니다. 1. 위치 위치는 부천 시청역 2번 출구 쪽에 있습니다. 2. 메뉴판 Previous image Next image 메뉴는...,2020. 3. 14.
경기 부천시 심곡동,해외여행을 계획했던 분들은 저처럼 너무너무 아쉬워 하실거 같네요 ( -᷅_-᷄) 하루빨리 코로나사태가 진정되길 바라면서.. 휴가를 갈 수 있길 바라면서.. 오늘도 열심히 하루를 보내봅니다.. 오늘도 저희 IP119는 랜공사를 위해 열심히 달리는 중이예요~ 오늘 저희가 방문한 곳은 경기도 부천시...,2020. 5. 12.
"50대 아빠와 20대 딸, 단둘이 여행할 수 있을까? -feat. 부천 당일치기 여행기",딸 PICK 모네정원 경기 부천시 고강동 185-3 인스타그램에 ‘부천여행’을 검색했을 때 데이지 꽃을 비롯한 수많은 예쁜 꽃들로 가득한 ‘인생샷 성지’를 발견하고 필자가 가장 먼저 기록했던 곳. 프랑스 유학 시절 파리 근교 ‘지베르니’ 여행 중 방문했던 모네 생가와 정원을 가족과 함께 가지...,2021. 6. 21.
랜선여행 지금은 볼 수 없는 영화 드라마 촬영지,부천 야인시대 세트장 주소 : 경기 부천시 상동 529-2 지금은 지하철 7호선이 다니는 삼산체육관역 한국만화박물관 건물 옆에는 2000년대 초에 방영되고 전국적인 신드롬을 얻었던 랜선여행 장소는 드라마 야인시대 세트장이 자리하고 있었습니다. 지금도 심심하면 케이블 방송에서 방영될 정도로...,2021. 8. 26.
구해줘홈즈 71회.자전거가족의 경기부천시 전셋집찾기.고급스러운 웨인스코팅?!...,시간여행온듯 창살까지 옛감성으로 여긴 진짜 모차르트가 살았던곳같아요 조모차르트로 급빙의 이연주를 그냥들을수없지 피아노선율 조명 꽃 썰어야제맛이징 갑자기 분위기 경양식집 고기를 썰었으면 어디서만들어요? 시원한 오픈형주방 'ㄷ'자 형태의 넓은주방공간 3인쓰기 충분한...,2020. 8. 17.
매일같이 새롭고 최고의 퀄리티를 자랑하는 부천 꽃집 꽃블리 부천역점,"한동안 여행에 일에 정신없었기에 어머니께서 같이 안 다녀준다고 마음이 단단히 상해 있었다. 그래서 이거를 어찌 풀어줘야 할지 고민하던 중... 꽃블리 부천점 OPEN : 최소 정상 영업시간 11:00 ~ 20:00 이용은 주말 휴일 상관없이 이용 가능 (배송, 배달, 택배 가능) 경기 부천시 심곡동 385 3층 333호...",2021. 10. 11.
"무장애 경기관광, 장애인과 비장애인이 모두가 행복한 여행! -스마일시니어 시흥...",한국만화박물관 경기 부천시 운영 : 운영시간 10:00~18:00 문의 : 032-310-3090~3091 부천시 수어통역센터 : 032-328-5017 홈페이지 : http://www.komacon.kr... 여행 #관광지 #무장애관광지 #스마일시니어시흥 #스마일시니어시흥재가방문요양센터 #경기도 #여행지 #경기도여행 #경기도여행지,2021. 6. 16.
우리는 경기지역화폐로 여행을 합니다. 전통시장 매력 백배 즐기기,"원종 종합 시장 마지막으로 방문한 곳은 경기도 부천시 원종 종합 시장입니다. 원종 종합 시장은 1980년도에 건물을 지어 현재 54개 점포에서 143명이 영업을 하고 있는데요. 역사가 짧은 시장이지만, 상인들의 단결력이 높은 곳으로 하루에 시장을 찾을 수 있는 유동인구가 약 10만 명 이상이라고...",2020. 4. 13.
송내역 - 경기 부천여행,"경기도 부천시 송내대로 43 (송내동)에 위치한 역이다. 역 위치가 상동과 송내동의 경계라서 북광장 쪽은 상동, 남광장 쪽은 송내동이다. 부천시가 부천트램의 시종착역으로 추진하고 있다. 송내역 주변 정보 1990년대 초 중동신도시 개발 이전만 해도, 최초 개업 후 20년간은 수요가 거의 없는...",2020. 11. 11.
부천왁싱 내몸을 쾌적하게,다음에는 그 시간대에 방문해서 할인 금액으로 받아봐야겠당 캬캬 ㅎㅎ 여행 전 깔끔하게 준비를 할 수 있도록 도와주신 친절하신 원장님의 친절함과 실력에 반해 다음에 또 쾌적하게 포에버왁싱에서 받기로 결심!!! 포에버왁싱 연락처: ***-****-**** 주소: 경기 부천시 길주로 199 6층 611호 포에버왁싱...,2021. 8. 25.
경기도 부천시 더 고려호텔,오늘의 핫한 여행상품 경기도 부천시 더 고려호텔 입니다 가성비와 상품평 및 판매율이 좋은 상품입니다 17개의 이용자들의 상세한 리뷰가 달려있습니다 쿠팡에서 예약시 최대 할인혜택과 쿠팡 포인트 적립까지 두가지 혜택을 모두 받을 수 있어서 좋아요 경기도 부천시 더 고려호텔 지하철도...,2021. 8. 21.
가성비좋은 신중동역 맛집 모음,"여행을 좋아하는 사진작가 부부 사장님이 운영을 하시는데 음식도 주기적으로 바뀌고, 아기자기한 분위기가 너무 이뻐요. 5. 오빠초밥 심쿵세트 35,000원 / 정식메뉴 8,000원 주소 : 경기 부천시 신흥로 199 전화번호 : 032-327-5858 영업시간 : 매일 11:30 ~ 24:00 저녁에는 경찰서사거리 뒷편에 있는...",2021. 5. 29.
부천시 신중동역 떡볶이 맛집 유성즉석떡볶이,그렇지만 경기도 여행하면서 너무 많이 먹었는걸? 그래서 산책할 겸 걸어가자 해서 미리 검색해놨던 유성즉석떡볶이 집으로 향했다.... 가성비 최고 혜자스러운 즉석떡볶이집이라서 또 설레서 허겁지겁 왔지 유성즉석떡볶이 중동점 경기 부천시 부흥로 315번길 52 다복빌딩 101호 032-321-2011 평일 11...,2020. 11. 19.
경기가볼만한곳 부천무릉도원수목원 나들이추천,"장마가 거의 끝나갈 때쯤, 비와서 집에만 있던 날이 더 많았던 요즘이라 하루종일 비가 안 온다고 하길래 외출하게 되었어요 집에서 30분거리에 있는 부천무릉도원수목원에 다녀왔습니다 부천자연생태공원 경기부천시 길주로 660 (문의 032-320-3000) 주차유료 *참고로 부천자연생태공원은...",2020. 8. 16.
[부천아트벙커B39] 쓰레기소각장의 재탄생 실내 복합문화공간,"부천아트벙커39 경기 부천시 삼작로 53 아니, 부천에 이런 곳이!? <문화의 도시,부천> 이라고 하더니..^^ 아주 멋진 문화복합공간이 있어서... 저흰 평일에 방문해서 아주 조용히~~ 관람을 할 수있었습니다:) #부천가볼만한곳 #부천아트벙커39 #부천데이트 #부천실내 #부천전시회 #전시회 #문화여행",2021. 9. 7.
경이로운 부천역 맛집 리스트!,"해외여행 때 먹어본 그 맛을 완벽하게 재연했던 곳이라 소개해 드리고 싶었어요. 1. 부천역 고베규카츠 메뉴 : 규카츠미니정식 15,000원/규카츠정식 18,000원 치즈카츠정식 12,000원 주소 : 경기 부천시 부일로 459번길 8 전화번호 : 0507-1405-6564 영업시간 : 11:30 ~ 22:00 브레이크타임 16:00~17:00 친구와...",2021. 7. 7.
"20210827 생방송 투데이 (2884) 담양 3GO여행 , 200가지 반찬 (경기 성남)...","3GO - 담양 3GO 여행 담양후산리명옥헌원림 전남 담양군 고서면 후산길 103 061.380.3752 죽녹원 전남 담양군 담양읍 죽녹원로 119... 국수 경기 부천시 자유로 39 (심곡본동 543-29) 032.612.6292 [BUS1] 부천역남부광장 / 부천 3, 6, 12-1, 20, 23-2, 53, 60-1, 83, 88, 015(마을), 안산...",2021. 8. 27.
카페 | 수제 디저트 맛집 부천 신중동역 브런치 카페 앤드류,수제 디저트 맛집 부천 신중동역 브런치 카페 앤드류 주소 : 경기 부천시 부흥로315번길 62 전화번호 : 070-7649-9288 / Andrew 강릉 여행 이후 오랜만에 만나는 돼식가 모임 부천 살면 한 번은 다녀와 봐야 한다는 부천 신중동역 브런치 카페 앤드류에서 모임을 가졌다 지선이는 일주일에 한 번 이상 꼭...,2021. 9. 28.
달달했던 부천 카페 소개,"벤치부터 돌담까지 제주감성으로 꾸며져 여행온 기분도 만끽할 수 있었어요. 이외 큼지막한 야자수는 물론 핑크뮬리까지 취향을 단박에... 1.랑데자뷰 부천역점 가격 : 얼그레이케이크 6,800원/딸기에이드 6,500원 주소 : 경기 부천시 부일로460번길 12 번호 : ***-****-**** 영업시간 : 12:00-23시59분 주차유무...",2021. 5. 22.
부천 숙성회 맛집 신중동역 점심 밥집 | 화연,화연 메뉴 : 편백나무찜(고기+해물+야채) 변동 / 숙성사시미 변동 주소 : 경기 부천시 신흥로 150 두산위브더스테이트 7단지 113호 전화 : 0507-1378-7188... 저희가 생각했던 것보다 가게가 아기자기하니 일본식으로 꾸며져 있어서 마치 여행온 것 같은 기분이 들기도 했어요. 메뉴를 주문하고 앉아있으니...,2021. 7. 1.
손색없던 부천 맛집 리스트,"부천 오라델떼 썸머라떼 6,500원 / 연유라떼 7,000원 주소 : 경기 부천시 길주로 1 1층 번호 : 032-327-7759 영업시간 : 매일 10:00 - 23:00 식사 후에는 잔잔한 감성을 온전히 누릴수 있다던 오라델떼를 찾았다. 직접 사장님이 로스팅한 원두로 내린 다양한 커피의 풍미의 맛볼 수 있어 신기했다. 직원들도...",2021. 6. 3.
역곡주민이 알려드려요! 역곡의 숨겨진 공간 9곳,"공원 한편엔 빼꼼의 머그잔 여행 영화를 배경으로 하여 꾸며진 공간이 있다. 영화 속에 등장하는 머그잔과 다른 여러 친구들을 만날 수 있다. ⑨ 역곡주방 경기 부천시 지봉로 79 1층 역곡주방 역곡주방은 공간을 대여해 주는 공유 주방이다. 이름은 주방이지만, 친구들과 혹은 연인과 함께...",2021. 4. 7.
"아이와 함께하는 여행 ""부천 한국만화박물관""","소근소근) 먼저 말씀드려야 하는건 이 여행기는 7년전 이야기에요. 그런데 인터넷을 검색해보니 지금도 이때와 달라진게 없어요. 이 글 보시고... 주소 : 경기 부천시 길주로 1 전화번호 : 032-310-3090 입장료 : 일반 5,000원 / 가족권(성인2, 어린이2) 15,000원 11월 24일에 올라온 관람 관련 공지이니...",2020. 12. 3.
