header,contents,date
[경기여행누림] 성남시 율동공원을 소개합니다,"이러한 장애물이 없는 여행을 '무장애여행'이라고 하며 '장애물', '문턱'이 사라져야 여행의 질이 더 높아질거라고 생각해요 ● 주소: 경기도 성남시 분당구 문정로 72 ● 운영: 매일 00:00 - 24:00 ● 전화: 031-072-8713 ● 입장료: 무료 ● 주차비: 주차장A, 주차장B (평일 3시간 무료 이후 10분당 100원 부과...",2020. 8. 4.
[경기IN] 성남시 도시재생사업 주민 공모…최대 1000만원 지원,성남시 도시재생사업 주민 공모 [경기IN=오효석 기자] 성남시는 오는 2월 15일부터 19일까지 지역 주민 모임 등을 대상으로 ‘도시재생사업’을... 태평동 마을 여행코스 개발’ 등 8개 사업을 선정했다. 당시 이들 사업에 지원한 사업비는 3500만원이다. <저작권자 ⓒ 경기IN 무단전재 및 재배포 금지>,2021. 2. 5.
경기 성남시 수정구 사송동 카페 호텔더일마(hotel theilma),해외여행이 어려운 코시국에 딱 어울리는 컨셉이었어요 진짜 호텔 리셉션처럼 성냥갑도 있고 카페 명함 같은 게 메뉴판 앞쪽으로 놓여 있더라구요... 추천하고 싶어요 호텔더일마(Hotel Theilma) 경기 성남시 수정구 사송동 482-2 평일 및 주말 10:00-19:00 월요일 휴무(대체공휴일이나 공휴일의 경우 정상영업),2021. 10. 2.
서울근교봄꽃나들이명소 경기 성남시 수정구 신구대학교식물원,서울근교봄꽃나들이명소 경기 성남시 수정구 신구대학교식물원 서울근교의 봄꽃나들이 명소의 하나인 신구대학교식물원입니다 깊어가는 봄기운을 느끼기에 좋은 장소로 경기 성남시 수정구 상적동의 적푸리로에 위치하고 있는 식물원입니다 신구대학교 농장을 2001년에 식물원으로 조성을...,2020. 4. 28.
"경기 성남시 분당구 정자역 근처 숙소, 골든호텔 추천","✔ 교육장소 한국신재생에너지협회 분당 교육장 (경기 성남시 분당구 성남대로331번길 13, 백궁프라자I 510호) 첫째날은 제일 저렴한 ㄴㅂㅇㅅ 했는데 방음 안되고 무튼 그래서 잠 설쳤다 (연박 안하길 잘했다) 또다른 숙소 알아보다가 법인카드 사용 제한때문에 좀 난처했는데 무튼 여기가 제일...",2020. 8. 12.
[맛집] 경기 성남시｜브런치 맛집 서판교 '플랩잭팬트리(Flapjack Pantry) 본점',"여행 가고파서 그래열.... 메뉴가 다양했지만 우리는 나눠먹을 거니까 샌드위치나 햄버거같이 먹기 불편한 음식들은 패스! 커피도 따로 마실... 전화번호: 031-8016-0168 주소: 경기 성남시 분당구 서판교로44번길 17-11 1층 (판교동 567-2) 영업시간: 매일 10:30 - 21:00, 라스트 오더 - 20:00 네이버",2020. 4. 29.
[SMT-T226] 경기 성남시 분당 '황제 베트남 이발소' 이카드밴 카드단말기 설치...,중국에 가면 마사지를 받아야 한다는 소리를 어디선가 들어서 방문을 해봤습니다 전신은 왠지 민망하고 여행의 피로는 풀어야겠고 해서 선택했던... 하지만 같이 갔던 친구들은 발 마사지에 기분 좋게 골아 떨어졌던 추억이라고 하더라구요 첫 경험의 기억과 함께 경기도 성남시 분당에 위치한...,2021. 3. 30.
"[경기/성남시] 스시야, すし家 (7)","스시야, すし家 @ 분당 copyright 2020 KZ middle all rights reserved < 지난 すし家 포스팅 > < > 사실 저는 굉장히 밖을 돌아다니기 싫어하기 때문에 여행벽에 도지지 않고서는 웬만하면 타지의 방문을 잘 하지 않는 편입니다. 그런 면에서 볼 때 굳이 '맛' 하나라는 가치 때문에 저를 이곳 분당까지...",2020. 3. 14.
최고의 등갈비찜 TOP 5 편 ▶<성원식당> 주소 : 경기 성남시 중원구 산성대로 80번길 5,3GO 인제 3GO 여행 편 #백담계곡 주소: 강원 인제군 북면 용대리 #우주스쿠버 *아이스다이빙 문의 주소 : 경기 안산시 단원구 동산로 63 B2... 주소 : 경기 성남시 중원구 산성대로 80번길 5 번호 : 0507-1415-3197 5 #양푼애등갈비 *방송된 순위를 제외한 나머지 순위 맛집은 아래...,2021. 1. 29.
[성남시 분당구 운중동] 성남시 재난연대안전자금 + 경기도 재난기본소득...,시골여행 경기도 성남시 분당구 운중동 55-4번지 031-703-7888 운중농원갈비 경기도 성남시 분당구 운중동 559-1번지 031-708-5522 판교슈퍼 경기도 성남시 분당구 운중동 55번지 031-704-8959 베일리수스튜디오(분당판교점) 경기도 성남시 분당구 운중동 885-4번지 031-708-6699...,2020. 4. 17.
