header,contents,date
"[지역N문화 테마여행] 경기 수원시 여행코스 :: 조선 최초의 계획도시, 수원화성","경기 수원시 여행코스 조선 최초의 계획도시, 수원화성 경기 수원시 조선 최초의 계획도시, 수원화성 *출처 : 수원관광 ""혼란을 잠재우고, 왕권을 드높여라."" 조선후기 정조가 왕위에 오르면서 많은 변화가 생겨납니다. 정조의 꿈과 함께 조선 최초의 계획 신도시 화성이 건설되는데요....",2020. 10. 13.
지지대 쉼터 - 경기 수원시여행,경기도 유형문화재로도 지정된 지지대비는 효성이 지극했던 정조의 마음을 담아 지금도 지지대고개 위에서 그 옛날 화려했던 왕의 행렬을 증언하고 있는 듯 서있다. 의왕시와 수원시의 경계가 된다는 것 외에 지지대비라는 역사적 숨결을 간직하고 있는 지지대고개를 찾아가보자. 지지대고개는...,2021. 3. 27.
"[경기IN] 수원시, ‘여행택시’ 운전자 발대식 진행","▲ 여행택시 운전자 발대식 © 경기인 【경기IN=강동완 기자】수원시가 4월 9일‘대한민국 테마여행 10선’ 1권역 여행택시 운전자 발대식을 진행했다. 여행택시는 대중교통을 이용하는 개별 소규모 여행자에게 안전한 여행, 편안한 여행 환경을 제공하기 위해 출범한 것이다. 이용요금은 기본...",2021. 4. 9.
수원시 주말여행 산책삼아 가볼 만한 곳. 경기상상 캠퍼스,그렇다고 관광지나 수원 여행 코스라기 보단 산책 삼아 한 번쯤 가보면 좋은 곳이고 가능하면 인근 서호와 연계해서 돌아보기를 추천합니다... 상상캠퍼스는 수원시에 있지만 경기도 소유입니다. 그래서 경기 상상 캠퍼스라고 부르죠. 2003년 서울대학교 농업생명과학대학이 관악 캠퍼스로...,2021. 3. 29.
경기 수원시 팔달구 남수동 카페 라피에나(Lapiena),"먹어서 그런가 더 맛있게 느껴졌어요 수원시 파리구에 위치한 유럽 감성 가득한 라피에나 여행 다녀온 기분을 마음껏 느낄 수 있는 곳이니 예쁜 옷 입고 인생 사진까지 꼭 남겨오세요 "" ( ⸝⸝•ᴗ•⸝⸝ )੭ "" 라피에나(Lapiena) 경기 수원시 팔달구 남수동 11-73 평일 11:00-18:00 주말 11:00-19:00 월요일 휴무",2021. 8. 29.
"(단양3go여행), 우리동네 반찬가게(경기 수원시), 빅데이터 랭킹맛집(서울 돼지갈비...",3GO - 단양 3GO 여행 편 ▶<단양패러마을> 주소 : 충북 단양군 가곡면 두산길 196-52 번호 : 043-421-3326 (직접통화) ▶<도담삼봉> 주소... 우리 동네 반찬 가게 - 30년 내공으로 완성한 특별한 반찬 편 ▶<홍셰프> 주소 : 경기 수원시 장안구 덕영대로 429 번호 : 031-8004-8228...,2020. 9. 14.
7월20일 새롭게 여권업무를 시작합니다 경기도청 여권업무 수원시 이관,"새롭게 여행이 시작되는 곳 <수원시 여권민원실> 경기도는 그동안 도청 내 열린 민원실과 수원 월드컵 경기장 옆 경기도 여권민원실 두 곳에서 여권 업무를 해왔습니다만, 7월 20일부터는 수원시로 해당 업무가 이관되어 여권민원실 한 곳에서만 여권업무를 하게 되었습니다. 경기도 여권 업무...",2020. 7. 21.
경기 수원시 에어컨 분해 청소 : 오늘은 수원시 커피숍 4-way 에어컨 분해 청소입니다,"아직 에어컨 청소 안 하신 세대, 업체는 서두르셔서 청소 관리받으세요~~~ 오늘은 수원에 있는 커피숍으로 달려갑니다~~~ 경기도 수원시에 위치한... 그래서 이번에는 수원시 커피숍 4웨이 분해 청소를 다녀왔는데요, 시공하는 모습 함께 공유해 드릴게요. 요즘은 팬데믹 이후로 어디 여행도 못 가니...",2021. 7. 21.
경기 수원시부동산 권선구아파트 수원아파트경매 희성연인아파트 경매 권선구...,사건번호 : 2020타경 63148 입찰기일 :2021년 6월1일 감정가 : 245.000.000 입찰가 : 171.500.000 경기도 수원시 권선구 서둔동 374 희성연인아파트 재101동... 사업번창을 기원 합니다 혹시 시간 되실때 저희 카페 방문하시여 회원 가입 부탁 드립니다 여행.맛집.사업홍보 부동산매물 회원님들과 같이...,2021. 5. 3.
수원시 당수동 삼정아파트경매▦당수동 삼정아파트경매▩경기 수원시 아파트 경매,소재지 :경기 수원시 권선구 당수동 218-1 삼정 201동 10층 입찰일 :2020년06월09일 입찰서류배부시간 :오전 10시30분 서류마감시간 :11시40분 부득이한... 빨리 털고 일어나서 여행가자.... 입찰 전 대출상담사를 통해 확인 도와드려요~ 뭐든 정확한게 좋죠... ▶ 수원시 당수동 삼정 아파트 경매...,2020. 5. 18.
