header,contents,date
[지역N문화 테마여행] 경기 안성시 여행코스 :: 어둠 속 호롱 불빛이 빛나는 길 따라...,경기 안성시 여행코스 어둠 속 호롱 불빛이 빛나는 길 따라 천주교 성지순례 어둠 속 호롱 불빛이 빛나는 길 따라 천주교 성지순례 경기 안성시 *출처 : 죽산순교성지 홈페이지 지역N문화 테마여행! 오늘은 경기 안성시로 떠나봅니다. 안성은 1800년대 천주교 박해로 인해 신자들이 숨어 살던...,2020. 10. 26.
[여행] 스타필드 안성 스타전망대 (경기 안성시 공도읍 서동대로 3930-39),전망대의 전면은 안성 공도읍과 마주보고 있답니다. https://youtu.be/f6Ax3qyttAg ● AKYDOSA채널: https://www.youtube.com/c/akydosatv #유튜브 #여행 #4K #스타필드안성 #스타전망대 #스타필드 #안성스타필드 #안성시 #공도읍 #안성여행아기도사 #안성 #전망대,2020. 10. 25.
[경기 안성시] 자연 속으로 여행을 떠나고 싶다면,업체명 경기 안성시 뮤지엄 업체주소 (안성팜랜드) 개별 안내 체험상품 3만원 식사권 (2인기준) 모집인원 10명 모집기간 8월2일~8월9일 당첨자발표 8월10일 캠페인기간 8월11일~8월25일 필독사항 꼭 체험 가능한 분들만 신청해주세요.,2021. 8. 2.
"안성시 여행, 호밀밭과 동물체험,각종 놀이기구까지, ""안성팜랜드""","""안성팜랜드"" 전화번호 : 031-8053-7979 주소 : 경기 안성시 공도읍 대신두길 28 영업시간 매일 10:00 - 18:00하절기(2월~11월) (매표마감 17시) 매일 10:00 - 17:00동절기(12월~2월) (매표마감 16시) 요금 : 네이버 페이 예약 추천 - 성인 12,000원 소인 10,000원 안녕하세요!! 여행중독입니다!! 이번에 다녀 온 곳은...",2021. 5. 29.
"반찬 가게(경기 안성시), 빅데이터랭킹맛집(서울 족발), 인생 분식(손칼국수) 방송정보","3GO - 태백 3GO 여행 편 ▶<고토일청국장> *청국장, 태백 한 상 판매 주소 : 강원 태백시 태백산로 4587 번호 : 033-553-3232 http://xn--299aq81crfh.kr/ 태백삼합 3. 우리 동네 반찬 가게 - 행복한 연말을 위해 특별한 솜씨로 완성한 맛 편 ▶<제이레시피> 주소 : 경기 안성시 대덕면...",2020. 12. 7.
경기 안성시 삼죽면 내강리 토지,"* 경기도 안성시 삼죽면 내강리 토지 * 허브마을인근 150평 서울과 인접한 유일한 미개발 지역 안성 개발호재가 많고 용인과 평택에 인접해... 캠핑장땅,#캠핑장토지,#캠핑장,#계곡캠핑장,#양평전원주택,#토지분양,#세컨하우스#안성여행#안성허브마을#허브테마#안성가볼만한곳#허브마을",2021. 7. 21.
"안성시, 안성여행 SNS공모전 개최",제사한 사항 : https://www.anseong.go.kr/tour/contents.do?mId=0602040000 경기 안성시가 다양하고 참신한 홍보 콘텐츠 확보를 위해 안성여행을 주제로 한 영상 및 사진이 게시된 SNS 공모전을 개최한다. 공모전 참여 방법은 ▲안성의 관광명소 ▲안성8경 8미 ▲역사‧문화 등 안성시를 널리 알리...,2020. 10. 27.
수 있는 우리의 옛 대중문화인 남사당놀이의 6마당♥안성 남사당 상설공연/경기 안성시,"kr 주소경기도 안성시 보개면 남사당로 198-2 행사장소안성남사당공연장 주최안성시 주관안성시 이용요금일반 성인 10,000원 중고등학생 5,000원 어린이 2,000 공연시간토 15:40-18:00, 일요일 14:00-16:00 #가족여행 #공연/전시 #공연/행사 #관광지 #나들이 #남사당 #상설공연 #수도권 #아이와함께...",2020. 4. 7.
봄!봄! 냉이쏙쏙경기 안성시2021.02.19 ~ 2021.03.28냉이를 캐 봄! 먹어 봄! 놀아 봄!,"시작일2021.02.19 종료일2021.03.28 주소경기도 안성시 공도읍 대신두길 28 행사장소체험목장내 냉이밭 주최농협 경제지주 안성팜랜드 주관농협 경제지주 안성팜랜드 이용요금팜입장 대인 12,000원 소인 10,000원 팜승마 대인 17,000원 소인 15,000원 더보기 #가볼만한축제 #가족여행 #관광지 #나들이...",2021. 3. 3.
천안 근교 카페 추천 - 안성시 서운산 카페... 곳- 몽실이와 떠나는 국내 여행 카페탐방,몽웃님들 :) 반갑습니다~ 오늘 소개할 곳은 천안 근교 카페 추천 리스트 중 하나인 안성시 서운산에 위치한 카페 커피를 직접 볶는 집 주변에 청룡저수지가 있는 곳 더슬로우 The Slow Coffee 031-673-7999 경기 안성시 서운면 청룡길 90-11 1층 더슬로우커피 영업시간 매일 10:00 - 22:00 입니다 :) 이렇게 서운산...,2021. 3. 12.
안성여행 안성시다목적야영장 글램핑 캠핑,아무리 산새좋은 펜션이여도 이런 야외 느낌은 아니더라구요 캠에서만 느낄수 있는 감성인거 같았어요 아침에 라면 먹을때도 너무 좋았어요 #하루하루를산다 #일상 #육아일기 #초딩육아 #아이와여행 #아이와가볼만한곳 #안성여행 #안성다목적야영장 #안성캠핑 #안성글램핑 #경기글램핑 #바베큐,2021. 3. 29.
"안성시, 여행사 재도약 프로젝트 참여 여행사 모집",경기 안성시(시장 김보라)는 '안성시 여행사 재도약을 위한 프로젝트 사업' 참여 신청을 오는 8월 24일부터 31일까지 6일간 접수한다고 밝혔다. 이번 프로젝트는 코로나19가 장기화되면서 극심한 피해를 입고 있는 관내 여행사의 실질적 지원과 안성 여행상품 개발을 통해 안성 관광시장을...,2021. 8. 20.
"[여행] 서운산, 석남사 (경기 안성시 금광면 상촌새말길 3-120)",안성8경 중에 한곳입니다. 가벼운 산행을 하기 좋은 곳입니다. - 주소: 경기 안성시 금광면 상촌새말길 3-120 https://youtu.be/vRH_4xz5ZVY ● AKYDOSA채널: https://www.youtube.com/c/akydosatv #유튜브 #여행 #4K #석남사 #서운산 #안성시 #금광면 #등산 #사찰 #산책 #안성,2020. 10. 2.
"안심여행 캠페인 방역 우수 관광지 중 강원, 경기, 충북, 충남 소재 여행지",대한민국 안심여행 캠페인 방역 우수 관광지 178선은 전국 17개 광역지자체에서 추천한 방역 우수관광지이다. 이번에 소개할 여행지 목록은... 안성맞춤랜드(경기 안성시) - 안성팜랜드(경기 안성시) 출처: 안성팜랜드 - 썬밸리호텔(경기 여주시) <충북> - 단양 다리안관광지(충북 단양군) 출처...,2021. 6. 22.
[힐링여행] 이 봄 기분전환을 원한다면 경기 드라이브 코스 7,"[힐링여행] 이 봄 기분전환을 원한다면 경기 드라이브 코스 7 각자 선호하는 숫자가 하나씩 있다. 처음 또는 새롭다는 의미로 '1', 오붓하다고 해서... 안성시 ‘금광호수로’ 사진 = 안성시 경기 안성과 충북 진천으로 이어지는 지방도 302호선의 금광호수로는 15.1km에 이른다. 안성시 금광면에...",2021. 4. 23.
[세모야 브런치 & 카페] : 여행 온 듯한 느낌 물씬!,"[세모야 브런치&카페] 영업시간 : 매일 9:00-22:00 위치 : 경기 안성시 중앙대학로 335 전화번호 : ***-****-**** 주차장은 건물 앞에 마련되어 있답니다.... 깔끔한 화이트톤 인테리어와 통유리 바깥으로 들어오는 햇살, 싱그러운 자연이 아름답게 어우러지는 카페 세모야,, 마치 여행지에 와있는 듯한...",2021. 10. 1.
"안성시, 2021 안성맞춤남사당 바우덕이 축제 '미디어 파사드' 연출","사진제공=안성시청 ［한국레저신문 편집국］경기 안성시는 10월 1일부터 열흘 간 온라인으로 펼쳐지는 '2021 안성맞춤 남사당 바우덕이축제' 기간... 자연을 여행하는 장면을, 마지막으로 서안성체육센터는 다양한 생명체들이 공존하는 바닷속 세계를 연출하며 다채로운 색의 향연을 선보일...",2021. 10. 3.
"경기 안성시 농협 안성팜랜드, 한독목장에서 국내 최대 축산 체험 테마파크로","'경기 안성시 농협 안성팜랜드, 한독목장에서 국내 최대 축산 체험 테마파크로' 뉴스 알아봅니다 [한국 속 유럽] ③ 한독목장에서 국내 최대 축산... 해외여행도 가기 어려운 상황에서 이국적인 분위기도 느낄 수 있어서 더욱 좋다""고 말했다. 다만 코로나19 이전 인기를 끌던 피자 만들기·치즈...",2021. 6. 13.
"2021년 9월 24일 생방송 투데이-보고먹고즐기고(통영여행), 우리동네 반찬가게(서울...","구석구석 골목여행 편 경기도 구석구석 관광 테마 골목 1. 경기도 김포시 군하리 군하리 만세로 군하길 문화해설 투어 찹쌀 막걸리... 낙원 간장게장 / 경기 안성시 / 031-676-8500 5. 인생 분식 - 한결같은 온기, 45년 '할머니 떡볶이' 편 ▶ <경상도떡볶이> 주소 : 서울 중랑구...",2021. 9. 24.
안성 여행 농협 안성 팜랜드 핑크뮬리 활짝 코스모스는?,"안성 팜랜드 경기도 농협 안성 팜랜드 핑크뮬리 활짝 여행일 : 2021년 10월 2일 / 글, 사진 : 순수시대 주세환 10월 2일 안성에 촬영 일로 있어 가게... 경기 안성시 공도읍 대신두길 28 입장료 성인 기준 12,000원 연휴 기간이라 그런지 가까운 주차장을 만원이라 제3주차장 뒤에 있는 농협에 주차를 하고...",2021. 10. 4.
