header,contents,date
"[욕실,화장실 4인치 세면수전1개 90,000원 교체 출장시공]-경기안양시 만안구 석수동...","[욕실,화장실 4인치 세면수전1개 90,000원 교체 출장시공]-경기안양시 만안구 석수동 LG빌리지 4단지 출장시공 최초 조명교체와 세면수전교체를... 일본에 여행을 하신분들은 아실텐테요~~ 욕실바닥을 발 뒷금치로 쿵쿵치면 마치 바닥이 쿵쿵소리가나고 벽면이타일이지만 마찮가지로 벽에서...",2020. 8. 5.
경기 안양시 석수동 돌침대폐기 대리석식탁버리기 대형쓰레기수거 유품정리업체...,"좋겠네요 경기 안양시 석수동 폐기물 수거현장 단골 수거메뉴인 돌침대입니다 1인용 돌침대, 2인용 돌침대 엘리베이터가 없는 집인 경우 경우에... 목재버리는법 #여행가방버리기 #커텐버리기 #mdf버리기 #각재버리는법 #간이매트리스버리는법 #간이쇼파버리는법 #건조대버리는법 #공기청정기폐기...",2020. 12. 30.
경기 안양시 동안구 - '욕실 세면대 폽업&트랩' 교체 전문 업체,저는 여행을 굉장히 좋아해서 해외도 가고 그랬는데 지금은.....가고 싶어도 못가는 현실이라 슬프네요ㅜㅜ 빨리 마음대로 떠날 수 있는 그런 상황이 왔으면 하는 바램입니다. 방문 및 확인 오늘은 안양시 동안구에 계시는 고객님께서 연락을 주셨습니다. 연락을 주신 이유가 #욕실세면대폽업 이...,2020. 11. 11.
"경기 안양시, 벚꽃길 통제가 아쉽다면? 랜선으로 즐기면 되지","매년 열리던 충훈부 벚꽃축제가 코로나19로 지난해에 이어 올해도 취소되고, 일대 출입이 통제되는데 따른 아쉬움을 달래볼만 하다. 안양시가 온라인으로 즐길 수 있는 온라인 벚꽃놀이‘슬기로운 벚꽃 여행’을 8일 오후3시부터 한 시간 동안 유튜브채널로 생방송한다고 밝혔다.",2021. 4. 7.
안양시 안양박물관,(일) / 안양시 여행 안양 예술공원에서 김중업 건축박물관을 관람한 후 두번째로 둘러본 곳이 안양박물관이다. 위치도 건축박물관과 바로 이웃해... 밝혀져 안양시의 정체성을 확인시켜주는 계기가 되었다. 안양이나 경기 인근지역 백자가마에서 생산되었을 것으로 판단되는 고려 백자를 통해...,2020. 1. 15.
안양시 맛집 ♬ 평촌역 회식 장소 추천 청담생고기 평촌직영점,안양시 맛집 청담생고기 평촌직영점은 평촌역 1번출구에서 3분거리에 위치해 있어요. 네이버 예약시 물냉면 or 비빔냉면 제공을 한다고 하니 네이버로 예약하고 가는 것이 좋을 것 같아요. 주소 경기 안양시 동안구 관평로176번길 14 영업시간 매일 10:00 - 23:00 전화번호 031-383-6399,2020. 6. 20.
잘나가던 인덕원 맛집 소개,"음식들이 모두 정통식 이탈리안 요리들이라 마치 해외여행 간 기분을 들게해 준 곳이었어요. 5. 옹기해장국 전골 중 40,000원 / 도가니탕 14,000원 주소 : 경기 안양시 동안구 관양로 75-1 번호 : 031-387-5598 영업시간 : 매일 05:00 - 22:00 명절 휴무 마지막날에는 뜨끈한 국물이 생각나서 안양초에서...",2021. 10. 9.
<국내여행 일기 1> 경기도 안양시 삼성산 등산과 삼막사 방문,"방문지 이름: 삼성산과 삼막사 방문날짜: 2020년 3월 9일 월요일 방문지/여행/활동 종류: 등산과 유적지(절) 탐방 방문지위치: 경기도 안양시 만안구 삼막로 478 삼막사, 삼성산와 삼막사계곡 일대 오늘은 화목 저녁 영어 회화 반 멤버 중 한 분인 Emma님의 추천으로 서초구 양재동에 있는 제주돈 할망에...",2020. 5. 9.
안양여행(?) 안양유원지 봉암식당 ◡̈ 아쉬워서 청정횟집까지 뿌수기!,"안양유원지 “봉암식당” 경기 안양시 만안구 예술공원로245번길 15 안양으로 급 나드리 슝슝- #안양유원지 왔어요! 안양에 이런 곳이 있다니..... 먹음) #물회 전복, 멍게, 회, 해삼 들어가 있어요. 소면 말아 먹으면 더 꿀맛입니더.. 캬 집에 와서 3차 외박중인 자유 임산부 #안양여행 첫째날 성공적!",2021. 7. 9.
[범계고기맛집] 이런고기 먹어본적 있어?,범계 삼돌박이 수라육간 전화:0507-1376-4646 위치:경기 안양시 동안구 평촌대로223번길 31 동안상가 2층 영업:12:00~23:30 가격:볏짚훈연 흑소우대갈비... 끝나야 놀러도가고 여행도자유롭게갈텐데 여행병에걸린사람들은 지옥이겠어요 범계삼돌박이수라육간 가게에 QR코드 딱 해주고 가게로 입장합니다!!...,2021. 10. 6.
"안양시, 관광안내지도 '안양 다락(多樂)' 1만5000부 발간","경기 안양시가 관광안내지도 '안양 다락(多樂)' 1만5000부를 제작 발간했다. 20일 시에 따르면 안양 다락은 지역의 곳곳을 한 눈에 볼 수 있는 관광전도와 안양 4대 핫플레이스, 안양8경, 테마여행코스, 역사문화 등 24개 명소를 담았다. 또한 해당 안내지도에는 전통시장과 대표적...",2021. 2. 23.
"우리나라의 도립공원 소개(경기, 강원, 세종, 충청도 도립공원 편)/전국 여행 가볼만한 곳","출처: 경기도 ★ 수리산도립공원 소재지: 경기 군포시, 안양시 2009년에 지정되었으며, 면적은 6.97㎢이다. 수리산(489m)은 독수리 모양의 수암봉이 있고, 상연사 등의 사찰과 약수터 등이 있으며, 등산길에는 바위가 많다. 진달래도 유명하다. 출처: 군포시 문화관광 출처: 한국관광공사...",2020. 11. 23.
[안양여행]김중업건축박물관&안양박물관 방문후기,"박물관을 관람하면서 안양의 과거부터 현재까지 역사여행을 할 좋은 기회였습니다. 특히, 미니어처로 재현한 만안교답교놀이가 무척... 김중업건축박물관&안양박물관 전화문의 031-687-0909 주소 경기 안양시 만안구 예술공원로103번길 4 운영시간 매일 09:00 - 18:00(설날/추석 당일 휴관, 월요일 휴무...",2021. 1. 2.
마라탕│마라탕과 마라샹궈 안매운맛부터 알싸한맛까지 [라미방마라탕] @경기 안양,"마라탕은 예전부터 꽤 좋아하던 메뉴로 십수년전에 대림으로 자주 먹으러 다니기도 했고, 중국여행을 가서 먹어보기도 더러는 재료를 준비해서... 라미방 마라탕 가게주소 : 경기 안양시 만안구 안양로304번길 31 2층 (안양동 674-16 2층) 영업시간 : 매일 11:00~23:00 전화번호 : 031-468-7008",2020. 10. 12.
우리는 경기지역화폐로 여행을 합니다. 전통시장 매력 백배 즐기기,"위치 : 경기도 안양시 만안구 냉천로 196 중앙시장 영업시간 : 오전 7시 ~ 오후 11시 2. 생활 밀착형 시장, 도일 시장 두 번째로 방문한 곳은 경기도 시흥시 도일 시장입니다. 도일 시장은 시흥시에서 가장 오래된 시장이지만, 주민들에게는 잘 알려져 있지 않은 곳입니다. 도일 시장을 걷다 보면...",2020. 4. 13.
[경기 카페]안양시 카페 그 달의 열하나,"안녕하세요. 커피, 책, 사진을 좋아하는 여행가 히메입니다.",2020. 10. 12.
범계중식당│짜장면 유산슬밥이 맛있는 중국요리집 [칸지고고 평촌점] @경기 안양,여행다니면서도 나눠서라도 매번 짬뽕을 맛있게 먹고 있는걸 발견하게 됩니다. 이번에는 체인점으로 제법 지점수도 여럿이지만 처음 가보게된... 칸지고고 평촌점 가게주소 : 경기 안양시 동안구 평촌대로 239(비산동 1115 신안메트로칸 2층) 영업시간 : 평일 11:00 - 22:00Break time 15:00~17:00 주말 11:00...,2020. 9. 24.
다시 찾을 평촌역 맛집 목록,"평촌역 다비 메뉴 : 양 보양전골 24,000원 / 양고기모듬세트 74,000원 주소 : 경기 안양시 동안구 시민대로 317 B동 128호 다비 전화 : 031-423-0550 영업... 매장 곳곳에는 아기자기한 소품도 많았는데, 마치 일본 여행 온 듯한 기분도 들더라고요. 요즘 같은 시기에는 이렇게 이국적인 식당에 방문하는...",2021. 8. 17.
