header,contents,date
직장인의 주말캠핑-21.8.14> 경기 양주시 스톤밸리 캠핑장 1박2일 먹방여행,직장인의 주말캠핑-21.8.14> 경기 양주시 스톤밸리 캠핑장 1박2일 먹방여행 오늘은 경기도 양주로 주말캠핑 떠나는날~ 아침은 간단하게 아빵에서 빵 샀지롱~ 양주 이마트에서 장도 보고~ 양주 스톤밸리 캠핑장 도착! 경기도 양주시 스톤밸리캠핑장 이용안내! 캠핑사이트들도 이렇게~ 전에 방문했는데...,2021. 8. 21.
2020년 첫 배스 경기북부 양주시 살구골낚시터,이번에는 경기북부 양주시의 신뢰의 배스 낚시터 살구골에 다녀왔습니다. 역시 이곳은 저에게도 배스의 첫 손맛을 안겨 주었고 제 주변 3명이나... 푸하하하 이런 짜지 잡고 있으면 드는 생각이 남쪽으로 여행 가서 잡았던 손맛 죽여주는 배스들인데 어쩔 수 있나요. 주말 하루 3시간 짬 내서...,2020. 3. 30.
"(제천 여행), 우리 동네 반찬 가게(경기 양주시), 빅데이터 랭킹맛집(수도권 등뼈찜...","3GO - 제천 3GO 여행 편 ▶ <청풍랜드> *빅스윙 문의 주소 : 충북 제천시 청풍면 청풍호로50길 6 번호 : 043-648-4151 ▶ <옥순정국궁장> 주소... 일품 자족 반찬 편 ▶ <완소네 반찬> 주소 : 경기 양주시 삼숭로 38번길 191 번호 : 031-848-8749 소고기 들깨탕, 닭곰탕, 닭개장, 시금치...",2021. 10. 4.
경기북부 양주 별산대놀이 정기발표공연 양주시 가을철 여행하기좋은곳,"양주시 별산대놀이 가을철 여행 하기 좋은곳 안녕하세요.양주카오디오, 의정부카오디오 튜닝 업그레이드 전문점 럭셔리카클럽 최실장입니다.요 몇일 해떨어지면 기온이 뚝~떨어지며 패딩이라도 입어야하나 할정도로 급격하게 기온의 변화가 하루하루가 다르게 오고 있습니다.낮엔...",2020. 10. 22.
"<서울 강북구/경기 양주시> 북한산둘레길21코스, 오봉산 '우이령길', 아낌없이 주는...",이런 길을 두시간 동안 계속 걷고 또 걷고 북한산국립공원탐방센터 : 경기 양주시 장흥면 교현리 산47-11 (거꾸로) 우이령탐방지원센터 : 서울... 열매의 머나먼 여행 숲속 화장실. 산에서 본 화장실 중 가장 분위기 있는 화장실 공터 바위고개 노래에 이런 사연이 우이동까지 1.5km 대전차장애물을...,2020. 5. 28.
[외출기록] 물고기와 함께 노는 계곡나들이 - 장흥계곡 (경기 양주시),"주변(경기 양주시) 장흥계곡은 경기 양주시 장흥면에 위치하고 있다. -주차: 장흥계곡 주차장, 장옥진미술관주차장 이용 가능(주차비 무료) -입장료... 계곡나들이~~ #장흥계곡 #송사리 #물고기 #계곡 #장옥진미술관 #주차장#장흥 #아이와갈만한곳 #아이와가볼만한곳 #계곡여행 #당일치기 #풍경화...",2021. 8. 17.
"양주시, 플레이 인 양주' 여행 사진 공모전",[이코노미세계] 양주시는 경기북부 중심도시 양주의 숨은 매력과 아름다움을 널리 알리기 위해 오는 11월 5일까지 감동힐링 프로젝트 ‘플레이 인 양주’ 양주시 여행 사진 공모전을 개최한다. 이번 공모전은 코로나19로 지친 시민들이 직접 지역 내 명소를 방문하는 과정에서 양주시의 가치를...,2021. 10. 5.
"양주시, 감동 힐링 프로젝트‘플레이 인 양주’ 여행 사진 공모전 개최",시즌데일리 = 김관섭 기자ㅣ양주시는 경기북부 중심도시 양주의 숨은 매력과 아름다움을 널리 알리기 위해 오는 11월 5일까지 감동힐링 프로젝트 ‘플레이 인 양주’ 양주시 여행 사진 공모전을 개최한다. 이번 공모전은 코로나19로 지친 시민들이 직접 지역 내 명소를 방문하는 과정에서...,2021. 10. 7.
"[경기 양주시 장흥면] 노래방+보드게임+방갈로(난방,냉방)+족구장 모두가 무료!!!!...","참, 군고구마는 셀프이니 꼭 챙기세요~ 저희는 너무 배불러서 잊고 그냥 왔어요.ㅎㅎㅎ 주소 : 경기 양주시 장흥면 권율로 427(경기 양주시 장흥면 석현리 77) 전화 : ***-****-**** 영업 : 평일 10:00~03:00 / 마지막주문 21:30 새벽 3시마감 주말 10:00~03:00 / 마지막 주문 21:30 새벽 3시마감",2020. 1. 19.
[10월 1주차 양주소식] 매주 전하는 양주시 핫이슈 「와이제이 PICK!」,"1 제3차 경기도+양주시 재난기본소득 지급 • 지급대상 : 21년 6월 30일(수) 24시 기준 경기도에 주민등록이 되어있는 내·외국인 중... 3 2021년 양주시 여행 사진 공모전 • 공모기간 : 10월 5일(화) ~ 11월 5일(금) • 출품수량 및 규격 : 1인당 2점 이내 / 장축 3,000픽셀 이상 JPG, JPEG 이미지...",2021. 10. 1.
