header,contents,date
서울근교 한적하고 분위기 좋은 데이트코스! [경기 양평군 데이트코스],"오늘의 추천 여행지 [경기도 양평군] 입니다. 출처: 한국관광공사 경기도 양평 서울에서 한 시간이면 갈 수 있는 곳이죠. 하지만 가깝기만 한 게 아닙니다! 한적하고, 여유로운 시간을 보내기에 정말 좋은 장소가 다양한데요. 오늘은 사랑하는 연인과 함께 데이트하기 좋은 곳으로 엄선해왔습니다!...",2021. 7. 22.
경기 양평군 옥천면[오리랑보리랑]현지인들이 인정한 맛집 후기,경기 양평군 옥천면[오리랑보리랑]현지인들이 인정한 맛집 후기 안녕하세요^^ 아버님 기일에 추모관에 들렀다.... 가족들과 함께 양평 현지인이... 일년에 한번 가족들과의 특별한 시간 여행이 되는... 추억의 시간입니다^^ 양평은 좋은곳이 참 많은데요~ 그래도 현지인들이 인정하는 맛집이라 하여...,2020. 5. 9.
"[경기IN] 양평군, 선별적 재난지원금 38억원 지급","이번 지원금은 경기도 재난기본소득 지급과는 별도로 소상공인, 여행사업체, 전세버스 종사자 등에게 군에서 선별해 추가 지원하는 것으로 양평군의회와 집행부의 신속한 대응으로 지난 5일 제275회 양평군의회 임시회에서 의결됐다. 관내 소상공인 7,000여 개소를 비롯해 양평군에 주소를 둔...",2021. 2. 9.
[경기 양평군] 고바우 설렁탕_깔끔한 진국의 맛,#고바우설렁탕 #양평맛집 #설렁탕맛집 #어린이설렁탕 이름 : 고바우 설렁탕 주소 : 경기도 양평군 용문면 은고갯길 3 전화 : 031-771-0702 2019년 11월 9일 설렁탕 한 그릇 먹기 위해 양평까지 가기는 힘들지만 강원도 갈 때 꼭 들러가고 싶은 곳이다 그래서 일부러 찾아간다 가족여행을 떠나며 점심을...,2021. 7. 23.
20년 8월14일 경기 양평군 양평읍 오빈리 빌라 입니다,안녕하세요 준탄성 입니다 오늘 소개해드리는 현장은 경기 양평군 양평읍 오빈리 빌라 입니다 위치는 공개 못하니 근처에 위치 한 빌라 입니다 경치도 좋고 공기도 좋은 양평에 참 오랜만에 온듯 합니다 2년만에 온듯해요 올때마다 여행하러 온 기분입니다 허나 저는 일하러 왔네요 ㅎ.ㅎ 오늘...,2020. 8. 15.
[新국토기행] (53) 경기 양평군 - 서울신문,[新국토기행] (53) 경기 양평군 입력 : 2015-12-24(목) 00:00 두 물이 만난 곳… 그림 속을 거닐다 경기 양평군은 한반도 중서부 지점인 경기 북동부에... ●숲 속 힐링 쉬자파크·숲 속 장터 트리마켓 가족과 함께 조용한 교외에서 건강도 챙기고 마음까지 치유하는 여행을 떠나 보면 어떨까. 예부터...,2020. 5. 26.
"[ 경기] 가 볼 만한 곳, 양평군 두물머리 (연잎 핫도그)","양평 두물머리(경기 양평군 양서면 양수리) 연잎 핫도그, 나룻배, 액자 포토존, 느티나무, 세미원 ♥일시 - 2019.10.24 ♥주차장 - 신양수대교 아래... 여행의 시작은 먹부림이지.. 길거리 핫도그부터, 고급 진 핫도그, 콘도그를 섭렵하는 서민 혓바닥의 선두주자. 날씬이와 홀쭉이가 되고 싶은 동동과...",2020. 12. 29.
생방송투데이 수도권 최고의 닭백숙 top5 경기 양평군 빅데이터랭킹 파는곳 위치 어디,생방송투데이 수도권 최고의 닭백숙 top5 경기 양평군 빅데이터랭킹 파는곳 위치 어디 오늘 방송되는 sbs 생방송투데이 6월 25일 방송 정보에... 날씨가 더워지고 있는 만큼 시원한 계곡으로 여행을 가서 닭백숙으로 몸보신을 원하시는 분들은에게는 알맞은 정보가 될 것 같네요. 다양한...,2021. 6. 25.
[양평군] 양평지역화폐 양평통보로 양평여행준비 끝!,"양평 여행을 시작하기 전, 양평여행의 꿀팁이 뭐가 있을까, 고민하다 양평 군민에게도! 양평으로 여행을 자주 떠나는 이들에게도 도움이 되는 경기지역화폐 ‘양평통보’소식을 담아왔어요. 사실, 지역화폐는 각 지역에서 지역 내 소비를 촉진시키고 소상공인들과 시민들이 모두 행복한...",2020. 2. 29.
경기 양평군 역사탐방기5,"경기 양평군 역사탐방기5 양헌수 장군 유적지외 by 이상철 Jan 12. 2020 경기 양평 일원 역사탐방기(5) 5.양헌수 장군 유적지, 민물고기생태학습관... 수령을 알 수가 없는 느티나무 아래에서 글의세계 작가들 기념촬영을 하고 오늘의 경기 양평 일원 역사탐방 여행의 끝을 내었다. 두물머리 호산자...",2021. 1. 13.
