header,contents,date
경기 여주시여행. 여주시 차박지 소개. 현암지구공원 그리고 금당교 주변! 여행자의...,"여행자의 눈엔 또 다른 여행지가 보이죠...? 20201. 4. 24.(토) 1. 금당교 금당교를 건널 때 직감합니다. #이곳핫플 달리던 차를 유턴해서 다리 밑으로 내려가봤어요~ #긴병꽃풀 다리밑에서 제일 먼저 인사해주는 꽃과 눈맞춤하고, 자, 탐색을 시작해볼까요... 나무와 차. 이런 조화로움이...",2021. 5. 17.
경기여주시강아지분양 속지말고 입양하세요,"경기여주시강아지분양을 검색해보시면 많은 양의 정보를 보게되시는대요 이 정보들이 모두 진짜일거라고는 생각하지 않으시는게 좋아요 인터넷의... 출장,여행등으로 장기간 집을 비우실 때 우리 아이들 맡기실 곳이 걱정되시죠? 저희는 애견호텔서비스도 제공해드리고있어서 언제든 편안하게...",2020. 11. 20.
(가을여행) 경기 여주시의 주록리계곡 & 원적산(천덕봉) 등산로 입구,"서울에서 드라이브여행으로 다녀온 경기 여주시 금사면 주록리의 주록리계곡, 맑고 깨끗한 청정지역으로 마음까지 상쾌한 하루였어요. 주록리의 한 가게 앞에 고구마(유명한 여주 고구마)를 햇볕에 말리고 있는 모습이 정겨웁기도 하고 참으로 오랫만에 보는 모습이라 한 컷 했네요. 주록리계곡의...",2020. 10. 17.
경기 여주시 문화유산 탐방대 두루두루 여주여행 참가자 모집,[미디어이슈=박종완 기자] 여주시 여주박물관에서는 8월 2일부터 9월 16일까지 역사보드게임을 활용하여 여주시의 문화유산을 알아보는 “두루두루 여주여행” 프로그램을 운영한다. 이번 프로그램을 위해 여주박물관은 경기도 지역문화예술 플랫폼 육성사업의 지원을 받아 여주시 12개...,2021. 7. 19.
[경기모두올래서포터즈] 여주시 갈만한 곳 총 정리_도자기체험/세종대왕릉/영월루,"오늘 포스팅에서 소개해드릴 여행 장소는 이렇습니다! 1. 도자기 체험 2. 세종대왕 기념관/ 세종대왕릉 3. 영월루 여주의 대표적인 관광 명소들인데요, 지금 바로 소개드리도록 할게요! 내 손으로 만드는 그릇, 도자기 체험 경기도 여주시 여양로 588-8 첫 번째 관광은 도자기 체험입니다! 여주에서는...",2020. 12. 10.
신륵사(여주)경기 여주시다양한 유물이 숨쉬고 있는 고찰,신륵사(여주) 경기 여주시 다양한 유물이 숨쉬고 있는 고찰 문의 및 안내031-885-2505 주소경기도 여주시 신륵사길 73 휴일연중무휴 주차있음... 접근로출입구까지 경사로가 설치되어 있음(흙길구간 있음) 화장실장애인 화장실 있음 #관광지 #불교 #불교문화 #사찰 #사찰여행 #수도권 #여주신륵사 #역사,2021. 2. 22.
[지역경제] 경기 여주시,"여주시가지 전경 사람중심 행복여주 ※ 2013년 여주군에서 여주시로 승격, 가남면이 가남읍으로 승격되었습니다. 여주시 슬로건입니다. 남한강... 1896년 13도제의 시행으로 다시 경기도로 환원되어 3등군이 되었다. 1914년 읍·면 통폐합 조치에 따라 15개면에서 9개면으로 정비 되었으며, 이때...",2021. 7. 11.
여주시(2) 여주로 떠나는 박물관 여행,"통신의 역사를 보여주는 폰박물관, 세계 각국의 유명한 도자예술과 우리나라의 청자, 백자를 담은 전통도자기를 전시한 반달박물관 등 다양한 주제를 내건 박물관이 다수 위치해 있다. 박물관 여행은 여주시에서 체험할 수 있는 또다른 여행 코스다. [ 경기신문 = 안직수 기자 ] 등록 2020.08.21 06:19:24",2020. 8. 22.
여행정보_#여주시 산북면 계곡 & 카페,"여주시 문바위 계곡의 하류 해당 지도의 느티나무펜션 주소기준 : 경기 여주시 산북면 주어리 335 1번위치 길을 따라 쭉 올라가다보면, 교각이... 가족단위의 여행객이라면 2번의 느티나무펜션에 딸린 숲속카페를 추천한다. 넓다. 나무들도 커서 그늘이 잘 우거져있다. 카페에는 목마, 트램펄린...",2021. 9. 20.
[경기/여주시] 강천섬 유원지 - 강천섬 캠핑(강천섬야영금지/강천섬백패킹/강천섬주차장),"마글론의 여행이야기 그리고 캠핑&백패킹 강천섬 유원지 - 강천섬 캠핑 주소: 경기도 여주시 강천면 강천리 627 주차장 : 네비에 ""강천섬 주차장"" 비용: 무료 캠핑장 하지만 현재 야영금지 2020년 4월 07일~08일 1박2일 강천섬 캠핑 기록입니다 강천섬 야영 금지는 2021년 2월 4일 시작되었습니다 21년 5월...",2021. 4. 20.
