header,contents,date
서울근교 당일치기 여유롭게 즐기기 좋은 [경기 연천군 연천여행],"오늘의 추천 여행지는 [경기도 연천군] 입니다. 출처: 한국관광공사 연천에 숨겨진 즐길 거리 가득 찾아왔습니다. 코로나로부터 조금은 안심할 수 있는 자연으로의 여행! 지도출처: 네이버지도 ""구석구석 연천 즐기기"" 추천지를 살펴보겠습니다. 출처: 한국관광공사 첫 번째는 재인폭포 입니다....",2021. 7. 13.
"연천군 중면 여행, 북진 약수터에서 쉬어갑니다","훈련이 있어 탱크로 대로를 누비던 모습과, 골목골목에서 훈련을 하던 국군장병들의 노고에 박수를 보내며, 연천 여행의 다음도 기대해봅니다. ▼ 연천군 중면 홈페이지 ▼ 주소 : 경기도 연천군 중면 군중로 400 https://www.yeoncheon.go.kr/index.yeoncheon?contentsSid=1156 겨울을 따라 지도를 따라 다녀본...",2020. 2. 23.
경기 #연천군 기행,"02) □ 장날 * 연천 2, 7 * 전곡 4, 9 * 백학 3, 8 □ 축제 ○ 구석기 겨울여행 : 1월 ~2월. 전곡리 선사유적지 ○ 연천 전곡리 구석기축제 : 5월. 전곡리... * 강원 철원군, 평강군, 경기 연천군을 지나 임진강으로 흐르는 강. ○ 사미천(沙彌川) * 황해북도 장풍군 서쪽 자라봉에서 발원하여 연천군...",2021. 10. 4.
연천군 여행 가볼만한곳 백학면 당일치기 하루가 짧다,연천군 여행 가볼만한곳 백학면 당일치기 하루가 짧다 올해는 연천군 기자단으로 1년간 활동하게 되었다. 매달 마다 연천군의 면단위로 연천의... 백학역사박물관 경기 연천군 백학면 두일리 528-33 ***-****-**** 다음으로 찾은 곳은 석장리미술관 조각공원이다. 이곳은 조각가 박시동 선생의...,2020. 3. 9.
[新국토기행] <28> 경기 연천군 - 서울신문,[新국토기행] <28> 경기 연천군 수줍은 듯… 현무암 협곡에 숨은 옥빛보석 경기 연천군은 최전방 접경지역 정도로만 알려졌다. 30만년 전 전곡리... 시원하고 탁 트인 전망을 원하는 여행자들에게는 빼놓을 수 없는 코스다. 이 가운데 당포성은 임진강 중류의 절벽 위에 조성된 고구려 성이다....,2020. 5. 13.
"[경기IN] 연천군, 최초 문화유산 수어 소개 서비스 개시","연천군 최초 문화유산 수어 소개 서비스 개시 [경기IN=오효석 기자] 연천군은 임진-한탄강의 아름다운 자연 경관과 문화유산을 소개하는 ‘우리가... 이야기는 연천군 주민들에게 지금까지 경험해 보지 못한 색다른 즐거움을, 연천군을 방문하고자 계획하고 있는 외부 관광객들에게는 여행 코스...",2021. 2. 10.
"경기도 연천군여행. 경원선의 남측 종착역, 신탄리역. 철마는 달리고 싶다!","신탄리역 앞에 경기둘레길 12코스 스템프가 있어요. 시소남매도 도장 쿡! 반가웠어! 신탄리역! 0 경기도 연천군 여행이야기 1. 경기도 연천, 고대산 무당개구리! https://blog.naver.com/oblradi/222388714565 2. 고대산자연휴양림, 산림욕 힐링! https://blog.naver.com/oblradi/222378421619",2021. 6. 11.
경기 연천군 재인폭포(20.10.5.),"경기도 연천군 재인폭포 이번 연천군 여행 이튿날 재인폭포 캠핑장에서 차로 10분? 정도 밖에 걸리지 않은 곳에 재인폭포라는 곳에 갔다. 가는 길에 바깥 풍경이 참 평온하고 좋았다. 댐, 산, 갈대, 푸른 하늘... 재인폭포로 가는 입구에는 식물로 조형물로 만들어 놓았는데, 안으로 들어가니 더 많은...",2020. 10. 7.
경기 연천군의 임진강유원지 (차박과 겨울철새 구경할 수 있는 곳),"티맵의 안내로 가 본 경기도 연천군 군남면에 위치한 임진강유원지(방문일:2020.12.25.크리스마스) 를 소개합니다. 아직 널리 알려진 곳은 아닌지... 연천 임진강유원지의 임진강 둔치모습 2020.12.25일 크리스마스날 드라이브여행을 간 연천군의 임진강유원지였는데, 위치표시를 할래도 네이버에 등록이...",2021. 1. 8.
(경기 연천군) 재인폭포 방문기,"군대를 다녀오신 분들은 많이들 아실텐데요, 경기도의 북부 끝자락에 위치한 군 단위 지역 이랍니다.ㅎ 연천군에서도 깊숙한 곳으로 더 들어가면... 믿거나 말거나~~ ♬ 저는 주말마다 국내 곳곳으로 여행을 자주 다니는 편인데, 시간 날때마다 잇님들께 하나씩 장소를 소개해 드리려고 마음...",2021. 5. 25.
연천군 하루여행,도맛집 #연천호로고루 #광개토대왕비 #임진강매운탕 #데이트코스 #연천군까페 #임진강경치좋은곳 #경기도가볼만한곳 #국내여행 #서울근교가볼만한곳 설 다음날 가족과 함께 예전에 직장에서 후배가 추천하여 갔었던 임진강변 두지리 매운탕이 생각이나서 기억을 더듬어 출발 했다. 예전에는...,2021. 2. 14.
계곡으로 떠나요~ 경기 연천군 열두개울,"목적지는 ""열두개울"" 계곡 여행 리뷰하는 유투버 영상을 참고하여 티맵에 ""법수교""로 검색을 하고 출발합니다. 뻥 뚤린 자유로. 날씨도 좋고 미세... ㅎㅎ 친구 사업장에 들러 구경하고..집으로 옵니다. 와서 운동 안하고..폭식폭식...ㅠㅠ 이상 열두개울 계곡 여행 리뷰였습니다^^",2021. 8. 2.
"연천군 중면 여행의 출발점, 중면행정복지센터","걷히면 맑은 해가 떠오르듯, 시간이 갈수록 연천의 매력을 더 알아가리라 다짐해봅니다. 주소 : 경기 연천군 중면 군중로 400 중면행정복지센터 TEL : 031-839-2609 시간 : 평일 9시 ~ 18시 두루미의 안식처 연천군 여행의 첫 발걸음은 역사를 되돌아 볼 수 있는 중면행정복지센터에서 출발하시는게 어떠세요?",2020. 2. 26.
경기둘레길 7일차 (10/4일) 7~8코스 20km : 화석정 인근~율곡습지공원~연천군 장남교,'코로나 백신 접종자들로만 구성' 이번 여행 종착지 : 연천군 경계 정남교,2021. 10. 5.
"경기 연천군 전곡 카센타 대지 매매,전곡선사유적지부근 대지매매,전곡3번국도(평화로)...",날씨가 너무 좋아요 코로나만 아니었다면 잠시 여행좀 다녀오고 싶네요 오늘 소개 해 드릴 부동산 매물은 경기도 연천군 전곡면에 전곡선사유적지 부근과 4차선 3번국도를 접한 카센타입니다. 부동산 현지매물사진 1994년에 지은 위 건물은 38평이며 제1종근린생활시설 용도에 철근콘크리트 구조로...,2020. 4. 9.
[경기 연천군] 망향비빔국수,6월 초 가족여행으로 포천 글램핑장에 갔다. 그리고 집에 돌아오는 날 점심으로 간 곳. 주차공간 정말 넓다. 저 멀리 보이는 망향비빔국수 가게. 드넓은 주차공간. 메뉴. 가게가 엄청 크다. 사람도 많다. 복잡하다. 직원분들은 바쁘시다. 직접 줄 서서 주문을 해야 한다. 주문하는 음식과 테이블 번호와...,2020. 6. 27.
경기도 연천군 위드독펜션,오늘의 핫한 여행상품 경기도 연천군 위드독펜션 입니다 가성비와 상품평 및 판매율이 좋은 상품입니다 37개의 이용자들의 상세한 리뷰가 달려있습니다 쿠팡에서 예약시 최대 할인혜택과 쿠팡 포인트 적립까지 두가지 혜택을 모두 받을 수 있어서 좋아요 경기도 연천군 위드독펜션 지역이었다고...,2021. 8. 29.
보이는 모든 것이 미술 작품인 경기도 연천군 미라클타운 시서스 한옥카페,보이는 모든 것이 미술 작품인 경기도 연천군 미라클타운 시서스 한옥카페에 다녀왔어요. 이번에 미라클타운 리조트에서 1박하는 일정이라서... 사진이 정말 예쁘게 나온다길래 샤랄라한 원피스와 라오스에서 샀던 모자까지 챙겨쓰고 여행 기분내면서 놀기 요즘엔 이런 일들이 감사해요....,2020. 7. 21.
"[연천] 연천군, “임진강에 활짝 핀 코스모스 보러 오세요”","잠시 벗어나 천혜의 자연환경과 코스모스를 보며 힐링 여행을 즐기길 바란다.”라고 말했다. 한편 군은 임진강 이외에도 중면 댑싸리공원과 전곡리 선사유적지, 재인폭포 등에 다양한 꽃과 나무를 심어 관광객을 위한 볼거리를 제공하고 있다. Copyrightⓒ2021 Jang Dong Hee 경기_인천_라이프 경기인포",2021. 9. 25.
"경기도 연천군 차박 여행(당포성, 주상절리, 구석기체험숲, 선사박물관, 선사문화캠프)","못하였습니다(여행초보들의 실수... 항상 갔다와서 알게되는...) 구석기 체험숲은 쥬라기공원을 연상시킬정도로 숲과 나무들이 울창해서... 전곡선사박물관 1978년 경기 연천군 전곡리 한탄강변에서 아슐리안형 주먹도끼가 발견되었습니다. 30만 년 전에 사용하던 것으로, 동아시아에서 처음으로...",2021. 9. 19.
[연천군]G2001번,연천군 직행좌석버스 G2001번 운행회사-연천교통 기점-신탄리역 [경기도 연천군 신서면 대광리] 종점-도봉산역광역환승센터 [서울특별시... 원래 연천역은 정차하지않으나 비공식적으로는 하차가 가능(시내버스여행당시 기사님이 '연천역에 정차한다'라고 언급을 하였으므로)...,2021. 8. 2.
"서울에서 1시간, 경기도 연천군 알멕스랜드 카라반!",곳은 경기도 연천군의 알멕스랜드 카라반입니다! 24만평의 참나무 숲에 만들어진 산책로는 저절로 힐링이 될 것 같아요~ 연천의 맑은 공기와 임진강의 시원한 바람을 함께 만끽할 수 있어서 정말 좋아요~! 서울에서 1시간 거리에 위치해 있어서 주말에 갈 수 있는 힐링여행으로 손색이 없겠죠~? 객실...,2021. 4. 3.
경기도 연천군 라온빌리지(고대산캠핑리조트),오늘의 핫한 여행상품 경기도 연천군 라온빌리지(고대산캠핑리조트) 입니다 가성비와 상품평 및 판매율이 좋은 상품입니다 36개의 이용자들의 상세한 리뷰가 달려있습니다 쿠팡에서 예약시 최대 할인혜택과 쿠팡 포인트 적립까지 두가지 혜택을 모두 받을 수 있어서 좋아요 경기도 연천군...,2021. 5. 14.
"연천 가볼 만한 곳, 연천군자원봉사센터 추억소환 사진전 참여 후기",마을 여행을 준비했던 저에게 있어 매우 아쉬워했던 적이 있었는데요. 9월과 10월엔 더욱더 풍성해지고 가족과 함께 즐길 수 있는 프로그램을... 개최되면 좋겠다는 생각이 들었습니다. 추억소환 사진전 (연천군 자원봉사센터) 주소 : 경기 연천군 전곡읍 전영로 11 T. 031-834-1365 -기자단 홍성종-,2021. 10. 10.
"[근교나들이/연천가볼만한곳] 경기도 연천군 ""재인폭포, 출렁다리"" 구경~","전날 비가 와서 물이 엄청 많은 [근교나들이/연천가볼만한곳] 경기도 연천군 재인폭포 아주 멋집니다~ 재인폭포를 보니 2005년 필리핀여행중 방문했던 마닐라 팍상한폭포(Pagsanjan Falls)가 생각나네요. 예전사진 찾아보니 팍상한폭포(Pagsanjan Falls)보다 재인폭포가 훨~씬 높고, 물도 맑네요. (모르는...",2021. 5. 7.
[여호수아9장] 연천군교회 데일리 성경,"경기 연천군교회, 전곡중앙교회와 함께 하는 데일리 성경입니다. 여호수아 9장 이 일 후에 요단 서쪽 산지와 평지와 레바논 앞 대해 연안에 있는 헷... 너희는 여행할 양식을 손에 가지고 가서 그들을 만나서 그들에게 이르기를 우리는 당신들의 종들이니 이제 우리와 조약을 맺읍시다 하라 하였나이다...",2021. 4. 22.
연천군 중면 북한군 발포 고사기관 총탄 낙탄지,연천군 중면으로 여행을 간다면 꼭 들려야 한다는 중면 행정복지센터를 소개합니다. 이곳은 민통선 남쪽의 첫 번째 마을로 북한군 발포 고사... 민통선 이남의 첫 번째 마을 중면 경기 연천군 중면은 민통선 남쪽의 첫 번째 마을이자 북쪽에서 발원한 임진강의 물결이 처음으로 흘러드는 곳이기도...,2020. 12. 2.
성남 동충하초 닭백숙 경기도 연천군 민물매운탕 붕어찜 경상남도 거제 읻다 건강잼,■ 민물매운탕 & 붕어찜 <불탄소가든> 주소(위치) 경기 연천군 연천읍 현문로 526-29 ※ 영업시간은 매일 오전 11시 ~ 오후 8시 30분입니다. (명절 휴무) ※ 방송 이후 가게가 혼잡할 수 있으니 여유를 두고 방문하실 것을 권합니다. 노.래.방 (노래 따라 방방곡곡 떠나는 여행) <경상남도 거제...,2021. 1. 28.
"연천 카페 추천, 마을 여행하며 쉴 수 있는 곳 커피읻다","가족, 연인, 친구끼리 연천 마을 여행을 한다면, 여행하며 쉼을 가질 수 있는 곳. 내 집처럼 편안한 커피읻다에서 맛있는 커피도 마시고 여행지에서 느끼는 힐링을 맛보시는 건 어떨는지요. 커피읻다 주소 : 경기 연천군 전곡읍 전곡로 154 <운영시간> 오전 10시-오후 8시 -기자단 홍성종-",2021. 10. 6.
"[경기도 연천여행] 연천 가볼만한 곳, 한탄강 세계지질공원, 재인폭포","그 후로 ‘재인폭포’라 부르게 되었다네요~ 주차장 옆에 갈대와 조형물도 있네요~ 여행지를 다니다 보면 날씨와 계절이 중요하다고 느껴지는데 재인폭포가 딱 그랬습니다! 백일홍, 천일홍 등이 만개한 꽃길을 걸으며 폭포를 구경하려면 1년을 기다려야 할 것 같습니다~ 주소 : 경기 연천군 연천읍...",2021. 10. 11.
"연천 여행, 공원 한켠 역사적 장소 삼곶리 돌무지무덤","이곳은 위에서 언급했듯이, 댑싸리 공원 한켠에 위치하고 있기 때문에, 한번에 묶어 같이 관람하시기를 추천드립니다. 역사 공부와 힐링을 동시에 할 수 있었던, 삼곶리 돌무지 무덤이었습니다. 삼곶리 돌무지무덤 주소: 경기 연천군 중면 삼곶리 421 -기자단 박현경-",2021. 9. 27.
"연천 맛집, 연천 여행 한탄강관광지 디저트 카페 콩피","카페 콩피는 오전 10시부터 오후 9시까지 매장을 운영하고 있고 위치는 경기 연천군 청산면 평화로 335에 자리 잡고 있습니다. 1박 2일 연천 여행을 하면서 숨 가쁜 하루를 보내고, 잠시 쉬면서 연천 여행에 대해 이야기꽃을 피우기 위해 한탄강 산책로를 배회하다가 우연히 찾게 되어 들어간...",2021. 9. 13.
[경기 여행] 자전거 타고 '전곡 선사박물관' 둘러보기,경기도 연천군 전곡읍까지는 72킬로미터. 5시 예약에 맞게 도착하려면 중간에 전철을 타게 될 수도 있겠네요. ^^ 한강대교 위에서 바라 본 한강... 건물이 마치 구석기시대로 시간여행을 가는 통로처럼 느껴졌습니다. 미래 세계 느낌 물씬 나는 실내 디자인 안내판도 최신식 2층 전시장입니다. 앞에...,2021. 5. 30.
210904 연천 재인폭포 / 파주여행 #6,"파주에서 연천을 거쳐 포천과 철원까지 올라오면서 들리기 딱 좋은 코스 ㅎㅎ 재인폭포 031-839-2061 경기 연천군 연천읍 고문리 산21 3번 국도... 개인적으로 파주를 기점으로 시작한 여행중 오늘 이때가 가장 느낌이 좋았는데, 역시 여행의 반은 좋은 날씨가 해주는듯 합니다. 여행가에게 날씨 파악은...",2021. 9. 13.
"코키아 / 남양주 물의정원~잠실 올림픽공원 황화코스모스, 가을에 여행 갈만한곳 추천","올림픽공원 황화코스모스 사진으로 함께 만나 보시죠^^ 코스모스, 핑크뮬리, 해바라기 보러 9월에 가기 좋은 여행지 연천 호로고루성 경기 연천군 장남면 원당리 1258 ▲ 연천 호로고루 해바라기 연천 호로고루성은 고구려 시대 축조된 성으로 다른 해바라기가 보통 8월에 다 피었다가 지는데...",2021. 9. 1.
연천 여행 - 파주드라이브. 연천가볼만한곳 연천호로고루 (해바라기 만개),연천 여행 - 파주드라이브. 연천가볼만한곳 연천호로고루 엄마랑 매운탕 먹으러 적성 갔다가 얻어걸린 관광지 연천호로고루. https://blog.naver.com/artraving/222493003400 ▲ 9월2일 호로고루해바라기 연천 호로고루 경기 연천군 장남면 원당리 1258 몇 년 전부터 해바라기밭으로 유명했던 호로고루....,2021. 8. 23.
"[연천 여행] 호루고루 해바라기꽃. 끝물입니다, 내년으로 기약하세요.","통일바라기경기 연천군 장남면 원당리 1257-1 2016 연천군 장남면 주민들이 세운 비석 포토죤 꽃단지의 규모가 그리 크지도 않을 뿐더러, 금년도 꽃은 이미 절정을 지나버린 상태. 그나마 괜찮은 곳의 해바라기 꽃밭. 뒤로는 호루고루성 호루고루(瓠蘆古壘) 임진강 북안에 있는 연천 호로고루는...",2021. 9. 17.
"경기 연천, 호로고루 삼국시대 고구려 성곽 - 연천 가볼만한곳",경기 연천군 장남면 원당리 1258 -입장료 : 무료 -주차장 : 입구에 넓은 주차장 있음 경상도에 있다보면 자주 갈 수 있는 역사적인 지역은 신라시대나 조선시대에 관련된 곳이 많다. 그래서 삼국시대나 고구려 유적지를 갈 일은 거의 없기 때문에 경기도 여행 중에 가장 기대를 많이 했던 곳이 삼국시대...,2021. 4. 14.
"연천 마을 여행의 시작점, 전곡시외버스터미널",수 있는 의자에 앉아 잠시 쉼을 가져보시길 바라며 즐겁고 행복한 여정을 만드시길 바랍니다. 여행에 대한 자료뿐 아니라 맛있는 먹거리도 즐길 수 있는 곳 연천 전곡시외버스터미널에서 설레는 여행을 시작해보세요! 전곡시외버스터미널 경기 연천군 전곡읍 온골로 49(전곡리 474-2) -기자단 홍성종-,2021. 8. 19.
210904 당포성 / 연천 가볼만한곳 / 파주여행 #5,길이 좋네요 ㅎㅎ 당포성 031-839-2144 경기 연천군 미산면 동이리 경기도 연천군 미산면 동이리 778번지 일원에 있는 삼국시대의 성. 사적 제468호이다. 네비게이션을 따라 당포성에 진입하는 길을 찍을 생각이 별로 안들었던건... 별 기대가 없었음의 반증이군요. 10대 정도 수용할 수 있는 주차장도...,2021. 9. 12.
주말 서울근교 여행 갈만한곳 : 연천 재인폭포 주상절리 나들이,"주소 : 경기 연천군 연천읍 부곡리 217 주말여행 으로 재인폭포 찾으실때 닥치고 위 주소 찍고 가시고 난 좀더 가까운 제2주차장 이용할거야 하시는 분은 그대로 직진 하시면 되십니다 다만, 제2주차장 규모 작은편이라 주차공간 있다는 보장은 못하구요 룰루랄라~ 227m 껌이지! 하며 룰루랄라...",2021. 9. 7.
"연천 역사 여행, 초성리 토성의 흔적이 있는 청산공원","토성에서 바라보면 나무 너머로 마을 풍경도 내려다보입니다. 공원 자체로는 특별할 것은 없지만, 역사적인 장소였다는 걸 생각하고 한번 거닐어 보는 건 어떨까요? 청산공원 주소: 경기 연천군 청산면 학담로 147 -기자단 김현정-",2021. 7. 30.
"연천 맛집 추천, 연천 중식요리 맛집 차이나 전곡점","개인적으로 연천은 당일치기보다 숙박하면서 여행의 참맛을 느끼고 오는 편이랍니다. 연천의 천혜 자연환경 중 하나인 한탄강 유원지를 산책하듯... 전곡리 중식요리 식당, 차이나 식당을 찾아오셔도 좋을 것 같습니다. 차이나 전곡점 주소 : 경기 연천군 전곡읍 평화로 427 T. 031-832-9200 -기자단 홍성종-",2021. 10. 9.
"임진강 연천댑싸리공원 푸릇푸릇하고 산책하기 ""딱""좋아!!!!",경기 연천군 중면 삼곶리 422 031-839-0000 안녕하세요 가볼만한곳 양떼맘입니다 ✔보숙투어2탄 오늘도 이어집니다✌ 안 그래도 요즘 댑싸리공원을... (서치시작) #임진강댑싸리공원 #댑싸리공원 #연천가볼만한곳 #가을꽃명소 #가을데이트코스 #가을당일치기코스 #연천가을여행 #서울근교가볼만한곳,2021. 10. 11.
