header,contents,date
경기 지역화폐 오산 오색전으로 경기도 오산시 재난기본소득 지원금 신청,"◈ 경기 지역화폐 오산 오색전으로 경기도 오산시 재난기본소득 지원금 신청 사진 & 글 : 정영욱 전세계에 불어닥친 코로나19 사태로 우리나라도... 평소 같으면 웨딩, 행사, 공연, 인물, 프로그램, 여행 사진 촬영 등으로 빼곡한 스케줄을 소화하느라 바쁜 하루하루를 보내야 하는데 거의 모든 것이...",2020. 4. 8.
"3go여행), 우리동네반찬가게(경기 오산시), 맛스타그램(산낙지요리), 인생분식...",3GO - 태백 3GO 여행 편 ▶<태백산> 주소 : 강원 태백시 혈동 번호 : 033-550-0000 태백산 국립공원 홈페이지 http://www.knps.or.kr/front/portal... 우리 동네 반찬 가게 - 30년 손맛으로 만든 명품 반찬 편 ▶<우리동네 반찬가게> 주소 : 경기 오산시 오산동 262 번호 : 031-372-8599...,2020. 2. 7.
"경기 평생학습 어울림콘서트 '오산시, 우수 평생학습 체험부스 선정","학습여행'이 지난 11월 27일 성황리에 마쳤다. 경기도 평생학습 성과 공유의 장인 어울림콘서트는 올해 8회 째로 도내 31개 시ㆍ군 평생학습 기관과... 오산시는 우수 평생학습 체험부스로 선정되어 오산의 평생학습 시스템이 잘 구축되어 있음을 알렸다. 오산시는 아름다운 나이 듦, 행복한 제2의...",2020. 1. 2.
"[오산/화성/평택 라이딩] - 경기 오산시 세마역, 독산성, 화성시 보통저수지, 서봉산...","주행경로, 주행거리 ※ 보기원해 님이 찍은 사진, 동영상을 함께 편집함 1호선 세마역(오산시) 09:00 모여서... 9명 자전거 출발합니다... 독산성 올라가는 비단 광폭 싱글 길... 걷는 사람이 제법 있어서... 다음부터는 이 길을 이용해선 안 되겠습니다... (빨래판 도로 이용) 먼지 안 나게 천천히... 아주...",2020. 6. 21.
[7년 전 오늘] 서울근교여행 오산시에 위치한 독산성 세마대지와 권율 장군의 기지,7년 전 오늘 서울근교여행 오산시에 위치한 독산성 세마대지와 권율 장군의 기지 오산가볼만한곳]경기도 오산시에 위치한 독산성 세마대지와 권율 장군의 기지 경기농림진흥재단 해단식 참석차 수원 가는 길에초등 동창이 살고 있어 점심을 같이 하기로 하고 만났더니가까운 곳에 있는 독산성을...,2021. 2. 14.
[경기 오산시 부산동/동탄동/기흥동/반월동/병점동] 유초등부체력과 정신건강을...,"오늘은 경기도 오산시 부산동에 위치한 ""경희대 나우 태권도""를 소개해드려요~ 태권도는 자라나는 학생들의 체력증진과 정신발달에 큰 도움이되기... 유익한 학교체육 프로그램 세심한 인성교육 프로그램 체계적인 체력향상 프로그램 가족들과의 여행도 좋지만 단원들과의 여행도 또 다른...",2021. 4. 5.
[경기IN] [특집] 전국 최초 악기도서관···오산시 ‘소리울도서관’은 어떤 곳?,"▲ 소리울도서관 전경 (사진=오산시) © 경기인 【오산=오효석 기자】 오산시는 대표적인 교육도시다. 이에 발맞춰 전 학생들이 1인 1악기 다루기... 개관 이후, 평생교육과 연계사업의 일환인 시민참여학교는 관내 초등학생 대상으로 ‘이야기가 있는 음악감상여행(음악감상 탐방학교)...",2020. 3. 31.
경기도 오산시 가볼만한 곳/오산시 여행지 추천,"경기도 오산시 가볼만한 곳 오산시 여행지 추천 경기도 오산시는 화성, 수원, 용인, 안성, 평택이 둘러싸인 시로서 인구는 약 23만명 입니다. 오산시는 서울에서 경부고속도로로 바로 이어져 있어 편리한 교통을 갖추고 있습니다. 이번 시간은 오산에 가볼만한 곳/ 오산 여행지를...",2021. 7. 20.
경기문화재단 공연장상주단체 포천·남양주·오산시 5월 가정의달 풍성한 공연 펼쳐,"# 경기문화재단 공연장상주단체 포천·남양주·오산시 5월 가정의달 풍성한 공연 펼쳐 경기문화재단이 지원하는 공연장상주단체의 공연 3편이... 세계로 여행을 떠나는 이야기로, 일반 무대가 아닌 50미터 직벽에서 펼쳐지는 영상과 공중퍼포먼스 융합공연으로 숙련된 전문배우들의 스릴만점...",2021. 5. 6.
"오산시, 대한민국 방방곡곡 여행박람회 .. 주요 관광명소.축제 등 홍보","<사진=오산시 제공> - “아스달 연대기 드라마세트장”, “죽미령 유엔평화공원”, “물향기 수목원”, “오색시장” 등 - [오산=경기1뉴스] 한철전 기자= 오산시는 8월 13일부터 16일까지 4일간 고양시 일산 킨텍스에서 열린 '2020 대한민국 방방곡곡 여행박람회'에 참가해 새로운 관광 트렌드를...",2020. 8. 16.
[경기도민기자단] 신선한 식재료~ 다양한 먹거리 전통시장! 오산 오색시장,저는 평소에도 집 근처뿐만 아니라 여행할 때에도 그 지역 전통시장 구경을 좋아해 자주 시장을 보곤 하는데요. 오랜만에 오산시 대표 시장인 오산... 경기도 오산 오색시장 위치: 경기 오산시 오산로272번길 22 오산 오색시장 전화 문의: 031-376-4141 ▼오산 오색시장 위치▼ *위 내용은...,2021. 8. 20.
