header,contents,date
청계산 맑은 숲 공원 - 경기 의왕시여행,"청계산(淸溪山) 청계산(淸溪山)은 서울특별시 서초구와 경기도 과천시, 성남시, 의왕시의 경계에 걸쳐있는 산으로 대표적인 흙산으로 알려져 있는데 최고 높이의 좌표는 경기도 성남시 수정구 상적동 산 73-14번지에서 220m 남서쪽으로 위치해 있다. 모암은 호상 흑운모 편마암과 세립질 편마암이...",2021. 5. 12.
서울근교 둘레길 의왕시 백운호수 주차 당일치기 여행,"새소리 , 바람소리까지 느낄 수 있어 정말 힐링되는 시간이였어요 #서울근교둘레길 #서울근교당일여행 #의왕시가볼만한곳 #경기도둘레길 #백운호수둘레길 #백운호수주차 #백운호수트레킹#백운호수시간 #백운호수화장실 #강아지입양후 #주말당일여행 #경기도당일여행 #당일치기여행 #주말당일치기",2021. 4. 24.
경기도 의왕시 반일 여행 코스_갈미한글공원-모락산-임영대군묘-백운호수,"서울 근교인 경기도 의왕시로 반일 여행을 다녀왔다. 계원예술대학을 지나서 [ 갈미한글공원 - 모락산 산행 - 임영대군모역 - 점심식사 - 백운호수데크 ] 백운호수 주변에는 매우 많은 식당과 카페, 대형 베이커리가 많이 있어서 어디를 갈지 매우 고민이 될 정도였다. 갈미한글공원에서 시작을...",2021. 1. 24.
경기도가볼만한곳 의왕시의 가을 의왕 여행코스 베스트,"#경기도가볼만한곳 #의왕가을여행 청계산 청계사 11월에 떠나는 가을여행 경기도 의왕으로 떠나는 가을여행을 시작합니다 의왕시는 경기도 중서부에 위치하고 있으며 동서가 협소하고 남북이 긴 지형으로서 동쪽은 성남시·용인시·수원시, 서쪽은 안양시·군포시, 남쪽은 화성시, 북쪽은...",2020. 11. 18.
"주말,휴일 나들이:) 경기 의왕시/백운호수근처 산나래한정식(카페,정원)","-가게앞 주차공간 여유있음 -브레이크타임 피해가기 오눌 포스팅은 마무리 하겠습니당^^ 감샤해여 백운호수 2탄에서 또봬여❤ 씨유 #주말데이트,#주말외식,#경기주말맛집,#뷰밋집,#경기도힐링,#힐링데이트,#힐링여행,#상견례,#가족모임,#정원이있는,#맛집추천",2021. 10. 11.
경기 의왕시 - 210704 - 왕송호수길 따라서,"나를 찾아 여행을 떠나라고 말할 때 아침 일찍 커피를 마실 때는 삶을 당연히 아닌 철저한 준비로 맞아야 하는 때 눈물을 탄 커피를 마실 때는 세상 모든 삶과 죽음을 진실로 사랑해야 한다고 믿을 때 인생은 커피를 마실 때처럼 그리 길지 않다는 것을 안다면.. 의왕시, 왕송호수, 레일바이크.",2021. 7. 8.
"[경기IN] 의왕시, 2020년 제8회 경기정원문화박람회 개최 연기",2020년 제8회 경기정원문화박람회 개최 연기 [경기IN=박한수 기자] 의왕시와 경기도가 공동으로 추진하는‘제8회 경기정원문화박람회’ 개최를 코로나19 상황으로 시민들의 안전을 고려해 내년 상반기로 연기하기로 했다. 의왕시는‘정원으로 떠나는 소풍여행 레솔레파크’라는 주제로...,2020. 10. 14.
경기 의왕시 아이와 가볼만한곳 철도박물관 기차구경,"의왕조류생태과학관 의왕시자연생태공원등과 묶어서 일정을 짜보는것도 좋겠고 의왕레일바이크나 백운호수로 가족나들이 해도 좋을 듯! 일시 : 2019.12.24.(화) ~ 2020.3.31(화) ○ 장소 : 철도박물관 2층 특별전시실 ○ 대상 : 제18회 어린이 기차그리기대회 입상작 40점 (초등부 20점, 유치부 20점)...",2020. 1. 9.
의왕시 월암길 이야기 2탄 도심 속 힐링여행 레솔레파크,"http://naver.me/xIJGPlRc 경기 의왕시 왕송못동로 307 입장료 : 무료 대중교통 이용 시 전철 1호선 의왕역 하차 후(2번 출구 종점방향) → 버스 1-1 , 1-1, 1... 철길을 배경으로 사진 찍기도 좋고 철길을 보고 있으면 어디론가 여행을 온 것 같은 느낌에 마음이 푸근해집니다. 왕송생태습지...",2020. 12. 3.
"의왕시, 경기정원문화박람회 시민정원 공모",[세계로컬타임즈 최성우 기자] 의왕시는 제8회 경기정원문화박람회에 전시될 시민정원 12개 작품을 ‘정원으로 떠나는 소풍여행 레솔레파크’라는 주제로 공모한다. 시민정원은 왕송호수 생태습지 옆 산책로에 반원형 4㎡ 규격으로 조성돼 박람회 전시 및 산책하는...,2020. 6. 22.
