header,contents,date
경기｜의정부시 민락동 「의정부미술도서관」,"대부분 본 책들은 패션, 디자인, 사진이 많은 여행책 위주로 보았다. 사실 대학때로 돌아가더라도 열심히 과제를 할 거 같지는 않지만 그래도... 좋고, 애인과 데이트 하거나 아이가 있는 가족끼리 방문을 해도 좋은.. 그냥 다 좋은 너무너무 내 스타일이었던 곳 ▶ 주소 : 경기 의정부시 민락로 248",2021. 2. 23.
"(해남여행), 우리동네반찬가게(경기 의정부시), 빅데이터 랭킹맛집(해물찜TOP5)...","3GO - 해남 3GO 여행 편 ▶ <피낭시에> 주소 : 전남 해남군 해남읍 읍내길 8 해남고구마빵 피낭시에 번호 : 0507-1393-6262 ▶ <보해매실농원... 부부의 손맛으로 완성한 최고의 맛 편 ▶<마미키친> 주소 :경기 의정부시 범골로 50 번호 : ***-***-**** 돼지고기 김치찜, 청대구...",2021. 3. 19.
술맛 쫓아서 97 - 경기 의정부시 독립군포차,"서울 5일차 21.06.08 독립군 막걸리(경기 의정부시) - 오직 쌀,물,누룩. 서울에서 한시간 가량 전철타고 도착. 후하 멀다 ㅋㅋㅋㅋ 번화가에 위치하고... 지금의 술장사를 10년만 딱하고 막둥이가 성인이 되면 장사하고 있는거 정리하고 배낭여행 떠나실거라는 큰 꿈을 가지고 계신 ㅎㅎㅎㅎ 요새 다른...",2021. 9. 2.
"[경기 의정부시] 두번째 경기 북부여행 : 차가 필요한, 주차공간이 넓은 의정부 <밀가마...","오늘은 경기북부로 떠나보았습니다. 왠지 경기북부는 차를 가지고 가야할 느낌인데요. 청량리에서 지하철 1호선으로 멀지 않더라구요. 약... 든든히 먹고 파크프리베 카페로 이동~ 역시나 뚜벅이여행가는 버스로 © javigabbo, 출처 Unsplash 근데 한번만 갈아타면 되서 나쁘진않아요~ 74-3번을...",2021. 9. 27.
의정부 음악극축제 경기 의정부시,https://in.naver.com/seoul-lee1m & ▶이니셜 영문 무료로 새겨 드려요◀ https://post.naver.com/seoul-lee1m?isHome=1 의정부 음악극축제 2020 경기 의정부시 의***********회 ※ 내용 : 기존 5월 축제 → 8월로 연기 → 코로나바이러스감염증-19 여행정보 변동사항 확인하기 <의정부음악극축제>는...,2020. 8. 7.
경기 의정부시 장암동 카페 아를(cafe Arles),가시면 좋을 거 같구요 요즘처럼 해외여행을 못 가는 아쉬움을 달래줄 수는 있은 그런 공간이었어요 야외 테라스가 워낙 색감이 다양한 곳이니 기왕이면 날씨 맑은 날 가시는 걸 추천드립니다 ᕦ(๑•̀ o •́๑) ᕤ 카페 아를(cafe Arles) 경기 의정부시 장암동 97-40 매일 10:00-24:00 휴무는 인스타 참조,2021. 6. 11.
"[의정부여행] 서울근교 아이들 놀기 좋은... 6, 경기도 의정부시 #경기북부청사놀이터)","그리고 주차도 편하고 모두 무료인 #경기북부청사놀이터, #청사초롱유아숲 다녀왔어요. ^♡^ #청사초롱유아숲 은 지난번 리뷰를 상세히 해서 오늘은 #경기북부청사놀이터 위주로 포스팅해봤답니다. 네비에 #경기북부청사 검색하시구요. 안내받는 위치에서 청사앞으로 300~400m를 이동하시면 놀이터와...",2021. 6. 22.
[경기/의정부] 의정부시 스탬프투어 후기(3) - 선물 수령,드디어 의정부시 스탬프투어 클리어!! 의정부를 뚜벅이 여행해보자는 취지에서 시작한 스탬프투어이기도 하지만 사실 미션 완료시 선물을 준다기에 그에 맞춰서 더 열심히 한 것도 없지않아 있다ㅋㅋㅋ 오늘은 선물 후기만을 다루는 포스팅....ㅎㅎ ■ 의정부시 스탬프투어 선물...,2021. 9. 13.
여행 경기도 의정부시 / 의정부미술도서관,"마침 경기 북부에 갈 일이 있어 시간을 내서 구경하러 갔다. 의정부시는 책 읽는 도시로 정체화하며 다양한 도서관을 설립하고 있다. 음악도서관, 과학도서관, 정보도서관에 이어 2019년에 미술도서관을 개관했다. 약 9,600권의 예술서를 소장하고 있어 쉽게 접하거나 구하기 어려운 외국의...",2021. 7. 26.
"의정부시 캐릭터 의돌이·하기, SNS 활동 본격 개시",경기 의정부시는 다양해 진 소셜미디어 환경에 적합한 SNS홍보용 캐릭터로 ‘의돌이’와 ‘하기’의 개발을 완료했다고 5일 밝혔다.... 하기’는 의정부시가 시민들과 친밀한 소통을 위해 개발한 캐릭터로 600년전 과거에서 의돌이와 하기가 함께 의정부로 날아와 시간여행을 한다는...,2021. 1. 7.
