header,contents,date
[경기 이천시 증포동] 게랑 회랑,[경기 이천시 증포동] 게랑 회랑 외부 모습 주차장은 넓게 마련되어 있었다. 건물 뒤편에도 주차장이 있는 것 같았다. 이날 비가 많이 내려서 겨우... 저도 여행을 가거나 놀러 가서 그 주변의 식당을 정할 때 그냥 제가 가고 싶은 곳에 들어가기도 하지만 때로는 다른 블로거님들의 포스팅을 보고...,2020. 5. 29.
"경기도 이천시여행 경기도자미술관, 설봉폭포, 예스파크등 ‘달항아리 멍’ 때리고...","사음동 관촌순두부는 솥밥에 이천 토종 콩으로 만든 순두부로 유명하다. 순두부뿐 아니라 비지 정식, 두부보쌈, 이천쌀로 만든 농주 등으로 현지 단골이 많은 집이다. #경기도이천시여행 #경기이천시여행 #이천시여행 #이천여행 #경기도자미술관 #설봉폭포 #예스파크",2021. 10. 5.
"낭만포터 0819 : 경기 남양주시 진접읍, 경기 이천시 증포동","무슨 일인지는 모르겠지만 이것만 가져가라네요! 혼적보다 더 작은 독차입니다. ㅋㅋㅋ 진짜... 그물, 호루 뒷문 어떤 것도 건들지 않고... 경기 이천시 증포동으로 이동합니다. 기분이 넘나 좋게 하차 완료! 역시 이천은 화물이 꽤나 많습니다. 노려보고 노려봅니다. 패키지화물 만들어야죠. ^^;",2021. 8. 19.
[新국토기행] <62> 경기 이천시 - 서울신문,[新국토기행] <62> 경기 이천시 입력 :2016-03-02(수) 18:14 ‘명품 평야’ 풍요 속에 ‘천년 도예’ 맥이 뛴다 대한민국 가운데 있는 경기 이천시는... 이천은 이외에도 산수유마을과 부래미마을 등 볼거리·먹거리·체험거리 등이 풍부하고 온천여행까지 곁들일 수 있어 수도권 웰빙 가족 여행지로...,2020. 7. 3.
(이천가볼만한곳) 경기 이천시 설봉공원,◼ 설봉공원 ️위치 : 경기 이천시 관고동 336번지 일대 ️문의 및 안내 설봉 종합관광안내소 031-634-6770 한국도자재단 031-631-6501 ️관련 홈페이지... 이천세계도자센터 (이천세라피아) 이천세계도자센터 (이천세라피아) 구경거리가 가득한 곳이기에 비록 체험이나 내부 구경을 할 수 없어도 여행의...,2021. 1. 22.
[맛집] 경기 이천시 덕평마산아구이천쌀밥 한정식 간장게장 생선구이 더덕구이...,주차 공간 넘침 출처: 네이버지도 추석에는 쉬신다고 #이천쌀 #이천쌀밥 #경기도 #이천시 #덕평마산아구이천쌀밥 #한정식 #간장게장 #생선구이 #더덕구이 #여주프리미엄아울렛 #햅쌀 #한정식 #쿠팡물류창고 #쿠팡 #블루리본 #이천쌀밥한정식 #아구찜 #갈치조림 #꽃게탕 #전복장 #불고기 #가족여행...,2021. 9. 19.
"#봉고3캠핑카 전면썬팅,문짝유리썬팅 열차단필름시공 경기이천시출장썬팅",#봉고3전체썬팅 시공전 캠핑카로유명한 경기도이천시 캠핑카업체왔습니다.#봉고3전체썬팅 시공후 전면썬팅 농도15%시공#봉고3전면썬팅 시공전 #봉고3전면썬팅 시공후 농도15%입니다. 젤진하기로해달라하셔서15로 진행했습니다.#봉고3전면썬팅 시공전 #봉고3전면썬팅 시공후 #전면썬팅 시공후...,2020. 8. 28.
온세상도자여행 다 같이 이천시와 여주시의 투톤의 도자기를 구경해봐요!,"경기도자 온라인 페어는 작년에도 열렸던 비대면 도자기 관련 행사인데요! 한국 도자기의 발전을 위해서 한국도자재단과 이천시, 여주시, 광주시와 네이버가 함께 개최한다고 하네요 행사가 개최되기 전까지 온세상도자여행이라는 이름으로 각 지역의 인기 있는 도자기 요 장을 소개해주는 쇼핑...",2021. 9. 2.
"행복정책 소식_서울 강남구, 여주시, 경기 광주시, 서울 성동구, 나주시, 이천시, 공주시","정순균 강남구청장은 ""강남구민에게는 생활의 품격을 높일 수 있는 공간이 되고, 강남구를 찾은 관광객에게는 기분 좋은 여행경험을 선사해서... 이천시 시장과 지역주민의 공감미팅 '이천은 화목해요' 운영 이천시 제공 이천시(시장 엄태준)는 매주 화요일과 목요일 엄태준 이천시장이 관내...",2020. 7. 9.
"경기 이천시, 91년 5월 민주화운동 30주년 토론회 개최",[미디어이슈=박종완 기자] 이천시 모가면 어농리 소재 민주화운동기념공원 기획 전시실에서는 아주 특별한 시간여행이 펼쳐지고 있다. 진중한 여행이지만 유익하다. 우리나라의 민주주의의 퍼즐을 완성하기 위해 기꺼이 자신의 목숨을 바친 민주열사의 삶과 희생을 조명하는 91년 5월 투쟁...,2021. 5. 25.
