header,contents,date
"[서른 여덟 번째 출사] 경기 파주시 벽초지수목원 (주차장), (입장료), (여행 코스)...","벽초지수목원 주소 : 경기 파주시 광탄면 부흥로 242 운영시간 : 매일 09:00 - 19:00 연중무휴 이용요금 : 성인 9,000원 청소년 7,000원 어린이 6,000원 경로 / 장애 / 국가유공자 6,000원 네이버 예약시 할인 주차장 이용요금 : 없음 ☎ : 050714212022 서른 여덟 번째 출사 경기 파주시 산 깊은곳에 위치한...",2020. 9. 9.
경기 파주시 광탄면 기산리 마장호수 출렁다리,경기 파주시 광탄면 기산리 마장호수 출렁다리 오랜만에 야외로 드라이브를 나갔다가 기산리 마장호수까지 오게 되었네요 이곳에 와본지도... 좋겠네요 파주시 종합관광 안내도입니다 차근차근 살펴보면 여행에 도움이 되겠죠 6.25전쟁 전투 현장 알림판도 있네요 호국 영웅님들의 영전에...,2020. 6. 14.
"경기 파주시, 여행택시타고 편하고 안전한 여행하세요","현재 코로나19로 인한 사회적 거리두기와 언택트 시대에 맞춰 단체관광에서 소규모 관광으로 변화하는 트렌드를 반영했으며, 타인과의 접촉을 최소화하할 수 있다는 장점이 있다. 출처: 파주시, '여행택시'타고 편하고 안전한 여행하세요-미디어이슈 - http://www.mediaissue.net/1510848",2021. 6. 11.
"[경기 파주시 감악산 백패킹_일흔일곱 번째] 나에게 늘 쉼표 같은 당신, 감악산에서 보낸...","[경기 파주시 감악산 백패킹_일흔일곱 번째] 나에게 늘 쉼표 같은 당신, 감악산에서 보낸 하룻밤 2021년 1월 23일 이번 주는 경기 파주에 위치한 감악산으로 여행을 떠나기로 하였다. 함께 여행할 친구들을 만나기 위해 경남 고성에서 첫차를 타고 서울남부터미널로 갔다. 서울남부터미널에 가장 먼저...",2021. 2. 24.
경기 파주시 탄현면 카페 스틸모먼트(Steel Moment),"해외여행 온 거 같은 그런 기분이었어요 패션프루트청만 들어갔다면 우리가 다 아는 그런 맛이었을 텐데 라즈베리 셔벗이 신의 한 수더라구요... 브런치 카페로 추천드려요 스틸모먼트(steel moment) 경기 파주시 탄현면 법흥리 1652-277 평일 및 주말 11:30-20:30(last order 19:30) 화요일, 수요일 휴무",2021. 9. 10.
걸어서 하루에 다녀오는 세계여행! '파주시 교하 중앙공원',"파주시 SNS 서포터즈 이미화입니다. 이번 포스팅에서는 걸어서 하루에 다녀오는 세계여행! '파주시 교하 중앙공원'을 소개해드리려 합니다. 파주시... ● 찾아갈 주소 : 경기 파주시 숲속 노을로 256 ● 대중교통 : 경의중앙선 금촌역에서 마을버스 078, 073나 버스 77-2 타고 숲속길마을7단지에서 하차",2021. 8. 23.
"파주 임진각(평화누리공원) 경기 파주시 세계의 평화가 시작되는 곳, 임진각 평화누리공원","찾기 #21_22한국관광100선 #DMZ #관광지 #수도권 #안보여행 #언택트관광지_100선 #역사 #역사관광지 #연중무휴 #임진각 문의 및 안내031-956-8300 031-953-4744 홈페이지http://tour.paju.go.kr 주소경기도 파주시 문산읍 임진각로 177 휴일연중무휴 주차있음(1,500대) 점자블록점자블록 있음(주출입구...",2021. 1. 28.
┃파주여행┃경기미래교육 파주캠퍼스. 파주 영어마을 (경기도파주시),┃파주여행┃경기미래교육 파주캠퍼스. 파주영어마을 (경기도 파주시) 10.05.24.,2020. 12. 18.
"낭만포터 0806 : 경기 파주시 광탄면, 광주광역시 북구 우산동",8월 첫 출정이기도 하고 머드플랩 장착 후 처음이네요~ ^^ 경기 파주시 광탄면에서 상차합니다~ 요렇게 밀어서 싣는 이유는. 파레트 높이가 1500mm입니다. 호루를 사용하려면 펴고 싣는게 확실하죠. 크... 머드플랩 제작할 때 가장 고민했던 부분입니다. 스커트 길이가 1톤 적재시 땅에 끌리지 않는...,2021. 8. 6.
[경기 파주시] 서울 근교 나들이 갈만한 곳 '임진각',"임진각 경기 파주시 문산읍 임진각로 164 031-953-4744 서울, 수도권 확진자 수 증가로.. 주말에 간간이 나가던 나들이도 이젠 안 나가게 되어..... #임진각 #서울근교데이트 #수도권데이트 #서울드라이브 #파주데이트 #파주드라이브 #파주케이블카 #파주관광지 #파주여행 #파주가볼만한곳 #파주곤돌라...",2021. 1. 25.
