header,contents,date
지역n문화 서울근교 가볼만한곳 경기도 평택시 옛 진위면 도보여행,"'진위알리미사업'은 과거 평택지방의 중심이었던 진위현의 옛 모습을 되살리고, 시민들에게 평택의 뿌리를 알리기 위한 주민 협치사업이라고 합니다. 이번 주말 사회적 거리두기 철저히 지키면서 아이들과 함께 경기도 평택시 역사여행 떠나보시는 건 어떨까요?",2021. 9. 25.
"[경기IN] 평택시문화재단, 방방곡곡 문화공감 사업 선정",공연분야에 선정된 ‘웃다리 1945’는 평택 출신 독립운동가들의 일대기를 표현한 작품으로 평택시를 기반으로 활동 중인 경기도 지정... 쑥고개는 숯고개라 불리는 송탄의 옛 이름으로 송탄 사진을 통해 시민에게 추억의 시간 여행을 안겨주고자 한다. 전시는 오는 6월 평택북부문예회관...,2021. 2. 16.
평택시 지산동 소도시 여행,서울에서 지하철을 이용해서 도로 정체도 피할 수 있는 경기도 평택시 소도시 여행 즐겨보시는 건 어떨까요? 도보여행도 즐기고 맛있는 음식 먹방투어와 함께 이쁜 카페에서 차 한 잔을 하면 더욱 좋습니다. 이번 주말 온 가족이 함께 경기도 평택시에서 동네의 재발견을 느껴보시기 바랍니다.,2020. 11. 25.
"바람새마을 소풍정원 경기 평택시 미소바람이 머무는 정원, 소풍 정원","바람새마을 소풍정원 경기 평택시 미소바람이 머무는 정원, 소풍 정원 평택시 고덕면 궁리에 조성된 습지공원인 소풍정원은 자연과 사람이 함께... 모두의 여행 '무장애여행' ￼장애인 화장실 있음 ￼장애인 전용 주차구역 있음 ￼주출입구 단차없음 #가볼만한곳 #가족과함게 #관광지...",2020. 12. 16.
"[평택여행] 평택 가볼만한 곳, 평택 튤립동산, ""평택시농업생태원""","평택시농업생태원 경기 평택시 오성면 청오로 33-34 매일 09:30 ~ 18:00 (하절기 3월~10월) 매일 09:30 ~ 17:00 (동절기 11월~2월) 매주 월요일 휴무, 1월 1일... 이상 평택시 농업생태원 후기였습니다! #평택 #평택여행 #평택가볼만한곳 #평택튤립 #평택농업생태원 #평택시농업생태원 #농업생태원튤립...",2021. 5. 8.
"경기 평택시에서 먹었던 일본가정식! ‘쇼쿠지’ 일식당에서 명란 우삼겹 덮밥 , 텐동...","경기 평택시 비전9길 38 쇼쿠지 일식당 경기도 평택시 야구출장을 마치고 수많은 음식 관련 TV 프로그램에서 많이 소개된 텐동 , 사케동 일식 메뉴를 완벽하게 만들고 있다는 평택 일식 전문점에 다녀왔습니다. 위에 첨부한 사진 보셨나요? 예전 코로나19 전 일본 야구출장에서 이런 음식을 먹었던...",2021. 9. 2.
경기 평택시 메인스트리트_뉴욕 분위기 카페 추천,#평택 #여행 #카페 #뉴욕 #분위기 #최고 #추천 #리뷰 #후기 #인생샷 #포토존 #추석썰 가족과 함께 평택으로 여행을 갔다가 발견한 뉴욕 분위기의 예쁜 카페! 바로 메인스트리트(MAIN STREET) 카페이다. 건물 자체가 무지하게 컸고 옥상에 사람들도 보였다. Previous image Next image 이렇게 유명한 카페인 줄은...,2021. 9. 22.
"※경기광주☆평택시♥천안시 에서 평택,천안 에서 인천공항 타고가는 꿀팁 !!안중,송탄...","경기도,광주,평택시,천안시 고객님들 새벽시간 짐들고공항가야할때. 이동수단,교통수단 고민이많죠? 자가용가져가긴. 장기주차비 장난아니고... 해외여행갈수있을까 그날이 빨리오길 간절하게 소망합니다 누르면통회됩니다 그랜드스타렉스 대형밴 5명탑승 대형가방 13개가능 가격 평택. 110,000...",2021. 3. 22.
경기 평택시 포승읍 디저트전문점 맛있는녀석들의 흠뻑 반한 새로운 디저트의 발견,해외 여행을 온 듯한 인상을 준다고 합니다. 쟁반을 들고 먹고 싶은 것을 담고 셰이크와 빙수류는 키오스크에서만 주문할 수 있다고 합니다. 주문... 오후 10시까지 영업이라니 참고하세요. #경기평택시포승읍디저트전문점 #메인스트리트 경기 평택시 포승읍 만호리 697-17 메인스트리트 031-684-2223,2021. 9. 11.
"라이딩] - 경기 오산시 세마역, 독산성, 화성시 보통저수지, 서봉산, 초록산, 평택시...","차 없는 요런 길을 달립니다 황구지교를 건너서 평택시로 들어옵니다... 좌회전 후 뚝방길은 예전에 잡초 무성한 비포장이었는데... 아주 깨끗하게 포장되어 있습니다... 자전거길도 분리, 설치되어 있고... 진위천 북단 농로로 진입하니... 요런 공사 구간도 짧게 있고 306번 도로 북쪽 농로를 신나게...",2020. 6. 21.
