header,contents,date
경기 포천시 | 평강랜드/아트밸리(천주호) 구경 #포천여행,"오히려 건물 안에 전시해두는 무언가 보다는 자연에서 볼만한 것이 많았던 #포천여행 특히 깎여진 절벽이 멋있었던 기억.. 이런데 말고도 포천에 멋진 자연명소들이 많던데, 틈틈이 방문을 노려보아야겠다-! #국내여행 #경기도여행 #포천명소 #평강랜드 #아트밸리 #당일치기 #경기도당일치기",2021. 10. 7.
경기도 포천시 여행. 경기 북부 캠핑장. 가을캠핑! 몬테비얀코 캠핑장. 계곡에...,"여행일 : 2020.11.07~08. 처형식구와 함께 떠난 그곳은 바로, 경기도 포천시에 위치한 ""몬테비얀코 캠핑장"" #몬테비얀코 ...? 낯익은 이름인데... #몬테비얀코캠핑장 #포천캠핑장 예약을 한 처형도 기억을 못하네요. 오래된 기억을 거슬러 찾아보니 처형식구와 둘째(소윤)이 태어나기 전에 다녀온...",2020. 11. 10.
"[경기여행] 전통술 박물관 산사원, 포천시, 경기도",#경기도여행 #포천여행 #포천박물관 #경기박물관 #전통술박물관 #전통술 #산사원 #느린마을 #배상면주가 경기도 포천시에 위치한 전통술박물관 느린마을 산사원은 배상면주가에서 운영하는 우리나라 전통 술 박물관이다. 입장료를 내면 배상면주가에서 나온 다양한 전통술을 맛볼 수 있다고 해서...,2020. 3. 23.
북카페 복합문화시설 부지 베어스캠프매매 경기 포천시 내촌면 신팔리 338-5외 5필지,"[경기 캠핑장 글램핑장 부지 매매] [경기 포천시 내촌면 신팔리 338-5외 5필지] [경기 포천시 내촌면 신팔리 338-5외 5필지 상세정보] [경기 포천시... - 연매출 3.5억 - 팬션, 숙소동, 글램핑, 카라반, 캠핑장, 북카페, 수영장 등 다양한 복합 문화편의시설 - 코로나 시대라 해외여행이 막혀 오히려 더...",2021. 7. 20.
벚골 도토리막국수 포천여행 코스 내돈내산 (포천시 산정호수 맛집),윤쓰에요 남편과 얼마 전 포천 여행을 다녀왔어요 포천에 유명한 비둘기낭폭포를 방문했어요 아이스크림 파시는 아저씨께 맛집을 물어보니... 도토리막국수> 경기 포천시 관인면 숯골길 325 매일 10:30 ~ 20:00 (11월~2월 매주 화요일 휴무/ 3월~10월까지는 휴무 없음) Tel : 031-583-1810 주차장 있음...,2021. 7. 3.
"[경기IN] 포천시, ‘관광 UCC 공모전’ 개최","포스터 [경기IN=오효석 기자] 포천시는 참신한 신규 관광 영상 콘텐츠 발굴을 위해 여행을 좋아하는 전 국민을 대상으로 ‘포천관광 UCC 공모전’을 개최한다. 공모 내용은 포천시의 자연경관 및 관광자원을 매력적으로 표현한 작품, 여행하기 좋은 포천지역 주요 관광지·음식 등을 담은 작품...",2020. 10. 7.
[포천시 영북면 도시재생 현장지원센터]화적연/명승93호/포천 가볼만한 곳/포천/포천여행,주소 :경기 포천시 영북면 영북로191 축협 2층 (경기 포천시 영북면 운천리 506-1) 업무시간 : 평일 9am - 6pm 전화번호 : 031-533-5523 #포천시 #영북면 #포천시영북면 #도시재생현장지원센터 #포천시영북면도시재생현장지원센터 #도시재생 #도시재생뉴딜사업 #영북도시재생 #포천도시재생...,2021. 9. 13.
고모저수지(고모리 저수지 - 경기 포천시 소흘읍 고모리 ),"포천 광릉 국립수목원에 갔다가 이왕 여행 간 김에 근처에서 가장 핫한 곳, 고모저수지에 들러 밥도 먹고 저수지 풍경을 보며 커피도 마시며 꽉 찬 하루를 보냈습니다. 대중교통으로는 1번, 1-1번, 86번 버스가 지나는데, 1번버스와 1-1번버스는 운행간격이 140(90)분~170분이고 배차 시간은 알...",2021. 9. 21.
"[홍보영상제작업체] 여기, 포천으로 물들다. 포천시 관광홍보영상 제작","관광지가 밀집한 서울 종로구, 제주, 전주에서 여행업 신용카드 사용액이 대체로 감소한 반면 전남 보성, 강원 평창, 경기 포천시와 같은 소도시는 증가했는데요. 특히 포천시는 127%의 증가율을 보였다고 합니다. 포천은 접근성이 좋아 당일치기 여행 장소로도 손색이 없어 많은 분들이...",2021. 2. 16.
경기도 포천시 티볼리빌 펜션,오늘의 핫한 여행상품 경기도 포천시 티볼리빌 펜션 입니다 가성비와 상품평 및 판매율이 좋은 상품입니다 22개의 이용자들의 상세한 리뷰가 달려있습니다 쿠팡에서 예약시 최대 할인혜택과 쿠팡 포인트 적립까지 두가지 혜택을 모두 받을 수 있어서 좋아요 경기도 포천시 티볼리빌 펜션...,2021. 8. 21.
