header,contents,date
"정심사(하남) - 경기 하남시 사찰여행, 성철 스님의 사리가 봉안된 사리탑과 법문 사경이...",성철 스님의 사리가 봉안된 사리탑과 법문 사경이 있는 사찰 정 심 사 (하남) 경기도 하남시 하산곡동 9-7에 소재하고 있는 정심사(正心寺)는 대한불교조계종 제12교구 본사 해인사의 말사로 성철 스님이 1985년에 서울과 경기지역 포교를 위해 창건한 도량이다. 이런 정심사에는 경내에 독창적인...,2021. 1. 13.
"[경기IN] 하남시의회 방미숙 의장, 관광업계 재난지원금 지급에 숨은 조력 '눈길'",하남시의회 방미숙 의장 [경기IN=오효석 기자] 하남시의회 방미숙 의장이 관광사업체(여행업 등) 재난지원금 지급에 ‘숨은 조력자' 역할을 톡톡히 해냈다. 30일 하남시와 하남시의회에 따르면 하남시는 코로나19 사태 장기화로 어려움을 겪는 관내 관광사업체 소상공인에게 자체적으로 100만원의...,2021. 8. 30.
경기 하남시 마부곱창 미사점,"안녕하세요~~ 맛집 찾아 삼천리~~삼만리~~ 먹는거 좋아해서 소문난 맛집이란 맛집은 다 찾아다니는 먹순이가 지난주에는 경기 하남시 ""마부곱창... 시간나실때 직접 방문하셔서 맛있는 요리여행되시길 기원합니다~~ 추운 날씨 항상 건강 조심하세요 마부곱창 미사점 ☎️: 031-792-7277 (주차 가능합니다)",2020. 12. 7.
경기도 하남시여행. 조선시대 향교. 광주향교(廣州鄕校)는 하남시 교산동에 있어요!...,광주향교 위치 : 경기 하남시 교산동 277-3번지 광주향교 주차장에서 우릴 맞이하는 500살 드신 은행나무. 역사있는 나무는 500살은 기본(?)이죠! 광주향교가 언제 지어진 시기를 알수 없다고 하던데... 여기에선 조선 태조 5년이라고 명시를 했네요? 햇살 좋은 날. 어떤 가족은 이렇게 휴식을...,2020. 10. 25.
경기 동부권 레저문화 축제도시 구축방안 연구 -하남시 중심- [경기연구원 연구보고서],"테마 여행이 등장하고 있으며 최근에는 공정여행, 한 달 살아보기, 봉사 여행 등 여행이 삶의 부분으로 녹아드는 유형도 증가하고 있습니다.... - 하남 종합운동장 : 하남시의 대표적인 종합체육시설로 주경기장, 보조경기장, 하남국민체육센터, 하남종합운동장 제2체육관, 롤러스케이트장...",2020. 1. 21.
"서울근교 갈만한곳, 두 뷰가 멋진 하남시 '검단산'",참고로 검단이라고 해서 검단 신도시 생각했는데..ㅋㅋ 경기 하남시에 있습니다ㅋㅋ 높이 657m이고 코스도 많이 어려운 편은 아닙니다. 무엇보다 정상의 뷰가 예술입니다. 교통 지하철 5호선으로 '하남검단산역'에서 내리면 주차장입구까지는 15분 정도 걸리는 것 같아요. 검단산은 오르는 입구가...,2021. 7. 10.
[첫째의] 동남아로 여행 온 기분이 들었던 하남시 '카페웨더' & 티파니앤코 1837 후기,"장소명 : 카페웨더 위치 : 경기 하남시 검단산로 228-8 운영시간 : 매일 10:00 ~ 22:00 주차장 : 바로 앞, 넉넉한편 짧게 요약하자면, 동남아에 온듯한 느낌으로 인테리어는 정말 예뻣고, 실내외 여유있는 자리수와 간격도 넓었어요. 잘 모르는 커피지만, 아메리카노 남기고 왔어요. 카페웨더 전경 동생의...",2020. 7. 12.
[경기 하남시] 삼겹살 맛집 제주덕구,^^ 삼겹살 굽는 소리는 언제나 청아하죠 ㅎ 최근 먹어본 삼겹살 집 중에서는 가장 맛있는 곳이었어요~ 다음에 또 가고 싶네요^^ 커플쿠폰 케이스세트 쿠폰제작 남자친구생일이벤트 기념일이벤트 러브스크래치복권 점착 메모지 나뭇잎 은행잎 단풍잎 푸른잎 포스트잇 접착 메모지 여행쿠폰 예쁜편지지...,2021. 3. 7.
하남시미용실 상큼하게 봄맞이 염색 엘린헤어 에서~,원래는 머리 엄청 길러서 투톤으로 염색하고 몰디브 여행가고 싶어서 세상에 태어나 가장 긴 기장으로 머리 길렀는데ㅠㅠ 일단 여행이... 집회사만 반복 중인데 덕분에 기분전환이 좀 된듯 :) 봄맞이 하남시미용실 에서의 컬러체인지 대성공! 엘린헤어 경기 하남시 미사강변중앙로111번안길 14 031-794-2015,2020. 4. 9.
경기하남[덕풍동번호키설치... 망월동안전고리 신장동도어체크]하남시열쇠출장,3.기존 도어락위에 키를 사용하여 한번더 잠그는 보조키를 추가로 설치하시면 멀리 여행을 다녀오셔도 출장 일을 떠나셔도 안심이 됩니다. 4.... 오늘바로출장하는친절한하남시열쇠집 #보조도어락설치 #잠긴문따주는곳 #문고리교체 #디지탈도어록설치 #번호키교체 #열쇠수리점 #경기도하남시...,2021. 9. 14.
