header,contents,date
"[여행기록] 서해바다 해변, 갯벌, 놀이동산... 있는 곳 - 1박2일 제부도 탐방기 (경기 화성시)","요새 해외여행들을 못다니다 보니, 제주도로 더 많이 많이 사람들이 몰리는 듯하다. 우리도 비행기 한 번 타고 제주도로 고고씽 하고 싶었지만 영 시간이 나질 않았다. 좋아!! 그럼 제주도는 못가봐도 비슷한 이름인 곳에 가보자며 즉흥적으로 만난, 제부도 경기 화성시 바닷길이 열리는 제부도는...",18시간 전
경기 화성시 고온항 방문 [고온항 철창 너머 불빛],풍력발전기와 바닷길은 걷는 컨셉은 못참지만 여행으로 갔던거기에 시간상 패스하고 나중에 혼자 한번 가볼 예정이다. 오늘의 주인공은 경기 화성시 우정읍 매향리 945-19에 위치한 고온항 지도상에는 매향리 선착장으로 검색하는게 수월했다. 생각보다 집에서 가까운 거리에 놀랐다 40분정도 걸렸던...,2021. 9. 30.
(경기여행) 화성시궁평항 신선한 회를 저렴하게 먹을 수 있어요! 캠핑장소로 굿,"경기도 유일의 국가어항이자 대표적인 관광어항 ‘공룡알 화석지 궁평항’은 화성시뿐만 아니라 경기도의 대표적인 관광어항입니다. 해수욕장으로 활용되는 모래해변과 건강한 갯벌, 울창한 해송 숲과 각종 수산물이 풍부한 어항을 갖추고 있어요. 궁평항 근처에는 궁평어촌체험마을에서...",2020. 4. 14.
"[경기 화성] (궁평항) 어린이낚시 체험, 패달보트 타기 좋은 곳, 경기도 화성시 궁평항","주소 : 경기 화성시 서신면 궁평항로 1049-24 전화 : 031-356-7339 PHOTO VIEW 어린이 낚시체험 패달보트 타기 궁평항 나무데크길 궁평항 아르고, 모터보트, 갯벌체험 LOCATION #화성가볼볼만한곳, #화성여행, #궁평항어린이낚시체험, #궁평항패달보트체험, #서해안일몰여행, #서해안갯벌체험, #국가어항...",2021. 6. 13.
[경기여행누림 서포터즈] 경기 화성시 <우리꽃 식물원>,"hscity.go.kr/intro.jsp 화성 <우리꽃 식물원>, 카드뉴스로 알아볼까요~? 9월에는 평일에도 '온동네 경기투어버스' #경기도장애인복지종합지원센터 #누림센터 #문턱없는경기관광도시조성지원 #무장애여행 #경기도 #경기여행누림 #서포터즈 #화성시 #우리꽃식물원 #경기투어버스",2020. 9. 7.
서울 근교 해넘이 해맞이 명소 경기 화성시 탄도항에 다녀왔어용,ㅋㅋㅋㅋㅋ 2020년도를 떠올린다면 세계 모든 사람들이 아마 #Covid-19 를 떠올리실 거 같아요 저도 코로나로 인해 야외활동도 줄이고 여행도... 바로 경기 #화성시 에 위치한 #탄도항 이라는 곳이에요 이곳은 #해넘이명소 #해돋이명소 로 유명한 곳이에요 물론 유명하지만 저는 처음 알게 된 곳이에요!...,2020. 12. 31.
경기 바다여행! 화성시 백미리 어촌체험마을에서 사진만 찍고 오기,"저희는 사진을 찍으러 온거라 갯벌 체험과는 무관해요~^^ 요걸 타고 나가서 체험을 하는 거겠죠?^^ 화성시 백미리 주차장 주차장도 생각했던것보다... 화성시의 주요관광지도가 보입니다. 저희는 이 지도를 참고해서 이곳 구경 후 ""화성 정수영 고택""을 이어서 방문했었답니다. 뒤에 건물을 짓고...",2021. 7. 1.
"(화천3go여행), 우리동네반찬가게(경기 화성시 뷔페반찬), 맛스타그램(용궁탕)...","3GO - 화천 3GO 여행 편 ▶<대봉수산> 양식장 주소 : 강원도 화천군 사내면 김수증길 9-116 번호 : ***-****-**** * 철갑상어 문의... 가성비 최고 뷔페 반찬 편 ▶<소중한 한 끼> 주소 : 경기 화성시 지산2길 11-14 1층 번호 : 031-373-5123 점심에는 7,000원 뷔폐 운영 오징어콩나물찜, 장어약밥...",2020. 5. 9.
경기 G-MAP투어 - 경기 화성시 우음도,"#경기그랜드투어 #ggroute #gg_화성 #색다른경기바다 #이젠경기바다 #경기바다 #경기바다여행주간 경기 G-MAP투어로 떠난 둘째날 경기 화성시 ""우음도"" 솔직히 우음도라는 곳은 이번 여행을 통해 처음 알았다. 전곡항을 갈까, 시화호 달 전망대를 갈까 고민하다가 서울 집으로 오는 길이 좀 더 편할것 같아...",2021. 6. 19.
경기 화성퀵 화성시 용달차로 전국화물 당일배송 oK!,"기업물류 상품 박스 적재하기 경기도 화성시는 봉담읍 남양읍 우정읍 향남읍 매송면 비봉면 장안면 양감면 정남면 등 아주 넓은 면적의 도시에요. 바다여행이 가능한 국화도, 제부도, 전곡항이 있고 유명한 화성 융릉과 건릉, 정조 효문화제, 화성 뱃놀이 축제, 우리 꽃식물원, 향토 박물관 등...",2021. 8. 14.
