header,contents,date
경남 거제시 여행 전원주택 펜션 일운면 지세포에 위치한 외도빌라스,체크인 15:00 / 체크아웃 11:00 거제도 여행 전원주택 펜션 '외도빌라스' 숙소의 위치는 숙소의 이름답게 외도로 가는 유람선을 탈 수 있는 구조라 항에서 차량 10분 내외 거리의 경남 거제시 일운면 지세포에 위치하고 있다. 에어비앤비 규정상 예약 후 정확한 주소가 표기되기에 정확한 주소는...,2021. 9. 5.
"경남 거제시 소노캄 리조트 맛집 디너부페 "" 셰 프 스 키 친 ""","1588-4888 주소 경남 거제시 일운면 거제대로 2660상세주소 열기/닫기 지도보기 영업시간 매일 07:00 - 10:00조식뷔페 매일 18:00 - 21:00석식뷔페, 7월24일... 여행에 있어서 식도락이 제일 큰 즐거움인데 리조트안에서 이렇게 맛있게 한끼식사를할수있으니 정말 간편하고 든든하니 너무나 좋다. 개인적으로...",2021. 8. 30.
경남 거제시 공곶이 수선화 여행 / 아름다운 섬여행,경남 섬여행을 떠나보고 싶으시다면 공곶이에서 수선화의 장관도 감상해보시면서 '나'에 대해 진지하게 돌아보는 기회도 가지실 수 있으면 합니다. 무엇이든 중용을 지키는 것이 가장 어렵고도 중요하죠. 섬여행지이다보니 멀리 내다보이는 다도해의 풍광도 너무나 아름답네요. 봄햇살을 받아...,2020. 3. 29.
"☆★경남 거제시 칠천면 노을지는날에... 낚시 방파제 가볼만한 곳, 부산가까운 여행☆★",경남 거제시 칠천면에 위치한 노을지는 날에 펜션 전망입니다. 부산 사상-강서구-가덕도-거가대교-거제도 칠천면 거제도 위쪽 입구에서... 동석한 친구가 가족여행으로 추가예약하려니 이미 8월은 만실이네요. 거제도 칠천면 노을지는날에 펜션 저희가 묵은곳은 104호 바로 아래 아이들이...,2021. 8. 21.
"대한민국에서 두 번째로 큰 섬, 거제도 가족여행코스 [경남 거제시 거제도]","오늘의 추천 여행지 [경남 거제시 거제도] 입니다. 출처: 한국관광공사 대한민국에서 2번째로 큰 섬, 거제도! 그러다 보니 즐길 거리도 풍부한 곳인데요. 오늘은 사랑하는 가족들과 떠나기 좋은 여행코스로 준비했습니다! 그럼 거제여행 추천지 살펴볼까요~? 출처: 한국관광공사 첫 번째는...",2021. 7. 16.
경남 거제시 부동산 공부,투자도 여행이다. 여행은 사람이다. 거제에도 봄바람이 불었으면 한다. 거제에도 자유가 불었으면 한다. 거제에도 시장경제가 살았으면 한다. 거제도는 더이상 섬이 아니다. 거제도가 아닌 거제시이다. 깨어나길...,2021. 3. 26.
"[경남/거제시/지세포리]백종원골목식당/""풍년보리밥""주소위치,연락처 영업시간/거제여행...","찾아가는 길 경남 거제시 일운면 지세포4길 8 지번)거제시 일운면 지세포리 938-7 영업 시간 점심)am11:30~pm3:00 저녁)pm4:30~pm8:00 ♥0200의 이모저모 click click♥ 백종원 골목식당에 나왔던 저게맛집 ""풍년보리밥""에 다녀 왔습니다. 풍년보리밥은 촬영때 갔었고 촬영끝나고 한번 갔었고 코로나가 터진...",2021. 8. 23.
경남 거제시 가볼만한곳 오션뷰카페 카페 포뷰,포뷰가 여행의 아쉬움을 조금이나마 달래주었던 거 같아요 각 층에 있는 서비스 테이블도 이렇게 깔끔하게 정리되어 있네요 거제도 여행 시 장승포동에 방문을 하게 되면 이 장소를 빼놓지 않고 꼭 방문하게 될 듯합니다. 분위기 좋은 카페를 찾는다면 경남 거제시 가볼만한 오션뷰 카페 포뷰 Thumbs up,2021. 10. 1.
"[거제도1박2일여행-2일차]와현해수욕장... 거제도가볼만한곳 -경상남도, 경남, 거제시...",#거제도1박2일여행 #거제도여행 #거제도여행일정 #거제도1박2일여행일정 #거제도1박2일 #여행일정 #거제도여행코스 #가이드 #거제도1박2일여행코스 #경남 #경상남도 #거제시 #거제도 #추천 #데이트 #코스 #데이트코스 #국내여행 #국내 #여행 #와현해수욕장 #와현유람선 #유람선 #해금강 #외도보타니아...,2021. 9. 1.
[경남 거제시] 1박2일 거제도 여행 part.1 : 거제도 맛집 배말칼국수김밥 본점 후기.,경남 거제 1박2일 여행 part.1 거제도 여행 첫 번째 포스팅은 도착하자마자 들린 맛집입니다. 경남 거제시 : 배말칼국수김밥 본점 거제시 장승포로2에 위치한 배말칼국수김밥 본점입니다. 네비 찍고 가시면 큰길에서 바로 보여서 찾아가시는데는 문제없을 거 같아요. 맞은편에는 홈포레스트 호텔이라고...,2020. 10. 20.
[국내 섬 여행] 경남 거제시 해금강 가는 길 주변의 아름드리 수국...,"해금강의 위용 외도 보타니아 아름다운 자연을 품고 있는 지상낙원, 외도 보타니아 경남 거제시 외도(外島)는 경상남도 거제시 일운면에 위치한 섬이다. 한려해상국립공원에 속하며 14만 4998㎡의 섬 전체가 외도 보타니아라는 정원과 수목원으로 가꾸어져 있다. 동경 128도 70분, 북위 34도 70분으로...",2021. 8. 4.
경남 거제시 손품 (1),갑자기 경남으로 여행을 가게 되었습니다. 사실 강원도 캠핑을 갈 예정이었는데 코로나 때문에 취소했거든요. 그런데 이렇게 휴가를 집에서만... 경남 거제시 당첨! (그러고 보니 제목이....;;) <거제시 선택의 이유> 1. 거제시 인구 24만 > 목포시 인구 22만 2. 거제시는 주변에 가격을 끌어주는 큰형님...,2021. 8. 3.
"경남 거제시 지세포항, 전망 예쁜 소동재 펜션/거제도 여행","숙소로 잡은 경남 거제시 지세포항 일출과 전망 예쁜 소동재 펜션... 마당에도 수국이 아름답네요 ㅎ 일행 많으면 묵는 가족형 독채는 60여평... 근처 지세포항, 장승포항, 지심도, 해금강, 외도 등 여행 오면 바다위에 조성한 데크길 산책과 야경 감상 강추. 해양문화관광지 거제도를 여름...",2021. 6. 26.
[경남/거제시]바람의 언덕,2021년 3월 31일 (수요일) 이번 거제시 여행은 내촐마을의 유채꽃밭~ 바람의 언덕~ 신선대~ 근포마을땅굴을 보는 코스로 짜보았거던요. https://blog.naver.com/lovehun28/222296725464 오늘은 두번째코스로 갔던 바람의 언덕을 소개해 드릴께요~~^^ 바람의 언덕 경남 거제시 남부면 갈곶리 산 14-47 주차는...,2021. 4. 6.
경남 거제도여행 거제시 맛집 : 배말칼국수김밥 고현직영점,"#경남맛집 #거제도맛집 #거제시맛집 #거제도여행 #거제맛집 #거제도배말칼국수 #배말칼국수김밥 #거제도가볼만한곳 #거제도여행지 #배말칼국수김밥본점 #배말칼국수김밥고현점 #거제고현동배말칼국수김밥 #거제고현동맛집 배말칼국수 국물에서 바다향이 훅~ 배말, 보말, 해산물로 우려낸 육수를...",2020. 10. 13.
경남 거제시 골프장 드비치cc로 다녀오는 1박2일골프패키지,"경남 거제시 골프장 드비치cc로 다녀오는 1박2일골프패키지 안녕하세요. 오늘이 지나면 또 다시 주말의 시작인데 이번주는 사람들 많은 곳에... 세계의 골퍼들이 인정하고 인정받는 드비치cc로 다녀오는 1박2일골프여행! 소수의 회원들만이 누릴 수 있는 고품격의 서비스와 특정, 그리고 세상이...",2021. 7. 9.
"[경남 거제시 / 바람의 언덕, 가덕휴게소] 거제도 바람의 언덕, 가덕휴게소 당일여행.",주소 : 경남 거제시 남부면 갈곶리 산 14-47 입장료 : 무료 바람의 언덕 주차장 : 당일 3000원 아침 일찍 집에서 출발~ㅎ 가덕 톨게이트를 지나... 될 것 같아요~ㅎ 오늘은 거제도 바람의 언덕 및 가덕 휴게소 다녀온 여행 후기였습니다.ㅎ 가덕 휴게소 가덕 휴게소 가덕 휴게소 바람의 언덕 바람의 언덕,2020. 8. 25.
경남 거제시 상동동 스시맛집 - 스시여행에서 제일좋아하는 초밥으로 맛있는 한끼!,"먹은지 얼마안됐는데 사진보니 또 먹고싶다 ^^ 너무맛있었던 거제 상동동 스시맛집 스시여행! 다음에 또 방문할께요 ^^ 경남 거제시 거제중앙로 1629, 1층 (상동동) 상동동 스시맛집. 스시여행 업체로부터 소정의 서비스를 받아 작성하였습니다",2021. 2. 26.
카메라만 들어도 인생 샷! SNS에서 핫한 명소 가득한 [경남 거제시 거제도] ②,"오늘의 추천 여행지 [경남 거제시 거제도] 입니다. 출처: 한국관광공사 트래블리더 13기 한 달 전에 모노레일과 맹종죽테마공원, 씨월드까지! 가족여행을 테마로 거제도 여행코스를 추천해드렸죠~? 오늘은 연인끼리, 친구들끼리 다녀오면 좋은 인생 샷 명소들로 꽉꽉 채워왔습니다! 거제도 제2탄!...",2021. 8. 25.
경남 거제시 해금강 유람선 :: 코스 & 가격 & 소요시간,"경남 가볼만한 곳 거제시 해금강 유람선 아리랑호 해금강 유람선 코스, 가격, 소요시간 거제 여행하면서 관광지가 생각보다 많아서 좋았다. 해금강 말고도 바람의 언덕, 포로수용소, 몽돌해수욕장, 장사도, 외도, 동피랑벽화마을, 한려수도케이블카, 이순신공원, 달아공원 등 가보고 싶었던 곳이...",2020. 5. 31.
"[거제도1박2일여행-1일차]... 거제도가볼만한곳 -경상남도, 경남, 거제시, 거제도",#거제도1박2일여행 #거제도여행 #거제도여행일정 #거제도1박2일여행일정 #거제도1박2일 #여행일정 #거제도여행코스 #가이드 #거제도1박2일여행코스 #경남 #경상남도 #거제시 #거제도 #추천 #데이트 #코스 #데이트코스 #국내여행 #국내 #여행 #학동흑진주몽돌해수욕장 #바람의언덕 #신선대...,2021. 9. 1.
"[경남 거제시] 1박2일 거제도 여행 part.2 : 거제도 여행 숙소, 감성 펜션 픽쳐레스크...","거제도 도착 후에 배말칼국수김밥 본점에서 밥을 먹고 다른 볼거리를 보고 숙소로 갈려고 했는데 비가 오는 바람에 아무것도 못하고 바로 숙소로 들어갔어요 ㅠㅠ 날씨로 틀어진 여행 계획 때문에 씁쓸했는데 픽쳐레스크 숙소가 씁쓸함을 다 날려줬습니다!! 경상남도 거제시 숙소, 펜션 픽쳐레스크...",2020. 10. 21.
남파랑길 24코스 경남 거제시 - 남파랑길 거제구간,"캠핑장 여행자 정보 - 시점 : 남부면 저구항(경남 거제시 남부면 저구리 저구항) 교통편) 고현버스터미널에서 53,53-1번 이용 후 매물도여객선터미널 하차. 배차간격이 2시간 이상이므로 시간확인 필요 - 종점 : 남부면 탑포리 탑포마을(경남 거제시 남부면 탑포리 477-5) 교통편) 탑포마을 정류장...",2021. 2. 15.
