header,contents,date
경남 거창군 여행,"금봉암(내비 주소 : 거창군 고제면 용초길 310-428) 이 절은 경남의 소금강이라는 삼봉산 기슭에 있는 해인사의 말사로, 사찰 뒤로 장군바위, 칼바위... 특이하게도 대웅전 지붕 한가운데에 불상이 세워져 있습니다. 이상으로 거창군 여행기를 마칩니다. 즐거운 여행 되시길 바랍니다.",2021. 10. 9.
[경남 거창군] 아스타 국화 꽃&별 여행 감악산,"난 그저 부러워할뿐이다. 거창 감악산은 일출, 일몰 이쁘다고 소문난곳이다. 2층 주차장에 1층주차장 언덕쪽에 주차하면 좋은뷰이다. 도시락 준비해서 이곳에서 먹으면 천상낙원이다. #거창군 #감악산 #아스타국화 #감악산풍력발전소 #거창여행 #노을맛집",2021. 10. 5.
[경남여행] 경남 거창군 우두산 Y자형 출렁다리 와 수승대에서 자연을 느끼다,수승대출렁다리 #거창치유의숲 #거창가볼만한곳 #거창경치좋은곳 #거창물놀이 #수승대오토캠핑장 #수승대썰매장 #거창추천여행지 #거창봄여행 #수승대소나무 #수승대은행나무 #수승대계곡 #경남여행 #거창여행 #거창드라이브코스 #거창나들이 #거창볼거리 #거창놀거리 #거창사진찍기좋은곳,2020. 3. 13.
"[거창여행] ""봉스글램핑"" 경남 거창군 글램핑 강력 추천","이럴 땐, 여행이 정답입니다! 봉스글램핑 경남 거창군 마리면 풍계1길 27-71 (마리면 율리 345) 예약: ***-****-**** 입실:오후3시 / 퇴실:익일 오전 11시 ▽▼ 네이버로 예약하기 ▽▼ 대구에서 자가용으로 한시간 반정도 소요로 도착할 수 있는 딸기가 유명한 고장 거창군에 도착했습니다. 역시...",2020. 9. 28.
[경상남도/거창군] 감악산 / 감악산 아스타 국화 / 감악산 국화 / 거창 여행 / 경남가볼만...,"시기에 여행을 다닌다. 나도, 우리도 그렇다.조심히 잘 다니고 있다. 감악산 항노화웰니스 체험장, 엄청나게 길게 적혀있다.음... 경남 쪽에 약간... 낮에는 거의 여름의 느낌이었다. 거창, 감악산 꽃&별 여행 2021년 감악산 아스타 국화, 방문 감악산 아스타 국화 경상남도 거창군 신원면 덕산리 산57",2021. 10. 6.
경남 거창군맛집 이수미팜베리 농가레스토랑&카페 [베리임실치즈돈까스& 베리꽃비빔밥...,안녕하세요 경남거창군에 여행갔다가 이수미팜베리 농가레스토랑 & 카페에 다녀온 박꽃입니다. 너무 멋진공간이라 소개해드려요 ! 아이들과 함께가도 연인과 함께가도 가족과 함께가도 누구랑 함께가도 혼자가도 너무 좋은 공간이였어요 ! 저는 영감님과 함께갔는데 오랜만에 사랑이 샘솟는기분...,2021. 6. 24.
경남 거창군의여행지,"있는 여행에 생기를 보탤 수 있다. Previous image Next image 황산전통한옥마을이 자리한 경남 거창으로 향하는 길,거창보다 동쪽에 자리한... 전쟁을 치를 때 마다 속한 나라가 바뀌던 육십령 주변 백성들은 얼마나 모진 고통을 겪었을가 수승대 경남 거창군 위천면 송계로 433 문의 055-940-8530",2020. 3. 8.
경남 거창군 흰대미농장 방문기,두분의 인생철학도 담겨있었고 배푸는 삶에서는 성공 또한 나만의 것이 아니라 더불어 행복하기 위한 것임을 깨닫게 되었습니다. 경남 거창군 가북면 흰대미산 아래 구름도 쉬어 간다는 회남재 아래 해발 650m에 자리잡고 있는 #흰대미농장 출장이었지만 여행을 다녀온 듯한 긴 여운이 남는 곳이었네요^^,2021. 2. 21.
[내돈내산] 경남 거창군 팥죽맛집 팥들었슈,#팥죽 #팥칼국수 #팥요리 #거창맛집 #거창죽집 #경남맛집 #거창여행 안녕♀️ 용용이들 오늘은 제가 거창군에서 동지팥죽이랑 팥칼국수를 포장했는데요~ 이름부터 너무 귀여운 팥들었슈! 후기 말씀드릴게요 ㅎㅎ ※본문의 글과 사진의 출처는 용이될00의이야기(https://m.blog.naver.com...,2021. 8. 21.
"경남 거창군, '관광기념품 공모전' 개최","[글로벌에픽 이성수 기자] 경남 거창군은 지역의 역사, 문화적 특색 그리고 스토리를 담은 관광기념품을 개발·발굴하고 관광기념품을 지속해서... 구인모 거창군수는 ""이번 공모전을 통해 거창 여행의 추억을 오랫동안 간직할 수 있는 관광기념품을 발굴해 관광객 만족도 향상에 기여할 수...",2021. 4. 6.
[경남/거창군] 조금 늦게 찾아간 의동마을 은행나무길 1 (2020.11.1.),전날 밤 만들었던 여행 토퍼 꺼내들었다. 자기만족 ^-------------^ 떨어진 은행잎 한장 들고서~~ 초입의 은행나무길도 유명하지만 인★에서 유명한 핫플이 바로 아래 이 곳이다. 농기구를 보관하고 있는 폐가 뭔가 운치 있어 보인다... 지붕위로 수북히 쌓인 은행잎들 왠지 트렌치코트를 입고 서성이고...,2021. 9. 27.
[경남:거창군] 인풍정 【ft.풍류風流 】,#방물장수의팔도맛기행 #먹뱅이 #경상남도 #거창군 #인풍정 #인풍정식당 #손두부 #김치찌개 #메밀묵 #신선놀음 #풍류風流 #거창맛집 #거창여행... 아닌 경남 고성을 갈까 밤새 결론 없는 행복한 고민만 하다 이 시기를 놓치면 내년 봄이나 찾아야 할 거 같아 거창 #인풍정 #인풍정식당 으로 최종 낙점...,2020. 12. 2.
경남 거창군 카페 <언클라우드> 방문후기,거창 여행가기전 봐둔 카페 ! 글랭핑장 체크아웃하고 다녀왔어효 봉스글램핑장에서는 한 10분~15분 ?정도 걸리더라구효 경남 거창군 카페 언클라우드 내폰 화질 왜이래... 뒤늦게 알아차린 .... 휴대폰 카메라쪽에 고무줄 팅겨놓은게 카메라렌즈에 걸려서 화질이 저렇게 나왔어효...,2021. 3. 29.
2021.07.31 경남 거창군 계곡,2021.07.31 경남 거창 계곡 여행 슝슝 엄빠 따라서 계곡으로 가는 길 산도 푸르고 구름도 뭉게뭉게 넘 예쁘져 한시간 정도 꼬불꼬불한 도로를 달리다가 드뎌 시원한 계곡 도착!!!!!! 계곡물이 너무너무 시원하고 날도 안덥고 선선했어요 또 젤 좋았던 건 요기 우리 밖에 없어서 댕최고였삼 돌도 참 많쥬...,2021. 8. 1.
클럽디거창 / 클럽디거창cc 경남 거창군 27홀 최초 골프장 오픈했어요~,경상남도 거창군의 최초 골프장 27홀 규모의 클럽디 거창과 온천으로 유명한 가조 호텔에서 라운딩 후 간단한 반신욕으로 피로를 풀 수 있는 6월 1박 2일 골프 패키지로 골프 여행을 준비해보세요~ 가조호텔이 마감될 경우 또는 4인 1실을 원하시는 경우 서핑파크리조트로 이용 가능하시며 별도...,2021. 5. 14.
거창군 '감악산 꽃&별 여행' 개장식 열려,"거창군은 24일 감악산 꽃&별 여행 개장식을 열었다. 구인모 군수와 김종두 군의회의장, 경남도의원, 거창군의원, 각급 기관단체장 등이 참석한 가운데 열린 이날 개장식은 코로나19 방역수칙을 철저하게 준수하여 경과보고, 기념사, 내빈축사, 미디어파사드 영상 시연 및 야간 꽃 관람을 한...",2021. 9. 27.
거창 수승대 거북바위 요수정 거창 가볼만한곳 거창여행 거창군관광안내도,"거창 수승대 거북바위 요수정 거창 가볼만한곳 거창여행 거창군관광안내도 2021년 10월 8일 금요일 흐림 주소: 경남 거창군 위천면 은하리길2 (황산리 750-3) 전화:055-940-8530 수승대 관광지 거창의 관광명소 수승대 관광지, 금원산 자연휴양림. 거창사건추모공원 월성계곡. 가조온천, 창포원...",2021. 10. 8.
경남 거창군 원어민영어회화 유아초등영어 중학교고등학교영어 직장인영어 성인영어...,"바람니당 ^^ 경남거창군에는 가북면,가조면, 거창읍, 고제면, 남상면, 마리면, 북상면, 신원면, 웅양면, 위천면, 주상면이 있고 모든곳에서... 과정 여행영어 등등 다양한 수강생들을 위한 다양하고 체계적인 커리큘럼으로 수업이 진행됩ㄴ다 마지막으로 업계최초!!! 원어민 샘이 1 : 1 수업하고 한국인...",2021. 7. 18.
경남 거창군은 코로나19 확산 방지를,"경남 거창군은 코로나19 확산 방지를 (사진=거창군 제공) 경남 거창군은 코로나19 확산 방지를 위해 가정의 달인 5월에 가급적 고향 방문과 여행을 자제해 줄 것을 당부했다. 최근... 또한, 여러 사람이 일시에 몰려드는 여행지도 감염의 위험성이 크므로 가족과 공동체의 안전을 위해 여행을 자제해...",2021. 5. 4.
"[경남도민뉴스] 거창군, ‘일상 속 쉼표하나, 거창살이’ 참가자 모집","거창살이’ 참가자를 오는 4월 1일 부터 모집 [백형찬 기자] 거창군은 거창에서 머물며 여행하는 장기 체류형 여행프로젝트인 경남형 한달살이 사업 ‘일상 속 쉼표하나, 거창살이’ 참가자를 오는 4월 1일 부터 모집한다. 한달살이 사업은 참가자가 직접 개별 자유여행을 기획하고, 거창군의...",2021. 3. 30.
경남/거창군/감악산 풍력단지/아스타국화 억새군락지 (10/4),거창 감악산 꽃&별여행 축제 2021. 9. 24. ~ 10. 17. 입장료 주차료 무료 얼마 안남은 연휴 보리랑 바람쐬러 들른 곳 감악산 풍력발전단지에서 개최되는 감악산 꽃&별 여행 축제에 가봤다. 가는 길에 차가 많아서 그런지 주차 안내를 해주시는 분이 많다. 경찰분들도 계시고 감악산 지킴이? 분들도 많이...,2021. 10. 4.
경남 거창 가볼만한곳 감악산 꽃&별 국내1박2일여행,"▼▼▼▼▼ 3.감악산 꽃&별여행 경남 거창군 신원면 덕산리 산 57 ***-***-****, 축제문의 ***-***-**** 경남 거창 가볼만한곳 중에 감악산 정상을 차로 올라갈 수 있는 곳인데, 감악산 꽃과 별여행이라는 주제로 축제가 한창 중이라서 날잡고 가보기에 아주 좋답니다. 인생샷도 찍을 수 있고 산...",2021. 9. 26.
