header,contents,date
"경남 고성 가볼만한곳 ㅣ 시원한 남해바다 따라, 걸어서 경남 고성군 여행 남파랑길...","시원한 남해바다 따라, 걸어서 경남 고성 여행 '남파랑길 31코스 ' 형형색색 아름다운 꽃을 피우던 따뜻한 봄을 지나 어느새 무더운 여름의 시작인 7월이 다가왔다. 그렇게 온 세상이 산듯한 초록색으로 물들어 버린 여름의 계절도 찾아왔다. 초록과 파랑을 따라 걷기 좋은 계절 여름, 바다와 산에서...",2021. 7. 12.
경남 고성군 여행 고성 송학동고분군 동백꽃도 지천이여라~,경남 고성군 여행~ 더 많이 가보지 못한 곳으로 여행을 떠나는 방랑객 2020년에도 경남 여행은 쭉 이어질텐데요~ 푸른바다와 바다가 주는 양식을 기대하며~ 여행이 주는 멋진 추억을 많이 담아볼려고 합니다. #경남고성군여행 #고성군가볼만한곳 #경남고성군,2020. 1. 22.
"경남 고성군의 명산 여행, 벽방산을 소개합니다!","경남 고성군 명산 여행 [벽방산] 기분 전환을 하는 여러 방법이 있지만, 멋진 풍경도 보고 맑은 공기를 만나는 등산이 참 좋더라고요 :) 오늘의 경남 고성군 명산 여행, 고성 벽방산을 소개합니다. 출처 - 인스타그램 bae625 님 고성군의 명산, 벽방산은 650m의 높이로 벽발산이라고도 부릅니다....",2021. 1. 29.
[경남 고성군 맛집] 본토대가,부모님과의 통영 여행 숙소편 ↓ https://blog.naver.com/babuqkqn/222183561217 경남 고성군 맛집 - 본토대가 통영여행 후 여수에 계신 삼촌네 가기로 했어요 ㅎ 가기전에 고성에 본토대가에서 간장게장정식을 먹고 가기로 했지요 ㅎ 요기가 본토대가입니다. 가게 앞에 자리가 있어서 주차하고 들어갔어요...,2020. 12. 26.
"경남 고성군여행, 독특한 돌담장을 볼 수 있는 곳, ""학동마을 옛담장""","경남 고성군 가볼만한곳 ""학동마을 옛 담장"" 학동마을은 전주최씨 안렴사공파의 집성촌이다. 이 마을의 담장은 다른 마을의 담장과는 차별되는... 경상남도 고성군 하일면 학림리 917-1번지 등에 있다[네이버 지식백과] 고성 학동마을 옛 담장 [固城 鶴洞마을 옛 담牆] (두산백과) 안녕하세요!! 여행중독...",2021. 9. 28.
결혼 1주년 여행 : 경남 사천시 ~ 고성군 상족암 군립공원 ~ 남해군 독일마을 여행 [1일차],계획한 여행 경남 남해군 남쪽지방 여행을 가고는 싶었으나 전남을 갈지 경남을 갈지하다가 고민을 5지게 하다가 전남 목포 vs 경남 남해 로... 사천시에서 차로 30분 정도 걸려 고성군으로 넘어가면 유명한 #상족암군립공원 볼 수 있다 공원답게 해안가를 따라 하염없이 걸으시면 되겠다 가운데에...,2020. 12. 20.
200716 경남 고성군 거류면 만화방초 수국여행,"고성 수국 당일치기 여행후기 고성가볼만한곳 만화방초 수국후기 7월에 볼 수 있는 꽃구경이라하면 수국이 대표적인데 부산, 거제, 남해, 제주도... 경남권 내 수국을 편하게 보러오기엔 참 좋은 곳입니다. 고성가볼만한곳 만화방초 주소: 경남 고성군 거류면 은황길 82-91 (고성군 거류면 은월리 17-7)",2020. 7. 19.
[여행기록] 바다 위를 걸으며 거북선 만나기 - 당항만둘레길 해상보도교 (경남 고성군),"그래서 거북선 근처에 가보자며 만난, 당항만둘레길 해상보도교 경남 고성군 당항만둘레길 해상보도교는 경남 고성군 회화면에 위치하고 있다. -주차: 주변 도로변이 한산해 가능하나, 정식 주차라인 아님. -입장료: 무료 -대중교통: 배둔시외버스터미널에서 도보 약 20분 (약 1.4km) 해상보도교 전경...",2021. 9. 20.
경남 고성군 여름여행,오늘은 GNTF2020 서포터즈의 4주차 미션인 여름여행 기획&소개를 하겠습니다! 제 생각이지만 여름이라는 계절은 정말 매력적인... 현재 경남 고성군청은 고성군에서 직접 운영하고 관리하는 SNS계정이 있으며 이 계정을 팔로우 하신다면 고성군의 다양하고 다채로운 소식을...,2020. 5. 24.
경남 고성군 용암포 선착장에서 사량도 다녀오기...,"지난번 포스팅에서 사량도로 가는 배편에 대해서 포스팅을 한적이 있었는데, 이번에는 경남 고성군 용암포 선착장에서 배를 타고 사량도를... 여행 일정 및 계획수립에 참고하시면 되겠습니다. 시간표를 보면 7시에 첫배가 출발해서 평일은 오후 4시에, 주말에는 오후 5시에 마지막 배가 떠나니...",2020. 6. 11.
