header,contents,date
여행] 사랑하는 바보 노무현 대통령의 고향 경남 김해시 진영읍 당일치기여행 추천코스...,"가가멜 아재의 경남 김해시 진영읍 당일치기여행 가가멜 아재의 여행은 즐거워 경상남도 김해시 진영읍 당일치기여행 추천코스 가가멜 아재 6월에 다녀온 사랑하는 바보 노무현 대통령님의 고향 김해시 진영읍 여행 코스 보고 싶고, 사랑하고, 존경하는 노무현 대통령님의 고향 진영을...",2020. 6. 18.
"[창원, 부산 자전거 여행 ①일차] - 경남 창원터미널, 김해시진영읍, 화포천습지생태공원...","노무현 대통령 묘역 주남돌다리 철새로 유명한 주남저수지 동판저수지 [창원, 부산 자전거 여행 ①일차] - 2021. 04. 15. (목). ▷ 주행경로, 주행거리... 물이 많아서 건너갈 수가 없습니다 ㅎㅎ 돌아나와 우회합니다 앙증맞은 다리를 건너고 김해시 진영읍 시내 진입... 이건 또 무슨 나무인지? 옛...",2021. 4. 22.
[관찰카메라24 시간]먹방여행 익스트림 봄나들이의 성지 경남 김해시 우즈베키스탄...,"관찰카메라24 시간 시즌2 187회 ▽ 관찰카메라24 시간 먹방여행 익스트림 봄나들이의 성지 경남 김해시 우즈베키스탄 전통 빵 삼사 우루굿레스토랑 카레탕 차돌 덮밥 개나리주택 187회 링크▽ https://pirin888.tistory.com/3710 < > (상호,정보,영업 시간,가격 ,위치,전화번호,방송,tv,오늘 주소...",2021. 5. 5.
경남 김해시/유아 및 어린이를 위한 놀이동산/어린이 놀이동산/가족 여행/김해 가야랜드...,이럴때 콧바람도 쐬며 아침부터 시작해 저녁까지 뽕뽑으벼 놀기 좋은 놀이동산을 포스팅 해볼려구요~^^ 저희는 지난 가을 처음으로 가봤는데 4살?5살 아기들도 혼자서 충분히 타고 놀기 좋은 놀이 동산이 있더라구요^^ #김해 #가야랜드 #엔젤파크 인데요~~ 위치는 경상남도 김해시 삼방동 인제로...,2021. 3. 3.
경남 김해시 탐방,#수필 경남 김해시 탐방 갈산/정권식 2월의 끝자락에 남명학의 거장 남명 조식 선생이 후학을 가르치던 김해 신산서원 (산해정)을 비롯하여... 그리고 김해 여행에서 빠질 수 없는 코스 유공정(柳公井) 을 들렀다 유공정은 1592년 임진왜란 때 나라를 위하여 의병을 일으켜 김해성을 지키던 류식이...,2021. 2. 28.
경남 김해시 외동 뒷고기 뒷통구이 대존맛집 / 머이래 쫀득하누?,#옥이네뒷고기 #김해맛집 #김해뒷고기맛집 #김해핫플맛집 #김해뒷통구이맛집 #경남김해맛집 #김해외동맛집 #경남김해여행코스 #김해가볼만한곳... 옥이네 뒷고기 경남 김해시 외동 뒷고기 뒷통구이 맛집 골목길이라 주차는 또 꿀팁드리께 기다려보소ㅋ 요라인에 주차가능하다 좀 걸으면됨 속편함...,2021. 4. 3.
[에코경남] 김해시 코로나 피해 극심 여행업계 지원 나서,김해시가 코로나19로 어려움을 겪고 있는 여행업체에 대한 실질적인 지원과 관광시장 회복을 위한 관광상품을 개발하고자 경상남도와 함께... 지난 4월 도·시·군과 도관광협회가 공동으로 실시했던 경남 관광사업 피해조사에서 여행업계 매출은 지난해 1분기 대비 약 71.7%가 감소했고...,2020. 6. 23.
경남 김해시의 옛 왕릉,"가족여행 떠나기 좋은여름,삼국시대 가야의 흔적을 발견하러 김해로 떠나보세요. 가장 먼저 찾아 떠난 곳은 가야의 시조인 수로왕의... 홍살문으로 정의를 표하라는 뜻의 상징물입니다. 이곳이 신성한 곳임을 알려주는 상징 같은 존재이지요 수로왕릉 경남 김해시 가락로 93번길 26 김수로왕릉",2020. 2. 24.
"공기업 사장 부부, 골프여행 갔다가 '확진'_김해시 청사 폐쇄",경남 김해시에서는 도시개발공사 사장 부부가 골프여행을 갔다가 8명 중 7명이 확진되었습니다. 문제는 이 사장이 김해시 간부회의에 참석하여 회의 당시 시장을 비롯한 간부 공무원 27명이 참석했던 사실로 인하여 김해시 청사가 결국 폐쇄되었습니다. 관련 보도입니다 https://news.v.daum....,2020. 8. 26.
도요 생태 공원 (경남 김해시),경남 김해시 도요마을 생태공원 4대강 사업으로 만들어진 곳? 초행길이라면 낯설고 가는 길이 어렵지만 막상 도착하면 광활한 풍경에 눈을 뗄수가... 작은 주차장 2곳 간이 화장실 1곳 편의 시설 없음 #leica x typ113 #도요마을 #생태공원 #김해시 #흑백사진 #경조흑백 #여행사진,2020. 9. 15.
