header,contents,date
"이국적이면서도 향토적인, 특색 있는 매력을 가진 [경남 남해군 남해여행] ①","곳, 경남 남해군! 이번 가을은 [경상남도 남해군]로 떠나 보시는 건 어떨까요~? 힐링하기 좋은 곳 ""남해""로 단체 혹은 가족들과의 여행을 계획 중이시라면 바로버스에 최소 6인승부터 최대 45인승까지 모든 차량이 완비되어 있습니다! 편하실 때, 언제든지 문의해 주세요. 그럼 오늘의 포스팅...",2021. 9. 1.
결혼 1주년 여행 : 경남 사천시 ~ 고성군 상족암 군립공원 ~ 남해군 독일마을 여행 [1일차],"12.14일은 우리의 결기 1주년 원래 코로나가 없었다면 독일 여행을 가고자 벼르고 있었는데 ,,, 잠잠해질 겨를이 없어보인다 쨌거나 기분은 내야겠아니 급급 계획한 여행 경남 남해군 남쪽지방 여행을 가고는 싶었으나 전남을 갈지 경남을 갈지하다가 고민을 5지게 하다가 전남 목포 vs 경남 남해 로...",2020. 12. 20.
경남 남해군 낚시 초보자 낚린이와 함께하는 원투낚시&캠핑여행,과연 이번 남해군 원투낚시&캠핑여행에서는 어떤 물고기들을 잡았을지!! 경남 남해군 낚시초보자 낚린이와 함께하는 원투낚시&캠핑여행 지금 시작 합니다!! 출발~ 금요일 쌓여있던 업무를 초스피드로 끝낸뒤에 빠른 퇴근과 함께 낚시갈 준비를 하고서 바로 취침에 들어갔어요!! 이유는 !! 한시간 후에...,2020. 12. 15.
[남해군 여행갈때] 남해군 공식 관광 홈페이지 & 경남관광기념품점 온라인 <남해군...,"지역 관광 전문가 여러분이 엮은 경남관광 공식 홈페이지를 통해 우리 이웃님 여행가시는 길 보다 편하고, 즐겁길 바라는 마음으로 포스팅을 시작합니다! 남해군 <2022 보물섬 남해방문의 해 남해군 여행> <주요콘텐츠> 남해소개, 관광/테마/체험, 축제/행사, 음식/숙박/쇼핑, 문화/예술/유산...",2021. 5. 21.
<맛집> 경남 남해군 _ 미조식당,남해 여행에서 한 끼는 그 지역 음식을 먹기 위해 멸치 관련 식당들을 열심히 찾아봄 멸치회가 먹고 싶었는데 멸치회 하는 곳은 그렇게 많지 않고... 다음에 남해 놀러 가면 멸치회 먹으러 미조식당 또 가야징ㅋㅋ 주소 : 경남 남해군 미조면 미조로 232 (경남 남해군 미조면 미조리 168-35) 전화번호...,2021. 8. 14.
"경남 남해군 낚시 여행, 큰 아들 낚시에 빠지다..",만난 저희 삼남매는 수다도 떨구요~^^ 하지만 캠핑가서 꼭 지켜야 할 예절은 지켜 주셔야~앞으로도 즐거운 여행지가 계속 유지 될수 있다는것!!아시죠~^^ 노지 캠핑이라 준비할것도 많았지만 경남 남해군 낚시여행 너무 즐거웠어요~^^ 요즘 같은 가을 날씨에는 잠자리에 필요한 준비물 꼼꼼히 챙기세요~^^,2020. 9. 22.
[경남여행] 경남 남해군 금산 보리암에서 시름을 덜다,안녕하세요 여행자입니다 오늘 소개할 곳은 경남 남해군 금산에 있는 보리암입니다 보리암으로 가는 방법은 개인차로 가는 방법과 셔틀버스로 가는 법이 있습니다 물론 걸어서 올라갈 수도 있습니다 가장 안전하고 편한 방법은 셔틀버스를 타고 가는 것입니다 한 10년 전에 멋모르고 수동 승용차로...,2020. 6. 27.
"200812 낚캠여행 경남 남해군 초전마을 캠핑장, 미조항 낚시","여름휴가를 꿈이그리던 경남 남해군으로 다녀왔다. 남해쪽은 던지면 감시, 문어가 막 나온다며?? 출발. 현실은 생명체들도 여름휴가를 가버림... ㅜㅜ #남해군캠낚 #초전마을캠핑장 #초전마을선착장 #미조항낚시 #캠낚여행 #남해캠낚 #캠핑낚시여행 #초전마을낚시 #남해문어낚시 #초전마을감성돔...",2020. 8. 17.
숨통트이는 경남 남해군 여행 다랭이마을,여행을 좋아하는 사람이지만 요즘 도통 여행 다녀오기 힘들어요.. 코로나 때문에 드라이브쓰루 여행문화도 생기고 웃프네요ㅋㅋㅠㅠ 코로나... 숨통이 트이는 걸 단숨에 느낄 수 있어요 다랭이 마을 경남 남해군 남면 남면로679번길 21 다랭이두레방 다랭이마을은 다랭이논이 많아서 붙은...,2020. 3. 19.
"[경남 남해군·남해 여행 1] 남해토피아랜드·613여관(엄마랑 여행, 자동차로 여행)","#경남남해여행 #남해여행 #남해군 #경상남도여행 #경상남도남해여행 #경남여행 #엄마랑여행 #겨울바다 #남해토피아랜드 #엄마랑겨울여행 #친구랑여행 #친구랑남해 #613여관 #남해숙소 #남해호텔 안녕하세요, 쌜리입니다앙❤️ 오늘은 지난 겨울 엄마랑 함께 다녀온 남해여행을 포스팅해볼까 해요....",2021. 4. 27.
(경남 남해군) 바이크 갤러리,"언젠가 경남 남해군에 특별한 장소가 있다는 방송이 나온 적이 있었습니다. 경남 남해군~ 하면 경치 좋고, 맛난 먹거리 많은 멋진 곳으로 일 년 내내... 오토바이를 즐기는 한 사람으로서 이러한 특별한 장소를 안 가볼 수 없어 가족여행 핑계 삼아 바이크 갤러리에 다녀온 이야기를 해보고자 합니다....",2021. 9. 23.
[남해여행]경남 남해군 삼동면 / 남해 보물섬전망대 스카이워크,ㅋ 주소 : 경남 남해군 삼동면 동부대로 720 경남 남해군 삼동면 물건리 1048-3 전화번호 : 0507-1377-0047 OPEN : AM 09:00 CLOSE : PM 19:00 여긴 주차장이 커서... ㅋㅋㅋㅋㅋ #남해여행 #남해데이트코스 #남해가볼만한곳 #남해보물섬 #남해스카이워크 #남해보물섬스카이워크 아 ㅋㅋㅋㅋ 저렇게 하기까지...,2021. 6. 23.
"이국적이면서도 향토적인, 특색 있는 매력을 가진 [경남 남해군 남해여행] ②","풍기는 경남 남해군, 이번 가을은 [경상남도 남해군]로 떠나 보시는 건 어떨까요~? 힐링하기 좋은 곳 ""남해""로 단체 혹은 가족들과의 여행을 계획 중이시라면 바로버스에 최소 6인승부터 최대 45인승까지 모든 차량이 완비되어 있습니다! 편하실 때, 언제든지 문의해 주세요. 그럼 오늘의 포스팅...",2021. 9. 2.
[랜선여행] 경남 남해군 '독일마을',"있고 수제맥주를 마실 수 있는 펍, 카페, 레스토랑이 있어 다른 이국적 마을보다는 재미있을 거 같네요. 실제로 재독 광부와 간호사 출신들이 거주할 수 있도록 남해군에서 지원한 사업이고 실제로 사람들이 사는 마을입니다. #남해독일마을 #독일마을펜션 #독일마을카페 #맥주페스티발 #남해군삼동면",2021. 10. 6.
남해군 여행 일기. 두번째 (사진위주),"인증샷 찍고 실안해안도로를 따라 '그리움이물들면'을 한번더 보러 경남 사천시의 바다도 어느 여행지 못지 않게 좋은거 같다 무지개색 배경이... 이번 남해군여행의 주 목적지 보리암으로. 보리암은 1주차장과 2주차장으로 구분되 있는데, 2주차장이 보리암과 가까운곳. (여기서 보리암까지 800m)...",2021. 10. 11.
남쪽해안선길 따라서 경남 남해군,"귀가길에는 경남수목원앞길을 지나 왔는데 친구의 집근처가 분명했으니 다시 갈 기회가 있다면 방문해 보기로 한다. 1박을 편안히 마치고 우리는 제2의 지점을 향해 차를 달린다, ♥ 2일째 되는 날(23일 월요일) 사천시를 지나 남해군 미조면까지 가다 1. 사천에서 동양최대의 와불을 모셨다는...",2020. 12. 5.
[여행] 경남 남해군 미조면 설리 스카이워크 전망대 ( Gyeongnam Namhae...,"스 치듯 바라만 봐도 카 ~~~ 함성이 나오는 이 곳은 바다 위를 워 킹할 수 있는 크 리티컬한 매력의 전망대입니다~ 한 번쯤, 그네도?(안전한가?) * 주소 : 경상남도 남해군 미조면 미송로303번길 176 * 준공 : 2020.11.19 * 상세 : 길이 79.4m, 폭 4.5m, 주탑 높이 3 6.3m 비대칭형 캔틸레버(한쪽 끝이 고정되고 다른...",2021. 3. 6.
[경남 남해군(독일인마을)_당케슈니첼] 유럽식 가정식을 처음으로 맛보다!,가게 뒷편에 주차장도 마련되어 있으니 참고하세요~^^ - 매장명 : 당케슈니첼 - 전화번호 : 070-4122-1838 -매장 주소 : 경남 남해군 삼동면 독일로 27... 얇게 저민 고기가 풍미를 더했네요 그리고 또 어려운 이름의 음식이 등장 ㅎㅎㅎ 인생에서 유럽 여행을 미뤄놓은 것이 후회되는 순간이었어요...,2020. 8. 2.
"경남 남해군 망운산(산행기 #267,2020/05/07)","매주 목요일 다니는 산악회를 따라서 경남 남해군 망운산엘 다녀왔다. 작년 12월 손목부상과 이어서 발생한 코로나바이러스 사태로 지난... 남해안 여행을 왔다가 남해서 멸치쌈밥을 먹고, 세계 100대 골프장에 들어간다는 아난티골프장을 주마간산식으로 들렸던 생각도 났다 - 첫날은 내장사...",2020. 5. 8.
[경남 남해 여행 미조남항]경남 남해군 미조면 미조남항 낚시 구역,"미조남항 경남 남해군 미조면 미조항 낚시하러 가봤는데요.. 남해 낚시 여행 가시는 분은 필히 참조 하세요! 미조항은 미조북항과 미조남항으로 나누어서, 낚시 구역이 다르니, 이것 또한 참고하세요~^^ 여기는 미조남항의 방파제는 모두 낚시 금지구역입니다. 미조항 도보전망대 공사중이더군요...",2020. 10. 18.
"친환경 LPM 코팅 합판 사용-경남 남해군 ""남해편백 자연휴양림""/남해독일마을","남녘에서 전해주는 봄소식이 그리워 한달음에 경남 남해군으로 달려갑니다. 경상남도 남해군이라고 하면 가장 먼저 떠오르는 것이 ""#독일마을... 돌아오는 길에 #남해독일마을을 둘러 보았습니다. 여행 후기에서만 보던 곳을 그저 지나는 것만으로도 작은 힐링을 느끼기에 충분했습니다. "" """,2021. 3. 30.
"[경남/남해군] (2) 카약타고 노도 탐방, 스포츠파크호텔에서 바라본 일몰, 그리고 남해...","[경남/남해군] 카약타고 노도 탐방, 스포츠파크호텔에서 바라본 일몰, 그리고 남해 시내에 나가서 수제맥주 한잔~ 두모마을에서 카약타고 노도 탐방 카약은 6년 전 태국 끄라비에서 타본 이후 이번이 두 번째다. 이곳 사장님의 안전설명과 요령을 듣고 나서 그대로 따라서 노를 저으니...",2020. 6. 25.
남파랑길 37코스 경남 남해군 - 남파랑길 사천&남해&하동구간,"있는 '적량해비치마을' 여행자 정보 - 시점 : 창선면 상죽리 창선파출소(경남 남해군 창선면 창선로 99) 교통편) 남해시외버스터미널에서 시내버스 남해-단항, 남해-연곡 이용하여 수산리 앞 정류장 하차 - 종점 : 창선면 진동리 적량버스정류장(경남 남해군 창선면 흥선로 1215) 교통편)...",2021. 2. 19.
[경남 남해군•남해 여행 3] 다랭이마을(feat. 남해해안도로)•다랭이맛집...,#경남남해여행 #경남여행 #남해여행 #다랭이마을 #다랭이마을맛집 #다랭이맛집 #멸치쌈밥 #멸치쌈밥맛집 #엄마랑여행 #인생샷 #금산산장 #보리암 #613여관 #친구랑여행 #친구랑남해 #남해멸치쌈밥 #남해맛집 #경남맛집 #경상남도여행 #남해토피아랜드 #남해해안도로 #상주은모래비치 #1박2일여행...,2021. 4. 28.
경남 남해군 가볼만한곳 1박2일 with 태풍....,다음날 아침에 일어나니 비가 미친듯이 오고 바람이 미친듯이 불더라구요.. 아 ㅜㅜ 내 주말 아쉽지만 안전상의 문제로 하루만 관광후 집으로 경남 남해군의 독일마을과 다랭이마을 후기였습니닷 #경남남해 #남해여행 #국내여행 #남해 #독일마을 #다랭이마을 #혼자여행 #남해가볼만한곳,2020. 2. 4.
[남해 숙소 ] 경남 남해군 다랭이 마을 근처 바다가 보이는 휴양 스파 펜션 인누드...,"Airbnb Review 국내 에어비앤비 숙소 Review 8 - 경남 남해군 다랭이 마을 근처 바다가 보이는 스파 펜션 인누드 - 남해 하면 제일 먼저 생각나는 장소는... 5) 쿠폰 받기를 성공했습니다. 첫 여행을 예약하실 때 최대 75,000원까지 할인을 받고 즐거운 여행 되시길 바랍니다.^^ 사진/글 : kino",2020. 4. 12.
