header,contents,date
[경남선교여행/창원성지순례길]③ 경남선교 120주년 기념관! 창원공원 묘원...,바닥에 새겨진 글을 자세히 읽어보면 경남 산청군 사천면 원리 131 덕산교회에서 이장해 온 윌리엄 알렌 목사의 묘라는 글자가 적혀 있다. 그 옆으로 아이다 맥피선교사의 묘가 마산시 회원동 산63-3에서 이장해 왔다는 기록이 있었고 마지막으로 네피어의 묘도 덕산교회에서 이장해왔음을...,2021. 9. 19.
[경남창원마산여행]코로나19 없던 해양드라마세트장. 벌써 일년.,다녀왔던 경남 창원 마산 해양드라마세트장을 갔었다. 사진찍고 놀기 좋았던 마산 창원 가볼만한 곳. 그곳에서 마스크 없이 놀았던 때가 그립다. . 2019년 겨울 결혼식이 있어서 마산을 가게 되었다. 친한 친구의 결혼식이였는데 겸사겸사 여행도 하게 되었다. 마산시로 알고 있었는데 이제는...,2020. 12. 27.
경남 창원 여행 가볼만한곳 마산 저도 연육교 콰이강의 다리,"통합 창원시가 되면서 기존의 창원시, 마산시, 진해시가 합쳐져서 거대한 광역시 정도의 시가 되버린 상태랍니다. 하여간 경남 창원 여행 가볼만한곳 장소로 12가지를 뽑고 있어서 찍어봤네요. 12가지 장소는 아래에서 다시 설명하기로 하고 다리로 이동~~~ 다리입구쪽 모습을 보면 이런 모습인데...",2021. 5. 10.
경남 마산 가정용산소호흡기 설치 하고 마산시장구경도 하고 알찬하루 보내기,되어 경남 마산으로 가정용산소호흡기 출동했습니다 최근 경남 부산지역에 출동이 많네요 산소 씽씽이 마산으로 gogo 일단 산소씽씽이는 휴게소에... 이에요 마산시장 정말 정겨운 모습이였어요 재밌다 ㅎ 산소씽씽이는 이런 시장이 좋아요 큰 마트 보다는요 재밌다ㅎ 방수털신 시장에서 털신도...,2021. 1. 9.
[언택트 여행]무학산 설국산행,"경남 마산시 무학산(舞鶴山)에 오르면 가고파의 이 애틋한 노랫말이 눈앞에 펼쳐지며, 학을 타고 산·바다·도시의 풍경을 한꺼번에 조망하는 산행 재미도 색다릅니다. 시민들과 향토사학자 등은 “마산을 어머니처럼 감싸 안은 무학산의 거침없는 기개와 정기가 자유·민주·정의를 사랑하는 마산...",2021. 2. 10.
"[경남고성] 부산근교여행지 경남고성 여행코스 추천 (수양식당, 장산숲,송학동고분군...","(출처_네이버 사전) (출처_네이버 지도 캡쳐) 북동쪽으로 마산시, 서쪽으로 사천시, 남쪽으로 통영시, 북쪽으로 진주시에 접하며, 공룡유적이 많이... 2일 동안의 여정을 정리해봤습니다 경남 고성 여행을 계획중이시라면 제 포스팅이 도움이 되었으면 좋겠네요 그럼 다음에 더 재밌는 후기로 찾아올게요",2021. 9. 21.
근데 왜 그래야만하죠 할아버지,일본 여행 갔는데 나한테 물건사오는거 다 시킴 저 일본어를 못하는데요? 영어 외우게 시킴 ㅋㅋ 하우 머치 이즈잇 일본에도 포카리스웨트가... 원래는 경남 마산시 상남동이었음... 여기가 옛날에 로얄호텔 있었음 .... 여기서 할아버지랑 사우나 갔던 기억이 있다. 지금은 동네 자체가 많이 죽은...,2021. 3. 11.
경남 창원 여행 천주산 초보 등산 코스 진달래 산행코스 최단거리 코스(진달래 개화 상황),"경남 창원 여행 천주산 초보 등산 코스 진달래 산행코스 최단거리 코스(진달래 개화 상황) (천주산주차장, 천주암, 천주암 갈림길, 경상고교 갈림길, 석불암갈림길, 주 등산로 합류, 천주산, 함안고개, 만남의광장, 천주암약수터, 천주암, 천주산주차장 원점회귀) 창원시와 마산시, 그리고 함안군...",2021. 3. 30.
"[착한여행] 과거와 현재, 미래가 공존하는 도시, 창원 여행지 맛집 추천!","창원은 마산시와 진해시가 통합되며 다양한 보물을 지니게 되었는데요, 도시와 바다, 섬과 항구, 새하얀 벚꽃과 푸르른 자연이 공존하는 여행지... 경남의 중추 도시 창원, 최대 국화 축제 ‘마산국화축제’와 사진작가들이 즐겨 찾는 국내 명소인 ‘진해내수면환경생태공원’도 가을에 방문하기...",2021. 9. 20.
"경남 가볼만한곳, 진해 장복산(창원 편백 치유의숲), 함안 입곡군립공원 다녀왔어요.","1시간이 채 안되는 시간에 잠깐 들린거라 자세히는 소개해 드리지 못하지만 경남 진해나 함안에 가시게 되면 한번쯤 가볼만한곳 같아서 소개할게요. 지금은 진해가 창원시 진해구로 되었죠? 제가 학교다닐때는 창원시, 마산시,진해시 이렇게 되었었는데 지금은 창원시로 다 통합되었죠. 벌써 20년전...",2021. 5. 24.
창원 여행/가볼만한곳 마산 가고파 꼬부랑길 벽화마을,주변에 있는 창동 예술촌과 함께 창원 여행 연계 여행지로 불리우는 곳이고요. 일전에는 마산시로 주소지가 되어 있었지만 얼마 전 진해시와... 그럼 즐거운 도보 여행 되시길 바라며 마산 가볼만한곳 가고파 꼬부랑길 벽화마을에서 유쾌한 시간 보내시길 바랍니다. 위치 : 경남 창원시 마산합포구...,2021. 9. 20.
경남 남해-진주-합천 2박3일 여행 (2일차-1)_용문사 - 보물섬 마늘나라 - 갈현마을 - 남해...,"11) 문산 성당 - 1905년 마산시 본당 관할 공소에서 본당으로 승격되었으며 1913년 문산 본당으로 개명, 초대 주임으로 쥴리앙 마리오 신부가 부임한 곳 이라고 합니다. 코로나로 인해 임시 출입 금지라 아쉬웠습니다. 12) 마산교구 복자 정찬문 안토니오 순교성지 및 사봉공소 - 안토니오 순교성지로...",2020. 7. 5.
"마산,통영,사천 경계 경남고성까지 해외입국자 모시고 인천공항방역택시로 고고~","목적지인 경남 고성은 북동쪽으로 마산시, 서쪽으로 사천시, 남쪽으로 통영시, 북쪽으로 진주시에 접하며, 남동쪽과 남서쪽은 한려수도에, 북동부는 진해만의 지만인 배둔만에 접해있어 남쪽 여행할 때 한번에 다 둘러봐도 좋을 곳입니다. 즐길거리가 다양한 고성공룡박물관이 있고...",2021. 9. 9.
무학산(761.4m)오르다,"특히 무학산은 백두대간 낙남정맥 기둥 줄기의 최고봉으로 동쪽으로는 구(舊) 마산 시가지가 내려다보이고, 뒤로 마산항이 보이며 남쪽으로는... #무학산 #등산 #산행 #드론 #드론촬영 #드론영상 #드론카메라 #ActionCam #ActionCamera #Drone #경남여행 #trip #뚜벅이여행 #마산여행 #DJIMAVICMINIDRONE #DJIDRONE...",2021. 2. 28.
경남 창원 가볼만한곳 : 진해 내수면 환경 생태공원,그 공원들은 극히 일부를 제외하고 가볼만한곳 으로 방문가치가 떨어지는 부적격 여행지들 인데요 경남 창원에도 공원이 참 많더군요 창원에... 지만 마산시와 창원시가 통합되어 창원시 진해구로 편입되기전에는 진해시 였습니다 2008년 진해시에서 유수지 주변 자연환경을 보전하기위해...,2020. 8. 2.
[경남 창원 / 창원 랜선 여행] 도심 속의 댐 창원 봉암저수지,"그보다 규모는 작지만 경남 창원시에도 댐이라고 할 수 있는 곳이 있는데 바로 봉암수원지입니다. 봉암수원지는 버스정류장과 가까이 있어서 쉽게... 읽히는 한자도 있고, 모르는 한자도 있어서 모든 내용을 파악하기는 어렵지만 지금은 역사 속으로 사라진 ‘마산시장’명의의 현판입니다. 이의익...",2021. 3. 22.
[차이나 라운지/CHINA Lounge] 한국 지명과 똑 같은 중국 지명들,"진), 경남 마산시와 광서성 마산현(馬山縣 : 마 산 현), 경기도 고양시와 하북성 보정시 고양현(高陽縣 : 까오 양 현), 대전시와 복건성 삼명시 대전현... 이외에도 한국과 중국은 더 많은 행정 지명과 자연 지명이 있들 것으로 생각된다. 중국 여행을 하게 되면 주의 깊게 보는 것도 여행의 묘미가 아닐까?",2021. 8. 1.
동화책 속 세계여행 - 세계일러스트 거장전 (마산 3.15 아트센터),이런 때는 그저 유연하게는 재미있게도 읽을 때까지 곁에서 잠시주는 것입니다. ^^ 상상 도서관 거북이 ~ (웃음) 전시관을 나오면 바로 옆에 상상 도서관이 있으므로 ... 도서관에 두루루쇼소 아이처럼 그림 동화 몇권 읽고 가시는 것도 좋을 것 같습니다 ~ 경남 마산시 양덕 2 동,2021. 4. 23.
경남 남해-진주-합천 2박3일 여행 (2일차-2)_남해 대청마루 - 보물섬 전망대 - 독일마을...,"진주 문산 성당 - 1905년 마산시 본당 관할 공소에서 본당으로 승격되었으며 1913년 문산 본당으로 개명, 초대 주임으로 쥴리앙 마리오 신부가 부임한 곳 이라고 합니다. 코로나로 인해 임시 출입 금지라 아쉬웠습니다. 12. 마산교구 복자 정찬문 안토니오 순교성지 및 사봉공소 - 안토니오 순교성지로...",2020. 7. 6.
