header,contents,date
경남 사천시 삼천포여행 : 산으로 간 낚시꾼 / 사천 삼천포 가볼만한 곳,"(24시간) 경남 사천시 해안관광로 68-20 예약및문의 ***-****-**** 저녁먹고,, 일부러 좀 늦게 도착했습니당 (물고기 방류시간이 있어서 9시 전에 도착)... 그외 ㅡ 개인 낚시대, 채비에 관한 준수사항은 꼬옥 읽어보시고 ㅡ 낚시터를 즐기자구욤~~ #매너좋은조사님이되자 #산으로간낚시꾼 #사천여행...",2020. 11. 14.
골프여행 즐기기 좋은 경남 사천시 모텔 임대,"보:1억 월:500만 객실/욕실:25 매출:1500만 주차:22대 출입구 방향:서향 관리비:무 입주시기:협의 경남 사천시 사천읍 수석리에 위치한 모텔입니다.... 이전 건물주 운영 시 여행사 관리, 식당 운영 레시피, 예약제 운영 방법 등 체계화된 매뉴얼로 매출 많이 올랐던 업장입니다. 1:1 드라이브인...",2021. 7. 9.
홍바짬뽕 경남 사천시 삼천포 해산물짬뽕 맛집,"여름 휴가로 바다가 있는 경남 사천시 삼천포로 2박3일 여행~ 바닷가로 왔으니 맛있는 해산물 요리를 먹고 싶어서 찾아보다가 경남 사천시 삼천포의 해산물짬뽕 맛집 홍바짬뽕 방문~ 1층은 홍바짬뽕, 2층은 가정집인 듯한 독채 건물에 바로 앞에 전용 주차장이 있어서 주차하기 편한 삼천포 맛집 11...",2021. 7. 27.
시간 가는 줄 모르게 감상하게 되는 풍경! [경남 사천시 힐링여행],"이번 여름은 [경남 사천시]으로 떠나 보시는 건 어떨까요? 힐링하기 좋은 ""전북 군산시""로 단체 혹은 가족들과의 여행을 계획 중이시라면 바로버스에 최소 6인승부터 최대 45인승까지 모든 차량이 완비되어 있습니다! 편하실 때, 언제든지 문의해 주세요. 그럼 오늘의 포스팅 마치겠습니다. 다들...",2021. 7. 21.
[경남여행]경상남도 사천시 카페 더 브릿지. 전망 좋은 바다 전망 루프탑 카페. 그리고...,#국내여행 #경상남도여행 #남도여행 #사천시여행 #사천카페 #경남사천카페 #사천케이블카카페 #더브릿지 #사천루프탑카페 #전망좋은카페 #루프탑카페 #야경명소 #사천바다케이블카 #경남사천맛집 #사천맛집 #하주옥 #냉면맛집 #육회비빔밥맛집 #육전맛집 #불고기맛집 #비빔냉면맛집 #석쇠불고기맛집...,2020. 12. 31.
결혼 1주년 여행 : 경남 사천시 ~ 고성군 상족암 군립공원 ~ 남해군 독일마을 여행 [1일차],"15 2박3일 결기여행 스타또 3시간 반정도 걸려서 도착한 경남 사천시 11시에 오픈인데 15분전에 들어갈려하니 입장 거부됨 ㅋㅋㅋㅋ 칼같았던 경남의 첫인상 우리는 기본 생선정식 12,000원 주문했다 밑반찬이 생각보다 풍성했다 보통 정식집 가면 반찬이 그냥 평범한데 맛도 꽤 좋았다 조기, 꽁치...",2020. 12. 20.
경남 사천시 카페 ㅡ 부엉이 카페 owl cafe,"경남 사천시, 여행 왔어요~ 바다가 보이는 카페. 날이 흐려도, 고요함. 부엉이 카페 1층 입구 1층에서 바다가 보임 계산대 2층에 올라감 2층 계단 각종 부엉이들 여기는 8층 루프트탑과 연결됨. 엘리베이터 타고 올라가기 루프트탑. 바다가 360도로 잘 보임 정원도 잘 꾸며놓고, 너무 좋았던 곳....",2021. 5. 17.
경남 사천시 신수도 섬 탐방 - 행자부 선정 전국 10대 명품섬,07 : 00 - 김천시 출발 - 어 디 로 : 경남 사천시 신수도 섬 관광 ㅡ 행자부 선정 전국 10대 명품섬 - 누구하고 : 운동과 등산으로 오래 오래 살고... 좋아 사천시의 명산인 와룡산과 각산도 조망 할 수 있고 손에 잡힐 듯한 삼천포 화력 발전소와 사량도 섬을 조망 할 수 있어 오붓한 가족여행을 즐길...,2021. 6. 21.
[지역경제] 경남 사천시,"KAI 전경(출처: 경남일보) KAI 사천공장(출처: 신동아) 사천항공 63년사(사천시 홈페이지) 한편, 국내 항공정비산업에서는 인천시와 경쟁이... 오랜 세월을 견딘 만큼 중요한 가치와 사연을 간직한 유물이나 볼거리가 많아 과거로의 여행을 즐기기 더 없이 좋은 곳입니다. 절 이름인 다솔은...",2021. 7. 10.
"사천시여행,경남여행,주말여행,하얀얼굴",주말에 통영으로 장소 정하고 출발한 1박2일 여행. 사천시에 도착. 검색하다보니 갈볼곳이 너무너무 많아~~~ 그래서 사천시 근교로만 가기로 정하고. 먼저 실안해안도로를 따라 운전~ 근사한 까페에서 라떼 한잔하고. 어디어디갈까~~ 해안도로 따라 가다보니 천국의계단? 어느 누군가의 블로그에서...,2021. 9. 27.
