header,contents,date
[경남 산청여행] 산청군 가볼만한 곳 BEST 5,"+__+ 지리산은 산청군을 대표하는 관광지인 만큼, 산청에는 정말 많은 여행명소들이 굉장히 많습니다. 이렇게 매력적인 여행지가 많은데... 경남 산청군 차황면 법평리 산 1번지의 황매봉을 중심으로 동남쪽으로 뻗은 기암절벽이 형성되어 있어 작은 금강산이라 불릴 만큼 아름답답니다. 산행은 대개...",2021. 5. 11.
[여행] 경남 산청군 '남사예담촌',여기에는 ‘옛 담’이란 표면적인 뜻 외에 ‘마을을 찾은 이들에게 예를 담아 드린다’는 속 깊은 의미도 있다고 한다.(2021.5.8.토) [남사예담촌] 경남 산청군 단성면 남사리 남사마을의 별칭인 남사예담촌은 아름다운 토담과 돌담을 간직한 마을이라는 의미도 있지만 담장 너머로 옛 선비들의...,2021. 5. 12.
"경남 산청군 신안면 ""백조횟집"" 어탕국수(어죽국수), 은어튀김 - 취향의 재발견...",경남 산청군 신안면 하정리 백조횟집 일이 있어서 통영쪽을 방문했다가 올라오는 길에 점심을 먹으러 잠시 들렀다 지인이 맛있는 어탕국수집이... 없다 여행을 위한 방문이 아니었기에 짐을 줄이려고 카메라를 챙기지 않았는데 지금 생각하니 무척 아쉽네 식사를 마치고 나서 잠시 휴식을 취하고...,2021. 8. 30.
"5월 경남여행, 산청군의 노란 꽃길 황매산 황매화","5월 경남여행 산청 노란 꽃길, 황매산 황매화 안녕하세요! 산청군 공식 블로그 지기입니다. 이미 뜨겁게 느껴지는 햇볕에 벌써 여름인가?? 하는 생각이 드는 요즘, 그래도 후덥지근하지 않기에 산청의 이쁜 꽃길 소개해드리고 싶었습니다. 바로 산청 황매산 가는 길 황매화입니다. 산청에는 황매산...",2021. 4. 30.
"아름다운 정원을 품은 사찰, 경남 산청군 수선사",경남 산청군 산청읍 웅석봉로154번길 102-23 경상남도 산청은 지리산 동쪽에 자리 잡은 지역으로 그 지명에 걸맞게 산(山)으로 뒤덮여있는 청... 한국관광공사와 7개의 지역 관광공사로 구성된 '지역 관광기관 협의회'에서 국민들이 코로나를 피해 상대적으로 여유롭고 안전하게 국내여행...,2021. 5. 8.
"합천,함안여행 ③ / 경남 산청군 합천 가볼만한곳 황매산 군립공원 추운데 넘 예쁘다 ♥",▼ 다음여행 포스팅 ▼ https://blog.naver.com/95uiop/222170379828 황매산 오토캠핑장 황매산미리내파크오토캠핑장 황매산 합천 황매산 황매산 등산코스 합천 황매산오토캠핑장 황매산 캠핑장 가을억새 가을여행 가을여행추천 경남 경남여행 경남여행지 경남합천여행 경상남도 경상남도여행...,2020. 12. 10.
[여행후기]경남 산청군 남사예담촌 다녀오다!,경남 산청군 남사예담촌 안녕하세요! 김해 안동 푸르지오 부동산 소장입니다. 많이 늦은 여행 후기를 남겨볼까합니다. 처음 계획은 가족과 함께 #지리산 청학동 #삼성궁 을 목적지로하고 출발 하였습니다. 하지만 도착 시간이 늦어 .. 먼길을 갔음에도 불구하고 입장하지 못했습니다...ㅠㅠ! 아쉬운...,2020. 3. 22.
[당일여행]경남 산청군 동의보감촌에서 기운 받고 왔어요,"머리속 생각들을 정리하고 싶을때, 겨울이 오기전 예쁜 가을이 구경하고 싶다면 산청으로 여행을 떠나보세요! 거의 산아래에 있는 풍차휴게소입니다. 수제버거도 팔고 전망이 좋아서 이곳까지 많이 올라올것 같았어요 풍차휴게소 올라가는 곳에 있는 미로공원입니다. 시간여유가 있을때 숨박꼭질도...",2020. 11. 7.
경남여행[산청맛집]산청 덕산맛집 보현갈비 산청군 맛집 산청 시천면 맛집 보현갈비식당,"오늘은 경남 산청군 시천면에 위치한 보현갈비식당을 소개하려합니다~ 전날 저녁으로 소불고기 전골을 먹었는데 사장님도 친절하시고, 음식이 깔끔히 잘나와 아침도 여기서 먹자했던곳이예요~ 사장님께 내일 아침에도 오겠다며 하고 다음날 갔더니 진짜로 왔냐며 고맙다고 하셨어요~ ^^ 일단...",2021. 5. 18.
"[경남] 산청군 ""럭셔리 글램핑W""이 인기 있는 이유는?","진짜 직원분들 성격들은 짱 좋으신듯.. 세식구 첫 글램핑이었는데 아쉬움이 많이 남네요ㅠ #경남펜션 #산청여행 #럭셔리글램핑W #경남산청군 #캠핑 #글램핑 #럭셔리글램핑 """" "" "" ※ 파트너스 활동을 통해 일정액의 수수료를 제공받을 수 있음",2021. 6. 13.
