header,contents,date
[양산시 여행갈때] 양산시 공식 관광홈페이지&경남 관광기념품점 온라인 <양산시 특산품...,"힐링과 체험이 있는 곳, 양산시 여행정보 얻기 오늘은 양산시 공식 홈페이지 이모저모 공유드립니당^^ 양산여행하실때 꼭 참고해 보아요... 특히 <꽃차만들기>는 우리 경남관광기념품점에도 입점되어 있는 양산 꽃차를 소개하고 있습니다. 양산시 공식 관광홈페이지 바로가기 : https://www....",2021. 5. 25.
경남 & 양산시에서 진행하는 공모전,"오늘은 양산시와 경상남도에서 진행하고 있는 크고 작은 이벤트 & 공모전에 대해 소개해 드리겠습니다. 1. 나만의 힐링여행 in 경남, 브이로그 영상 공모전 출처 : 경상남도 홈페이지 코로나19가 장기화됨에 따라 여행트렌드 또한 함께 변화하고 있는데요. 해당...",2020. 11. 3.
"경남 양산시 배내골 계곡 (대학동기들과 여름휴가 여행 , 맛집 보다 직접 만드는 펜션...",다들 코로나라 밖에도 못나가고 고생이 많으신걸로 알고있어요 어서 빨리 코로나가 종결되어서 제가 포스팅 한 게시물에 이웃분들이 놀러가시는 날이 왔으면 좋겠네요 이번 포스팅 게시물은 여름 휴가에 맞춘 계곡 여행지입니다! 경남권 이웃분들은 한번씩 가보셨을 경남 양산에 위치한...,2020. 12. 21.
[우리동네 구서구석 언택트 여행] 경남 양산시 창기마을,[우리동네 구석구석 언택트 여행] 양산시 창기마을을 둘러보다 발견한 2층주택 ♡ 7번 국도 길가에 덩쿨이 감싸고 있는 집 모양이 인상깊어서 그려봤어요. ^^ 오픈된 아담한 마당에 작은 나무가 만들어주는 그늘이 꽤나 시원해보이는 풍경입니다. ^^,2021. 8. 31.
경남 양산시 한국3대사찰 통도사&경기식당,가능해요) #양산통도사 #통도사 #양산통도사가을 #가을나들이 #가을나들이추천 #한국3대사찰 #경남가볼만한곳 #통도사여행 #경남여행 #통도사맛집 #통도사맛집추천 #경기식당 #양산경기식당 #더덕정식 #찹쌀파전 #더덕구이 #도토리묵 #내돈내산 주소 : 경남 양산시 하북면 통도사로 108 (통도사)...,2020. 10. 23.
"경남 양산시 원동면 매화구경, 나는 梅 순간마다 살아갈 것이다","짧은 여행에 대한 글을 쓰다보니, 그 문장을 이렇게 제목처럼 바꾸어 보고 싶은 오늘이였습니다. '梅, 순간마다 살아갈 것이다.' 이 기록이나 사진... 경남 양산시 원동면 양포리 마을은 길 양쪽모두 매화밭으로 싸여있는데, 해가 지는 방향은 산으로 가려지 아무래도 동남쪽 방향의 빛도 좋고...",2021. 3. 15.
"걸어서 서울에서 부산까지 | 13일차, 경남 밀양시 - 경남 양산시 물금읍 (33.4km)","(사회적거리두기 2단계) [2021 국토대장정] 걸어서 서울에서 부산까지 13일차, 경남 밀양시 - 경남 양산시 물금읍 (33.4km) 안녕하세요! 국토대장정... 나중에 시간되면 중앙선 타고 기차여행 가야겠어요. 경치가 살벌하겠는걸요? . . 사진 속 산 하나만 넘으면 바로 양산시 물금읍이 나와요. 드디어 도착.....",2021. 5. 6.
통도사(경남 양산시 - 세계문화유산),촬영금지 장소로 담지 못한 부분이 많아서 아쉬웠지만 규정을 어길 순 없으니까요~!!ㅎㅎ #여행 #국내 #혼여 #석가모니 #부처 #사리 #절 #경남 #양산 #통도사 #산지승원 #산사 #영축총림 #신라 #사찰 #유적지 #세계문화유산 #설법전 #관음전 #대웅전 #적멸보궁 #금강계단 #불이문 #만세루 #천왕문 #대방광전...,2021. 9. 16.
경남 양산시 북정동에서 부산 금정구 장전동으로 원룸이사 소형이사 1톤용달이사...,여행가기 좋은 날씨였지요^^ 막상 일상에서는 그렇지 못하지만요..... 나이가 조금씩 들어갈수록 계절을 많이 타는거 같아요! 마음이 싱숭생숭 하다가도 갑자기 막 좋아지기도 하네요~ 저 어디 이상있는거 아니겠죠?ㅋㅋ 오늘도 다들 고생많으셨습니다!! 경남 양산시 북정동에서 부산 금정구...,2021. 3. 11.
#경남 양산시 물금역 부근에 개발 투자자들이 모여든다.#비규제지역이면서 계속적인...,"경남 양산시 물금역 물금읍 '명품마을' ""서부마을""과 서리단길의 진귀한 풍경과 맛집 ""소소한 풍경"" 핫플레이스로 부상하며 그 일대가 변신하고... 찾아 여행하기를 좋아하는 이들의 기호에 맞는 이곳. 물금역 주변으로 개발호재들이 잇고 있어 앞으로 어찌 그 가치가 상승한다고 말하지 않겠는가?...",2021. 5. 27.
