header,contents,date
[의령군 여행갈때] 의령군 공식 관광홈페이지 & 경남관광기념품점 온라인 <의령군...,"의령군 공식 홈페이지에 소개된 의령군 여행의 이모저모를 살펴보아요 의령군 <문화관광 홈페이지> <주요콘텐츠> 관광명소, 축제/행사... 멋진 아빠 엄마되기 의령군 공식 관광홈페이지 바로가기 : http://www.uiryeong.go.kr/tour <경남관광기념품점 주요 상품> 가공식품(참죽장아찌, 칠청, 쑥청)...",2021. 5. 24.
경남 의령군 봉수면에서 박사가 많이 배출된 서암리 오산마을 벽화 구경하기,경남 의령군 봉수면에서 박사가 많이 배출된 서암리 오산마을 벽화 구경하기 의령군 블로그 기자 정한윤 경남 합천에서 의령으로 들어오는... 얼마 전 마을 벽화가 새롭게 단장을 하여 새로운 볼거리를 제공하고 있는데요 합천에서 의령으로 들어온 여행객은 마을 담장의 새로운 벽화를 보고 한결...,2021. 9. 27.
[경남 가볼 만한 곳] 진주성 + 의령군 한우산,한우산 주소 : 경남 의령군 대의면 신전리 입장료 / 관람시간 : 없음 경남 가볼 만한 곳 두 번째 여행지는 의령군에 있는 한우산이다. 남편이 유튜브에서 캠핑하는 것을 보고 즉흥적으로 별을 보러 가자며 방문을 했다. 밤 11시가 넘은 시간 방문을 해보았는데 안타깝게도 이날은 별이 잘 보이지...,2021. 7. 6.
[의령] 경남 의령군 하리 백숙 맛집 - 꽃 피는 산골 :D,#경남맛집 #의령백숙 #하리맛집 #백숙맛집 #도토리묵 #산야초 #가성비 #의령여행 #의령드라이브 [의령] 경남 의령군 하리 백숙 맛집 - 꽃 피는 산골 :D 안녕하세요~ 날씨도 좋고 남편과 몸보신하러 의령에 다녀왔어요~~ 꽃 피는 산골 [의령] 경남 의령군 하리 백숙 맛집 - 꽃 피는 산골 :D #수암사 근처에...,2021. 4. 10.
오운마을 /경남여행 /아름다운 돌담길/ 의령군,넘 예쁜 마을이라 한참을 앉았다 나온 고운 돌담길. 여행이 좋은 이유이다. #의령군 #오운마을 #돌담길 #경남여행 #토석담 #한옥 # 주말가볼만한곳 #의령군가볼만한곳 [네이버 블로그] 오운마을 운치있는 옛 돌담길을 걷다 https://m.blog.naver.com/uiryeonginfo/222368115059,2021. 5. 29.
[의령여행][당일] 경남 의령군 당일 관광코스 부귀투어,"[의령여행][당일] 경남 의령군 당일 관광코스 부귀투어 의령당일여행코스 (부귀투어) 2019.12.22.(일) 동지 구, 지수초등학교(승산부자마을) 솥바위(정암루) 종로식당/남산떡방앗간/스마일명품찹쌀꽈배기 의병탑/충익사/의병박물관 해비치카페 2019.12.22.(일)(당일) 진주 → 의령 → 진주...",2020. 1. 2.
경남 의령군 궁류면 일붕사,(언덕주의) 이런곳이 나옵니다~~~ 이름이 뭐라고 하던데 ㅎㅎㅎㅎ 기억안남주의 확실한건 대부분의 절이 있는 곳은 경치하나는 기가 막힌다는 것? ㅋㅋㅋ 개는 입장불가입니다만! 크기랑 상관없습니다!!!! #경남여행 #의령여행 #의령군궁류면 #벽계야영지근처가볼만한곳 #경남사찰여행,2020. 6. 16.
"경남벌초대행 의령군 궁류면벌초, 신혼부부의 첫 성묘길",경남벌초대행 오늘은 의령군 궁류면에 벌초를 하러 왔습니다 얼마전에 결혼식을 올리고 신혼여행을 다녀온 새 며느리의 첫 성묘입니다 며느리에게 절을 받을 시어른의 묘지를 다듬고 빗질을 하여 보기 좋게해 드릴려고 합니다 앞쪽에 보이는 시멘트 포장길은 과수원을 하시는 분 소유의 길이고 길...,2021. 7. 15.
2020.10.18 의령군 여행 의령 정암루... 드라이브. Feat BMW R1200RT & R1200GS 경남 여행,"영상으로 보시면 더 좋겠죠 ^^ 의령군 여행, 의령 관광중이라면 한번은 들러봐야 할 곳! 정암루 정암철교 의병광장 의령관문공원 정암루를 찍고 가시면 됩니다 ^^ 정암철교는 79번국도를 지나는 새 정암교 옆에 위치한 옛 다리이죠. 1935년 중공된 길이 259.6m 의 다리.. 6.25 한국전쟁당시 일부가...",2020. 10. 24.
사찰 여행 의령군 일붕사 세계 최대 규모 동굴 법당,그래서 그런지 아직도 전국 곳곳에 사찰 여행을 좋아해요. 경남 의령군에 위치한 일붕사는 봉황산 자락에 절벽을 등지고 지어진 신비한 분위기의 사찰이에요. 거기다 세계 최대 규모의 동굴 법당으로 기네스북에 등재된 독특한 이력을 가진 경남 의령군 일붕사 의령군 일붕사 T)...,2021. 10. 11.
