header,contents,date
"[지역N문화 테마여행] 경남 진주시 여행코스 :: 진주, 조선 역사의 한 페이지 속으로","경남 진주시 여행코스 진주, 조선 역사의 한 페이지 속으로 진주, 조선 역사의 한 페이지 속으로 경남 진주시 *출처 : 진주문화관광 역사 도시로 유명한 진주 테마여행 소개해드립니다! 진주의 랜드마크 진주성은 임진왜란 당시 김시민 장군이 3천명의 의병으로 2만명의 왜병을 물리친...",2020. 11. 27.
@경남 진주시 임장-1(feat.부동산스터디),"하지만 가족과 임장을 가면 여행 함께 가는 기분도 들고, 가는김에 맛있는 음식도 먹고 올 수 있다. 진주시 진양호 전망대 전망 맛집여행 겸... 2021년08월13일 경남 진주시 임장기록이다. 진주시 임장경로는 정리를 한 번 했었다. 경상남도 진주시 임장경로 진주시 임장경로 1. 충무공동 2. 가좌동 3....",2021. 8. 14.
137. 진주냉면-황포냉면(경남 진주시),"1박2일 일정으로 친한 형님들과 진주 여행을 다녀왔다. 진주 하면 떠오르는 음식이 냉면. 냉면이라고 하면 평양, 함흥 등 추운 지방인... 주소: 경남 진주시 호탄길 34번길 10(호탄동 639-1) 전화번호:055-762-7433 메뉴: 물냉면 9,000원, 비빔냉면 9,500원, 쇠고기 육전 12,000원. 영업시간:오전 10:30-오후8시...",2021. 3. 29.
경남 진주시 사봉저수지,경남 진주시 부계리 사봉저수지입니다~~ 타프대신 철물점표 럭셔리 차광막치고ㅎㅎ 오늘 풍요롭게 식구들이 자리잡은 곳은 저수지 최상류구여... #반려동물 #반려견 #세퍼트 #저먼세퍼트 #낚시 #민물낚시 #대물낚시 #여행 #국내여행 #힐링 #풍요 #캠핑 #차박 #붕어 #토종붕어,2021. 8. 28.
경남 진주시 지역분석,"경남 진주시에 대해 알아본다. 1) 위치 경상남도 남서쪽에 자리하고 있다. 경남의 핵심이 부산쪽이라고 한다면, 오히려 부산까지의 거리보다... 철도는 일상생활에서의 주요한 교통수단이 아니며, 여행이나 출장 시에 가끔? 진주역은 경전선의 정차역이다. KTX도 정차하며, 역세권 개발사업도...",2021. 9. 9.
[경남 진주시 금산] 진주냉면 산홍 본점,ㅎㅇ 여행온 쭈야 어제 밤에 짝지랑 내일은 뭐하고 놀지... 고민하다가 몇년 전에 다녀온 경상남도 수목원이 생각나서 말했더니 바로 ㅇㅋ해주심... 하지만 아빠한테 냉면 먹었다니까 실망하심 나니????ㅋㅋㅋㅋㅋㅋ 진주냉면 산홍 본점 경상남도 진주시 금산 광주에서 2시간을 달려서 진주 도착 12시...,2021. 8. 15.
"[경남 여행지 추천] 첫번째, 경상남도 진주시","많은 경남 지역 중에서도 제가 첫번째로 소개할 여행지는 바로바로 제가 살고 있는 경상남도 '진주시' 입니다! 진주 여행을 생각하시는 분들, 진주를 몰랐던 분들 모든 분들께 도움이 됐으면 하는 마음으로 시작해볼게요 :) 진주성 '진주' 하면 가장 먼저 떠오르는 것이 무엇인가요? 교육의 도시...",2020. 4. 21.
경남[진주여행]신진주역자전거길 진주시자전거길,"진주시 자전거길 입니다~ 진주는 자전거의 도시라 할정도로 자전거길이 매우 잘되어있습니다~남강변을 따라 양 옆으로 조성이 되어있다보니, 한번타면 30km정도는 넉넉히 타실꺼예요~ 그리고 폐진주역부터 경남수목원을 잇는 자전거도로도 새로 생겨, 많은 라이더분들이 즐기고 계십니당~ 집에서는...",2020. 11. 28.
"경남도, 진주시 기관경고 처분은 지나친 결정?","기사에 따르면 진주시는 경남도가 단체여행 자제 공문을 보낸 것은 맞지만 자제 권고 기간이 10월 17일부터 11월 15일까지였고, 이·통장 연수는 11월 16일부터 18일까지 진행됐기 때문에 지침 위반은 아니라는 입장이며 또한, 진주시는 이장 중 한 사람이 창원의 유흥주점에서 이미 감염된...",2021. 4. 26.
장인마루/ 경남 진주시 평거동 들말한보타운 / 구정강 스웨디쉬화이트 22박스,정말로 코로나가 종식이 된다면 저 김팀장은 가족들과 편안하게 외식도하고 친구들도 만나고 여행도 가고싶네요 ~ 저 뿐만 아니라 모든사람들의 바램이겠지요 ? ㅎㅎ 오늘 김팀장이 가져온 시공후기는요 경남 진주시 평거동에 위치한 들말한보타운입니다 사용한 자재는 구정강 스웨디쉬화이트...,2021. 3. 5.
