header,contents,date
경남 진해시의여행코스,"봄이 아니어도 친하게 진해,감성 충만 진해여행코스 ""진해는 벚꽃 보러만 가야 한다"" 말도 안 되는 생각말고 당장 진해로 떠나보세요 언제나 감성충만한 진해 여행. 벽화가 그려진 골목길 소사동 마을 진해 구석에 이렇게 복고 감성이 터지는 마을이 있다나요.손으로 정성 들여 쓴 간판과 낡은...",2020. 3. 2.
경남 진해시 용원동 소나타 3채널 블랙박스 출장설치,관광버스 여행 그러면 머리에 떠오르는 이미지가 있으시죠. 그리고 주차를 해 놓았을때 누군가 물피를 주고 도주를 하는 것을 잡고 싶어서 입니다. 물론 사고를 대비한 것도 있지만.... 4채널은 주로 대형 화물차의 사각지대가 많다보니 다양한 각도로 찍어서 사고에 대비하시는 것 같아요. 이유야...,2021. 4. 5.
[경남창원마산여행]코로나19 없던 해양드라마세트장. 벌써 일년.,"겸사겸사 여행도 하게 되었다. 마산시로 알고 있었는데 이제는 창원시의 마산합포구더라. . 2010년 3월 2일 국회에서 마산시, 진해시, 창원시를 창원시로 통합하는 법안이 통과됨에 따라 같은 해 7월 1일 통합 창원시가 출범했다고 한다. . 국내에 안가본 곳 없다고 생각한 필자였는데 경남 창원시...",2020. 12. 27.
경남 창원 여행 가볼만한곳 마산 저도 연육교 콰이강의 다리,"통합 창원시가 되면서 기존의 창원시, 마산시, 진해시가 합쳐져서 거대한 광역시 정도의 시가 되버린 상태랍니다. 하여간 경남 창원 여행 가볼만한곳 장소로 12가지를 뽑고 있어서 찍어봤네요. 12가지 장소는 아래에서 다시 설명하기로 하고 다리로 이동~~~ 다리입구쪽 모습을 보면 이런 모습인데...",2021. 5. 10.
[경남 창원 / 창원 랜선 여행] 바다와 벽화를 한눈에! 장옥거리 벽화마을,아마 전국에서 제일 유명한 벽화마을이라고 하면 우리 경남 통영의 ‘동피랑’이라고 할 수 있겠습니다. 동피랑에 있는 벽화 중 제일 유명한... 지금은 통합 창원시가 되었지만 그전의 진해시는 벚꽃과 해군으로 유명했습니다. 해군이 유명하다는 것은 바다를 끼고 있다는 말이고 바다 하면...,2021. 7. 27.
경남여행_진해_가볼만한 곳_안민고개_전망대,한눈에 진해시와 진해만이 보이는 풍!경! 크~넘나 좋구먼~ 아! 그리고 예전에 야경사진을 찍은 것도 덤으로 보여드릴게요 야경사진은 한참 추운 겨울에 찍었던 거에요 창원에서 가족과 연인 데이트로 드라이브나 산책을 하고 싶은 분들은 낮에! 분위기 있는 야경을 한눈에 보고싶다 하시는 분들은...,2021. 8. 20.
<17> 할아버지 수소차로 가보는 신박나는 한국 섬 여행,"행정 구역상으로는 광양시와 경남 하동군의 경계 부근에 있으며, 배알도라는 이름은 해수욕장 건너편의 망덕산(광양시 진월면 망덕리 소재)을... 할머니 무덤 상상 설계도 : 인천 강화군 하점면 부근리 북방식 고인돌 무덤 ■ 마시멜로 - 돌시멜로 할머니와 윤찬이의 말 잇기 게임은 여행 내내...",2021. 10. 5.
"[창원여행정보] 국내여행 경남 진해 ""벚꽃 축제 Cherry Blossom"" 군항제 시즌 정보 와...","[창원여행정보] 국내여행 경남 진해 ""벚꽃 축제 Cherry Blossom"" 군항제 시즌 정보 와 사진 & 영상으로 그때를 추억해 봅니다. 경남 진해 벚콫 경남... 경남 진해 시내에서 바라보면 남동쪽 산줄기에 볼록 솟아난 산봉우리가 가장 눈에 띕니다. 진해시 자은동과 웅천 1동에 걸쳐 있는 이 산의 이름은...",2021. 4. 19.
경남창원 산책길 추천 / 뚜벅뚜벅 생각없이 걷기좋은곳 추천 BEST 3,"진해해양공원 / 우도보도교 우도는 경남 창원시 진해구 명동에 딸린 섬으로 진해시 남단으로 1.2km 해상에 위치하고 있어요. 총 3개의 방파제가... 분수쇼도 있다고합니다, 코로나로 어떻게 될진 모르겠지만 분수쇼를 보면 마음까지 시원해질 것 같아요! 위치안내 ⓒ 소담이의 사계절 여행 기록장그",2021. 7. 7.
"[착한여행] 과거와 현재, 미래가 공존하는 도시, 창원 여행지 맛집 추천!","창원은 마산시와 진해시가 통합되며 다양한 보물을 지니게 되었는데요, 도시와 바다, 섬과 항구, 새하얀 벚꽃과 푸르른 자연이 공존하는 여행지... 경남의 중추 도시 창원, 최대 국화 축제 ‘마산국화축제’와 사진작가들이 즐겨 찾는 국내 명소인 ‘진해내수면환경생태공원’도 가을에 방문하기...",2021. 9. 20.
"경남 가볼만한곳, 진해 장복산(창원 편백 치유의숲), 함안 입곡군립공원 다녀왔어요.","1시간이 채 안되는 시간에 잠깐 들린거라 자세히는 소개해 드리지 못하지만 경남 진해나 함안에 가시게 되면 한번쯤 가볼만한곳 같아서 소개할게요. 지금은 진해가 창원시 진해구로 되었죠? 제가 학교다닐때는 창원시, 마산시,진해시 이렇게 되었었는데 지금은 창원시로 다 통합되었죠. 벌써 20년전...",2021. 5. 24.
준 주거 주택 2억 6000만 원 진해시 경화동,"진해시 경화동 주택 경화동 준 주거 주택 진해 충장로 주택 우리나라에서 매년 4월이 되면, 전국적으로 벚꽃 구경과 놀이가 시작됩니다 벚꽃이 피면, 벚꽃 열차나 벚꽃 관광버스를 타고 벚꽃의 명소로 여행을 떠나기도 합니다 계속되는 코로나19로 벚꽃 놀이는 다음으로 미루어 두고 동네에 예쁘게...",2021. 3. 31.
"제주목 관아, 관덕정 여행 : 조선시대 제주 지방 통치의 중심지","■ 여행일자 : 2020년 4월 22일 ■ 여행장소 : 제주특별자치도 제주시 (삼도2동) 구글맵으로 보는 여행 경로 아래 구글 지도에서 "" 3일차 [ 04.22 ]... 제가 사는 경남 창원의 '진해' (舊 진해시)와는 큰 관련은 없음직하고, 다만 제주도도 섬인지라 수군의 역할이 중대했을 터이니 '바다(海)를 제압...",2021. 10. 8.
창원 여행/가볼만한곳 마산 가고파 꼬부랑길 벽화마을,주변에 있는 창동 예술촌과 함께 창원 여행 연계 여행지로 불리우는 곳이고요. 일전에는 마산시로 주소지가 되어 있었지만 얼마 전 진해시와... 그럼 즐거운 도보 여행 되시길 바라며 마산 가볼만한곳 가고파 꼬부랑길 벽화마을에서 유쾌한 시간 보내시길 바랍니다. 위치 : 경남 창원시 마산합포구...,2021. 9. 20.
"단 돈 만원으로 떠나는 진영, 추억의 철도여행 (가성비 | 힐링코스)","두고 있어 경기와 충남, 경남 곳곳에서도 맛볼 수 있지만, 역사공원 근처 가성비 좋은 식당을 찾으신다면 여기가 제격입니다. 얼크니손칼국수 - 위치 : 경남 진해시 진영읍 진영산복로 198 - 가격 : (기본메뉴) 8,000원 / (왕만두) 5,000원 등 - 개방시간 : (매일) 10:30 ~ 21:30 <Google Maps> 진영 철도여행 코스",2021. 9. 6.
경남 창원 가볼만한곳 : 진해 내수면 환경 생태공원,"그 공원들은 극히 일부를 제외하고 가볼만한곳 으로 방문가치가 떨어지는 부적격 여행지들 인데요 경남 창원에도 공원이 참 많더군요 창원에... 좋아 진해 시민분들이 이른 아침 운동삼아 많이 나오시더라구요 저수지에 참붕어, 잉어, 메기, 뱀장어, 붕어, 줄새우, 비단잉어 뭐 이런 물고기들 살고...",2020. 8. 2.
신비의 바다를 걷다 - 우도,"그 바다 이야기를 가지고 왔습니다 - 우도(牛島)라고 하면, 흔히들 경남 진해시와 통영시, 전남 완도, 충남 서산, 그리고 제주도를 떠올리시겠지만... 1470 청년 피디들은 직접 발로 뛰며 직접 계산합니다 누구의 사주를 받거나 금전을 요구하지 않습니다 #전남 #고흥 #고흥여행 #고흥관광 #남해...",2020. 6. 18.
창원추천 명소 삼포노래비/삼포로가는길/7월도보여행/21.7.25(일) 방문,"3.'2008년 1월 당시 진해시에서는 경남 진해시 웅천동 삼포마을 도로가에 노래비를 세워 전면(前面)에 노래의 가사를 새겼다. 4.삼포마을은 어디에서도 느껴보기 어려운편안함과 따뜻함이 묻어나는 곳이다. 작사·작곡가 이혜민은 평소 서정적인 분위기의 음악을 주로 만들었는데, 확 트인 바다와...",2021. 7. 27.
경남 창원여행 진해 수치마을 낚시꾼들이 많이 들리는 어항,당시는 이곳이 경상남도 진해시였고 내가 처음으로 CC한 오빠의 고향이기도 했다. 고등학교 때 펜팔하던 오빠 때문에 경화역까지 가보기는 했지만 진해 곳곳을 다닌 것에는 CC였던 오빠덕이 컸다. 자기가 제일 좋아하는 장소라며 데려온 것이 바로 이 곳 수치마을. 그 때도 저 배가 있었던 것 같은데...,2020. 8. 18.
창원 여행 가볼만한곳 : 진해 드림파크 목재문화 체험장,진해 목재문화 체험장은 아는 사람이 거의 없을정도로 존재감 없는 경남 창원에 있는 관광지로 창원 가볼만한곳 으로 쪼메 알려진 진해 드림파크... 창원 여행시 누구나 찾는 진해 가볼만한곳 으로 우뚝 서기를 바래봅니다 넌 그럴 자격이 충분해~ 멀리 진해만 보이는 진해 시내 물의 정원 너머로...,2021. 6. 10.
진해여행 - 모노레일카를 타고 진해 제황산공원에 오르다.,음 .. 상승에 말려있어서하는 거예요? 웃음 진해 벚꽃이 삐루테 오면 더 좋았는데 .. 조금 한적한이시기에 제 팬 산 공원을 발견하고도 참 좋네요. 진해 시가지의 중심부에서 편안하게 산책 하 고 여유를 찾을 수있는 제 팬 산 공원이었습니다 ~ 경남 진해시 제 팬 샌드 프로그램,2021. 5. 8.
진해여행 - 진해 마진터널 길과 안민고개의 벚꽃터널에서 멋진 드라이브를~,"부근에는 진해시의 전경을 조망할 수있는 전망대가 있고, 시원한 바람을 맞으며 진해시 전경과 바다를 볼 수 있습니다. ... 진해 벚꽃을 아직 본 사람 것이나. 진해 안민 고개와 마진 터널의 환상적인 벚꽃 터널을보고 싶은 분은 얼른 일주일 가기 전에 진해에 들러보세요 ~ 삿よ ~ ^^ 경남 진해시 굔화돈",2021. 5. 14.
진해여행 - 진해 경화역의 왕 벚꽃터널에서 봄을 느껴보세요~,그분을 피해 열심히 찍어 봤다. 좋아하는 사진을 구원는 어려웠 지요 .. ^^; 그 기차를 타고 진해를 방문한 모든 분들이 진해 벚꽃 잘 돌아 가셨 기 ~ ^^ ... 올해 진해 벚꽃은 지금 꽃의 잎을 튀어 시작 했어요 ~ 일요일 오전에는 벚꽃 비가 내리는 모습을 볼 수있는 것 같습니다. ^^ 경남 진해시 굔화돈,2021. 5. 27.
주경업,경남 진해시(현 창원시 진해구) 웅천동에서 4남매 맏이로 태어났다. 어릴 땐 부유했다. 농토도 많았고 집도 네 채나 됐다. 하지만 할아버지와 그... 배수진을 친 게 바로 전국을 누비는 스케치 여행이었다. 일종의 주경업식 '만행'이었다. 그 흐름이 20여년 이어진다. 빈 가슴을 채워줄 뭔가가...,2021. 9. 28.
