header,contents,date
경남 창녕군 영산면 연지못[수양벚꽃] / 만년교 아름다운 수양벚꽃 여행,"보수해서 구조적인 문제를 개선했다고 하는데요, 개인적으로 무지개 다리는 건널 때보다 멀리서 바라볼 때, 물에 반영되어 무지개가 원이 만들어지는 풍경을 감상하는 게 더 멋있더라구요. 경남 창녕 여행을 계획하신다면 예스러운 멋이 남아있는 연지못과 만년교를 꼭 둘러보세요~ 창녕 영산 만년교",2020. 3. 30.
[경남] 창녕-사천-고성 1박 2일 ① 창녕군 화왕산 등산 후기,여행 날짜 10월 02일 토요일 ~ 10월 03일 전체 여행 코스 - 경남 창녕 화왕산 3코스 - 경남 사천 숙소 - 경남 고성 삼족암 군립공원 여행 별점 : ★★★★☆ 별점 이유 - 중간중간 벤치가 별로 없어서 초보여행꾼에겐 힘들었어요. - 산 정상에는 그늘이 없어서 앉아서 쉴수가 없어요. 경상남도 창녕군 가을...,2021. 10. 5.
경남 창녕군 옥천리 계곡물놀이,많은계곡을 아들과함께 다녔는데요 그중한곳 오늘 포스팅해보려합니다 경남 창녕군 옥천읍 옥천리 입니다. 화왕산 아래에 위치해있구요 화왕산은... 내일은 즐거운 일요일~~~ 또어디론가 마지막이될수도있는 여름 여행을 가야하는데 어디로 가야할지 아직 정해지지 않았습니다. 비가 올줄알고...,2020. 8. 29.
[1년 후 오늘] 화왕산 군립 공원 /경남 창녕군/여행지/가을여행 추천,"1년 전 오늘 화왕산군립공원 /경남 창녕군/여행지/가을여행추천 * 진달래와 억새로 유명한 산, 화왕산군립공원 *화왕산(756.6m)과 관룡산(일명 구룡산, 739.7m)을 잇는 공원으로 많은 문화재와 수려한 자연경관을 자랑, 많은 관광객(등산객)이 찾는다. 창녕군 창녕읍과 고암면(高岩面)의 경계에 있는...",2020. 10. 23.
경남 창녕군/산토끼 노래동산 /아이들과 놀러가기 좋은 곳/가족 여행/토끼먹이 주기...,"위치는 경남 창녕군 이방면 이방로 623 이예요. 입장료는 어른 2,000원에 어린이 1,000원 48개월 미만은 무료 입장이었어요. 입구에 주차장도 넓게 마련되있어서 편했어요~ 코로나로 인해 QR 코드 체크하시고 입장료능 무인발급기로 발급하시면 쉽고 빠르게 들어갈수 있어요. 티켓을 발급받으시고...",2021. 3. 7.
경남 창녕군 부곡온천:: 삼성온천호텔 가족탕 키즈룸 방문기,우리의 나날 16개월 아기와 부곡온천 물놀이 삼성온천호텔 가족탕 키즈룸 경남 창녕군 부곡면 안녕하세오. 오늘은 16개월 아기와 어린이날을 맞아... :) #창녕부곡온천 #부곡온천가족탕 #가족탕대실 #가족탕키즈룸 #아기물놀이 #첫물놀이후기 #16개월물놀이 #주말여행 #창녕여행 #경남창녕가볼만한곳,2020. 5. 6.
국내여행-경남 창녕군 힐링여행 보니소네트 힐링 독채펜션,이것으로 경남 창녕 독채펜션 힐링 보니소 네트 이야기를 마무리하겠습니다. 다들 답답한 일상에서 잠시나마 일상에서 벗어나 힐링을 한번 느껴봐도 괜찮을 것 같습니다. 2021년은 코로나 종결을 기원합니다!! 다들 웃는 얼굴로 파이팅 하세요!!!! 지금까지 세계여행 꿈돌이 사랑꾼입니다....,2021. 1. 31.
[경남 창녕군 창녕시장 5일장&우포늪],장에서는 창녕군의 대표 농산물인 고추와 마늘만 거래된다. 창녕장은 예전부터 고추와 마늘 물량이 많은 데다 다른 곳보다 저렴하여 1980년대만 해도 대구·밀양·진주 등지에서 완행 첫 버스를 타고 단체로 오는 손님들이 많았는데 지금도 김장철이 다가오면 더욱 활기를 띤다. 장날에는 서부 경남...,2021. 3. 16.
'김영철의 동네 한 바퀴' 제25화. 경이롭다 우포마을 – 경남 창녕군,"경이롭다 우포마을 – 경남 창녕군 한반도 남부의 젖줄 낙동강과 높은 화왕산이 감싸고 있는 경상남도 창녕. 유유히 흐르는 낙동강 줄기 따라... 격동의 역사를 간직하고 있는 남지철교 너머 펼쳐진 창녕으로 배우 김영철은 힘차게 여행의 첫 발걸음을 옮긴다. ▲ 수많은 생명들의 보금자리, 창녕...",2020. 7. 2.
(경남 창녕군 맛집) 명궁 오리불고기 한방백숙 전문점 : 부곡온천 내 위치,#부곡하와이 로 유명한 #경남창녕군 인데요. 거기에서 들린 #오리백숙 전문점 입니다. #명궁 이란 곳인데. 관광지에 바로 근처에 있습니다. 가격은... 명궁의 대표 메뉴는 다 먹어봤네요. 그리고 마지막으로 #부곡막걸리 입니다. #부곡온천 에 오면 꼭 마셔봐야 할 전통주죠. 다들 즐거운 여행 되시길.,2020. 4. 3.
"경남 창녕군, 창녕문화공원과 명덕수변생태공원 숨은 명소로 각광","지난 1월부터 창궐한 코로나19가 대한민국은 물론 전 세계 관광객들의 발을 묶었고 사람들은 멀리 여행 가는 것 대신에 집 근처에서 가볍게 즐길 수 있지만, 그 풍경의 아름다움은 절대 가볍지 않은 숨은 명소들로 발걸음을 향하고 있다. 경남 창녕군(군수 한정우)에도 여러 명지들이 존재하지만...",2020. 5. 28.
[에코경남] 창녕군 한 달 살아보기 참가자 20세대 모집,군은 ‘창녕 한 달 살아보기’ 사업이 타지역민이 짧게 머물다 가는 단기여행이 되기보다는 일정기간 창녕군의 농촌지역을 체험함으로 귀농에 대한 구체적인 계획을 세우고 시행착오를 줄여 안정적인 정착으로 이어지기를 기대하고 있다. 한정우 군수는 “이번 창녕 한 달 살아보기를 통해...,2020. 8. 7.
경남 창녕군 가볼만 한곳,"산토끼노래의 의미와 함께 토끼에 대한 학습・탐구기회를 제공하고 가족 단위의 여행을 즐길 수 있도록 토끼 먹이체험장, 레일썰매장, 작은동물원 등으로 꾸며진 체험형 관광지이다. ㅇ 우포잠자리나라 위치 : 경남 창녕군 대합면 우포2로 333 우포잠자리나라는 부지면적 39,484㎡, 시설면적 8,517...",2020. 12. 26.
창원사다리차 마산사다리차 진해사다리차 경남 창녕군 부곡 크라운호텔 리모델링작업,짜잔 이번에 작업한곳은 경남 창녕군 부곡면에 위치한 크라운호텔입니다! 창원24시콜사다리차 *********** 사진을 누르면 전화연결이 가능합니다... 온천여행은 크라운호텔 강추합니다 이상 안전을 최우선으로 하며 고객님 만족에 최선을 다하는 창원24시콜사다리차 였습니다. 감사합니다....,2021. 4. 8.
"경남 창녕군 고암면 전통촌집150여평 매매(창녕부동산,땅지니)","창녕촌집매매 경남 창녕군 고암면 전통시골촌집 150여평 (창녕부동산,땅지니) 물건번호 ㅣ 땅지니 -218 매매가 : 8천5백만원 문의전화 : ***-****-**** (간편자료설명) 대지 :150여평 건물 : 총 15평 본채 : 9평 외부창고 :6평 산기슭 바로아래 정남향으로 위치한 청정지역 돌담이 정겨운...",2020. 4. 12.
[경남 창녕군 등산] 화왕산 억새 산행(자하곡 1코스-정상-3코스),------------------------------------------------------------------------------------------------------ ▶ 지난 4월 방문 이후 다시 찾은 화왕산 전날 합천 황매산 억새 구경하고 바로 억새로 유명한 화왕산을 찾았다. 지난 방문기에 등로 안내를 자세히 올렸으니 오늘은 생략. https://blog.naver.com/dghomepp/222307090540...,2021. 10. 7.
[경남:창녕군] 대중분식당,미식 여행차 방문한 건 이번이 처음. 이번에 창녕군을 방문한 이유가 대체 가능한 식당이 없고 그곳 아니면 절대 먹지 못하는 음식점 두 곳 중 한 곳인 #대중분식당 먼저 소개를 합니다 주차하면서 보니까 들고나는 손님들이 정말 많네요 창녕군 대박 맛집은 확실한 거 같습니다 출입구 유리창엔 30년...,2020. 11. 5.
"창녕군 여행 1. - 창녕신라진흥왕척경비(국보), 만옥정공원","만옥정 공원에는 신라진흥왕척경비외에도 조선 후기의 관아건물인 창녕객사(경남유형문화재 제231호), 통일신라 후기에 만 들어진 것으로 추정되는 퇴천삼층석탑(경남유형문화재 제10호) 창녕척화비(경남문화재자료 제218호) 등의 다양한 문화재가 있으니 기회가 되신다면 창녕군만 여행지로...",2021. 6. 25.
경남 창녕가볼만한곳 창녕 우포늪 생태관 식물원 창녕군관광안내지도,"경남 창녕가볼만한곳 창녕 우포늪 식물원 창녕군관광안내지도 2021년 6월 4일 금요일 오전11시 맑음 우포늪 동영상 우포늪 가는 길 산토끼노래동산 우포잠자리나라 탐방코스 안내 우포늪에는 1,200여 종의 많은 생물들이 살고 있다. 우포늪 보전조치 습지의 기능 우포늪 생성시기와 명칭유래...",2021. 6. 6.
창녕군 여름 여행 코스 추천✨,안녕하세요 경남관광박람회 대학생 서포터즈 8기 이초원입니다 날씨가 점점 풀리고 있습니다 여러분 ~~! 이러다 잠시 눈 깜빡하면 여름이 올 것 같아요 그래서 오늘은 미리 ! 창녕군 여름 여행 코스를 소개해드리려고 합니다 물놀이는 가고싶은데 코로나 때문에 사람이 많이 모이는 곳은...,2021. 5. 2.
[경남 창녕군 남지읍 여행] 능가사, ,2021. 3. 31.
"경남 창녕군, 코로나19로 위축된 민생경제 활성화를 위해 관광시설을 단계별로 재개장","경남 창녕군(군수 한정우)은 방역체제가 생활 속 거리 두기로 전환됨에 따라 코로나19로 위축된 민생경제 활성화를 위해 관광시설을 단계별로 재개장한다고 밝혔다. 창녕군은 지난 5월 26일부터 우포늪 생태체험장 전시관, 부곡온천 르네상스관을 재개장했고, 산토끼노래동산도 지난달 26일...",2020. 6. 4.
Gourmet Story...2020.10.14 경남 창녕군 창녕읍 말흘리 45-9 양반청국장...,000원 나는 어디든 여행을 가게 되면 제일 먼저 고르는 것이 내가 좋아하는 음식이 그 곳에 있는지?접근 성이 좋은지?이다. 사실 맛이야 내가 직접 가서 먹어봐야 내가 선택 을 잘 한 것인지 아니까^-^. 하지만 이것도 혼자 다닐 때의 이야기이고 함께 다니는 여행에서는 함께 하는 사람의...,2021. 1. 12.
