header,contents,date
경남여행 창원시 문화휴가지 1탄 용댐 용대미 노지캠 캠핑 차박 취사가능 물놀이 계곡,규모는 작지만 애국지사 사당도 꼭 들러보시는 것을 추천합니다 #애국지사사당 #애국지사당 ☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆☆ #경남여행 #창원시 #문화휴가지 1탄 #용댐 #용대미 #노지캠 #캠핑 #차박 #취사가능 #물놀이 #계곡 #경남 #제작쏘 #jejaksso #4월 #5월 #6월 #7월 #8월 #9월 #10월 #11월,2021. 8. 2.
"경남 창원시, 창동예술촌 아트센터에서 여행 사진 체험전 '여행을 여행하다Ⅱ展...",경남 창원시(시장 허성무)는 3일부터 오는 8월 29일까지 창동예술촌 아트센터에서 하계 특별 기획전으로 여행 사진 체험전 '여행을 여행하다Ⅱ展' 전시를 진행하고 있다고 6일 밝혔다. 이번 전시행사는 여름 휴가철임에도 불구하고 지난해에 이어 올해도 아직 코로나 여파로 인해 여행이 자유롭지...,2021. 7. 8.
"[창원, 부산 자전거 여행 ①일차] - 경남... 봉하마을, 주남/동판저수지, 창원시명서동",무언가 중요 시설 옆을 지나고 모텔이 많은 창원시 명서동에 숙소를 정하고... 샤워 후 옷 갈아 입고 나니... 가인 님이 도착했습니다... 근처 맛집에서 소갈비찜 저녁식사 어탕국수 밥 볶아서 마무리 자정이 넘어서 서로 님 도착 식사를 못 한 서로 님과 치맥 내일부터 4명의 자전거 여행...,2021. 4. 22.
"[창원여행] 시골체험 한가득 그리고... 7, 경남 창원시 #창원단감테마공원)","있나요. 시골체험 한가득 그리고 쉬멍놀멍하기 좋은 #창원단감테마공원 추천합니다. ^♡^ #창원여행, #마산여행, #창원단감테마공원, #창원가볼만한곳, #창원피서장소, #창원물놀이, #단감테마공원, #창원아이체험, #창원시골체험, #창원볼거리, #창원놀거리",2021. 8. 1.
[경상남도/창원시] 경남도민의집 / 창원 여행 / 창원가볼만한곳,"창원 가로수길 옆, 경남도민의집이 있어서 구경을 가보기로 한다. 딱히 큰 기대는 하지 않았다. 예전 관선 도지사들의 공관이었던 곳이니... 청남대랑 비슷하겠지. 싶었다. 경남도민의 집, 문을 열면서경남도민의집 안내도 생각보다 아담하지만 이쁜 공간이라서 조경은 진짜 계속 관리하고 있어서...",2021. 5. 24.
[경남관광] 창원시 가볼만한 곳 / 돝섬해상유원지 / 마산 오동동 아구찜 본점 / 고려당,돝섬해상유원지 경남 창원시 마산합포구 돝섬2길 58 돋섬해상유원지 저희 팀의 첫번째 취재 장소인 돝섬해상유원지는 돝섬유람선터미널에서 약... 몇몇 팀원들은 빵 포장해간거 안비밀 지금까지 저희 팀의 첫 취재지 중 몇몇 곳을 선정하여 소개해드렸습니다 흥미로운 랜선 여행이 되셨나요 첫...,2021. 7. 4.
경남 창원시 동굴집 (맛 좋고+남자 웨이터 잘생김)!,위에 언덕으로 가시면 주차장 있어요! 참고해 주세요! ★★ 전화번호 : 055~221~0668 주소 : 경남 창원시 마산합포구 가포 해안 길 35 (지번:가포동 472-15 동굴집) 매일 12:00~ 21:30 (주말 BREAK TIME 15:00~17:00) #경남#창원시#마산합포구#맛집#동굴집#경남#맛집#오리#불고기#맛집#경남#창원시#맛집#투어#,2020. 5. 21.
골목여행 창원시 어울림센터,"주소: 경남 창원시 마산합포구 오동서6길 11 전화번호: 055-247-2999 주차: 창동공영주차장 어울림센터(창원시상권활성화재단)란? ◆ 비전 및 목표 비전... 골목여행 문화아카데미: 수준 높은 열린 교육 운영으로 함께 배우고 만족하는 평생교육 실현 골목여행 러닝투어: 초,중,고등학생을 대상으로 우리...",2021. 9. 24.
[진해여행][당일] 경남 창원시 진해 당일 관광코스 진해벚꽃투어,[진해여행][당일] 경남 창원시 진해 당일 관광코스 진해벚꽃투어 2020.04.01.(수)(당일) 김해 → 진해 → 김해 김해 → 진해 성주사 → 곱돌이 → 여좌천벚꽃길 → 봄봄카페 → 진해루 → 김해 14:00 안민공원 입구 14:10 진해 성주사 15:40 진해 경화역 경화역 출입금지 진해 중앙...,2020. 6. 15.
[면접준비] 창원시 슛골! 경남 무료정장대여 포튼가먼트 후기,"청년으로 창원시 거주자가 아닌 경남!!으로 굿굿 창원 2곳, 진주1곳, 김해1곳에 업체가 있다 ✍필요 서류는 면접본다는 증거자료와 주민등록증 초본(200원)을 출력해가면 된다 나는 포튼가먼트 창원점을 이용했다 이유는, 화요일에 반납하기 위함이었다☺ 3박4일 대여할 수 있는데 중간에 여행일정도...",2021. 7. 1.
[경남 창원시 상남동_빈체로] 상남동 맛집인 빈체로에서 가성비 넘치는 피자와 파스타를...,어느지역을 여행가도 그 지역에 있는 맛집을 찾아 다니는 것은 힘들지 모르지만 저는 항상 즐기는 편입니다. 첫째날 창원에서 유명한 통술집과... ㅎㅎ -가게명 : 빈체로 창원상남점 -가게주소 : 경남 창원시 성산구 상남동 23-6 에이스타워 -전화번호 : 055-266-9567 -영업시간 : 11:30 - 22:00...,2021. 4. 6.
