header,contents,date
[지역N문화 테마여행] 경남 통영시 여행코스 :: 한국의 나폴리 통영으로 떠나는 휴가,경남 통영시 여행코스 한국의 나폴리 통영으로 떠나는 휴가 한국의 나폴리 통영으로 떠나는 휴가 경남 통영시 아름다운 바다와 수려한 자연경관 덕분에 '한국의 나폴리'라는 별명을 가진 통영. 통영의 눈부신 바다를 감상하며 골목골목 걸어보는 여행을 떠나보세요! ✓ 전체코스...,2020. 10. 19.
[ 경남 통영시 ] 충무김밥 & 카페몽마르다 & 이순신공원 & 만성복집,여행하면서 느낀건데 통영분들은 다들 친절 하셔서 가는곳마다 기분이 좋더라구요! 저희가 주문한 충무김밥이 나왔어요. 특별할것 없는... 이순신공원 경남 통영시 정량동 688-1 섬트레킹은 못하지만 근처 가까이에 이순신공원에서 가벼운 산책을 할수 있다길래 가봤어요. 힘든 구간 없이 살랑 살랑...,2021. 9. 14.
통영여행 경남통영시사량면 사량도를 아시나요?,"통영여행은 통영여행만으로도 재밌는 코스들이 많답니다. 다양한 먹거리와 즐길거리들이 있고 통영을 기점으로 해서 배를 탄다면 약 1시간내 거리에 많은 섬들이 있더라구요. 연화도, 욕지도, 사량도 등등 그 많은 섬들중 사량도를 다녀왔답니다. 부산에서 오전7시출발하여 충무김밥도...",2021. 5. 5.
경남 통영시 사량면(사량도) 고향을 찾다.103살 할머니와 부모님.남편과의 평일 여행....,주말이 아닌 평일에 3대가 모여 여행을 가기란 쉽지가 않을지언데 어떨결에 이루어진 가족여행. 경남 통영시 사량면 양지리...47년전 내가 태어난 곳이다. 6살쯤 빨간 새 구두를 신고 자랑할곳이 없어 동네 강아지한테 자랑하다 신발코를 물렸던 기억.(너무 충격적이라 기억이남음.엄마한테도 엄청...,2020. 2. 6.
경남 통영시 이순신공원,#통영이순신공원 #통영수국수국 #경남여행 수국수국이보러 통영으로 고고 #이순신공원 경남 통영시 정량동 688-1에 주차하고 (주차장에 화장실 있고 공원 안에도 화장실 있음) 유료주차장 간단히 한바퀴했고 요금은 900원 정산 출차 하기 전 무인 정산기에서 정산하면 빠르게 출차가능 ㅋㅋㅋㅋ 이...,2021. 6. 27.
[경남 통영시] 반려견 동반 가능한 펜션 추천 :: 통영여행게스트펜션(feat. 오션뷰),동생이 예약해서 동생한테 문자가 가서 캡처 대신 이렇게 글로 적어욧 ㅎㅎㅎㅎㅎ 통영여행게스트펜션입니다 ㅇㅇㅇ 고객님 8/15 일출동 3005호 네이버 예약되었습니다 반려 추가 현장결제 입니다 입실은15:00 퇴실은11:00입니다 오시는길은 경남 통영시 산양읍 영운리8-11번지입니다 정말 감사합니다...,2020. 8. 16.
남파랑길 30코스 경남 통영시 - 남파랑길 고성&통영구간,"있는 '관덕저수지' 여행자 정보 - 시점 : 무전동 해변공원(경남 통영시 무전동 1013) 교통편) 통영종합버스터미널에서 504, 676, 121,231, 321, 420, 522, 521번 등 다수 버스 이용하여 새통영병원 하차 - 종점 : 도산면 원산리 바다휴게소(경남 통영시 도산면 남해안대로 2125) 교통편) 평촌창동마을...",2021. 2. 16.
"[경남/통영시] 속이 뻥 뚫리는 힐링 뷰를 보고싶다면 ""통영케이블카""",케이블카 여행기간 : 2019-06-12~ 2019-06-15 (1년 전 작년의 여름휴가 기록중.....) 우리부부의 여름휴가는 6월 중순~말에 다녀오는것을 선호합니다용ㅋ 너무 덥지도 않고 날씨도 너무 좋고 가격도 저렴하고 사람도 적고ㅋㅋ (학교 다니는 자녀가 없어서 가능한거겠지융....ㅎㅎ) 주소 : 경남 통영시...,2020. 5. 19.
[카페] DD COFFEE(디디 커피) - 경남 통영시 무전동,상호 : DD COFFEE(디디 커피) 위치 : 경상남도 통영시 무전2길 12-4 (지번 : 경상남도 통영시 무전동 1020-11) 경남 통영시 무전동에 있는 'DD COFFEE(디디 커피)'다. 베이커리 케이크(Bakery CAFE) 커피 종류는 당연하고 여러가지 매일 매일 신선한 수제 베이커리를 판다. 가게 내부 메뉴판...,2020. 1. 18.
[경남 통영시] 국내여행지 통영 여행코스 추천! 루지와 이순신공원,대구에 살기도 하고 통영까지 여행가는게 쉽지 않지만 친언니랑 한번 떠나보기로 했다~~ 당연히 기차는 없고 서부정류장에서 출발하는 버스밖에... 가방은 따로 게하에 두신다고 하셔서 가볍게 여행시작했다ㅎㅎ 처음간 곳은 케이블카랑 루지였다. 케이블카랑 루지는 엄청 가까운곳에 있었다....,2020. 10. 28.
방구석 국내여행 경남 통영시 '비진도'로 떠나봐요~,"또한 도움이 되겠지요 경남 .. 통영안에 자연 그대로를 담은 산호빛 해변이 있다는 사실..알고계신가요~? 도시의 답답함에서 벋어나 섬마을의... 숲을 이루고있어 운치를 더해줌은 물론, 산책로으로도 좋답니다~ 여름철 휴양지로 1박2일 여행을 추천해드리기도 하고요ㅎㅎ 통영항 부근 13km정도 떨어진...",2020. 4. 15.
경남 힐링의 명소 통영시 지도섬의 토지 매매,경남 통영시 힐링 명소인 아름다운 지도리(종이섬)의 토지를 매매 합니다. 탁 트인 바다와 시원한 바다내음을 가득한 지도리입니다. 통영시 원평에서 바라 본 지도섬의 모습입니다. 선착장에 낚시를 하고 있네요. 통영에서 배를 타고 가면 지도섬의 선착장 있는 마을 입니다. 통영시 원평에서 배를...,2020. 5. 23.
경남 통영시 ‘남망산 조각공원’ 과 ‘디피랑’ 에 2021년 8월 11일,"빛의 오케스트라, 메아리 마을, 비밀공방, 그림 바다, 신비폭포 빛 그물, 오래된 동백나무, 반짝이는 숲까지 총 16개의 콘텐츠로 되어있었는데 차례대로 보게 되는 것 같고 도시의 불빛을 찾아 야경여행 #디피랑 통영시가 남망산 공원 야외에 만든 빛의 정원 디지털 기술을 활용해 해가 지면...",2021. 8. 20.
"[ 경남 통영시 ] 중앙활어시장 구경, 해동회초장에서 보리새우랑 회 한사바리~ 매운탕은...",중앙활어시장 경남 통영시 중앙로 160 055-645-2887 통영 도착 첫날~! 숙소 짐풀고 바로 나와 #중앙활어시장 으로 향했어요. 통영까지 왔는데 회한사바리... 넘나 친절하신 사장님~ ^^ 덕분에 맛난 회 맛있고 저렴하게 잘먹고 왔습니다. 통영여행 오신다면 통영중앙시장 횟집 해동회초장으로 오세요!,2021. 9. 9.
2020.5.16(토) 지리(망)산(경남 통영시) 2020-25(747회),16(토) 어디를 : 경남 통영시 사량면 사량도 코 스 : 내지항선착장 ~ 도로 ~ 금복개 ~ 등산초입 ~ 묘지 ~ 돈지항갈림길 ~ 지리(망)산 ~ 촛대봉 ~ 삼거리... 섬산행 그것도 백대명산 2개소를 밟았으니 이번 여행은 정말로 큰 수확이면서 만족감을 한 아름 가슴에 담고 전주로~~ ^^^^,2020. 8. 26.
[우수영업점] 경남 통영시 '아일랜드펜션민박',"[한국비즈지원센터 우수영업점 선정] 상호 : 아일랜드펜션민박 주소 : 경남 통영시 욕지면 욕지일주로 819-63 문의 : ***-****-****... 욕지도 일주드라이브 코스인 천황산 약과봉 등산로도 있어서 등산도 가능해 연인, 가족, 단체여행에도 좋습니다. 이 업체는 서비스 품질과 소비자 평가에서 높은...",2021. 7. 30.
"경남 통영시 ""사량도"" 등반 여행과 ""봉하마을"" 다녀옴","즐거운 여행이었네요 ~~^^ piano mall 조율사(경력35년) 박창국입니다.~~^^ 국가공인1급(고용노동부, 한국산업인력관리공단 발급) 피아노조율(산업기사),사일런스피아노대리점과설치전문기사.한국피아노조율사협회 강남지부정회원이고, 기술연구모임(튜닝아트)정회원과 조율사협회 이사입니다....",2020. 10. 27.
[경남 통영시 욕지도 백패킹_마흔여섯 번째] 욕지도에서 거대한 펠리컨을 마주하다...,"2020년 5월 23일 [경남 통영시 욕지도 백패킹_마흔여섯 번째] 욕지도에서 거대한 펠리컨을 마주하다 ①첫째 날 박지 도착,, 멋진 뷰를 바라보면 떡갈비... 밝혔는데 마치 하늘의 별들이 바다로 내려와 눈처럼 쌓이는듯하였다. 그리고 우리는 멋진 자연 속에서 수많은 별들과 함께 꿈나라로 여행을 떠났다.",2020. 7. 9.
[경남] 통영시 한산도 통제영 오토캠핑장 FISHING & CAMPING,"오↗늘↘은↗, 저희 4인4색 SH친구의 통영시 한산도에 위치한 통제영 오토캠핑장 낚시 & 캠핑의 조행기 그리고 후기입니다. 먼저 잠깐 친구... (1박2일 여행으로는 짧겠죠 ㅠㅠ) 통영여객선터미널 → 한산농협카페리(15분소요) → 제승당선착장 도착 자세한 예약사항 및 시간확인은 하기...",2020. 10. 22.
섬 여행정보 만지도 경남 통영시 한산면,[여행을꿈꾸다! 둘레길 걷기여행] BAND :: #국내여행 #(여행밴드) #여행을꿈꾸다! #섬.여행정보 #만지도 #경남 #통영시 #한산면... https://band.us/band/74434476/post/2230,2021. 6. 29.
"[사진] 경남 통영시, 통영중앙시장","2020.09.30 18:08 통영시에 위치한 ‘통영중앙시장’ 이다 여행을 자주가는 우리가족은 자주 통영에 들린다 동피랑 마을, 서피랑 마을과 함께 필수 코스이다 이 사진은 역시 iPhone 11 pro 모델을 사용했고 기본 필터를 이용했다 컬러로 찍었으면 난잡했을 사진 필터로 약간 어두운 느낌을...",2021. 8. 13.
[경남/통영시] 아이와 함께 걷기 좋은 바다 옆 산책로.. '삼칭이해안길(통영등대낚시공원)',#아이와함께가볼만한곳 #통영여행 #삼칭이해안길 #통영등대낚시공원 #아이와함께하는통영 #아이와함께걷기좋은길 #한산마리나리조트산책로 #16개월아이와함께 #경남가볼만한곳 #통영가볼만한곳 #통영걷기좋은길 #경남걷기좋은길 2020. 04. 05. 일요일 오후 나들이. 코로나 덕분에 주중엔 계속 집에만...,2020. 4. 13.
경남 통영시 수정식당의 회정식과 도다리쑥국,"경남 통영시 수정식당의 회정식과 도다리쑥국 다녀온지 좀 된 듯 합니다. 거제도와 통영 여행~ 통영 수정식당의 회정식과 도다리쑥국이 유명하다해서 들러봤어요 그당시 가격으로 회정식 : 10,000원 / 도다리쑥국 15,000원 위치정보입니다! 수요미식회 이후 사람들이 많아져서 먹기 힘들다고 했지만....",2020. 6. 23.
경남 통영시 동피랑굴촌,그런타임 없습니다 아 네네 땡큐- 아니 근데 동피랑굴촌 옆집 뭐하는 집이에여??… 세시에 줄서있으니깐…. 너무 궁금한데 배고파서 쳐다보지않음 기다릴인내심은 없었다…. #경남여행 #동피랑 #통영 #통영맛집 #통영여행 #경남데이트 #통영수국,2021. 6. 29.
