header,contents,date
(경남) 함안군과 하동군 여행,"이번엔 여행이라기보단 드라이브가 맞겠다. 함안군으로 찍은 곳은 말이산 고분군 옥상에 태양광 패널이 있는 건물이 함안군청 여기서 가야읍의... 하동군으로 섬진강. 멀리 (구), (신)경전선 철길이 보인다. 함안을 떠나 열심히 달려 도착한 하동 개인적으로 굉장히 좋아하는 지역이다. 특히...",2021. 6. 9.
"2021.07.11 경남 하동투어! 옥종을... 혼다 CB650R, BMW F700GS & R1200RT. 하동군 여행",한태령을 출발해서 산청군 생비량면~단성면을 지나 하동군 옥종을 지난하 안산골로 해서 하동호까지 달려갑니다. 궁금하신분들은 영상의... 그렇게 도착한곳은 하동군 맛집 지리산면옥 입니다. 지리산면옥이 궁금하신 분들은 https://blog.naver.com/onroadzone/222502113840 에서 자세히 볼 수...,2021. 9. 14.
녹차밭에서 피크닉하면서 특별한 추억남기기 [경남 하동군 감성여행],"오늘의 추천 여행지는 [경상남도 하동군] 입니다. 출처: 한국관광공사 경상남도 하동도 가을에 코스모스가 아름다운 곳으로 유명한데요. 녹차의 도시답게 초록초록한 감성이 한가득한 하동, 가을맞이 감성여행지로 딱 좋은 여행코스로 준비했습니다. 그럼 오늘도 힘차게 시작해보겠습니다! 출처...",2021. 9. 24.
경남 하동군 하동읍 / 테마모텔 / 하동군청 하동 숙소,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 화장실에도 샴푸와 린스, 바디워시가 비치되어 있다. 수압도 좋고 그밖에 치약이랑 비누 있음 치킨이나 짜장면 등 배달되는 음식점 메뉴판도 따로 준비되어 있다. 택시 연락처도 있어서 뚜벅이 여행객들에게도 유용할 듯 경남 하동군 하동읍 / 테마모텔 / 하동군청 하동 숙소",2020. 7. 4.
여행 나들이 - 지리산 청학 선원 삼성궁(경남 하동군),"(대한민국 구석구석, 한국관광공사) 지난주 일요일 부슬비가 많이 오는 날,,, 근처 캠핑장에서 하루를 보내고, 예전 여름에 한번 방문한 적이 있었던 경남 하동군 청암면에 위치한 삼성궁에 들려서 둘러보았습니다. 예전 여름에 방문했을 때는 너무 더워 서둘러 한 바퀴 돌고 나간 기억이 있습니다....",2021. 4. 8.
"[경남/하동군 숙박,에어비엔비 추천] 스테이고하리(Re) 555","[경남/하동군 숙박,에어비엔비 추천] 스테이고하리(Re) 555 하동에는 유명한 곳들이 많다 악양면에 최참판댁,화개면의 화개장터, 그리고 섬진강과... 접해보세요~ #하동숙소 #하동숙소추천 #하동숙박 #하동민박 #하동예쁜숙소 #하동여행 #하동게스트하우스 #하동에어비엔비 #하동독채숙소...",2020. 12. 12.
"경남 하동군 지리산 청학동 삼성궁 솔직 후기(소요시간, 입장료)","지리산 삼성궁 경남 하동군 가볼 만한 곳, 지리산 계곡, 하동군 김다현길 경남 하동군 지리산 자락에 위치한 삼성궁, 입장료가 아깝지 않다던... 부모님이 중국이나 일본 다녀오시면 여행 사진 보여줬던 장소 같았어요. 솔직히 여기까지만 봐도... 입장료는 아깝지 않았답니다. 사진도 굉장히 잘...",2021. 8. 6.
경남 하동군 지리산 청학동 서당,5년 전 오늘 경남 하동군 지리산 청학동 서당 경남 하동군 지리산 청학동 서당 경상남도 하동군 청암면 묵계리에 위치한 지리산 청학동 서당은... 사이클론의 사진여행~~~~** 트로트 열풍이 불면서 지리산 청학동이 많은 사람들에게 알려지게 되었는데 아니 어쩌면 트로트 열풍이라기보다는 그곳...,2021. 3. 28.
"[하동 여행]13년만에 다시 찾은 경남 하동군, 켄싱턴리조트하동, 코리안 마추픽추 삼성궁","Previous image Next image 코리안 마추픽추 삼성궁 삼성궁 경상남도 하동군 청암면 삼성궁길 85 개요 환인, 환웅, 단군을 모시는 배달겨레의 성전이며... 페루에서 #하동 #하동여행 #스타웨이하동 #동정호 #삼성궁 #켄싱턴리조트 #켄싱턴리조트하동 #하동가볼만한곳 #하동관광지 #하동핫플 #하동뷰맛집...",2021. 2. 26.
경남 하동군/하동 해뜰목장/목장체험... 놀러가기 좋은곳/가족 여행/먹이주기 체험,"그래서 근방에 #목장체험 하면서 #아이스크림 도 만들고 #치즈만들기 랑,피자 까지 만들면서 목장 동물들 먹이주는 곳이 있어서 다녀왔어용~^^ 위치는 ☆해뜰목장☆ 경남 하동군 옥종면 양구1길 31-108 http://naver.me/GsTPAmdQ 요즘은 코로나로 체험은 금.토 만 타임별로 진행되요~^^ 뒷편 주차장에 주차를...",2021. 4. 18.
