header,contents,date
(경남) 함안군과 하동군 여행,이번엔 여행이라기보단 드라이브가 맞겠다. 함안군으로 찍은 곳은 말이산 고분군 옥상에 태양광 패널이 있는 건물이 함안군청 여기서 가야읍의 모습을 다 볼 수 있다. 2014년 초 내일로 여행을 할 때 함안에 잠깐 들른 적이 있었는데 그 당시와 비교해 볼 때 전경이 크게 달라진 점은 없는 것...,2021. 6. 9.
와룡정 운흥사 2021 03_경남 함안군_4K,"하지만 지금은 어씨의 후손이 살고 있지 않으며, 어미 고개에는 어씨들의 묘가 남아 있을 뿐이다. #와룡정 #운흥사 #방생 #경남 #함안군 #군북면 #월촌리 #남강 #조선시대 #정자 #함안여행 #가볼만한곳 #하늘에서본부산 #드론 #매빅2 #매빅2프로 #AX700 #4K #UHD",2021. 3. 18.
"[경남 함안군 여행] 강나루오토캠핑장 청보리밭과 등나무꽃, 함안냉면맛집 신풍식육식당",이전주말에 다녀온 곳은 아니고 4월 30일날에 다녀온 경남 함안군 여행기를 올려볼까 합니다. 넓은 청보리밭과 보라색이 이쁜 등나무꽃 그리고 냉면맛이 유명한 곳에서 맛난 식사까지 했어요. 그리고 원래는 코스로 함안 둑방길도 포함되어져 있었으나 방문해보니 현재 공사가 진행되고 있어서...,2020. 5. 12.
경남 함안군 랜선 여행 산인면 내인마을 아침 풍경 ...,"지나가서 촬영을 마치고 연꽃테마파크로 갔다 네비 주소 "" 함안군 산인면 내인리 245-3 "" #사진 #풍경사진 #함안 #함안군 #랜선여행 #농촌 #시골 #농촌마을 #함안가볼만한곳 #함안여행 #산인면 #내인리 #산인면내인리 #배롱나무 #배롱나무숲 #배롱나무군락지 #2021년7월24일오전6시12분촬영 #출사",2021. 7. 28.
경남 함안군 산인면 신산리 토지매매 산익마을위치한 땅,이제 즐거운 꿈나라 여행 하시길 바랍니다 ^^ 저는 살포시 시작할께요 경남 함안군 산인면 신산리 토지매매 산익마을에 위치한 토지입니다 산익마을은 약 50가구가 거주하고 있어요 우측에 있는게 오늘 소개하는 토지입니다 나무몇기루를 심어놓았어요 코너자리이며 우측에...,2020. 12. 21.
"경남 함안군 군북면 동촌리 토지 매매[1,821㎡/약550평]1억1천5백(조절가능)군북역...","◆경남 함안군 군북면 동촌리 토지 매매◆ ★ 저렴한 땅,농막설치가능 ★ 안녕하세요 누리부동산 윤소장입니다. '대지 550평' 군북역 5분거리... 결정을 하셨으면...함안군 군북면 동촌리 마을 토지를 추천합니다. 군북역으로 즐거운 기차여행 어떠세요??^^ㅎㅎ 더 궁굼한 사항은 부담없이...",2021. 6. 22.
#경남가볼만한곳 #함안군 #악양생태공원/#함안둑방길 #해담커피숍,| 경남 함안군 대산면에 위치한 악양 생태공원 남강줄기와 강 뚝과 넓은들판이 잘 조화되어 산책길로 잘 조성된 곳에 해 마다 봄 가을이면 함안군청에서 각종 꽃을 가꾸어 여행 오는 나그네들 발걸음을 잡는다 이제 가을이오면 여기에 핑크뮬리와 코스모스가 만발 할 것이다 강 뚝을 느린 걸음으로...,2021. 8. 22.
(여행) 경남 함안군 악양생태공원,휴일을 맞이하여 외출을 계획하고 있다 오늘 방문할 곳은 바로 함안군 '악양생태공원' 함안군에 도착하니 목표 지점에 다와가니 차가 밀리고 있다 하지만 아름다운 꽃들이 우리 가족을 반겨주니 기분은 좋았다 정성스럽게 꽃을 관리해준 함안군 대산면 주민들께 감사드립니다 금강산도 식후경이라고...,2021. 5. 20.
"경남함안군 약수터산장 : 맑은공기와 마운틴뷰, 맛있는 오리고기 내돈내먹","이곳은 지난여름에도 갔던곳인데, 그때는 동생이 같이 가지못해서 이번여행에도 다녀왔습니다! 뷰도 좋고~!공기까지 좋은 곳에서 맛있는 보양식을!... 사장님도 친절하시구 아가배려도 해주셔서 기분좋았던! 경남함안군 맑은공기와 마운틴뷰! 오리고기 <약수터산장> 내돈내먹 끝!",2020. 12. 25.
함안군 유원마을 골목여행,길에 만났던 고양이들이 잘 가라고 인사하는 것 같아요 유원 마을은 버드나무가 많아서 유원이라고 한다고 합니다. 버드나무는 보지 못했지만 아기자기한 유원 마을로 과거 여행 그리고 가을 여행을 다녀왔어요 2020년 11월 7일 방문했던 기록입니다. 유원초등학교 경남 함안군 칠원읍 유원리 374,2021. 1. 8.
200716 경남 함안군 가야읍 함안연꽃테마파크,연잎을 보다보니 연잎밥이 생각나서 3~4시 밖에 안됐는데도 얼른 밥먹고 싶단 생각이 듭니다;;; 연잎 가득한 녹색만으로도 충분히 안구정화가 되는 곳으로 경남 내 태교여행에도 굉장히 좋은 곳입니다. 함안 가볼만한 곳 함안연꽃테마파크 주소: 경남 함안군 가야읍 가야리 233-1 전화번호: 055-580-4594,2020. 7. 19.
경남 함안군 함안면 함안곶감,경남 함안군 함안면 함안곶감 경남 함안군 함안면 함안곶감 #함안곶감 #파수곶감 #곶감 판매처 경남 함안 파수에서 곶감농사를 조금... 원주웨딩촬영 #원주돌잔치촬영 #웨딩포토촬영 #웨딩영상촬영 #드론촬영교육 #맛집 #맛집여행 #먹방 #전국먹방 #전국여행 #여행 #전국탐방,2021. 1. 9.
경남 함안군 법수면 주택 한샘 바스 BY 한샘 대통령(한샘 제이 대리점),안녕하세요 이웃님들 한샘 대통령입니다^^ 지난 주말 다들 잘보내셨을까요?ㅎㅎ 주말에 날씨가 맑고 쾌청해서 여행이 가고 싶었던 주말이었던 거 같네요! 오늘의 포스팅 현장은 경남 함안군 법수면에 위치한 주택 시공현장입니다. 벽 면 : 비앙코 리버 바 닥 : Stone 그레이 양변기 : HB-neo 투피스...,2020. 10. 26.
"함안군, 2021 경남관광박람회 '특별상' 수상","함안군, 2021 경남관광박람회 '특별상' 수상 “수박보다 달콤한 함안여행!” 주제로 이색체험과 매력적인 부스 선보여 비대면 관광홍보전략, 공영 예능방송을 유치한 적극적 자세 등 높이 평가받아.... 경남 함안군은 지난 5월 20일~5월 22일까지 창원컨벤션센터에서 개최된 2021경남관광박람회에...",2021. 5. 26.
[대구/경북 폐기물] 경남 함안군 가연성 폐기물(부직포),"너무너무너무 예뻤어요,, 그 하늘 보니까 더욱더 해외여행 가고 싶은,,,, 남은 주말 잘 보내세요 오늘 제가 다녀온 곳은, 경남 함안군 가연성 폐기물(대부분 부직포) 처리 현장에 다녀왔습니다. 작업 전, 안전에 유의하여 필요한 장비, 인력, 견적 등을 안내해 드린 후 작업을 진행했습니다. 가연성...",2021. 6. 20.
동산정 2021 03_경남 함안군_4K,의장면에서 근대적인 성격이 강하게 반영되어 있어 근대기 정자건축의 특징과 변화양상을 잘 보여 준다. #동산정 #함안천 #여항천 #경남 #함안군 #가야읍 #검암리 #동산 #이희성 #이희조 #사대부 #조선시대 #정자 #건축 #누정 #여행 #핫플레이스 #하늘에서본경남 #드론 #매빅2 #매빅2프로 #AX700 #4K #UHD,2021. 3. 17.
경남 함안군 가야읍 도항리 도동소류지,가을 하늘이 보이는것 같아여~~ 오늘도 풍요롭고 즐거운 하루 되시구여~~ 이상 가야읍 함안군 도동저수지에서 풍요롭게였습니다!! https://youtu.be/ms9qSleDl7I #반려동물 #반려견 #세퍼트 #저먼세퍼트 #낚시 #민물낚시 #대물낚시 #여행 #국내여행 #힐링 #풍요 #캠핑 #차박 #붕어 #토종붕어 #메이 #저수지,2021. 8. 30.
[국내여행] 함안군 입곡군립공원 <무빙보트> 경상남도 함안,오늘 추억의 여행 책갈피 경남 함안군 입곡 군립 공원의 무빙 보트입니다. 관광버스 상품으로 떠난 경남 여행. 작년에 더운 한 여름이라 제일 재밌고 신났던 건 이 함안의 무빙 보트였던 거 같아요. 딱 이맘때 라 경상남도 함안의 한낮의 날씨가 엄청 더운 폭염. 함안 연꽃테마파크에도 가고 했지만...,2021. 8. 12.
생생정보 악양루-김씨공방 접쇠칼-경비행기체험장<노래방>경남 함안군,[2TV 생생정보 998회] 2월 6일 목요일 소행정 이미지출처:KBS2TV방송캡처 노.래.방 <함안 여행> #악양루 경상남도 함안군 대산면 서촌리 #김씨공방 경상남도 함안군 칠원읍 예곡리 832-38 https://cafe.naver.com/skybluemsgxj 경비행기 체험장 #성우항공비행교육원...,2020. 2. 6.
"경상남도 함안군 당일여행 추천지1(약수터산장,무진정,말이산고분군)",저희는 정자로 걸어 올라가지 않고 다리에서 사진찍고 떠났지만 그래도 의미있는 장소니깐 시간 여유있으신 분들은 정자까지 구경하시고 내려오시는걸 추천드려요 말이산고분군 경남 함안군 가야읍 도항리 554 그리고 또 무진정에서 5분을 달려 도착한 곳은 바로바로 제일 기대하고 함안여행을...,2020. 8. 9.
[6년 전 오늘] 경남 함안군 가볼만한곳-[함안 말이산 고분군] 2017 유네스코 등재 예정,작은 것들이 100여개 아직도 발굴작업이 계속되고 있다는데 말이산고분군 박물관에서 가야의 문명을 살짝 엿보는 것도 괜찮은 여행이 될 것 같다. 2014.11.13. 6년 전 오늘 경남 함안군 가볼만한곳-[함안 말이산 고분군] 2017 유네스코 등재 예정 찬란했던 아라가야의 문화를 생생하게 보여주는...,2020. 11. 13.
"[여담기자단 - 10월 1째주 여행] 함안군의 숨겨진 관광명소 ""강나루 생태공원""","경남 함안군 칠서면 이룡리 998에 위치한 ‘함안 강나루 생태공원’은 한적한 자연을 즐길 수 있는 공간이다. 가을의 생태를 느낄 수 있을 뿐만 아니라 체육시설, 오토캠핑장도 포함하고 있어 자연을 몸소 즐기기에 적절한 공간이다. ‘함안 강나루 생태공원’에 방문하면 탁 트인 하늘과 잘...",2021. 10. 6.
"함안이야기 ;) 함안여행 / 설 연휴 가볼만한 곳 추천, 이색체험이 있는 함안군승마공원","함안군민이 아니어도, 함안군 승마공원의 회원이 아니라도 남녀노소 누구나 체험이 가능한 곳, 함안여행을 계획하고 계신다면, 설 연휴동안 가볼만한 곳을 찾으신다면 이 곳을 추천해드려요. 함안승마공원 경남 함안군 가야읍 봉수로 478 (신음리 827-1) 055-580-4351~3 함안군 블로그 기자단 활동으로...",2020. 1. 24.
경남 함안군 칠원읍 유장길 볏집 삼겹살구이 & 특별한 강정,특별한 요리 전문가 건강을 지키는 보약이 되게 만드는 여행클럽 매니아 조송하님이 만드는 음식 아까버서 먹을수가 없어요 강정 선물하기 넘... 1box에 20.000원 30.000원 한단다 편하게 명절 선물 할수 있겠건만 납품이 안된다는 ㅠ ㅠ 미워~~ ㅋ 잉꼬부부 혼자다녀온 두바이 여행 내내 남편이랑...,2021. 2. 3.
함안군 여행상품 개발 ‘팸·모니터 투어’ 마쳐,함안군 여행상품 개발 ‘팸·모니터 투어’ 마쳐 포스트 코로나 대비 주한 외국인 대상 실시 함안군이 말이산고분군 세계유산 등재 및 포스트... “코로나19 종식 및 말이산고분군 유네스코 세계유산 등재 이후 외국인 관광객 유치를 위한 좋은 경험이 됐다”고 말했다. (기사출처 : 뉴스 경남),2021. 8. 6.
"경상남도 당일여행일기(고성군-문수암,사천시-늘품한우,함안군-카페 뜬)",저번에 함안 여행 했을 때는 왜 못 봣었는지 모르겠어요. �� 카페 뜬 경남 함안군 법수면 부남1길 24-15 40분을 달려 도착한 카페 #뜬 함안 톨게이트에서 4분 정도 떨어진 거리에 있어 근처 지역에서 드라이브 겸 놀러오기 너무 좋을 것 같아요. 하늘 너무 이쁘죠ㅜㅜ 카페 어디갈지 찾아보다가...,2020. 9. 29.
"경상남도 함안군 당일여행 추천지2 (카페 해담,연꽃테마파크,악양루)",악양루 경남 함안군 대산면 서촌리 여기는 함안여행을 계획하고 어디가지하면서 폭풍 검색하면서 우연히 발견한 장소 익양루입니다. 익양루는 사실 다른 곳보다 사람들의 발길이 많지 않은 곳이라 찾아가는데에도 쉽지않았고 기대도 안했던 것 같아요. . . 연꽃테마파크에서 20분 정도 달려...,2020. 8. 10.
"경남여행 코스모스여행 어제도가고 오늘도 다녀온 함안여행 함안뚝방길, 함안악양둑방","경남여행, 함안여행 하신다면 함안악양둑방길, 함안뚝방길 추천해요 #경남가볼만한곳 #경남여행 #함안여행 #함안악양둑방길 #함안뚝방길... ㅁ 운동화 무조건 추천합니다 ㅁ 과일도시락정도~?ㅎㅎ ㅁ 10월3일인데 손선풍기 들고오는분 많았어요 ㅁ 아이들 있다면 킥보드^^ 함안군 법수면 윤외리 73-4",2021. 10. 3.
[경남 함안 / 함안 랜선 여행] 함안 벽화거리 해를 품은 먼당길,먼당길의 먼당은 산마루라는 뜻의 경상도 사투리라고 합니다. 돌아보는 동안 힘들다고 생각들 정도의 언덕길은 없었고요. 아이와 함께 산책하며 돌아볼 수 있습니다. [해를 품은 먼당길] 주소 : 경남 함안군 가야읍 도항리 85-13 ▼ 함안 여행지 둘러보기 ▼ < < <,2021. 9. 3.
[경남 함안 / 함안 랜선 여행 / 함안 무형문화재] 무진정 여름밤이 아름다운 함안 낙화놀이,[함안 낙화놀이] - 참가비: 1인당 1만 원(1인당 낙화봉 2개) - 체험 장소: 경남 함안군 가야읍 함안대로 277-13 -참가신청 및 문의: 함안낙화놀이보존회 (***-****-****) - 신청방법: 네이버 예약 및 현장접수 ▼ 함안 낙화놀이보존회 예약하기 ▼ 함안 여행지 둘러보기 ▼ < < <,2021. 7. 26.
함안 가볼만한 한적한 놀이터 함안군승마공원,아이와 가족여행을 가다 보면 서로 가고 싶어하는 장소가 다를 때도 있습니다. 저의 아이들은 아직은 나이가 어려 엄마 아빠의 여행 스케줄에 따라... 봄이 오는 계절~ 함안군승마공원 어린이 놀이터에서 아이들과 소소한 즐거움을 느끼고 갑니다. 함안군승마공원 경남 함안군 가아읍 봉수로 478,2021. 3. 24.
경남 함안 여행 주말 갈만한곳 배롱나무꽃 무진정,"경남 함안 여행 주말 갈만한곳 배롱나무꽃 핀 무진정에 들려봇고 함안의 다른 곳 연꽃테마파크, 입곡저수지, 가야를 품은 함안박물관 등도 돌아보는 여행을 떠나보세요.^^ 무진정 주소 : 경남 함안군 괴산리 연락처 : 055-580-2551 입장료 없음, 무료주차장 있음, 함안연꽃테마파크, 입곡저수지...",2021. 8. 1.
경남 함안 가볼만한 곳 배롱나무 명소... 배롱나무 절정 & 함안 거리두기 4단계 랜선 여행 ...,바란다 #사진 #풍경사진 #배롱나무 #고려동유적지 #함안 #함안가볼만한곳 #함안여행 #랜선여행 #함안군 #경남가볼만한곳 #경남여행 #창원근교가볼만한곳 #창원근교여행 #부산근교가볼만한곳 #부산근교여행 #함안거리두기 #함안거리두기4단계 #창원거리두기 #창원거리두기4단계...,2021. 8. 6.
"함안군 악양둑방 양귀비가 하늘거려. 함안 가볼 만한 곳, 함안 악양 양귀비",경남 함안군 악양 생태공원에 아름답게 피어 있는 양귀비꽃을 보러 갔어. 나도 양귀비 꽃밭에서 한 컷 남겼어. 블로그 이웃이신 산마루님의... 이번 여행에서는 조금 바쁜 일정이어서 둑방 여기저기 모두 돌아보지 못해서 아쉽기도. 금계국이 많이 피어있는 한적한 둑방 산책길을 걷고 싶었는데...,2021. 5. 29.
