header,contents,date
경남기도터-경남 함양군 지리산 백무동 성모천왕 할머니 기도터,docId=2120854&cid=50223&categoryId=51051 답사여행의길잡이-https://terms.naver.com/entry.naver?docId=2043825&cid=42840&categoryId=42851 국어국문학자료사전-https://terms.... 행정구역으로는 경남 함양군 마천면 강청리이다. 전설에 의하면 지리산 산신인 여신 성모가 천왕봉에 살고 있었는데 그 성모가 남자를...,2021. 9. 29.
[동아리 모임] 경남 함양군에는 블로그를 사랑하는 사람들이 있다.,경남 함양군과의 인연을 회상하다! 2018년 3월.. 함양군 농업인들과의 처음 사랑을 시작합니다. 농업기술센터에서 주관하는 농업인 정보화 교육을... 함양블사모 회원들과 1박2일 전북 부안군 여행을 했었습니다. 눈보라가 치는 아주 험한 날씨였지만.. 블사모팀의 열정을 당해 낼 수는 없었죠.. 그날...,2020. 5. 27.
덕유산과 지리산을 품은 산천이 아름다운 고장 [경남 함양군 힐링여행] ②,"함양 여행 맛집을 찾고 계시다면 꼭 들러보시길 추천드립니다 ⭐⭐⭐ 아름다운 산천에 둘러싸인 곳, 자연 속에서 쉬어가기 좋은 곳, 경남 함양 이번 가을은 [경상남도 함양군]으로 떠나 보시는 건 어떨까요~? 가을여행하기 좋은 곳, ""함양""으로 단체 혹은 가족들과의 여행을 계획 중이시라면...",2021. 9. 28.
경남 함양군 휴천면 월평리 지리산 오도재 1문 휴게소 - 차박여행,경남 함양군 휴천면 월평리에 지리산 오도재 1문 휴게소가 있습니다. 휴게소이니 당연히 화장실은 있겠습니다. 이곳에서 차박했다는 글이 잘 안 보입니다. 그래도 갑니다. 도착했습니다. '지리산 제1문'입니다. 하늘을 쳐다봅니다. 주위엔 자동차가 하나도 없습니다. 주차장에는 휴게소에...,2020. 11. 10.
[경상남도/함양군/안의면] 파란지붕 / 함양 카페 / 경남 카페 / 함양 파란지붕 / 함양여행,"2021 함양산삼항노화엑스포 여행 중에도, 이 포스팅을 하는 중에도 계속이다. 다만 포스팅은 예약이니 공개되 즈음에는 엑스포는 끝이 났겠지. 파란지붕 경상남도 함양군 안의면 금성길 11 경상남도 함양군 안의면 당본리 193 Tel. (055) 964-8007",2021. 10. 3.
"<경남 함양군> 지리산 용유담, 용이 하늘로 올라가는 광경, 그리고 파노라마 전망대...",용유담 주소 : 경남 함양군 휴천면 문상길 지리산 계곡들에서 흘러내린 맑은 물이 여기서 합류한다. 지리산 둘레길. 도로에서 돌계단으로... 볼 수 있는 파노라마 광경이 펼쳐졌다. 건너편 양쪽으로 넓게 구불구불 능선이 이어지고 구름이 내려앉아 운치를 더해준다. 이런 게 여행에서 만난 로또 선물,2020. 10. 22.
경남 함양군 노포식당 주물럭 메뉴가있는 맛나식당,두달전쯤...경남 함양군 여행을 갔을때 그곳에 잘알려지지않은 노포식당이 있다고해서 가보았습니다. 삼겹살이랑 주물럭을 파는곳인데...주물럭이 인기메뉴라서 ㅎㅎ 저도 주물럭을 주문했습니다. 정말 오래된 간물에 오래된 인테리어 ㅎㅎ 분위기가 딱~시골 오랜된 식당에 온기분 근데..정말 시골...,2020. 7. 2.
경남 함양군 칠선계곡 뷰맛집 칠선산장 식당 다녀왔쥬,계곡 바라보며 맛있게 처묵 처묵~ 이번에 짧은 여름 휴가로 다녀온 경남 함양군 칠선계곡에 위치한 칠선산장 입니다 (게으름 뱅이 있어서 이제야... 식당이 전체적으로 정리정돈이나 관리가 조금 덜된듯한 느낌이 있어서 조금 아쉬웠어요 칠선계곡 근처 여행갈일 있을때 칠선계곡의 멋진 뷰를...,2021. 8. 17.
"경남 함양군 마천면(지리산) 절 : 벽송사, 서암 정사, 산뜨락 옛날빙수","경남 함양군 마천면 꼭 가야할 곳을 추천드려요 서암정사 경남 함양군 마천면 추성리 산15 지리산에 처음 오던 날 할아버지께 절에 가고싶다고... 무더운 여름, 코로나 바이러스 확산세가 점점 거세지는 요즘 사람 많은 도시를 벗어나 일상을 여행해 보시는 건 어떨까요?",2020. 8. 22.
경남 함양군 ‘하미앙 와인밸리’ 에 가서 2020년 10월 31일,도착 #하미앙와인밸리관광농원 경남 함양군 함양읍 삼봉로 442-14 ( 죽림리 817-14 ) 055-964-2500 #거산투어 #와인족욕체험장 #와인족욕의효과... #와인병코르크마개 하미앙 와인밸리 #와인저장고 #고로쇠쉼터 하미앙은 와인의 깊은 맛과 맛있는 먹거리가 있어서 함양 당일치기 여행으로도 좋은 곳...,2020. 11. 2.
[경남핫플레이스]함양군 하미앙 2021년 찾아가는 양조장사업에 선정,"[시사뉴스] 함양군, '하미앙' 2021년 찾아가는 양조장 공모사업 선정 http://www.sisa-news.com/news/article.html?no=157702 #경남여행 #함양여행 #함양핫플레이스 #하미앙 #하미앙와인터널 #한국의아름다운길 #지리산 #지리산지안재 #지리산오도재 #시사뉴스정윤철 #현장에서 #민간정원...",2021. 5. 15.
경남 함양군 2021 함양 산삼 항노화 엑스포,경남 함양군 함양읍 상림공원 꽃무릇과 숲 개울이 맑아요 개울에 발담그고 싶을만큼요 ㅎㅎ #함양상림공원 #꽃무릇 #백일홍 #코스모스 #연꽃 #함양여행 #2021함양산삼항노화엑스포 #경남여행 #산삼엑스포 #산양삼엑스포 #함양 #함양산삼산양삼엑스포장 #국화 #가을여행 #건강정보 #함양군,2021. 9. 16.
경남 함양군 한정식 '예다믄',전북 남원에서 경남 함양을 거쳐 여행을 다니시는 분들께 깔끔한 한정식집'예다믄'을 소개해드리겠습니다. '예다믄'은 종가음식 전문점답게 정갈한... 없다면 가장 흔하게 찾는 곳 중 하나가 한정식집이라고 생각합니다. 경남 함양군에서 한 끼 식사 고민하신다면 전통 한정식'예다믄' 추천해드립니다.,2020. 5. 9.
덕유산과 지리산을 품은 산천이 아름다운 고장 [경남 함양군 힐링여행] ①,"아름다운 산천에 둘러싸인 곳, 자연 속에서 쉬어가기 좋은 곳, 경남 함양 이번 가을은 [경상남도 함양군]으로 떠나 보시는 건 어떨까요~? 가을여행하기 좋은 곳, ""함양""으로 단체 혹은 가족들과의 여행을 계획 중이시라면 바로버스에 최소 6인승부터 최대 45인승까지 모든 차량이 완비되어...",2021. 9. 27.
경남 함양군 상림공원(feat.함양산삼항노화엑스포),이런 큰 나무들이 많아서 그늘진 곳 많음 걷기 참 좋음(안더우니까) 대신 모기조심 조밭과 수수밭을 지키는 허수아비 엑스포까지 아직 몇일남아 있어서 준비한다고 조금 어수선한 분위기 이지만 성공적인 여행 #경남여행 #함양여행 #경남가볼만한곳 #함양여행코스 #함양데이트 #함양인증샷,2021. 9. 4.
경남 함양군 선비문화 탐방 길을 걸었어요,함양군 함양읍의 소나무 숲인 상림과 하림의 내력을 소개하고 있습니다. 즐거운 계곡의 피서 구경만 하여도 시원합니다. 머루 나무로 터널을 만들어 놓은 곳이 있었습니다. 함양의 화림동 계곡에 설치한 선비 길을 걸으며 여러 곳의 정자와 풍광을 즐기며 즐거운 피서 여행 하루는 즐겼습니다. 경남...,2021. 8. 18.
[함양부동산 함양전원주택]경남 함양군 지리산을 등진 강보이는 배산임수의 멋진...,【물건번호 ㅡ2108번】 #창녕부동산 #거창부동산 #합천부동산 안녕하세요^^ 시골집사랑방처럼 편안한부동산 조은부동산공인중개사 허재영 소장입니다 오늘도 즐겁고 행복한 하루되세요 좋은인연 성심을 다해서 잘 모시겠습니다 경남 함양군 전망이 아주 멋진 전원주택을 소개합니다...,2020. 2. 27.
경남 함양 맛집 - 번지없는 주막 국수집. 함양군 지리산 지안치 맛집 지안재 맛집...,"남원시 인월과 함양군 함양읍의 중간정도로 남원 인월면 맛집이라 해도 틀리지 않을 듯 합니다. 아무튼 함양 맛집이자 인월 맛집 번지없는 주막은 그냥 가정집 마당 같은 느낌. 바이크는 내부에 주차할 수 있어 좋습니다. 차량 주차할곳도 많아서 주차 어려움이 없어요. 메뉴는 잔치국수, 비빔국수...",2020. 4. 12.
경남 함양군 마천면 펜션/음식점/카페 추천 토지매매,매물이니 여행하신다 생각 하시고 답사 꼭 가보시면 좋겠습니다 주인직:***-****-**** 오시는길:경남 함양군 마천면 의탄리 970-3 외1필지 안녕하세요 부동산 직거래 광고 회사 리얼리티입니다 저희 리얼리티는 부동산 영상광고 제작을 전문으로 하며 부동산 직거래 전문 광고 회사입니다 시대의...,2021. 3. 28.
입장권 구매 릴레이 캠페인] 4. 바르게살기경남도협의회+ 바르게살기함양군협의회,"‘바르게살기경남도협의회+ 바르게살기함양군협의회’ 입니다 :) 지난 3일에 엑스포 티켓 2,680장을 구매해주셨습니다~ 통 크게 구매해주셔서... 오토캠핑 #등산 #경남가볼만한곳 #경남여행 #단풍놀이 #단풍여행 #경상도여행 #부모님여행 #함양엑스포 #웰니스관광 #가을가족여행 #함양산양삼 #엑스포",2021. 5. 6.
"함양군 힐링 여행, 나무 아래 커피 한 잔! 농월정 카페 보름달","함양군 안의면 농월정 -힐링 여행- 카페에서 보이는 전경 코로나 속 힐링 여행 타인과의 접촉을 최대한 피할 수 있어 안전하게 여행할 수 있는... <카페, 보름달>에서 힐링하시길 바랍니다. <카페, 보름달> 네이버 정보는 아래를 클릭해 주세요. [도로명] 경남 함양군 안의면 농월정길 5",2021. 9. 18.
"소노드럼,야마하전자드럼,야마하몽타주7키보드,음향장비, (경남 함양군) 새벽출장세팅!...","멋진 드럼출장여행 다녀왔습니다.!! 대한민국 명산 지리산이 위치해 있는 경남 함양으로 출발할께요~~~ 차에서 시동걸고 시간을 확인해보니~~ 7월10일 02시59분 출발 경남 함양까지 설레는 맘으로 이른 새벽출발!! 차량소통 원활하여, 금새 금산 인삼 휴게소 도착! 금산 인삼랜드 왔다갑니다. 인증샷...",2021. 7. 10.
생방송 투데이 경남 함양 연잎 한 상 옥연가 함양군철갑상어영어조합 함양 용추 계곡...,3GO - 함양 3GO 여행 편 ▶<거연정> 주소 : 경남 함양군 서하면 봉전리 번호 : 055-960-5756 ▶<함양 용추 계곡> 주소 : 경남 함양군 안의면 용추휴양림길 71 ▶<옥연가> *연잎 한 상 주소 : 경남 함양군 함양읍 상림 3길 10 번호 : 055-963-0107 ▶<함양군철갑상어영어조합> *철갑상어 문의 주소 : 경남...,2020. 7. 31.
"[경남도민뉴스] 함양군, 문화누리카드로 함양산삼항노화엑스포 마음껏 누리세요",문화누리카드는 기초생활수급자와 차상위 계층이 문화예술․여행․체육 활동 관련 가맹점에서 이용할 수 있도록 제공되는 전용카드이다.... nh농협은행 함양군지부를 방문하면 된다. 기초생활수급자는 우대할인권(입장권 금액 5천원)이 적용되어 현장에서 직접 구매하면 된다. 김종순 엑스포...,2021. 7. 15.
"자연 속에서 힐링, 지리산 계곡 추천 [경남 함양군 지리산]","오늘의 추천여행지 [경남 함양군 지리산] 입니다. 출처: 한국관광공사 오늘은 계곡으로 여름휴가를 떠나시는 분들 혹은 계획하고 계신 분들을 위해 지리산의 계곡들과 자연관광지를 모아왔습니다! 그럼 ""자연 속으로의 힐링, 지리산 여행"" 추천지를 살펴보겠습니다. 출처: 한국관광공사 첫 번재는...",2021. 7. 10.
"95th 캠핑, 경남 함양군 지리산 백무동야영장 2021년 5월 22일-2021년 5월 23일.","네팔 여행당시 안나프루나에서 만난 세계여행을 하는 형님이 여행 중 만났었던 세계여행을 하신 분이 쓴 책. 그러니까 모르는 사람이 쓴 책. 역시나 책은 많이 못읽었다. 저녁시간. 다소 쌀쌀한 날씨에 담요하나 걸치고 마시는 소주. 쥑이네. 어둠이 내리니, 사이트는 더 아름다워졌다. "" 한잔 더 할...",2021. 5. 23.
