header,contents,date
경남 합천군 여행 미션 도전 - 우선 즐기고 보자,"(큰애는 점점 요구하는 선물이 높은 금액으로 가고 있어서 큰일입니다..ㅜㅜ) 다둥이네의 어린이날 여행은 고심 끝에 합천으로 정했습니다. 마침 합천군에서 ""합치면 천만활로 미션 투어""라는 이벤트를 진행하고 있어서, 며칠 전에 참가신청을 해보았습니다. 참가신청을 하니 여러가지 안내문이랑...",2021. 5. 6.
[경남여행] 경남 합천군 천불천탑에서 소원 성취를 기원하다,안녕하세요 여행자입니다 오늘 소개할 곳은 경남 합천군에 위치한 천불천탑입니다 철쭉으로 유명한 황매산 근처에 있는 허굴산에 자리 잡고 있습니다 작년에 구경한 황매산 철쭉을 올해도 보고 싶었지만 코로나19로 통제하는 상황이라서 이곳을 찾게 되었습니다 따로 주차장이 없기 때문에 길가에...,2020. 5. 15.
[내돈내산] 경남 합천군 합천음 짬뽕맛집 '합천짬뽕',#합천여행 #경남맛집 #합천맛집 #합천군 #진주근교맛집 #대구근교맛집 #로컬맛집 #합천청와대세트장 #합천루지 #경상남도안전체험관 #합천영상테마파크 #옐로우리버비치 안녕 용용이들 제가 오늘 합천군의 짬뽕맛집인 '합천짬뽕'에 다녀왔어요! 뜨끈하고 얼큰한 국물이 생각 나서 이 곳에 가게...,2021. 8. 31.
"경남 합천군, 한국관광100선에 합천 대표 관광지인 해인사와 황매산군립공원이 선정 돼","경남 합천군(군수 문준희)은 문화체육관광부와 한국관광공사가 선정하는 2021-2022 한국관광100선에 합천 대표 관광지인 해인사와... 한국관광100선은 2년에 한 번씩 국내 대표 관광지를 선정해 홍보하는 사업으로, 대표성·매력성·성장 가능성·품질관리계획 등의 지표를 관광학계와 여행업계...",2021. 2. 2.
경남여행지추천 / 옐로우리버비치 /경남 합천군,"옐로우리버비치 경남 합천군 탁 트인 야외 천연 리버풀, 대한민국 No.1 천연 워터파크! https://in.naver.com/seoul-lee1m & ▶이니셜 영문 무료로... 아이와함께 #여름여행 #옐로우리버비치시즌4 #이색체험 #체험학습 #축제 #친구와함께 #수영장 #옐로우리버비치 #경남합천 #경남여행지추천",2020. 8. 18.
"[경남 합천군] 현지인 추천 맛집, 삼겹살+된장찌개 맛집 '강변식당'",※코로나 상황에 따른 정부 방역지침 및 예방 지침을 준수하였습니다※ 합천 강변식당 경남 합천군 합천읍 남정길17 1층 매일 12:00~21:00 (14:00~17:00... 등 경남 쪽에 출장 가면 생각날 것 같은 맛집이네요ㅠㅠ 합천 현지인이 추천해 주신 합천 맛집 강변식당 근처에 사시는 분들이나 합천에 여행 가시는...,2020. 9. 22.
"[21년 8월 16일] - 경남 합천군 합천호, 카페플로라, 동일식육식당, 카페모토라드...","합천 해피캠핑장에서 바라본 합천호 광복절 연휴에 그녀와 함께 당일치기 여행을 다녀왔다. 경남 합천군은 유명한 가야산(1,430m) 줄기를 본맥으로 하여 크고 작은 산들이 많이 파생하고 있으며, 매화산(954.1m)과 거창군계의 비계산(1,125.7m), 두무산(1,083.4m), 오도산(1,133.7m) 그리고 산청군계의...",2021. 8. 17.
[경남:합천군] 합천왕후시장,#방물장수의팔도맛기행 #먹뱅이 #경상남도 #합천군 #합천왕후시장 #합천오일장 #김영철동네한바퀴 #호남식당 #풀빵단팥죽 #팥죽 #가을여행 매월 3.8일에 열리는 경상남도 합천군 합천읍 #합천왕후시장 평상시엔 상설시장이고 3.8일엔 오일장이 열립니다 합천 왕후 시장 합천 왕후 시장을 알리는...,2020. 11. 8.
경남 합천군 쌍책면 상포리 상포마을,(상포마을 회관 근처) 황강 자전거도로 해바라기 길 주소: 경남 합천군 쌍책면 상포리 687-2번지 (상포마을 회관 주소입니다) 주민분께 여쭈시면... ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ ■ 여행날짜 2021. 8. 2 (지난날) (해바라기가 8월 2일날 끝물이기에 안올렸습니다 보통 7월...,2021. 9. 9.
경남 합천군 대장경테마파크,"경북,경남,부산 가본 곳 중에 최고의 시설과 볼거리가 가득한 곳, 아이들과 가기 좋은 곳, 가족과 여행하기 좋은 곳, 데이트 하기 좋은 곳, 가성비 짱 휴무날 어딜갈까 ,,,고민하다 블로그를 통해 알게된 합천대장경테마파크로 무작정 출발 했네요 예전에는 직접 검색해서 찾아 다녔지만 요샌 블로그...",2021. 2. 3.
