header,contents,date
경북경주여행4 경상북도 지정 명품 경주시 지정 전통음식 황남빵 본점...,경주여행 마지막날이라서 재성아빠 선물겸 경주의 명물 황남빵을 구입하러 황남빵본점에 다녀왔어요. 쪽샘지구 맞은편에 위치한 경주시 지정 전통음식 황남빵 베이커리입니다. 생각보다 규모가 제법 큽니다. 황남빵[베이커리] 054-749-7000 경북 경주시 태종로 783 매일 08:00 - 22:00 황남빵 베이커리로...,2021. 7. 6.
"세워진 천문관측소, 국보 제 31호/1박2일 경주여행 1일차 PART6] 경북 경주시 인왕동",숙소인 대명리조트로 이동합니다. 다음 포스팅은 숙소로 삼은 소노벨 경주(구. 대명리조트 경주) 패밀리(클린)실 룸컨디션에 대해서 포스팅하도록 하겠습니다. 경북 경주시 인왕동 839-1 경주/국내여행/1박2일/당일치기/데이트/가볼만한곳/추천/코스/유네스코 세계문화유산/대릉원/첨성대 위치...,2020. 2. 24.
<카페> 경북 경주시 _ 리초야 1호점,당일치기 경주 여행을 다녀오기로 해서 가볼 만한 곳들을 검색하다가 말차 아이스크림에 첨성대 모양 쿠키를 얹은 음료 사진을 보게 됐다. SNS에... 주소 : 경북 경주시 교촌길 2 (경북 경주시 황남동 150-6) 전화번호 : 0507-1368-1580 영업시간 : 수요일-월요일 11:00 ~ 19:00 (화요일 휴무) #경주카페...,2021. 8. 29.
경북 경주시 양남면 나아리 나아 해변 - 차박여행,경북 경주시 양남면 나아리에 나아 해변이 있습니다. 차박하러 갑니다. 도착했습니다. 노란 등대가 있습니다. 어린 자매가 파도 놀이를 합니다. 해변이 시원합니다. 왼쪽을 보니 원자력발전소가 있습니다. 월성원자력 본부입니다. 해변 쪽에는 차박하시는 분들로 가득합니다. 앞 쪽에 차량이...,2020. 10. 16.
경북 경주시벚꽃여행 경주시가볼만한곳 경주시관광명소 경주시 보문관광단지 보문호수...,경북 경주시벚꽃여행 경주시가볼만한곳 경주시관광명소 경주시 보문관광단지 보문호수 벚꽃길 벚꽃엔딩 경상북도 경주시 벚꽃여행중에 방문한 경주보문단지내의 보문호 수변을 따라 조성된 벚꽃길입니다 전날에 내린비로 끝물인 벚꽃은그나마 거의 다 떨어지고 2021년의 일찍 핀 만큼 벚꽃도 조기...,2021. 4. 11.
경북 경주시 진원동 불국사 석굴암 인근 목공방 우드인스토리 도마체험공방 후기,"우드인스토리 도마체험공방 경북 경주시 진현동 611-153 도마체험/목공예체험 ***-****-**** 우드인스토리는 불국사, 석굴암 근처에 있습니다. 와 대박!!! 요즘 사회적인 분위기로 인하여 재택근무도 하지만, 무엇보다 여행을 가지 못해 아쉽습니다. 코로나 19로 인하여 참 피해를 많이 보고 있습니다. 대신...",2020. 8. 29.
"양동마을 여행.- 경북 경주시 안강읍., 태경한식부페",경북 경주시 안강읍에 있는 양동마을 .. 유네스코 등재. (옥산서원 가까이 있다)-차로 10분 거리 경주시 와는 많이 떨어져 있다.. 세계 문화 유산 등재 10주년이 되었다. 500년 정도 된 마을이다. 전통가옥이 잘 보존되어 있다. 데이트 코스로도 좋다. 요즘 날씨가 겨울이어도 따뜻해서 관람하기...,2020. 1. 11.
"[산 여행] 경북 경주시 남산, 초등학생 아이들과 함께","경주 여행을 1박 2일로 다녀오면서 경주 남산을 들러서 등산을 하고 왔습니다. 아까 경주 여행 포스팅을 올리면서 경주 남산 얘기도 조금 덧붙이긴 했는데, 요즘 주말마다 산을 다녀오면서 산행에 대해서만 따로 포스팅을 올리는 중이라, 경주 남산도 따로 정리해 봅니다. 경주 남산은 금오봉과...",2020. 5. 3.
[지역N문화 테마여행] 경북 경주시 여행코스 :: 댕댕이와 함께 나의 두번째 경주,경북 경주시 여행코스 댕댕이와 함께 나의 두번째 경주 댕댕이와 함께 나의 두번째 경주 경북 경주시 *출처 : 경주문화관광 우리나라 대표 관광지로 인기있는 경주. 우리에게는 수학여행지로도 익숙한 도시인데요. 대부분 많은 분들이 경주는 낯설지 않은 여행지로 인식하고 있고 또 많이...,2020. 10. 26.
#감사여행 #2020년_11월09일 @경북_경주시,"#감사여행 #2020년_11월09일 @경북_경주시 ""경주에서는 세월호 뱃지 달린 가방만 봐도 거리에서 욕을 먹어요. 샤이보수 얘기하듯이 샤이민주당이 되기 일쑤지요. 게다가 30대 젊은 여성이 민주당 지역위원장이니 보수적인 경북지역에서는 도저히 이해하기 어려운 일들을 종종 겪어요."" 경북 경주시의...",2020. 11. 13.
경북 경주시 인왕동/첨성대 구경/경주 여행/첨성대/첨성대 역사/비단벌레 전기자동차...,"☆첨성대☆ 경북 경주시 인왕동 839-1 이칭별칭 - 점성대(占星臺) 유형 -ㅠ유적 시대 - 고대/삼국/신라 성격 - 천문관측소, 천문관측시설 건립시기... 모두가 즐거운 시간이 되었네요~~^^ 올때마다 경주는 어딜가도 참 좋은것 같아요~♡ #경주여행 #가족여행 #첨성대 #블챌 #오늘일기 #연날리기",2021. 5. 26.
【경북 경주시】 모텔 매매_48억원,"모텔매매 대지면적 660.1㎡ 연면적 2,212.67㎡ 매매가 48억원 대출 33억원 인수가 15억원 경북 경주시 (소유자의 요청에 의해 상세지번 비공개)... 관광객들은 경주시의 대표 이미지로 70.7%의 압도적 비율로 불국사를 꼽았습니다. 내국인 여행기간은 평균 1.9일로 조사되었으며,1박2일이 42.5%로...",2021. 5. 18.
[경주시] 경북 경주_1박 2일 구석구석 여행하기:),"수학여행이후로 처음이다!!wow 그니까 몇년만인거야,, V 대릉원 산책 조아따 첨성대 사진엔 안담기지만 가족들이 아이들이 연날리는 모습들이 참... 좋은 여행이었다고 토닥토닥해주며 마무리했다. 여행 2일차 가려했던 곳은 도저히 웨이팅 하기싫고...ㅡ_ㅡ 너무너무너무 먹어보고싶던 경주...",2021. 6. 1.
대한민국 국보의 보고/1박2일 경주여행 1일차 PART5] 경북 경주시 황남동 대릉원內,"다음 포스팅은 신라 천문학의 산물인 첨성대입니다. 054-750-8650 경북 경주시 황남동 262 지도보기 매일 09:00 - 22:00매표및입장마감시간 21:30, 연중무휴 경주/1박2일/여행/국내여행/가볼만한곳/추천 코스/유네스코 세계문화유산/데이트/대릉원/미추왕릉/황남대총/천마총... 천마총 위치...",2020. 2. 14.
[ 경북 경주시 / 황남동 맛집 ] 황리단길 아니마(ANIMA),경주 황리단길 스테이크 파스타 맛집 : 아니마(ANIMA) 경주 여행중 첫번째로 다녀왔던 가게인 아니마 여긴 언니의 추천으로 가게 되었고 바로 경주 첨성대 주차장에 주차 한 후 방문했다 <위치> 경북 경주시 포석로 1050번길 51 <영업시간> 매일 11:30-21:30 평일 브레이크타임 15시~17시30분...,2021. 4. 21.
경북 경주시 양북면 불국로 경주 풍력발전 단지(차박명소) - 차박여행,경북 경주시 양북면에 경주 풍력발전 단지가 있습니다. 차박지로 유명한 곳입니다. 갑니다. 차박하러... 태양이 서쪽하늘로 훌쩍 넘어간 후 도착하였습니다. 도착하기 위해서는 많은 S자 코스를 경험해야만 합니다. 조금이라도 더 늦기 전에 얼른 꼬리 텐트를 설치합니다. 주차장에 차들이...,2020. 10. 8.
<카페> 경북 경주시 _ 월성과자점,주변에서 경주 여행 간다고 하면 한 번쯤 방문해 볼 만한 곳으로 추천하고 싶음 ㅎㅎ 주소 : 경북 경주시 포석로1068번길 17-7 (경북 경주시 황남동 80) 전화번호 : 054) 624-7010 영업시간 : 매일 11:00 ~ 21:00 #경주카페 #황리단길카페 #대릉원카페 #경주뷰맛집 #흑임자라떼 #아몬드크루와상,2021. 8. 27.
경북 경주시 경주 오릉을 보고 신경주역에 가서 2021년 3월 1일,경북 경주시 탑동 67-1 054-750-8614 하마비가 있는 걸 보면..... 3월-10월 09:00-18:00 / 11월-2월 09:00-17:00 얼마나 오랜 역사 속에서 힘들었을까? #오릉... 창건되었고 **************************** #경주상징8색 **************************** #경주가볼만한곳 #경주뚜벅이여행 #경주볼거리 #경주 #경주역사...,2021. 3. 6.
[경북 경주] 토함산(吐含山)745m /경북 경주시 진현동 123-2,"[경북 경주] 토함산[吐含山]745m /경북 경주시 진현동 123-2 높 이 : 토함산[吐含山] 745m 주 소 : 경북 경주시 진현동 123-2 코 스 : 불국사 주차장... 자유롭게 여행도 할 수 있고 경제도 좋아지고 할텐데 말이다... 오늘 산행은 경주 토함산으로 정했다, 불국사 일주문 앞에서 담장을 끼고 등산로를...",2020. 6. 1.
