header,contents,date
경북농촌체험휴양마을 경북 고령군 개실마을 가얏고마을 대가야박물관 우륵박물관,여행하면서 남편이 정말 식당출입은 극싫어해서ㅜㅜ 포장할라치니.. 이런.. 어디가 맛집인지도 몰겠고..그냥 갔다가 식자재유통이 제대로 안 된 집이면.. 네이버 평점보고 포장하자..하다가 걍 됐다~하고 숙소에서 식사했죠.. 이번은 경북 고령군에 다녀왔어요. 여길 온 건 '가야와 우륵...,2021. 8. 16.
[경북 고령군 여행] 고령 개실마을,"경상북도 고령군 쌍림면 합가1리에 위치한 전통 마을이다. 조선 전기의 성리학자로, 문장과 경술(經術)에 뛰어나 영남학파의 시조로 여겨지는 인물인 김종직(金宗直)의 후손이 대를 이어 주거하고 있는 집성촌(集姓村)이다. 점필재종택김종직 5대손 김수휘(金受徽)가 이곳으로 이주하면서 지은...",2021. 3. 12.
"국내여행지 : 대구 근교 여행 경북 고령군(고령향교, 지산동 고분군)","하는 일이 문화재 관련 일이라 오늘은 문화재 현장 답사를 다녀왔는데ㅠ ㅠ 여기가 생각보다 너무 좋아서 오늘 찍어온 사진들 모아모아 추천하러 왔당 :) #대구근교 #국내여행 #국내여행지추천 #고령군 국내여행지 추천 : 경북 고령군 고령향교, 고령군 지산동고분군(+대가야박물관) 어디 많이 다녀온...",2020. 4. 14.
"대원 / 경북 고령군 꿩만두국 맛집, 인삼 도토리 수제비 맛보기",#경북맛집 #고령맛집 #고령군맛집 #경북고령 #대원 #대원식당본점 #대원식당 #꿩만두국 #도토리수제비 #인삼도토리수제비 #몸보신 #몸보신맛집... 해물파전 #등산 #거창맛집 #가야산맛집 #쌍림면 #꿩고기 #꿩 #꿩만두 #이색맛집 #한약재 #인삼 #대추 #보양식 #경북여행 #가야산여행 #고령여행 #거창여행,2021. 3. 5.
대구근교여행(달서구/달성군/고령군)달리고 여행을 가다.,#대구관광협회 에서 아이디어를 내어 달성군과 달서구 그래서 달이 둘 그리고 고령군까지 합하여 달.리.고. 여행경비는 5천원이라고 합니다. #경북관광 좋은 대형버스가 나왔네요. 사회적거리두기로 인해 45인승에 20명 탑승입니다. 10월과 11월까지 두가지 테마를 두고 진행을 한다고 합니다....,2021. 10. 11.
경북 고령군 코로나19생활속 거리두기 시기 안전여행,아름다운 가야금 선율을 따라 대가야의 찬란했던 역사유적과 신비로운 가야문화 체험 경북 고령군 관광안내서 여행에서 먹거리 중요하죠 안내서에 적혀있는 대표먹거리 ●도토리수제비 ●개진감자고로케 ●진미당찹쌀떡 ●딸기 &수박 제철과일 대가야역사테마관광지 주변안내도 경북...,2020. 9. 6.
[경북여행] 경북 고령군 대가야읍 어북실 유채꽃을 보면서 늦봄을 느끼다,안녕하세요 여행자입니다 오늘 소개할 곳은 고령군 대가야 수목원 근처에 있는 유채꽃밭 어북실입니다 회천교 자동수문제어실 근처에 오시면... 곳》 #고령가볼만한곳 #고령유채꽃단지 #고령핑크뮬리 #고령코스모스단지 #고령대가야수목원 #경북가볼만한곳 #고령사진찍기좋은곳 #고령꽃구경...,2020. 5. 1.
[고령 여행] 고령군 향토문화유산 유형자산 제8호 남와구거,경북 고령군 우곡면 도진3길 17에 위치하고 있는 조선시대의 건축물 남와구거를 소개합니다. 남와구거는 남와 박민국 선생이 서재 겸 사랑채로 1805년 건립한 집입니다. 고령박씨 시조는 박혁거세의 29세손인 경명왕의 둘째 아들 고양대군 박언성이라고 합니다. 후손으로 가장 많이 알려진 사람이...,2021. 10. 8.
[경북/고령] 개실마을 고령개실마을 고령군개실마을 고령여행 고령가볼만한곳...,"고령 여행, 고령 가볼만한곳, 경북 여행, 경상북도 여행, 경북 가볼만한곳, 경상북도 가볼만한곳, 대구 근교여행, 고령군 개실마을, 고령 개실마을 고령 개실마을 위 치 고령이래요..ㅎㅎ 전화 : 054.956.4022 주소 : 경북 고령군 쌍림면 합가리 243-5 개실마을 합천영상테마파크 갔다가~ 오는길에...",2020. 1. 20.
경북 가볼만한곳_고령군 나들이,조금 시간을 보내고 들어올 때 보았던 푯말이 기억나 조금 더 들어가 보니 딸기체험장 이 있네요. 딸기를 따고 바로 먹기 위해 마스크를 어쩔 수 없이 벗었지만 여기 저희 가족 3명이 독차지했습니다. #경상북도 #경북 #고령군 #딸기 #대구 #가볼만한곳 #여행 #가족 #가족여행 #드라이브 #일상 #육아,2020. 3. 27.
