header,contents,date
"구미 청량산 문수사* 힐링하기 좋은 아름다운 절, 구미여행, 경북여행, 구미시 도개면...",얼마전 경상북도 구미시 도개면 청량산에 있는 문수사에 다녀왔어요. 문수사는 청량산에 있는 자연석굴을 법당으로 사용하던 납석사를 개칭한... #구미여행 #구미문수사 #도개면 #구미도개면 #경북여행 #구미가볼만한곳 #조계종문수사 #구미문수사 #아름다운절 #아름다운사찰,2021. 2. 28.
경북 구미시 선산시장 5일장 여행,안녕 하세요.~ 꿀빵이 입니다.~ 오늘의 여행지는~ 경상북도 구미시에 위치한 선산시장 5일장에 방문 하게 되었습니다.ㅎㅎ 놀러가는날 알아보니... 넓습니다 ㅎㅎㅎㅎ 이렇게 ~ 경북 구미 선산5일장을 방문 하게 되었고요~ 옛스러운 모습과 시장이 ~ 힐링을 찾는 시간 이였습니다~ 그럼 오늘 소개는...,2021. 6. 14.
사통팔달 경북 구미시 새마을중앙시장에서 만나는 우리농산물 집합~[구미 가볼만한곳],"떡,전,수산물,농산물을 직접 보고 구매할수 있는 재미도 함께 느낄수 있는곳입니다. 봄이 다가오는 계절을 앞두고, 입맛도 돋구고, 조금 더 저렴하게 구매할수 있는 우리농산물 집합소! 구미새마을중앙시장 구미여행 가실분들은 꼭 한번은 가보시길 추천합니다. 주소 : 경북 구미시 구미중앙로9길 11",2020. 2. 12.
경북 구미시 2022년 농촌 신활력플러스사업 공모 70억 선정,"경북 구미시, 2022년 농촌 신활력플러스사업 공모(70억) 선정 - 농촌과 도시가 모두 행복한 먹거리 전환도시 구미! - 경북 구미시가... 농촌테마 여행) 등을 운영할 계획이다. 이번 사업으로 상근일자리 30개, 비상근 일자리 70개, 소득창출 70여 억원, 5대 분야(농촌마을활력, 도시농업, 식-농교육...",2021. 7. 9.
"[2021 국토대장정] #11 걸어서 서울에서 부산까지 | 10일차, 경북 구미시...","(사회적거리두기 2단계) [2021 국토대장정] 걸어서 서울에서 부산까지 10일차, 경북 구미시 - 대구광역시 (41.8km) 안녕하세요! 국토대장정 10차입니다!... 저랑 같은 숙소 쓰시는 분은 여행 오신 것 같더라구요. 바로 옆방에는 6인실 도미토리 인것 같았는데 프랑스에서 온 여행객들이 머물고 있었어요....",2021. 5. 1.
"경북 구미 여행 1일차 ::: 짠내투어 후기 - 구미시승마장, 구미밥을짓다한정식, 낙동강변...",경북은 정말 생각보다 가깝구먼 ㅎㅎ 진이랑 같은 열차였는데 넘 신기하게 같은 호차였다 ㅋㅋㅋㅋ 김천구미역에 우리를 픽업하러 온 은이를... 바로바로 구미시 승마장! 승마는 정말 어릴 때 이후로 처음이라서 넘 두근두근.. 승마를 위해선 긴바지 & 운동화가 필요해서 따로 챙겨갔다 ㅎㅎ 말을 끌고...,2021. 7. 2.
일미식당(일미삼겹살) 공단동 구미시 경북,였습니당 #구미시 #공단동 근처 계신분들 안드셨으면 잡솨봐~~~요 #경북 #구미 #공단동 #아침 #밥집 #먹는게취미 #고기좋아하는여자 #일미식당 #고추장목살 #일미삼겹살 #일상 #여행 #카운티캠핑 #캠핑 #이야기 #블로그 #정보 #소통 #공유 #구미맘 #아들맘 #육아맘 #젊줌마 #핑쿠핑쿠한넷 #핑크마미,2021. 7. 19.
"[대구여행, 경북여행, 구미여행, 국내여행, 대구인근가볼만한곳, 경북가볼만한곳] 구미시...",영업시간 : 주말 09:00 - 18:00 평일 09:00 - 18:00 (월요일휴장일) 주차장 : 주차장완비 구미승마장과 구미시승마장은 다른 곳 입니다. 구미시승마장으로 검색하셔야합니다. 입구에 구미시승마장 말모양 조각상이 있답니다. 정면에 보이는 사무실에서 접수하시고 이용하시면 됩니다. 구미시승마장은...,2021. 3. 14.
장인마루/ 경북 구미시 남통동 남통 이편한세상 / 나투스진 어반밀크티 29박스 시공,편하게 여행다닐 수 있는날이 왔으면 좋겠네요 ! ㅎㅎ 그렇게되면 시공할때도 훨씬 편할것같아요 ㅎㅎ 오늘 김팀장이 가져온 시공 후기는요 경북 구미시 남통동에 위치한 남통 이편한세상 시공후기 입니다. 시공한 자재는 나투스진 어반밀크티 29박스 입니다! 시공지 : 경북 구미시 남통동 남통...,2021. 6. 26.
[경북/구미시] 울산정자회타운,"[경북/구미시] 울산정자회타운 주소_경북 구미시 상모동 37-3 전화_054-463-8188 안녕하세요. 핸님이에요. 얼마 전 서울 여행을 다녀오는 길, 점심을 먹기 위해 구미에 잠깐 들렸어요. 지인 중 한 분께서 구미에 계시는데, 정말 맛있는 회를 맛볼 수 있는 곳이 있다고 하여 그곳에서 점심을 먹기로...",2020. 7. 27.
